childid	outid	remrel	remqnt	remtype
PE188010	2	2	2	2
PE188012	1	2	3	2
PE188014	1	1	10	2
PE188019	1	1	1	1
PE188021	1	4	2	2
PE188022	1	2	3	2
PE198007	1	7	2	1
PE198007	2	5	3	1
PE198013	1	6	1	1
PE198018	1	4	10	2
PE198025	1	4	6	3
PE198026	1	5	2	1
PE198031	1	4	4	1
PE208005	1	1	1	1
PE208007	1	1	10	2
PE208010	1	3	3	2
PE208012	1	2	3	1
PE208014	1	4	4	3
PE208016	1	3	12	1
PE208019	1	6	1	2
PE208023	1	2	12	2
PE208025	1	2	2	2
PE208028	1	4	48	3
PE208032	1	2	2	2
PE208032	2	3	1	2
PE208032	3	1	1	2
PE208033	1	4	5	1
PE208033	2	1	10	2
PE208038	1	4	1	1
PE208041	1	5	1	2
PE208045	1	4	4	1
PE208046	1	3	7	3
