childid	id	age	sex	relate	still	yrschool	disabled	support	edinicia	grado	anhos
PE018014	5	18	2	10	2	34	2	2	 	 	5
PE018014	6	13	2	5	1	34	2	2	 	 	2
PE018014	7	63	1	3	2	33	2	2	 	 	5
PE018014	15	2	2	6	 	 	2	 	2	 	 
PE018015	1	27	1	1	2	33	2	1	 	3	 
PE018015	2	26	2	1	2	33	1	2	 	2	 
PE018015	3	9	2	10	1	33	2	2	 	2	 
PE018015	15	4	1	5	 	 	2	 	1	 	 
PE018015	16	1	1	5	 	 	2	 	2	 	 
PE018016	1	36	1	1	2	38	2	1	 	 	5
PE018016	2	33	2	1	2	34	2	1	 	 	5
PE018016	3	14	1	5	1	34	2	2	 	 	3
PE018016	15	1	1	5	 	 	2	 	2	 	 
PE018016	16	1	1	5	 	 	2	 	2	 	 
PE018017	1	36	1	1	2	34	2	1	 	 	4
PE018017	2	34	2	1	2	33	1	2	 	 	5
PE018017	3	14	1	5	1	33	2	2	 	6	 
PE018017	4	12	2	5	1	33	2	2	 	6	 
PE018017	5	10	1	5	1	33	2	2	 	4	 
PE018017	15	2	2	5	 	 	2	 	2	 	 
PE018018	1	26	1	1	2	34	1	1	 	 	1
PE018018	2	25	2	1	2	34	2	1	 	 	3
PE018018	3	5	1	5	1	0	1	2	 	 	 
PE018019	1	29	1	1	2	34	2	1	 	3	 
PE018019	2	29	2	1	2	34	1	1	 	1	 
PE018019	3	6	1	5	1	32	2	2	 	 	 
PE018019	4	43	2	3	2	33	2	2	 	 	4
PE018019	15	4	2	5	 	 	2	 	1	 	 
PE018020	1	38	2	4	2	34	2	1	 	 	5
PE018020	2	16	1	6	1	34	2	2	 	 	4
PE018020	3	31	1	4	2	34	2	1	 	 	5
PE018020	4	60	2	3	2	34	2	1	 	 	5
PE018020	5	5	2	5	2	0	2	2	 	 	 
PE018021	1	27	1	1	2	33	2	1	 	4	 
PE018021	2	27	2	1	2	33	2	1	 	5	 
PE018021	3	5	1	5	2	0	2	2	 	 	 
PE018022	1	27	1	1	2	33	2	1	 	6	 
PE018022	2	29	2	1	2	36	2	1	 	 	3
PE018022	3	6	1	5	1	32	2	2	 	 	 
PE018022	4	17	2	6	1	34	2	1	 	 	3
PE018022	5	15	1	6	1	33	2	2	 	6	 
PE018022	6	14	1	6	1	34	2	2	 	 	1
PE018022	15	4	1	5	 	 	2	 	1	 	 
PE018023	1	38	1	1	2	36	2	1	 	 	3
PE018023	2	42	2	1	2	34	2	2	 	 	5
PE018023	3	11	2	5	1	33	2	2	 	4	 
PE018023	4	10	1	5	1	33	2	2	 	3	 
PE018023	5	5	2	5	2	0	2	2	 	 	 
PE018023	15	3	2	5	 	 	2	 	2	 	 
PE018024	1	41	1	1	2	34	2	1	 	 	2
PE018024	2	36	2	1	2	34	2	1	 	 	2
PE018024	3	19	2	5	1	35	1	2	 	 	2
PE018024	4	18	2	5	1	35	2	2	 	 	1
PE018024	5	17	2	5	1	34	2	2	 	 	5
PE018025	1	29	1	1	2	34	2	1	 	 	2
PE018025	2	23	2	1	2	33	1	2	 	5	 
PE018026	1	38	1	1	2	33	2	1	 	 	5
PE018026	2	34	2	1	2	36	2	1	 	 	3
PE018026	3	10	1	5	1	33	2	2	 	4	 
PE018027	1	32	1	1	2	36	2	1	 	 	3
PE018027	2	27	2	1	2	36	2	2	 	 	3
PE018027	3	5	2	5	2	0	2	2	 	 	 
PE018027	15	2	2	5	 	 	2	 	1	 	 
PE018027	16	1	2	5	 	 	2	 	1	 	 
PE018028	1	41	1	1	2	34	2	1	 	 	5
PE018028	2	37	2	1	2	34	2	2	 	 	1
PE018028	3	15	1	5	1	34	2	2	 	 	2
PE018028	4	11	1	5	1	33	2	2	 	3	 
PE018028	5	5	2	5	2	0	2	2	 	 	 
PE018029	1	42	2	1	2	33	2	1	 	 	5
PE018029	2	14	1	10	1	34	2	2	 	 	1
PE018029	15	4	2	5	 	 	2	 	1	 	 
PE018030	1	39	2	1	2	34	2	1	 	 	3
PE018030	15	4	1	5	 	 	2	 	1	 	 
PE018031	1	29	1	1	2	35	2	1	 	 	2
PE018031	2	30	2	1	2	34	2	2	 	 	5
PE018031	3	6	1	5	1	32	2	2	 	 	 
PE018031	15	4	2	5	 	 	2	 	1	 	 
PE018032	1	37	1	1	2	34	2	1	 	 	5
PE018032	2	33	2	1	2	34	2	1	 	 	3
PE018032	3	14	2	5	1	34	2	2	 	 	2
PE018032	4	11	2	5	1	33	2	2	 	5	 
PE018032	5	7	2	5	1	33	2	2	 	1	 
PE018033	1	64	2	3	2	33	2	1	 	 	3
PE018034	1	44	1	1	2	36	2	1	 	 	4
PE018034	2	35	2	1	2	36	2	1	 	 	5
PE018034	3	16	1	5	1	34	1	2	 	 	4
PE018034	4	19	2	10	1	35	2	2	 	 	1
PE018035	1	31	2	1	2	34	2	1	 	 	1
PE018035	2	51	2	3	2	34	2	1	 	 	3
PE018035	3	26	1	4	1	37	2	2	 	 	2
PE018035	4	23	1	4	2	36	2	2	 	 	3
PE018035	5	26	1	4	1	37	2	1	 	 	4
PE018035	6	16	1	10	1	34	2	2	 	 	3
PE018035	7	14	2	10	1	33	2	2	 	6	 
PE018035	8	6	2	5	1	32	2	2	 	 	 
PE018035	15	1	1	10	 	 	2	 	2	 	 
PE018036	1	25	2	1	2	34	2	1	 	 	3
PE018036	2	15	2	4	1	33	2	2	 	6	 
PE018036	15	2	2	5	 	 	2	 	2	 	 
PE018037	1	41	1	1	2	33	2	1	 	 	3
PE018037	2	36	2	1	2	34	2	1	 	 	5
PE018037	3	10	2	5	1	33	2	2	 	3	 
PE018037	4	64	1	3	2	33	2	2	 	 	4
PE018038	1	37	1	1	2	35	2	1	 	 	1
PE018038	2	29	2	1	2	34	2	2	 	 	2
PE018038	3	12	1	5	1	33	1	2	 	5	 
PE018038	15	3	1	5	 	 	2	 	2	 	 
PE018039	1	30	1	1	2	35	2	1	 	 	2
PE018039	2	26	2	1	1	34	2	1	 	 	2
PE018039	15	4	2	5	 	 	1	 	1	 	 
PE018040	1	64	1	3	2	36	2	1	 	 	6
PE018040	2	60	2	3	2	33	2	1	 	 	5
PE018040	3	27	2	4	2	36	2	2	 	 	5
PE018040	4	24	2	4	2	33	2	2	 	6	 
PE018041	1	56	1	1	2	33	2	1	 	 	5
PE018041	2	43	2	1	2	34	1	1	 	 	5
PE018041	3	10	1	5	1	33	1	2	 	2	 
PE018041	4	85	1	3	2	33	1	2	 	 	3
PE018041	5	80	2	3	2	0	1	2	 	 	 
PE018042	1	41	1	1	2	33	2	1	 	 	5
PE018042	2	36	2	1	2	36	2	2	 	 	3
PE018042	3	13	2	10	1	34	2	2	 	 	1
PE018042	4	6	1	5	1	32	2	2	 	 	 
PE018043	1	40	1	1	2	34	2	1	 	 	5
PE018043	2	35	2	1	2	34	2	1	 	 	1
PE018043	3	15	2	5	1	34	2	2	 	 	4
PE018043	4	72	1	3	2	33	1	2	 	 	5
PE018043	5	57	2	3	2	33	2	2	 	 	5
PE018043	6	37	2	4	2	34	2	2	 	 	1
PE018043	7	35	2	4	2	34	2	2	 	 	5
PE018043	8	20	2	4	1	34	2	2	 	 	4
PE018043	9	17	1	6	2	34	1	2	 	 	5
PE018043	10	10	2	6	1	33	2	2	 	4	 
PE018043	11	5	2	6	1	0	2	2	 	 	 
PE018044	1	52	1	1	2	33	2	1	 	 	5
PE018044	2	50	2	1	2	33	2	1	 	 	3
PE018044	3	20	2	5	2	34	2	2	 	 	2
PE018044	4	14	2	5	1	34	2	2	 	 	1
PE018044	15	2	2	9	 	 	2	 	2	 	 
PE018045	1	42	1	1	2	34	2	1	 	 	5
PE018045	2	30	2	1	2	0	2	1	 	 	 
PE018045	3	5	1	5	2	0	2	 	 	 	 
PE018045	15	3	1	5	 	 	2	 	1	 	 
PE018046	1	52	1	1	2	37	2	1	 	 	3
PE018046	2	41	2	1	2	34	2	2	 	 	5
PE018046	3	19	2	5	2	34	2	1	 	 	5
PE018046	4	18	2	5	1	34	2	2	 	 	5
PE018047	1	40	1	1	2	34	2	1	 	 	5
PE018047	2	33	2	1	2	34	2	1	 	 	3
PE018047	3	15	2	5	1	34	2	2	 	 	3
PE018047	4	14	1	5	1	34	2	2	 	 	2
PE018048	1	45	1	1	2	34	2	1	 	 	1
PE018048	2	38	2	1	2	34	2	2	 	 	3
PE018048	3	21	1	5	2	34	2	1	 	 	5
PE018048	4	19	2	5	1	34	2	2	 	 	5
PE018048	5	17	2	5	1	34	2	2	 	 	5
PE018048	6	14	2	5	1	34	2	2	 	 	1
PE018049	1	58	1	1	2	33	2	1	 	 	5
PE018049	2	38	2	1	2	34	2	2	 	 	5
PE018049	3	14	1	5	1	34	2	2	 	 	1
PE018049	4	12	1	5	1	33	2	2	 	5	 
PE018050	1	49	1	1	2	34	2	1	 	 	5
PE018050	2	39	2	1	2	34	2	2	 	 	1
PE018050	3	21	1	5	2	36	2	1	 	 	3
PE018050	4	18	1	5	1	35	2	2	 	 	2
PE018050	5	16	1	5	1	34	2	2	 	 	2
PE028001	1	34	1	1	2	33	2	1	 	 	5
PE028001	2	29	2	1	2	33	2	1	 	6	 
PE028001	3	9	1	5	1	33	2	2	 	3	 
PE028001	15	3	1	5	 	 	2	 	2	 	 
PE028002	1	35	1	1	2	33	2	1	 	 	5
PE028002	2	27	2	1	2	33	1	2	 	5	 
PE028002	3	11	2	5	1	33	2	2	 	4	 
PE028002	15	4	1	5	 	 	2	 	2	 	 
PE028003	1	42	1	1	2	33	2	1	 	 	5
PE028003	2	47	2	1	2	33	2	1	 	 	5
PE028003	3	14	2	5	1	34	2	2	 	 	2
PE028004	1	37	2	1	2	33	2	2	 	 	4
PE028004	2	72	1	3	2	33	2	1	 	 	1
PE028004	3	72	2	3	2	33	2	2	 	 	1
PE028004	4	38	1	4	2	33	2	1	 	 	2
PE028004	15	2	1	5	 	 	2	 	2	 	 
PE028004	16	1	1	5	 	 	2	 	2	 	 
PE028005	1	37	2	1	2	34	2	1	 	 	1
PE028005	2	42	1	2	2	33	2	1	 	 	1
PE028005	3	7	1	5	1	33	2	2	 	1	 
PE028005	4	22	1	13	2	33	2	1	 	6	 
PE028005	5	21	1	13	2	34	2	1	 	 	5
PE028005	6	14	2	13	1	33	2	2	 	6	 
PE028005	15	3	1	10	 	 	2	 	2	 	 
PE028006	1	33	1	1	2	33	2	1	 	 	5
PE028006	2	25	2	1	2	34	2	2	 	 	2
PE028006	3	7	1	5	1	33	2	2	 	1	 
PE028007	1	37	1	1	2	33	2	1	 	 	5
PE028007	2	28	2	1	2	33	2	2	 	3	 
PE028007	3	8	1	5	1	33	2	2	 	3	 
PE028007	15	0	2	5	 	 	2	 	2	 	 
PE028008	1	32	1	1	2	34	2	1	 	 	2
PE028008	2	26	2	1	2	34	2	1	 	 	1
PE028008	15	3	2	5	 	 	1	 	2	 	 
PE028009	1	58	1	1	2	33	2	1	 	 	2
PE028009	2	49	2	1	2	33	2	2	 	 	2
PE028009	3	15	2	5	1	34	2	2	 	 	3
PE028009	4	10	1	5	1	33	2	2	 	3	 
PE028010	1	36	1	1	2	33	1	1	 	 	5
PE028010	2	33	2	1	2	33	2	2	 	 	5
PE028010	3	15	2	5	2	33	2	2	 	6	 
PE028010	4	12	1	5	1	33	2	2	 	5	 
PE028010	15	4	1	5	 	 	2	 	2	 	 
PE028011	1	27	2	1	2	33	2	1	 	6	 
PE028011	15	3	1	5	 	 	2	 	2	 	 
PE028011	16	0	1	5	 	 	2	 	2	 	 
PE028012	1	37	2	1	2	33	1	1	 	 	2
PE028012	2	14	2	5	1	34	2	2	 	 	1
PE028012	3	12	2	5	1	33	1	2	 	5	 
PE028012	4	11	2	5	1	33	1	2	 	4	 
PE028013	1	38	1	1	2	34	2	1	 	 	3
PE028013	2	33	2	1	2	33	2	2	 	 	3
PE028013	3	11	1	5	1	33	2	2	 	6	 
PE028013	4	10	1	5	1	33	1	2	 	5	 
PE028014	1	30	1	1	2	34	1	1	 	 	1
PE028014	2	24	2	1	2	33	1	1	 	4	 
PE028015	1	87	1	3	2	33	1	1	 	 	1
PE028015	2	71	2	3	2	0	2	2	 	 	 
PE028015	3	28	1	4	2	33	2	1	 	2	 
PE028016	1	32	1	1	2	33	2	1	 	 	5
PE028016	2	26	2	1	2	33	2	1	 	3	 
PE028016	3	10	2	5	1	33	2	2	 	2	 
PE028017	1	31	1	1	2	34	2	1	 	 	2
PE028017	2	28	2	1	2	33	2	2	 	5	 
PE028017	15	2	2	5	 	 	2	 	2	 	 
PE028018	1	48	1	1	2	33	2	1	 	 	1
PE028018	2	36	2	1	2	33	2	2	 	 	1
PE028018	3	20	2	5	2	34	2	2	 	5	 
PE028018	4	16	2	5	1	34	2	2	 	2	 
PE028018	5	14	1	5	1	34	2	2	 	1	 
PE028018	6	12	1	5	1	33	2	2	 	4	 
PE028018	7	10	1	5	1	33	2	2	 	4	 
PE028018	15	3	1	5	 	 	2	 	2	 	 
PE028019	1	43	1	1	2	33	2	1	 	 	3
PE028019	2	44	2	1	2	33	1	1	 	 	5
PE028019	3	23	2	5	2	33	2	2	 	6	 
PE028019	4	22	1	11	2	36	2	1	 	 	3
PE028019	5	82	1	3	2	0	1	2	 	 	 
PE028020	1	38	1	1	2	33	1	1	 	 	5
PE028020	2	33	2	1	2	33	1	2	 	 	5
PE028020	3	11	2	5	1	33	1	2	 	4	 
PE028020	4	10	1	5	1	33	2	2	 	3	 
PE028021	1	31	2	1	2	34	1	1	 	 	5
PE028022	1	30	1	1	2	34	2	1	 	 	5
PE028022	2	25	2	1	2	33	2	1	 	6	 
PE028022	3	9	1	5	1	33	2	2	 	3	 
PE028023	1	32	1	1	2	33	2	1	 	 	2
PE028023	2	24	2	1	2	33	2	1	 	6	 
PE028023	3	5	2	5	2	0	2	2	 	 	 
PE028024	1	34	1	1	2	34	1	1	 	 	5
PE028024	2	29	2	1	2	34	1	1	 	 	5
PE028024	15	1	2	5	 	 	1	 	2	 	 
PE028025	1	49	1	1	2	33	2	1	 	 	3
PE028025	2	45	2	1	2	33	1	2	 	 	3
PE028025	3	17	2	5	1	34	2	2	 	 	4
PE028025	4	16	1	5	1	34	2	2	 	 	4
PE028025	5	15	1	5	1	34	2	2	 	 	1
PE028025	6	12	1	5	1	33	2	2	 	5	 
PE038001	1	12	1	5	1	33	2	2	 	4	 
PE038001	2	60	1	3	2	33	1	1	 	 	3
PE038001	3	55	2	3	2	33	1	2	 	 	2
PE038001	4	23	1	4	2	33	2	1	 	2	 
PE038001	5	21	2	13	2	33	1	2	 	6	 
PE038002	1	46	1	1	2	33	1	1	 	 	5
PE038002	2	36	2	1	2	33	1	2	 	 	2
PE038002	3	17	1	5	2	33	1	2	 	6	 
PE038002	4	15	2	5	2	33	1	2	 	3	 
PE038002	5	13	1	5	1	33	2	2	 	3	 
PE038002	6	11	1	5	1	33	2	2	 	2	 
PE038002	7	5	2	5	2	0	2	2	 	 	 
PE038002	15	3	1	5	 	 	2	 	2	 	 
PE038002	16	0	2	5	 	 	2	 	2	 	 
PE038003	1	42	1	1	2	33	1	1	 	 	5
PE038003	2	30	2	1	2	33	2	1	 	6	 
PE038003	3	6	1	5	1	32	2	2	 	 	 
PE038003	4	14	2	10	2	33	2	2	 	6	 
PE038003	5	13	2	10	1	33	2	2	 	4	 
PE038003	6	11	1	10	1	33	2	2	 	1	 
PE038003	15	4	2	5	 	 	2	 	1	 	 
PE038004	1	49	1	1	2	33	2	1	 	 	1
PE038004	2	43	2	1	2	33	2	1	 	 	1
PE038004	3	28	2	5	2	34	2	2	 	 	2
PE038004	4	24	1	5	2	34	2	1	 	 	2
PE038004	5	20	1	5	2	34	1	1	 	 	2
PE038004	6	18	1	5	2	33	2	2	 	1	 
PE038004	7	15	1	5	1	33	2	2	 	2	 
PE038004	8	10	2	5	1	33	2	2	 	2	 
PE038004	9	5	2	5	2	0	2	2	 	 	 
PE038004	10	11	1	9	1	33	2	2	 	2	 
PE038004	11	72	2	3	2	0	2	2	 	 	 
PE038005	1	30	1	1	2	33	2	1	 	5	 
PE038005	2	27	2	1	2	33	2	1	 	5	 
PE038005	3	9	2	5	1	33	2	2	 	2	 
PE038005	15	4	2	5	 	 	2	 	1	 	 
PE038005	16	2	1	5	 	 	1	 	2	 	 
PE038006	1	33	1	1	2	33	1	1	 	 	5
PE038006	2	26	2	1	2	34	1	1	 	 	1
PE038007	1	36	1	1	2	33	2	2	 	 	5
PE038007	2	30	2	1	2	33	2	1	 	6	 
PE038007	3	9	2	5	1	33	2	2	 	3	 
PE038008	1	52	1	1	2	33	2	1	 	 	5
PE038008	2	35	2	1	2	33	2	1	 	 	2
PE038008	3	17	1	5	2	33	2	2	 	5	 
PE038008	4	14	1	5	1	33	2	2	 	5	 
PE038008	5	10	1	5	1	33	2	2	 	3	 
PE038008	6	5	1	5	2	0	2	2	 	 	 
PE038008	15	3	1	5	 	 	1	 	2	 	 
PE038009	1	37	2	1	2	33	2	2	 	 	2
PE038009	2	13	2	10	1	34	1	2	 	 	1
PE038009	3	66	2	3	2	0	1	1	 	 	 
PE038009	4	68	1	3	2	33	1	1	 	 	3
PE038009	5	23	1	4	2	34	2	2	 	 	1
PE038009	6	26	2	4	2	33	2	2	 	5	 
PE038009	15	3	1	10	 	 	2	 	1	 	 
PE038009	16	4	2	6	 	 	1	 	1	 	 
PE038009	17	1	1	6	 	 	2	 	2	 	 
PE038010	1	33	2	1	2	34	1	2	 	 	4
PE038010	2	5	2	10	2	0	2	2	 	 	 
PE038011	1	42	1	1	2	36	2	1	 	 	3
PE038011	2	39	2	1	2	38	2	1	 	 	5
PE038011	3	8	1	5	1	33	2	2	 	2	 
PE038011	4	39	2	7	2	31	2	2	 	 	 
PE038012	1	43	1	1	2	36	1	1	 	 	5
PE038012	2	36	2	1	2	34	1	1	 	 	5
PE038012	3	13	2	5	1	33	2	2	 	5	 
PE038012	4	10	2	5	1	33	2	2	 	4	 
PE038012	5	5	1	5	2	0	2	2	 	 	 
PE038013	1	40	1	1	2	38	2	1	 	 	6
PE038013	2	30	2	1	2	35	2	1	 	 	1
PE038013	3	9	1	5	1	33	1	2	 	3	 
PE038013	4	49	2	3	2	34	1	2	 	 	2
PE038013	5	32	2	4	2	37	2	2	 	 	5
PE038013	6	7	1	6	1	33	2	2	 	1	 
PE038013	7	6	2	6	1	32	2	2	 	 	 
PE038014	1	38	1	1	2	34	1	1	 	 	5
PE038014	2	37	2	1	2	33	1	2	 	 	3
PE038014	3	10	1	5	1	33	1	2	 	5	 
PE038014	4	8	1	5	1	33	1	2	 	3	 
PE038014	5	15	1	10	1	34	1	2	 	 	4
PE038014	6	12	2	10	1	33	2	2	 	6	 
PE038015	1	34	1	2	2	36	2	1	 	 	3
PE038015	2	28	2	1	2	36	2	2	 	 	3
PE038015	3	57	1	3	2	33	1	1	 	 	5
PE038015	4	56	2	3	2	34	1	1	 	 	2
PE038015	5	26	1	4	2	36	2	1	 	 	1
PE038015	6	10	2	6	1	33	2	2	 	4	 
PE038015	15	0	2	10	 	 	2	 	2	 	 
PE038016	1	42	1	1	2	33	2	1	 	 	5
PE038016	2	40	2	1	2	33	1	2	 	 	5
PE038016	3	13	2	5	1	34	2	2	 	 	1
PE038017	1	52	1	1	2	33	2	1	 	 	5
PE038017	2	45	2	1	2	33	1	1	 	 	3
PE038017	3	16	1	5	2	33	2	1	 	3	 
PE038017	4	12	2	5	2	33	1	2	 	4	 
PE038017	5	10	2	5	1	33	2	2	 	4	 
PE038017	6	5	2	5	2	0	1	2	 	 	 
PE038017	7	6	1	9	1	32	2	2	 	 	 
PE038018	1	57	1	1	2	33	1	1	 	 	2
PE038018	2	39	2	1	2	33	2	1	 	 	4
PE038018	3	14	2	5	1	33	2	2	 	5	 
PE038018	4	11	2	5	1	33	2	2	 	3	 
PE038019	1	59	1	1	2	33	2	1	 	 	2
PE038019	2	39	2	1	2	33	2	2	 	 	1
PE038019	3	19	1	5	1	34	2	2	 	 	2
PE038019	4	14	2	5	1	33	2	2	 	3	 
PE038019	5	10	1	5	1	33	2	2	 	1	 
PE038019	6	28	1	10	2	33	2	2	 	6	 
PE038020	1	38	1	1	2	33	2	1	 	 	3
PE038020	2	37	2	1	2	33	1	2	 	 	5
PE038020	3	16	2	5	1	34	2	2	 	 	4
PE038020	4	12	1	5	1	33	2	2	 	5	 
PE038020	5	10	1	5	1	33	2	2	 	4	 
PE038020	15	3	1	5	 	 	2	 	2	 	 
PE038020	16	2	2	5	 	 	2	 	2	 	 
PE038021	1	29	1	1	2	34	1	1	 	 	4
PE038021	2	28	2	1	2	34	2	1	 	 	2
PE038022	1	48	1	1	2	34	2	1	 	 	5
PE038022	2	48	2	1	2	33	2	1	 	 	5
PE038022	3	13	1	5	1	33	2	2	 	6	 
PE038022	4	9	1	5	1	33	2	2	 	3	 
PE038022	5	14	1	6	1	33	2	2	 	6	 
PE038023	1	38	1	1	2	37	2	1	 	 	4
PE038023	2	30	2	1	2	34	2	1	 	 	5
PE038023	3	12	1	5	1	33	2	2	 	6	 
PE038024	1	53	1	1	2	33	2	1	 	 	5
PE038024	2	32	2	1	2	0	2	1	 	 	 
PE038024	3	9	1	5	1	33	2	2	 	4	 
PE038024	4	6	2	5	2	0	2	2	 	 	 
PE038024	5	14	2	10	1	33	2	2	 	5	 
PE038024	6	16	1	6	2	33	2	2	 	1	 
PE038025	1	14	2	5	1	34	2	2	 	 	2
PE038025	2	73	2	3	2	33	1	1	 	 	3
PE048001	1	28	2	4	2	36	2	1	 	 	3
PE048001	2	40	2	4	2	36	2	2	 	 	5
PE048002	1	11	2	5	1	33	2	2	 	3	 
PE048002	2	68	2	3	2	33	2	1	 	 	1
PE048003	1	46	1	3	2	33	1	1	 	 	4
PE048003	2	46	2	3	2	33	1	2	 	 	2
PE048003	3	19	1	4	2	33	2	1	 	6	 
PE048003	4	13	1	4	1	33	2	2	 	3	 
PE048004	1	40	1	1	2	36	2	1	 	 	1
PE048004	2	40	2	1	2	34	2	1	 	 	2
PE048004	3	10	1	5	1	33	2	2	 	4	 
PE048005	1	50	1	1	2	38	2	1	 	 	5
PE048005	2	45	2	1	2	33	1	2	 	 	5
PE048005	3	16	1	5	1	34	2	2	 	 	3
PE048005	4	13	2	5	1	34	2	2	 	 	1
PE048005	5	74	1	3	2	33	1	2	 	 	5
PE048006	1	34	1	1	2	33	2	1	 	 	5
PE048006	2	32	2	1	2	33	2	2	 	 	5
PE048006	3	13	1	5	1	34	1	2	 	 	1
PE048006	4	12	1	5	1	33	1	2	 	5	 
PE048006	5	10	1	5	1	33	2	2	 	4	 
PE048007	1	30	1	1	2	34	2	1	 	 	3
PE048007	2	30	2	1	2	33	2	1	 	2	 
PE048007	3	6	2	5	2	0	2	2	 	 	 
PE048007	4	57	2	3	2	33	1	1	 	 	3
PE048007	15	4	2	5	 	 	2	 	1	 	 
PE048008	1	35	1	1	2	33	2	1	 	 	4
PE048008	2	30	2	1	2	0	2	1	 	 	 
PE048008	3	12	2	5	1	33	2	2	 	6	 
PE048008	4	10	2	5	1	33	1	2	 	4	 
PE048009	1	46	1	1	2	33	2	1	 	 	3
PE048009	2	44	2	1	2	0	2	1	 	 	 
PE048009	3	16	1	5	2	34	2	2	 	 	5
PE048009	4	12	2	5	1	33	2	2	 	4	 
PE048009	5	10	1	5	1	33	2	2	 	3	 
PE048009	6	5	2	5	2	0	2	2	 	 	 
PE048010	1	40	1	1	2	33	2	1	 	 	5
PE048010	2	34	2	1	2	33	2	1	 	 	5
PE048010	3	15	2	5	1	33	2	2	 	6	 
PE048010	4	13	1	5	1	33	2	2	 	5	 
PE048010	5	11	2	5	1	33	2	2	 	5	 
PE048010	6	9	1	5	1	33	2	2	 	2	 
PE048010	7	5	1	5	2	0	2	2	 	 	 
PE048011	1	41	1	1	2	34	1	1	 	 	1
PE048011	2	41	2	1	2	34	1	2	 	 	1
PE048011	3	20	2	5	2	33	2	2	 	6	 
PE048011	4	15	1	5	2	34	2	2	 	 	1
PE048011	5	13	2	5	2	33	2	2	 	6	 
PE048011	6	10	2	5	1	33	2	2	 	4	 
PE048011	15	2	2	5	 	 	2	 	2	 	 
PE048011	16	0	1	5	 	 	2	 	2	 	 
PE048012	1	31	1	1	2	33	2	1	 	 	5
PE048012	2	30	2	1	2	33	2	1	 	5	 
PE048012	3	12	1	5	1	33	2	2	 	4	 
PE048012	4	10	2	5	1	33	2	2	 	1	 
PE048012	5	5	2	5	2	0	2	2	 	 	 
PE048012	15	3	1	5	 	 	2	 	2	 	 
PE048013	1	44	1	1	2	33	2	1	 	 	5
PE048013	2	39	2	1	2	33	2	1	 	 	3
PE048013	3	15	2	5	2	33	1	2	 	5	 
PE048013	4	12	1	5	2	33	1	2	 	5	 
PE048013	5	10	1	5	1	33	2	2	 	3	 
