childid	plot	larea	lown	luse	luse1
PE118005	3	20000	4	1	2
PE118006	1	2500	4	1	2
PE118007	1	5000	4	1	2
PE118007	2	2500	4	1	2
PE118007	3	1225	4	1	2
PE118008	1	2500	4	1	2
PE118008	2	1225	4	1	88
PE118009	1	5000	4	1	2
PE118010	1	1000	4	1	88
PE118010	2	7500	4	1	88
PE118010	3	2500	4	1	88
PE118010	4	2500	1	1	88
PE118011	1	10000	4	1	2
PE118012	1	20000	4	1	2
PE118013	1	10000	4	1	2
PE118014	1	10000	4	1	2
PE118015	1	10000	2	1	2
PE118016	1	10000	4	1	88
PE118017	1	2500	4	1	2
PE118017	2	3725	4	1	2
PE118017	3	2500	4	1	2
PE118018	1	10000	4	1	2
PE118019	1	10000	4	1	2
PE118019	2	2500	4	1	2
PE118019	3	400	4	 	 
PE118020	1	5000	4	1	88
PE118021	1	5000	4	1	2
PE118021	2	7500	1	1	2
PE118022	1	20000	4	1	2
PE118022	2	10000	4	1	2
PE118022	3	700	4	4	88
PE118023	1	500	4	1	2
PE118024	1	40000	4	1	2
PE118025	1	20000	4	1	2
PE118026	1	10000	4	1	2
PE118027	1	2500	4	1	2
PE118027	2	2500	4	1	2
PE118027	3	2500	4	1	2
PE118027	4	10000	4	1	2
PE118028	1	10000	4	1	2
PE118029	1	1000	4	1	2
PE118030	1	20000	4	1	2
PE138013	1	200	4	7	88
PE138019	1	120	1	4	88
PE138027	1	500	4	7	88
PE138028	1	450	4	7	88
PE138041	1	10000	4	1	4
PE148004	1	3000	4	1	7
PE148004	2	1000	4	1	7
PE148018	1	80000	4	1	7
PE148018	2	300	4	4	7
PE148050	1	200	1	1	88
PE158001	1	10000	4	1	88
PE158003	1	100000	4	7	88
PE158005	1	10000	3	1	88
PE158006	1	20000	2	1	88
PE158008	1	30000	4	1	88
PE158009	1	470000	4	1	88
PE158009	2	30000	2	1	88
PE158010	1	10000	4	1	3
PE158011	1	100	4	4	88
PE158011	2	100	4	4	88
PE158012	1	50000	4	1	88
PE158013	1	50000	4	1	88
PE158014	1	40000	4	1	88
PE158016	1	5000	4	1	88
PE158016	2	5000	4	1	88
PE158017	1	70000	4	1	88
PE158019	1	10000	4	1	88
PE158019	2	10000	4	1	88
PE158019	3	20000	4	1	88
PE158020	1	10000	1	1	88
PE158022	1	60000	4	1	88
PE158023	1	10000	4	1	88
PE158024	1	30000	4	1	88
PE158025	1	40000	4	1	88
PE158025	2	2500	1	1	88
PE158031	1	20000	4	1	88
PE158031	2	500000	4	1	88
PE158032	1	10000	4	1	7
PE158035	1	30000	4	1	88
PE158036	1	90000	4	1	88
PE158037	1	20000	4	1	88
PE158039	1	70000	4	1	88
PE158040	1	200000	4	1	88
PE158041	1	50000	4	1	88
PE158042	1	50000	4	1	88
PE158043	1	10000	4	1	88
PE158043	2	10000	4	1	88
PE158043	3	10000	4	1	88
PE158043	4	10000	4	1	88
PE158043	5	10000	4	1	88
PE158045	1	300000	4	1	7
PE158046	1	20000	4	1	88
PE158047	1	20000	1	1	88
PE158048	1	25000	4	1	88
PE158049	1	10000	4	1	88
PE158049	2	10000	4	1	88
PE158049	3	10000	4	1	88
PE158049	4	10000	4	1	88
PE158049	5	10000	4	1	88
PE158051	1	20000	4	1	88
PE158051	2	40000	4	1	88
PE158052	1	120000	4	1	88
PE158053	1	40000	4	1	7
PE158054	1	100000	4	1	88
PE158055	1	20000	4	1	7
PE158056	1	10000	3	1	88
PE168001	1	3333	4	1	2
PE168001	2	125	1	1	2
PE168001	3	6666	1	1	2
PE168002	1	6666	4	1	88
PE168003	1	10000	4	1	2
PE168004	1	10000	4	1	2
PE168004	2	10000	4	1	1
PE168005	1	26664	4	1	88
PE168006	1	5000	4	1	88
PE168006	2	5000	4	1	88
PE168006	3	3000	4	1	88
PE168006	4	3000	4	1	88
PE168006	5	1500	4	1	88
PE168007	1	6666	4	1	2
PE168007	2	70	4	1	2
PE168007	3	3333	1	1	2
PE168008	1	3000	4	1	2
PE168009	1	16665	4	1	88
PE168010	1	25000	4	1	2
PE168011	1	80000	4	1	2
PE168012	1	40000	4	1	88
PE168013	1	10000	4	1	2
PE168014	1	40000	4	1	88
PE168015	1	5000	4	1	2
PE168015	2	2500	4	1	2
PE168015	3	6666	4	1	88
PE168016	1	80000	4	1	2
PE168017	1	15000	4	1	88
PE168019	1	13332	4	1	2
PE168019	2	6666	4	1	2
PE168020	1	30000	4	1	2
PE168021	1	120000	4	1	7
PE168022	1	140000	4	1	2
PE168023	1	30000	4	1	2
PE168024	1	3000	4	1	88
PE168024	2	4000	4	1	88
PE168024	3	2000	4	1	88
PE168024	4	1000	4	1	88
PE168024	5	500	4	1	88
PE168024	6	500	4	1	88
PE168024	7	500	4	1	88
PE168025	1	60000	4	1	88
PE178001	1	10000	4	1	88
PE178002	1	3125	1	1	88
PE178006	1	10000	4	1	2
PE178010	1	20000	4	1	2
PE178013	1	20000	4	1	2
PE178016	1	220	4	1	88
PE178019	1	3333	4	1	88
PE178020	1	500	4	1	2
PE178021	1	1000	2	1	88
PE178021	2	500	2	1	88
PE178022	1	200	3	1	2
PE178022	2	150	3	1	2
PE178023	1	10000	4	1	88
PE178024	1	20000	4	1	2
PE178025	1	30000	4	1	2
PE178025	2	100	4	1	2
PE178026	1	2000	4	1	2
PE178027	1	6666	4	1	88
PE178027	2	6666	4	1	88
PE178028	1	2500	4	1	2
PE178028	2	100	4	1	2
PE178029	1	1500	4	1	2
PE178029	2	250	4	1	2
PE178029	3	200	4	1	2
PE178029	4	125	4	1	2
PE178030	1	7500	4	1	2
PE178031	1	20000	4	1	2
PE178032	1	10000	3	1	88
PE178032	2	10000	4	1	88
PE178033	1	20000	4	1	2
PE178034	1	10000	4	1	88
PE178034	2	10000	4	1	88
PE178034	3	10000	4	1	88
PE178034	4	10000	4	1	88
PE178034	5	10000	4	1	88
PE178035	1	10000	1	1	2
PE178036	1	5000	4	1	2
PE188001	1	100	4	1	7
PE188002	1	600	1	1	88
PE188003	1	10000	4	1	2
PE188004	1	5000	4	1	88
PE188005	1	2000	4	1	2
PE188005	2	400	4	1	2
PE188005	3	625	4	1	2
PE188005	4	625	4	1	2
PE188005	5	600	4	1	2
PE188005	6	600	4	1	2
PE188005	7	600	4	1	2
PE188006	1	1250	4	1	88
PE188006	2	500	4	1	88
PE188006	3	500	4	1	88
PE188006	4	500	4	1	88
PE188006	5	500	4	1	88
PE188006	6	500	4	1	88
PE188006	7	500	4	1	88
PE188007	1	1500	4	1	2
PE188007	2	1200	4	1	2
PE188007	3	1200	4	1	2
PE188007	4	900	4	1	2
PE188007	5	900	4	2	7
PE188007	6	750	4	2	7
PE188008	1	2000	4	1	88
PE188008	2	750	4	1	88
PE188008	3	300	4	1	2
PE188009	1	1250	4	1	88
PE188009	2	1250	4	1	88
PE188009	3	1250	4	1	88
PE188009	4	1250	4	1	88
PE188009	5	1250	4	1	88
PE188010	1	30000	4	1	2
PE188010	2	10000	1	1	2
PE188011	1	2500	4	1	88
PE188011	2	3000	4	1	88
PE188011	3	1800	4	1	88
PE188011	4	2000	4	1	88
PE188011	5	5000	4	1	88
PE188012	1	5000	4	1	2
PE188013	1	25000	4	1	88
PE188014	1	30000	4	1	7
PE188015	1	5000	4	1	2
PE188016	1	2100	4	1	7
PE188017	1	5000	4	1	88
PE188018	1	15000	4	1	2
PE188019	1	10000	4	1	2
PE188020	1	35000	4	1	2
PE188021	1	10000	4	1	2
PE188021	2	5000	4	1	2
PE188022	1	2000	4	1	2
PE188022	2	1800	4	1	2
PE188022	3	750	4	1	2
PE188022	4	600	4	1	2
PE188023	1	20000	4	1	2
PE188024	1	11970	4	1	2
PE188024	2	1140	4	1	2
PE188024	3	700	4	1	2
PE188025	1	20000	4	1	88
PE188026	1	10000	4	1	2
PE188027	1	5000	2	1	2
PE198001	1	25000	4	6	88
PE198002	1	21000	4	1	88
PE198011	1	1667	4	1	88
PE198013	1	14000	4	1	88
PE198028	1	6666	4	1	7
PE208006	1	200	4	1	88
PE208006	2	200	4	8	88
PE208007	1	10000	1	1	2
PE208007	2	5000	1	1	2
PE208007	3	2500	1	1	2
PE208008	1	20000	4	1	2
PE208008	2	5000	4	1	2
PE208009	1	2000	4	7	88
PE208012	1	250	1	1	88
PE208013	1	10000	1	1	7
PE208018	1	200	4	7	88
PE208023	1	200	4	4	88
PE208025	1	10000	4	1	88
PE208025	2	3000	4	1	88
PE208025	3	10000	4	1	88
PE208030	1	5000	3	1	88
PE208031	1	10000	3	1	88
PE208038	1	10000	3	1	88
PE208038	2	400	3	1	88
PE208039	1	20000	4	1	2
PE208040	1	1000	3	1	2
PE208044	1	2000	4	1	88
PE208045	1	300	1	1	88
PE208045	2	200	1	1	88
