childid	planid	plan	peplan	penplan
PE108012	1	4	1	4
PE108013	1	1	1	1
PE108014	1	4	4	 
PE108015	1	1	1	1
PE108016	1	7	7	 
PE108016	2	10	10	 
PE108017	1	10	1	10
PE108018	1	10	10	 
PE108019	1	1	1	1
PE108020	1	10	1	10
PE108021	1	4	4	 
PE108021	2	10	10	 
PE108022	1	4	4	 
PE108022	2	10	10	 
PE108023	1	1	1	1
PE108024	1	4	4	 
PE108024	2	8	8	 
PE108025	1	1	1	1
PE108026	1	5	5	 
PE108027	1	1	1	1
PE108028	1	1	1	1
PE108029	1	4	4	 
PE108029	2	10	10	 
PE118001	1	1	1	1
PE118002	1	1	 	1
PE118003	1	6	6	 
PE118004	1	10	10	 
PE118005	1	4	4	 
PE118006	1	1	1	1
PE118007	1	8	8	 
PE118007	2	10	10	 
PE118008	1	1	1	1
PE118009	1	2	2	 
PE118010	1	1	1	1
PE118011	1	1	1	1
PE118012	1	1	 	1
PE118013	1	1	1	1
PE118014	1	2	2	 
PE118015	1	1	1	1
PE118016	1	4	4	 
PE118017	1	4	4	 
PE118017	2	10	10	 
PE118018	1	1	1	1
PE118019	1	4	4	 
PE118019	2	10	10	 
PE118020	1	10	10	 
PE118021	1	4	4	 
PE118022	1	1	1	1
PE118023	1	1	 	1
PE118024	1	4	4	 
PE118024	2	10	10	 
PE118025	1	3	3	 
PE118026	1	1	1	1
PE118027	1	1	1	1
PE118028	1	1	1	1
PE118029	1	4	4	 
PE118030	1	1	1	1
PE128001	1	1	1	1
PE128002	1	10	10	 
PE128003	1	1	1	1
PE128004	1	10	1	10
PE128005	1	4	1	4
PE128006	1	2	1	2
PE128007	1	10	 	10
PE128008	1	2	 	2
PE128008	2	10	 	10
PE128009	1	4	 	4
PE128010	1	4	4	1
PE128011	1	2	2	 
PE128012	1	4	4	 
PE128013	1	10	10	1
PE128014	1	4	1	4
PE128015	1	4	4	 
PE128016	1	4	4	 
PE128017	1	1	 	1
PE128018	1	1	1	1
PE128019	1	1	 	1
PE128020	1	10	1	10
PE128020	2	4	 	4
PE128021	1	10	10	 
PE128022	1	4	1	4
PE128023	1	4	1	4
PE128023	2	7	 	7
PE128024	1	4	1	4
PE128025	1	4	4	 
PE128026	1	10	10	 
PE128027	1	4	1	4
PE128028	1	4	 	4
PE128029	1	4	 	4
PE128030	1	1	 	1
PE128031	1	4	1	4
PE128031	2	10	 	10
PE128032	1	4	 	4
PE128033	1	10	1	10
PE128034	1	4	1	4
PE128036	1	2	1	2
PE128036	2	10	 	10
PE128037	1	4	1	4
PE128038	1	4	 	4
PE128039	1	4	4	 
PE128040	1	4	 	4
PE128041	1	4	 	4
PE128042	1	2	 	2
PE128043	1	3	 	3
PE128044	1	1	 	1
PE128045	1	4	 	4
PE128046	1	10	10	 
PE128047	1	4	4	 
PE128048	1	10	10	 
PE128048	2	4	4	 
PE128049	1	1	1	1
PE128050	1	4	1	4
PE128051	1	10	10	 
PE138002	1	1	 	1
PE138003	1	7	 	7
PE138004	1	1	 	1
PE138005	1	7	7	 
PE138006	1	2	 	2
PE138006	2	4	 	4
PE138007	1	10	10	 
PE138007	2	10	10	 
PE138008	1	1	 	1
PE138009	1	6	 	6
PE138010	1	1	 	1
PE138011	1	4	4	 
PE138012	1	10	 	10
PE138013	1	10	 	10
PE138014	1	1	 	1
PE138015	1	4	 	4
PE138015	2	4	 	4
PE138016	1	1	 	1
PE138017	1	1	 	1
PE138018	1	1	 	1
PE138019	1	10	10	 
PE138019	2	10	10	 
PE138020	1	1	 	1
PE138021	1	10	10	 
PE138022	1	4	 	4
PE138023	1	1	 	1
PE138024	1	8	 	8
PE138025	1	1	 	1
PE138026	1	4	 	4
PE138027	1	7	7	 
PE138028	1	2	2	 
PE138029	1	6	6	 
PE138030	1	1	 	1
PE138031	1	4	4	 
PE138032	1	1	 	1
PE138033	1	2	1	2
PE138034	1	1	 	1
PE138035	1	10	10	 
PE138036	1	1	 	1
PE138037	1	5	 	5
PE138038	1	1	 	1
PE138039	1	1	 	1
PE138040	1	6	6	 
PE138041	1	5	5	 
PE138042	1	1	 	1
PE138043	1	2	 	2
PE138044	1	10	10	 
PE138045	1	1	 	1
PE138046	1	4	4	 
PE138047	1	7	 	7
PE138048	1	4	 	4
PE138049	1	2	2	 
PE138050	1	1	 	1
PE138051	1	4	4	 
PE138052	1	4	4	 
PE138053	1	1	 	1
PE148001	1	4	4	 
PE148002	1	10	1	10
PE148003	1	10	10	 
PE148004	1	4	1	4
PE148005	1	10	1	10
PE148006	1	2	2	 
PE148007	1	10	10	 
PE148008	1	10	1	10
PE148009	1	9	9	 
PE148010	1	4	 	4
PE148011	1	10	1	10
PE148012	1	9	1	9
PE148012	2	6	 	6
PE148013	1	2	1	2
PE148013	2	4	 	4
PE148014	1	4	1	4
PE148015	1	4	 	4
PE148016	1	10	10	 
PE148016	2	10	10	 
PE148017	1	4	4	 
PE148017	2	2	2	 
PE148018	1	10	1	10
PE148019	1	4	1	4
PE148020	1	6	6	 
PE148021	1	1	 	1
PE148022	1	10	1	10
PE148022	2	4	 	4
PE148023	1	2	2	 
PE148024	1	1	 	1
PE148025	1	2	1	2
PE148026	1	1	 	1
PE148027	1	10	10	 
PE148028	1	2	1	2
PE148029	1	1	 	1
PE148030	1	4	1	4
PE148030	2	2	 	2
PE148031	1	1	 	1
PE148032	1	4	1	4
PE148033	1	2	1	2
PE148034	1	10	10	 
PE148035	1	4	1	4
PE148036	1	10	10	 
PE148036	2	2	2	 
PE148037	1	2	1	2
PE148038	1	8	1	8
PE148039	1	4	1	4
PE148040	1	4	1	4
PE148041	1	10	1	10
PE148042	1	2	1	2
PE148042	2	5	 	5
PE148043	1	1	1	1
PE148044	1	4	1	4
PE148045	1	4	4	 
PE148046	1	10	1	10
PE148047	1	3	1	3
PE148048	1	4	1	4
PE148049	1	2	1	2
PE148050	1	2	1	2
PE148051	1	4	1	4
PE158001	1	1	 	1
PE158002	1	1	1	1
PE158003	1	7	7	 
PE158004	1	10	10	 
PE158004	2	4	4	 
PE158005	1	4	1	4
PE158006	1	4	4	 
PE158006	2	4	4	 
PE158007	1	1	 	1
PE158008	1	10	10	 
PE158009	1	1	1	1
PE158010	1	10	10	 
PE158011	1	10	10	 
PE158011	2	3	3	 
PE158012	1	1	1	1
PE158013	1	1	1	1
PE158014	1	3	3	 
PE158015	1	1	 	1
PE158016	1	4	1	4
PE158017	1	1	1	1
PE158018	1	1	 	1
PE158019	1	4	4	 
PE158020	1	10	10	 
PE158021	1	2	2	 
PE158022	1	1	1	1
PE158023	1	2	2	 
PE158024	1	1	1	1
PE158025	1	4	4	 
PE158026	1	4	4	 
PE158031	1	2	1	2
PE158032	1	10	 	10
PE158033	1	10	 	10
PE158034	1	4	 	4
PE158035	1	8	 	8
PE158036	1	1	1	 
PE158037	1	5	5	 
PE158038	1	10	 	10
PE158039	1	1	1	 
PE158040	1	8	1	8
PE158041	1	2	1	2
PE158042	1	4	 	4
PE158043	1	1	1	1
PE158044	1	2	2	 
PE158045	1	4	 	4
PE158046	1	6	 	6
PE158046	2	8	 	8
PE158047	1	10	1	10
PE158048	1	2	2	 
PE158049	1	1	1	1
PE158050	1	4	1	4
PE158051	1	4	1	4
PE158052	1	10	1	10
PE158053	1	1	1	 
PE158054	1	1	1	1
PE158055	1	4	1	4
PE158056	1	10	1	10
PE158056	2	2	 	2
PE158057	1	10	10	 
PE168001	1	4	1	4
PE168002	1	2	1	2
PE168003	1	4	4	 
PE168004	1	10	1	10
PE168004	2	4	 	4
PE168005	1	10	10	 
PE168006	1	4	4	 
PE168006	2	3	3	 
PE168007	1	10	1	10
PE168008	1	6	6	 
PE168009	1	4	1	4
PE168010	1	4	4	 
PE168011	1	4	1	4
PE168012	1	4	1	4
PE168013	1	4	4	 
PE168014	1	1	 	1
PE168015	1	4	1	4
PE168016	1	6	1	6
PE168017	1	6	6	 
PE168018	1	6	1	6
PE168019	1	3	1	3
PE168020	1	6	6	 
PE168021	1	6	6	 
PE168022	1	4	4	 
PE168023	1	7	1	7
PE168024	1	1	1	1
PE168025	1	6	6	 
PE178001	1	4	1	4
PE178002	1	4	1	4
PE178003	1	4	1	4
PE178004	1	4	4	 
PE178006	1	4	4	 
PE178007	1	2	1	2
PE178009	1	2	1	2
PE178010	1	2	1	2
PE178011	1	2	1	2
PE178013	1	6	6	 
PE178015	1	6	6	 
PE178016	1	4	1	4
PE178019	1	4	4	 
PE178019	2	2	2	 
PE178020	1	10	10	 
PE178020	2	10	10	 
PE178021	1	1	1	1
PE178022	1	4	1	4
PE178022	2	2	 	2
PE178023	1	6	6	 
PE178024	1	2	1	2
PE178025	1	4	1	4
PE178026	1	2	1	2
PE178027	1	1	1	1
PE178028	1	4	1	4
PE178029	1	4	1	4
PE178030	1	4	1	4
PE178031	1	4	4	 
PE178031	2	10	10	 
PE178032	1	1	1	1
PE178033	1	4	1	4
PE178034	1	1	1	1
PE178035	1	6	1	6
PE178036	1	4	1	4
PE188001	1	10	1	10
PE188001	2	4	 	4
PE188002	1	2	1	2
PE188003	1	10	10	 
PE188004	1	2	1	2
PE188005	1	4	1	4
PE188006	1	1	1	1
PE188007	1	10	1	10
PE188008	1	6	6	 
PE188009	1	1	1	1
PE188010	1	7	7	 
PE188010	2	4	4	 
PE188011	1	6	6	 
PE188011	2	2	2	 
PE188012	1	6	6	 
PE188013	1	4	4	 
PE188014	1	6	1	6
PE188015	1	10	1	10
PE188016	1	4	1	4
PE188017	1	6	6	 
PE188018	1	6	6	 
PE188019	1	8	8	 
PE188020	1	6	6	 
PE188021	1	1	1	 
PE188022	1	10	1	10
PE188023	1	8	8	 
PE188024	1	4	1	4
PE188025	1	4	4	 
PE188026	1	10	1	10
PE188027	1	1	1	 
PE198001	1	10	10	 
PE198002	1	10	10	 
PE198003	1	4	1	4
PE198004	1	4	4	 
PE198006	1	4	 	4
PE198007	1	6	 	6
PE198008	1	2	 	2
PE198009	1	1	1	 
PE198010	1	4	 	4
PE198011	1	4	 	4
PE198012	1	10	 	10
PE198013	1	10	10	 
PE198014	1	10	 	10
PE198015	1	2	 	2
PE198016	1	10	10	 
PE198017	1	4	 	4
PE198018	1	4	 	4
PE198019	1	4	 	4
PE198021	1	4	 	4
PE198022	1	2	 	2
PE198024	1	10	 	10
PE198025	1	10	 	10
PE198026	1	2	 	2
PE198027	1	4	 	4
PE198028	1	2	 	2
PE198030	1	10	 	10
PE198030	2	4	 	4
PE198031	1	4	 	4
PE208001	1	10	1	10
PE208001	2	4	 	4
PE208002	1	1	1	1
PE208003	1	6	6	 
PE208005	1	2	2	 
PE208006	1	8	1	8
PE208007	1	10	1	10
PE208008	1	10	10	 
PE208009	1	4	1	4
PE208010	1	2	1	2
PE208010	2	4	 	4
PE208011	1	4	1	4
PE208012	1	6	6	 
PE208013	1	10	1	10
PE208014	1	7	1	7
PE208015	1	2	1	2
PE208015	2	4	 	4
PE208016	1	1	1	 
PE208017	1	4	1	4
PE208018	1	8	8	 
PE208019	1	1	1	 
PE208020	1	4	1	4
PE208021	1	3	1	3
PE208022	1	10	10	 
PE208022	2	2	2	 
PE208023	1	2	2	 
PE208024	1	4	1	4
PE208025	1	1	1	1
PE208026	1	10	10	 
PE208026	2	10	10	 
PE208027	1	4	1	4
PE208028	1	4	 	4
PE208029	1	4	 	4
PE208029	2	2	 	2
PE208030	1	4	 	4
PE208031	1	5	5	 
PE208031	2	8	8	 
PE208032	1	4	 	4
PE208032	2	10	 	10
PE208033	1	7	 	7
