CHILDCODE	HHDCIDR4	MADDECR4	WHOPRVR4
18041	7	1	1
18042	1	1	3
18042	2	1	3
18042	4	1	1
18042	5	1	3
18042	6	1	3
18042	7	1	3
18043	1	0	3
18043	2	0	3
18043	4	1	7
18043	5	1	1
18043	6	1	3
18043	7	1	7
18044	1	0	3
18044	2	0	3
18044	4	0	3
18044	5	0	3
18044	6	0	3
18044	7	0	3
18045	1	1	6
18045	2	1	6
18045	4	1	6
18045	5	1	6
18045	6	1	6
18045	7	1	6
18046	1	0	2
18046	2	1	3
18046	4	1	1
18046	5	1	1
18046	6	1	3
18046	7	1	1
18047	1	0	4
18047	2	1	4
18047	4	1	1
18047	5	1	1
18047	6	1	6
18047	7	1	1
18048	1	0	3
18048	2	1	3
18048	4	1	3
18048	5	1	1
18048	6	1	1
18048	7	1	1
18049	1	0	3
18049	2	0	3
18049	4	1	3
18049	5	1	1
18049	6	1	3
18049	7	1	3
18050	1	0	3
18050	2	1	3
18050	4	1	3
18050	5	1	1
18050	6	1	1
18050	7	1	3
28001	1	1	7
28001	2	1	7
28001	4	1	1
28001	5	1	1
28001	6	1	1
28001	7	1	1
28002	1	0	3
28002	2	1	3
28002	4	1	3
28002	5	1	1
28002	6	0	3
28002	7	1	7
28003	1	1	7
28003	2	1	3
28003	4	1	1
28003	5	1	1
28003	6	1	1
28003	7	1	1
28004	1	1	8
28004	2	1	3
28004	4	1	1
28004	5	1	1
28004	6	1	1
28004	7	1	1
28006	1	0	4
28006	2	0	4
28006	4	1	1
28006	5	1	1
28006	6	1	1
28006	7	1	1
28007	1	1	3
28007	2	0	3
28007	4	1	1
28007	5	1	7
28007	6	1	7
28007	7	1	1
28008	1	1	3
28008	2	0	2
28008	4	1	3
28008	5	1	1
28008	6	1	1
28008	7	1	1
28009	1	1	7
28009	2	0	4
28009	4	1	1
28009	5	1	1
28009	6	1	2
28009	7	1	2
28011	1	0	3
28011	2	1	3
28011	4	0	3
28011	5	1	1
28011	6	0	3
28011	7	0	3
28012	1	1	7
28012	2	1	7
28012	4	1	7
28012	5	1	7
28012	6	1	7
28012	7	1	7
28013	1	1	3
28013	2	1	3
28013	4	1	3
28013	5	1	1
28013	6	1	1
28013	7	1	1
28014	1	1	2
28014	2	1	1
28014	4	1	6
28014	5	1	1
28014	6	1	2
28014	7	1	2
28015	1	0	4
28015	2	1	1
28015	4	1	1
28015	5	1	1
28015	6	1	1
28015	7	1	1
28016	1	0	3
28016	2	1	3
28016	4	0	3
28016	5	1	1
28016	6	1	1
28016	7	0	3
28017	1	0	3
28017	2	1	3
28017	4	1	1
28017	5	1	1
28017	6	1	1
28017	7	1	1
28018	1	1	3
28018	2	1	3
28018	4	1	3
28018	5	1	3
28018	6	1	3
28018	7	1	3
28020	1	0	3
28020	2	1	3
28020	4	1	3
28020	5	1	3
28020	6	0	3
28020	7	0	3
28021	1	1	3
28021	2	1	3
28021	4	1	3
28021	5	1	3
28021	6	1	3
28021	7	1	3
28022	1	0	3
28022	2	1	3
28022	4	1	1
28022	5	1	1
28022	6	1	1
28022	7	1	1
28023	1	0	3
28023	2	0	3
28023	4	1	1
28023	5	1	1
28023	6	1	1
28023	7	1	1
28024	1	1	3
28024	2	1	3
28024	4	1	1
28024	5	1	1
28024	6	1	7
28024	7	1	1
28025	1	1	6
28025	2	1	6
28025	4	1	6
28025	5	1	6
28025	6	1	6
28025	7	1	6
38001	1	1	4
38001	2	1	4
38001	4	1	4
38001	5	1	1
38001	6	1	1
38001	7	1	4
38002	1	1	77
38002	2	1	77
38002	4	0	77
38002	5	1	1
38002	6	1	1
38002	7	1	1
38003	1	0	2
38003	2	0	2
38003	4	1	1
38003	5	0	2
38003	6	1	2
38003	7	1	1
38004	1	0	3
38004	2	1	4
38004	4	1	3
38004	5	1	3
38004	6	1	3
38004	7	1	3
38005	1	0	3
38005	2	0	3
38005	4	0	3
38005	5	0	3
38005	6	0	3
38005	7	0	3
38006	1	1	1
38006	2	1	1
38006	4	1	1
38006	5	1	1
38006	6	1	1
38006	7	1	1
38007	1	1	3
38007	2	1	3
38007	4	1	1
38007	5	1	1
38007	6	1	1
38007	7	1	1
38008	1	1	1
38008	2	1	1
38008	4	1	1
38008	5	1	1
38008	6	1	1
38008	7	1	1
38010	1	1	3
38010	2	0	3
38010	4	1	1
38010	5	1	1
38010	6	1	3
38010	7	1	1
38011	1	1	3
38011	2	1	7
38011	4	1	7
38011	5	1	1
38011	6	1	7
38011	7	1	7
38012	1	 	 
38012	2	 	 
38012	4	 	 
38012	5	 	 
38012	6	 	 
38012	7	 	 
38013	1	1	3
38013	2	1	3
38013	4	1	3
38013	5	1	1
38013	6	1	3
38013	7	1	1
38015	1	0	4
38015	2	1	9
38015	4	1	1
38015	5	1	1
38015	6	1	1
38015	7	1	1
38017	1	1	6
38017	2	1	6
38017	4	1	6
38017	5	1	6
38017	6	1	6
38017	7	1	6
38019	1	1	1
38019	2	1	1
38019	4	1	1
38019	5	1	1
38019	6	1	1
38019	7	1	1
38020	1	 	 
38020	2	 	 
38020	4	 	 
38020	5	 	 
38020	6	 	 
38020	7	 	 
38021	1	1	1
38021	2	1	1
38021	4	1	1
38021	5	1	1
38021	6	1	1
38021	7	1	1
38022	1	 	 
38022	2	 	 
38022	4	 	 
38022	5	 	 
38022	6	 	 
38022	7	 	 
38023	1	1	3
38023	2	1	7
38023	4	1	1
38023	5	1	1
38023	6	1	7
38023	7	1	1
38024	1	1	4
38024	2	1	8
38024	4	1	1
38024	5	1	1
38024	6	1	1
38024	7	1	1
38025	1	1	8
38025	2	1	8
38025	4	0	8
38025	5	0	8
38025	6	1	8
38025	7	0	8
48001	1	0	4
48001	2	0	4
48001	4	1	8
48001	5	1	1
48001	6	1	8
48001	7	1	1
48002	1	1	6
48002	2	1	6
48002	4	1	6
48002	5	1	6
48002	6	1	6
48002	7	1	6
48003	1	1	3
48003	2	0	3
48003	4	1	1
48003	5	1	1
48003	6	1	1
48003	7	0	4
48004	1	0	3
48004	2	1	7
48004	4	1	7
48004	5	1	7
48004	6	1	7
48004	7	1	1
48005	1	1	4
48005	2	1	4
48005	4	1	7
48005	5	1	1
48005	6	1	1
48005	7	1	1
48006	1	1	8
48006	2	0	3
48006	4	1	3
48006	5	1	1
48006	6	1	1
48006	7	1	3
48007	1	1	3
48007	2	1	3
48007	4	0	3
48007	5	1	3
48007	6	1	1
48007	7	1	1
48008	1	1	6
48008	2	1	6
48008	4	1	6
48008	5	1	6
48008	6	1	6
48008	7	1	6
48009	1	1	3
48009	2	1	3
48009	4	1	1
48009	5	1	1
48009	6	1	1
48009	7	1	1
48010	1	1	3
48010	2	1	3
48010	4	1	3
48010	5	1	1
48010	6	1	3
48010	7	1	7
48011	1	 	 
48011	2	 	 
48011	4	 	 
48011	5	 	 
48011	6	 	 
48011	7	 	 
48013	1	 	 
48013	2	 	 
48013	4	 	 
48013	5	 	 
48013	6	 	 
48013	7	 	 
48014	1	1	1
48014	2	1	1
48014	4	1	1
48014	5	1	1
48014	6	1	1
48014	7	1	1
48015	1	0	3
48015	2	0	3
48015	4	0	3
48015	5	1	1
48015	6	1	1
48015	7	1	1
48016	1	1	3
48016	2	1	3
48016	4	1	1
48016	5	1	1
48016	6	0	3
48016	7	1	1
48017	1	1	3
48017	2	0	3
48017	4	1	3
48017	5	1	1
48017	6	1	3
48017	7	1	1
48018	1	1	6
48018	2	1	6
48018	4	1	1
48018	5	1	1
48018	6	1	1
48018	7	1	1
48019	1	1	3
48019	2	0	3
48019	4	1	1
48019	5	1	1
48019	6	1	1
48019	7	1	1
48020	1	0	3
48020	2	1	3
48020	4	1	3
48020	5	1	1
48020	6	1	3
48020	7	1	1
48021	1	0	3
48021	2	1	3
48021	4	1	3
48021	5	1	1
48021	6	1	1
48021	7	1	1
48022	1	1	3
48022	2	1	3
48022	4	1	1
48022	5	1	1
48022	6	1	1
48022	7	1	1
48023	1	1	2
48023	2	1	2
48023	4	1	2
48023	5	1	2
48023	6	1	2
48023	7	1	2
48024	1	1	1
48024	2	1	1
48024	4	1	1
48024	5	1	1
48024	6	1	1
48024	7	1	1
48025	1	0	3
48025	2	1	7
48025	4	1	1
48025	5	1	1
48025	6	1	1
48025	7	1	1
48026	1	1	3
48026	2	1	3
48026	4	1	3
48026	5	1	3
48026	6	1	3
48026	7	1	3
58002	1	1	7
58002	2	1	7
58002	4	1	7
58002	5	1	1
58002	6	1	7
58002	7	1	7
58003	1	1	3
58003	2	0	3
58003	4	1	3
58003	5	1	3
58003	6	1	3
58003	7	1	3
58004	1	1	1
58004	2	1	1
58004	4	1	1
58004	5	1	1
58004	6	1	1
58004	7	1	1
58006	1	0	3
58006	2	1	3
58006	4	1	3
58006	5	1	1
58006	6	1	3
58006	7	1	3
58007	1	1	1
58007	2	1	1
58007	4	1	1
58007	5	1	1
58007	6	1	1
58007	7	1	1
58008	1	1	7
58008	2	1	7
58008	4	1	7
58008	5	1	1
58008	6	1	7
58008	7	1	1
58011	1	1	3
58011	2	1	3
58011	4	1	3
58011	5	1	1
58011	6	1	3
58011	7	1	1
58012	1	1	3
58012	2	1	3
58012	4	0	3
58012	5	1	1
58012	6	1	3
58012	7	1	1
58013	1	1	3
58013	2	1	3
58013	4	1	3
58013	5	1	3
58013	6	1	2
58013	7	1	3
58014	1	1	3
58014	2	0	3
58014	4	1	3
58014	5	1	1
58014	6	0	3
58014	7	1	1
58015	1	1	3
58015	2	1	3
58015	4	1	3
58015	5	1	1
58015	6	1	1
58015	7	1	1
58016	1	1	3
58016	2	0	3
58016	4	1	1
58016	5	1	7
58016	6	1	7
58016	7	1	7
58017	1	1	3
58017	2	0	3
58017	4	1	1
58017	5	1	1
58017	6	1	1
58017	7	1	1
58019	1	1	3
58019	2	1	3
58019	4	1	7
58019	5	1	7
58019	6	1	3
58019	7	1	7
58020	1	0	88
58020	2	1	8
58020	4	1	1
58020	5	1	1
58020	6	1	1
58020	7	1	1
58021	1	1	3
58021	2	1	3
58021	4	1	1
58021	5	1	1
58021	6	1	1
58021	7	1	1
58022	1	1	1
58022	2	1	1
58022	4	1	1
58022	5	1	1
58022	6	1	1
58022	7	1	1
58023	1	1	4
58023	2	0	4
58023	4	1	4
58023	5	1	1
58023	6	1	7
58023	7	1	4
58025	1	0	3
58025	2	1	3
58025	4	1	1
58025	5	0	1
58025	6	1	1
58025	7	1	1
58026	1	1	3
58026	2	1	3
58026	4	1	3
58026	5	1	3
58026	6	1	1
58026	7	1	1
58027	1	0	3
58027	2	0	3
58027	4	1	1
58027	5	1	1
58027	6	1	5
58027	7	1	1
58028	1	1	2
58028	2	1	2
58028	4	1	2
58028	5	1	2
58028	6	1	1
58028	7	1	1
58029	1	1	3
58029	2	1	3
58029	4	1	1
58029	5	1	1
58029	6	1	3
58029	7	1	1
58030	1	1	1
58030	2	1	1
58030	4	1	1
58030	5	1	1
58030	6	1	1
58030	7	1	1
68001	1	1	3
68001	2	1	3
68001	4	1	3
68001	5	1	3
68001	6	1	3
68001	7	0	3
68002	1	1	6
68002	2	1	6
68002	4	1	6
68002	5	1	6
68002	6	1	6
68002	7	1	6
68003	1	0	3
68003	2	0	3
68003	4	1	1
68003	5	1	3
68003	6	1	3
68003	7	1	1
68004	1	1	1
68004	2	1	7
68004	4	1	7
68004	5	1	1
68004	6	1	1
68004	7	1	1
68005	1	1	6
68005	2	1	6
68005	4	1	6
68005	5	1	6
68005	6	1	6
68005	7	1	6
68006	1	1	3
68006	2	1	3
68006	4	1	1
68006	5	1	1
68006	6	1	3
68006	7	1	1
68007	1	1	3
68007	2	1	3
68007	4	1	3
68007	5	1	2
68007	6	1	3
68007	7	1	3
68008	1	1	3
68008	2	1	3
68008	4	1	1
68008	5	1	1
68008	6	1	1
68008	7	1	1
68009	1	1	3
68009	2	1	3
68009	4	1	3
68009	5	1	1
68009	6	1	3
68009	7	1	1
68010	1	1	3
68010	2	1	3
68010	4	1	3
68010	5	1	1
68010	6	1	1
68010	7	1	1
68011	1	1	6
68011	2	1	1
68011	4	1	1
68011	5	1	1
68011	6	1	1
68011	7	1	6
68012	1	1	6
68012	2	1	6
68012	4	1	6
68012	5	1	6
68012	6	1	6
68012	7	1	6
68013	1	0	3
68013	2	0	3
68013	4	1	1
68013	5	1	1
68013	6	1	1
68013	7	1	1
68015	1	0	3
68015	2	1	3
68015	4	1	3
68015	5	0	3
68015	6	1	3
68015	7	1	4
68016	1	1	3
68016	2	1	8
68016	4	1	8
68016	5	1	1
68016	6	1	1
68016	7	1	1
68017	1	1	2
68017	2	0	2
68017	4	1	1
68017	5	1	1
68017	6	1	1
68017	7	1	1
68018	1	0	4
68018	2	1	4
68018	4	1	3
68018	5	1	3
68018	6	1	3
68018	7	1	3
68019	1	1	2
68019	2	0	3
68019	4	1	3
68019	5	1	1
68019	6	1	3
68019	7	1	1
68020	1	0	3
68020	2	1	3
68020	4	1	3
68020	5	1	1
68020	6	1	3
68020	7	1	1
68021	1	0	3
68021	2	1	3
68021	4	1	3
68021	5	1	1
68021	6	1	3
68021	7	1	3
68022	1	1	7
68022	2	1	7
68022	4	1	7
68022	5	1	7
68022	6	1	7
68022	7	1	7
68023	1	0	3
68023	2	0	3
68023	4	1	1
68023	5	1	1
68023	6	1	1
68023	7	1	1
68024	1	0	3
68024	2	0	3
68024	4	1	3
68024	5	1	1
68024	6	1	1
68024	7	1	1
68025	1	1	3
68025	2	1	1
68025	4	1	1
68025	5	1	1
68025	6	1	1
68025	7	1	1
78001	1	1	3
78001	2	1	3
78001	4	1	1
78001	5	1	1
78001	6	1	1
78001	7	1	1
78002	1	0	3
78002	2	1	3
78002	4	0	3
78002	5	1	1
78002	6	1	3
78002	7	1	3
78003	1	1	7
78003	2	1	7
78003	4	1	1
78003	5	1	7
78003	6	1	1
78003	7	1	1
78005	1	0	3
78005	2	1	3
78005	4	0	3
78005	5	1	1
78005	6	1	1
78005	7	1	1
78006	1	1	4
78006	2	1	3
78006	4	1	5
78006	5	1	1
78006	6	1	1
78006	7	1	3
78007	1	0	4
78007	2	1	4
78007	4	1	7
78007	5	1	1
78007	6	1	1
78007	7	1	1
78008	1	0	3
78008	2	0	3
78008	4	0	3
78008	5	1	1
78008	6	1	3
78008	7	1	1
78009	1	1	4
78009	2	0	3
78009	4	1	3
78009	5	1	1
78009	6	1	1
78009	7	1	3
78010	1	0	88
78010	2	1	1
78010	4	1	7
78010	5	1	1
78010	6	1	1
78010	7	1	7
78011	1	1	3
78011	2	0	3
78011	4	1	1
78011	5	1	1
78011	6	1	3
78011	7	1	1
78012	1	0	3
78012	2	1	3
78012	4	1	3
78012	5	1	3
78012	6	1	1
78012	7	1	1
78013	1	0	7
78013	2	0	3
78013	4	1	3
78013	5	1	1
78013	6	1	3
78013	7	1	3
78014	1	1	3
78014	2	1	3
78014	4	1	3
78014	5	1	1
78014	6	1	3
78014	7	1	1
78015	1	1	3
78015	2	0	3
78015	4	1	3
78015	5	1	1
78015	6	0	3
78015	7	1	1
78016	1	1	3
78016	2	1	3
78016	4	1	3
78016	5	1	3
78016	6	1	3
78016	7	1	1
78017	1	1	6
78017	2	1	1
78017	4	1	1
78017	5	1	6
78017	6	1	6
78017	7	1	1
78018	1	1	6
78018	2	1	1
78018	4	1	1
78018	5	1	6
78018	6	1	6
78018	7	1	6
78019	1	0	3
78019	2	1	7
78019	4	1	3
78019	5	1	1
78019	6	1	3
78019	7	1	3
78020	1	0	4
78020	2	1	3
78020	4	1	1
78020	5	1	1
78020	6	1	3
78020	7	1	1
78021	1	1	3
78021	2	1	3
78021	4	1	3
78021	5	1	1
78021	6	1	1
78021	7	1	2
78022	1	 	 
78022	2	 	 
78022	4	 	 
78022	5	 	 
78022	6	 	 
78022	7	 	 
78024	1	0	3
78024	2	1	3
78024	4	1	3
78024	5	0	3
78024	6	1	3
78024	7	1	3
78026	1	0	3
78026	2	0	3
78026	4	1	1
78026	5	1	1
78026	6	1	3
78026	7	1	1
78027	1	0	4
78027	2	1	3
78027	4	1	1
78027	5	1	1
78027	6	1	1
78027	7	1	3
78028	1	1	3
78028	2	0	3
78028	4	0	3
78028	5	1	1
78028	6	0	3
78028	7	0	3
78029	1	0	3
78029	2	0	3
78029	4	1	3
78029	5	1	1
78029	6	1	3
78029	7	1	1
78030	1	1	3
78030	2	1	3
78030	4	1	1
78030	5	1	1
78030	6	1	3
78030	7	1	1
78031	1	1	3
78031	2	1	9
78031	4	1	3
78031	5	1	1
78031	6	1	1
78031	7	1	1
78032	1	1	3
78032	2	1	3
78032	4	0	3
78032	5	1	1
78032	6	1	3
78032	7	0	3
78033	1	0	3
78033	2	1	3
78033	4	1	1
78033	5	1	1
78033	6	1	3
78033	7	1	1
78034	1	1	3
78034	2	1	3
78034	4	1	1
78034	5	1	1
78034	6	1	3
78034	7	1	3
78035	1	1	3
78035	2	1	3
78035	4	1	1
78035	5	1	1
78035	6	0	3
78035	7	1	1
78036	1	0	3
78036	2	0	3
78036	4	1	1
78036	5	1	1
78036	6	1	1
78036	7	1	1
78037	1	1	3
78037	2	1	3
78037	4	1	1
78037	5	1	1
78037	6	1	1
78037	7	1	1
78038	1	1	3
78038	2	1	3
78038	4	0	3
78038	5	0	3
78038	6	0	3
78038	7	1	3
78039	1	1	7
78039	2	0	3
78039	4	1	7
78039	5	1	1
78039	6	1	7
78039	7	1	1
78040	1	0	3
78040	2	0	3
78040	4	0	3
78040	5	1	1
78040	6	1	3
78040	7	1	1
78041	1	 	 
78041	2	 	 
78041	4	 	 
78041	5	 	 
78041	6	 	 
78041	7	 	 
78042	1	1	3
78042	2	1	3
78042	4	1	1
78042	5	1	1
78042	6	1	3
78042	7	1	3
78043	1	1	3
78043	2	1	3
78043	4	1	3
78043	5	1	1
78043	6	1	3
78043	7	1	1
78044	1	1	3
78044	2	1	3
78044	4	0	3
78044	5	1	1
78044	6	1	3
78044	7	1	1
78045	1	1	3
78045	2	1	3
78045	4	1	1
78045	5	1	1
78045	6	1	1
78045	7	1	1
78046	1	0	3
78046	2	0	3
78046	4	1	3
78046	5	1	1
78046	6	0	3
78046	7	1	3
78047	1	0	3
78047	2	1	3
78047	4	1	3
78047	5	1	1
78047	6	1	1
78047	7	1	1
78048	1	0	3
78048	2	1	3
78048	4	1	1
78048	5	1	1
78048	6	1	3
78048	7	1	1
78049	1	1	3
78049	2	0	3
78049	4	1	3
78049	5	1	1
78049	6	1	3
78049	7	1	3
78050	1	1	3
78050	2	0	3
78050	4	1	1
78050	5	1	3
78050	6	1	3
78050	7	1	1
78051	1	1	3
78051	2	1	3
78051	4	1	3
78051	5	1	1
78051	6	1	7
78051	7	1	1
78052	1	1	3
78052	2	1	3
78052	4	1	3
78052	5	1	1
78052	6	1	1
78052	7	1	3
88001	1	1	3
88001	2	1	4
88001	4	1	1
88001	5	1	1
88001	6	1	1
88001	7	1	1
88002	1	1	3
88002	2	0	3
88002	4	1	1
88002	5	1	1
88002	6	1	2
88002	7	1	1
88003	1	 	 
88003	2	 	 
88003	4	 	 
88003	5	 	 
88003	6	 	 
88003	7	 	 
88004	1	1	4
88004	2	1	4
88004	4	1	1
88004	5	1	1
88004	6	1	3
88004	7	1	1
88005	1	1	3
88005	2	1	3
88005	4	1	1
88005	5	1	1
88005	6	1	3
88005	7	0	3
88007	1	1	3
88007	2	0	3
88007	4	1	3
88007	5	1	1
88007	6	1	1
88007	7	1	1
88008	1	0	3
88008	2	0	3
88008	4	0	3
88008	5	1	1
88008	6	1	1
88008	7	1	1
88009	1	1	3
88009	2	1	3
88009	4	1	1
88009	5	1	1
88009	6	1	1
88009	7	1	1
88010	1	1	3
88010	2	1	3
88010	4	1	1
88010	5	1	1
88010	6	1	1
88010	7	1	1
88011	1	1	3
88011	2	0	3
88011	4	1	1
88011	5	1	1
88011	6	1	1
88011	7	1	1
88012	1	0	3
88012	2	1	3
88012	4	1	1
88012	5	1	1
88012	6	1	1
88012	7	1	1
88013	1	1	3
88013	2	1	3
88013	4	1	1
88013	5	1	6
88013	6	1	1
88013	7	1	1
88014	1	1	3
88014	2	1	1
88014	4	1	3
88014	5	1	1
88014	6	1	3
88014	7	0	3
88015	1	1	3
88015	2	1	3
88015	4	1	3
88015	5	1	1
88015	6	1	1
88015	7	1	3
88016	1	1	8
88016	2	0	3
88016	4	0	3
88016	5	1	1
88016	6	1	1
88016	7	1	1
88017	1	1	3
88017	2	1	3
88017	4	1	1
88017	5	1	1
88017	6	1	3
88017	7	1	1
88019	1	1	3
88019	2	1	1
88019	4	1	3
88019	5	0	3
88019	6	0	3
88019	7	1	3
88020	1	1	3
88020	2	1	3
88020	4	1	1
88020	5	1	3
88020	6	1	3
88020	7	1	1
88021	1	1	3
88021	2	0	3
88021	4	1	1
88021	5	1	1
88021	6	1	1
88021	7	1	1
88022	1	0	3
88022	2	1	3
88022	4	1	3
88022	5	1	1
88022	6	1	3
88022	7	1	1
88024	1	0	3
88024	2	0	3
88024	4	1	1
88024	5	1	1
88024	6	1	1
88024	7	1	1
88025	1	0	3
88025	2	0	3
88025	4	1	1
88025	5	1	1
88025	6	0	3
88025	7	1	1
88026	1	0	3
88026	2	0	2
88026	4	1	1
88026	5	1	1
88026	6	1	1
88026	7	1	1
88027	1	1	1
88027	2	0	3
88027	4	0	3
88027	5	0	3
88027	6	1	1
88027	7	1	1
88028	1	0	3
88028	2	0	3
88028	4	1	3
88028	5	1	3
88028	6	1	3
88028	7	1	3
88029	1	0	3
88029	2	1	3
88029	4	1	1
88029	5	1	1
88029	6	1	1
88029	7	1	1
88031	1	0	4
88031	2	0	4
88031	4	0	4
88031	5	1	1
88031	6	0	4
88031	7	0	4
98001	1	1	1
98001	2	1	1
98001	4	1	1
98001	5	1	1
98001	6	1	1
98001	7	1	1
98002	1	0	3
98002	2	1	1
98002	4	1	1
98002	5	1	1
98002	6	1	1
98002	7	1	1
98004	1	1	8
98004	2	1	8
98004	4	1	1
98004	5	1	1
98004	6	1	1
98004	7	1	1
98006	1	1	1
98006	2	1	1
98006	4	1	1
98006	5	1	1
98006	6	1	1
98006	7	1	1
98007	1	1	1
98007	2	1	1
98007	4	1	1
98007	5	1	1
98007	6	1	1
98007	7	1	1
98008	1	0	3
98008	2	1	1
98008	4	1	1
98008	5	1	1
98008	6	1	1
98008	7	1	1
98009	1	0	3
98009	2	0	3
98009	4	1	3
98009	5	1	3
98009	6	1	3
98009	7	1	3
98010	1	1	3
98010	2	1	1
98010	4	1	1
98010	5	1	1
98010	6	1	1
98010	7	1	1
98011	1	1	3
98011	2	1	3
98011	4	1	1
98011	5	1	1
98011	6	1	3
98011	7	1	3
98012	1	0	2
98012	2	1	1
98012	4	1	2
98012	5	0	88
98012	6	1	1
98012	7	1	1
98013	1	0	3
98013	2	1	3
98013	4	1	1
98013	5	1	1
98013	6	1	1
98013	7	1	1
98014	1	1	3
98014	2	1	3
98014	4	0	3
98014	5	1	7
98014	6	1	3
98014	7	1	7
98015	1	 	 
98015	2	 	 
98015	4	 	 
98015	5	 	 
98015	6	 	 
98015	7	 	 
98016	1	0	4
98016	2	1	4
98016	4	1	1
98016	5	1	1
98016	6	1	8
98016	7	1	1
98017	1	1	3
98017	2	1	3
98017	4	1	1
98017	5	1	1
98017	6	1	3
98017	7	1	1
98018	1	0	4
98018	2	0	4
98018	4	1	4
98018	5	1	1
98018	6	1	4
98018	7	1	4
98020	1	1	8
98020	2	1	4
98020	4	1	1
98020	5	1	1
98020	6	1	1
98020	7	1	1
98022	1	0	3
98022	2	0	3
98022	4	1	3
98022	5	1	1
98022	6	1	3
98022	7	1	1
