CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
18050	3	0	88	0
18050	4	0	88	0
18050	5	30	1	12
18050	6	25	1	12
18050	7	0	88	0
18050	8	23	1	12
28001	1	 	 	 
28001	2	 	 	 
28001	3	 	 	 
28001	4	 	 	 
28001	5	 	 	 
28001	6	 	 	 
28001	7	 	 	 
28001	8	 	 	 
28002	1	194	3	1
28002	2	0	88	88
28002	3	0	88	88
28002	4	0	88	88
28002	5	10	1	48
28002	6	50	1	48
28002	7	90	3	1
28002	8	130	3	1
28003	1	190	4	3
28003	2	260	2	10
28003	3	0	88	0
28003	4	0	88	0
28003	5	0	88	0
28003	6	50	1	40
28003	7	1000	3	1
28003	8	0	88	0
28004	1	 	 	 
28004	2	 	 	 
28004	3	 	 	 
28004	4	 	 	 
28004	5	 	 	 
28004	6	 	 	 
28004	7	 	 	 
28004	8	 	 	 
28006	1	 	 	 
28006	2	 	 	 
28006	3	 	 	 
28006	4	 	 	 
28006	5	 	 	 
28006	6	 	 	 
28006	7	 	 	 
28006	8	 	 	 
28007	1	 	 	 
28007	2	 	 	 
28007	3	 	 	 
28007	4	 	 	 
28007	5	 	 	 
28007	6	 	 	 
28007	7	 	 	 
28007	8	 	 	 
28008	1	160	4	3
28008	2	190	2	4
28008	3	25	4	1
28008	4	0	88	0
28008	5	0	88	0
28008	6	50	1	16
28008	7	25	3	0
28008	8	30	4	1
28009	1	 	 	 
28009	2	 	 	 
28009	3	 	 	 
28009	4	 	 	 
28009	5	 	 	 
28009	6	 	 	 
28009	7	 	 	 
28009	8	 	 	 
28011	1	180	3	1
28011	2	0	88	0
28011	3	0	88	0
28011	4	0	88	0
28011	5	10	1	24
28011	6	60	1	24
28011	7	15	3	1
28011	8	180	3	1
28012	1	 	 	 
28012	2	 	 	 
28012	3	 	 	 
28012	4	 	 	 
28012	5	 	 	 
28012	6	 	 	 
28012	7	 	 	 
28012	8	 	 	 
28013	1	 	 	 
28013	2	 	 	 
28013	3	 	 	 
28013	4	 	 	 
28013	5	 	 	 
28013	6	 	 	 
28013	7	 	 	 
28013	8	 	 	 
28014	1	125	4	0
28014	2	0	88	0
28014	3	27	3	1
28014	4	0	88	0
28014	5	0	88	0
28014	6	55	1	16
28014	7	0	88	0
28014	8	120	3	0
28015	1	 	 	 
28015	2	 	 	 
28015	3	 	 	 
28015	4	 	 	 
28015	5	 	 	 
28015	6	 	 	 
28015	7	 	 	 
28015	8	 	 	 
28016	1	20	3	1
28016	2	0	88	0
28016	3	0	88	0
28016	4	15	2	12
28016	5	0	88	0
28016	6	60	2	12
28016	7	0	88	0
28016	8	200	3	1
28017	1	 	 	 
28017	2	 	 	 
28017	3	 	 	 
28017	4	 	 	 
28017	5	 	 	 
28017	6	 	 	 
28017	7	 	 	 
28017	8	 	 	 
28018	1	 	 	 
28018	2	 	 	 
28018	3	 	 	 
28018	4	 	 	 
28018	5	 	 	 
28018	6	 	 	 
28018	7	 	 	 
28018	8	 	 	 
28020	1	 	 	 
28020	2	 	 	 
28020	3	 	 	 
28020	4	 	 	 
28020	5	 	 	 
28020	6	 	 	 
28020	7	 	 	 
28020	8	 	 	 
28021	1	221	6	2
28021	2	221	2	12
28021	3	0	88	-88
28021	4	0	88	-88
28021	5	28	2	12
28021	6	80	1	52
28021	7	0	88	-88
28021	8	0	88	-88
28022	1	 	 	 
28022	2	 	 	 
28022	3	 	 	 
28022	4	 	 	 
28022	5	 	 	 
28022	6	 	 	 
28022	7	 	 	 
28022	8	 	 	 
28023	1	 	 	 
28023	2	 	 	 
28023	3	 	 	 
28023	4	 	 	 
28023	5	 	 	 
28023	6	 	 	 
28023	7	 	 	 
28023	8	 	 	 
28024	1	 	 	 
28024	2	 	 	 
28024	3	 	 	 
28024	4	 	 	 
28024	5	 	 	 
28024	6	 	 	 
28024	7	 	 	 
28024	8	 	 	 
28025	1	 	 	 
28025	2	 	 	 
28025	3	 	 	 
28025	4	 	 	 
28025	5	 	 	 
28025	6	 	 	 
28025	7	 	 	 
28025	8	 	 	 
38001	1	 	 	 
38001	2	 	 	 
38001	3	 	 	 
38001	4	 	 	 
38001	5	 	 	 
38001	6	 	 	 
38001	7	 	 	 
38001	8	 	 	 
38002	1	 	 	 
38002	2	 	 	 
38002	3	 	 	 
38002	4	 	 	 
38002	5	 	 	 
38002	6	 	 	 
38002	7	 	 	 
38002	8	 	 	 
38003	1	 	 	 
38003	2	 	 	 
38003	3	 	 	 
38003	4	 	 	 
38003	5	 	 	 
38003	6	 	 	 
38003	7	 	 	 
38003	8	 	 	 
38004	1	 	 	 
38004	2	 	 	 
38004	3	 	 	 
38004	4	 	 	 
38004	5	 	 	 
38004	6	 	 	 
38004	7	 	 	 
38004	8	 	 	 
38005	1	 	 	 
38005	2	 	 	 
38005	3	 	 	 
38005	4	 	 	 
38005	5	 	 	 
38005	6	 	 	 
38005	7	 	 	 
38005	8	 	 	 
38006	1	 	 	 
38006	2	 	 	 
38006	3	 	 	 
38006	4	 	 	 
