CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
48003	5	5	4
48003	6	7	6
48003	7	8	6
48003	8	4	3
48004	1	6	8
48004	2	5	4
48004	3	7	4
48004	4	8	6
48004	5	6	4
48004	6	2	6
48004	7	3	4
48004	8	3	5
48005	1	6	4
48005	2	7	4
48005	3	6	4
48005	4	5	3
48005	5	6	3
48005	6	3	6
48005	7	4	4
48005	8	6	3
48006	1	3	2
48006	2	6	4
48006	3	5	3
48006	4	7	5
48006	5	6	4
48006	6	7	4
48006	7	8	5
48006	8	7	4
48007	1	7	5
48007	2	6	4
48007	3	6	4
48007	4	3	4
48007	5	7	7
48007	6	9	8
48007	7	6	7
48007	8	6	9
48008	1	7	7
48008	2	5	4
48008	3	6	5
48008	4	6	6
48008	5	5	5
48008	6	4	5
48008	7	5	5
48008	8	4	5
48009	1	5	3
48009	2	6	3
48009	3	1	1
48009	4	8	2
48009	5	5	2
48009	6	8	7
48009	7	7	7
48009	8	9	9
48010	1	5	3
48010	2	6	4
48010	3	5	5
48010	4	6	4
48010	5	5	3
48010	6	5	4
48010	7	6	4
48010	8	6	5
48011	1	 	 
48011	2	 	 
48011	3	 	 
48011	4	 	 
48011	5	 	 
48011	6	 	 
48011	7	 	 
48011	8	 	 
48013	1	 	 
48013	2	 	 
48013	3	 	 
48013	4	 	 
48013	5	 	 
48013	6	 	 
48013	7	 	 
48013	8	 	 
48014	1	7	4
48014	2	9	3
48014	3	8	4
48014	4	9	2
48014	5	9	7
48014	6	3	9
48014	7	1	9
48014	8	1	1
48015	1	5	5
48015	2	7	1
48015	3	6	5
48015	4	6	4
48015	5	4	3
48015	6	4	3
48015	7	1	3
48015	8	2	4
48016	1	5	3
48016	2	5	3
48016	3	7	5
48016	4	5	5
48016	5	3	3
48016	6	2	2
48016	7	2	2
48016	8	2	1
48017	1	5	3
48017	2	7	4
48017	3	8	4
48017	4	8	4
48017	5	6	5
48017	6	6	8
48017	7	4	4
48017	8	7	4
48018	1	5	4
48018	2	7	4
48018	3	3	2
48018	4	6	4
