CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
18041	13	1	15	1	1	 
18042	9	1	10	4	1	 
18042	10	1	11	4	1	 
18042	11	1	15	1	0	24
18042	12	1	15	1	1	 
18042	13	1	15	1	1	 
18043	9	1	8	4	1	 
18043	10	1	9	4	1	 
18043	11	1	10	4	0	24
18043	12	0	 	 	 	 
18043	13	0	 	 	 	 
18044	9	0	 	 	 	 
18044	10	0	 	 	 	 
18044	11	0	 	 	 	 
18044	12	0	 	 	 	 
18044	13	0	 	 	 	 
18045	9	1	9	4	1	 
18045	10	1	10	4	1	 
18045	11	1	11	4	1	 
18045	12	0	 	 	 	 
18045	13	0	 	 	 	 
18046	9	1	10	4	1	 
18046	10	1	11	4	1	 
18046	11	0	 	 	 	 
18046	12	1	15	4	0	24
18046	13	1	15	4	1	 
18047	9	1	10	4	1	 
18047	10	1	11	4	1	 
18047	11	1	13	1	0	24
18047	12	1	13	1	1	 
18047	13	1	14	1	1	 
18048	9	1	10	4	1	 
18048	10	1	11	4	1	 
18048	11	1	14	1	0	24
18048	12	1	14	1	1	 
18048	13	1	14	1	1	 
18049	9	1	10	4	1	 
18049	10	1	11	4	1	 
18049	11	1	13	1	0	24
18049	12	1	13	1	1	 
18049	13	0	 	 	 	 
18050	9	1	9	4	1	 
18050	10	1	10	4	1	 
18050	11	1	11	4	1	 
18050	12	1	22	3	0	24
18050	13	1	15	1	0	24
28001	9	1	9	4	1	 
28001	10	1	10	4	1	 
28001	11	1	11	4	1	 
28001	12	0	 	 	 	 
28001	13	0	 	 	 	 
28002	9	1	9	4	1	 
28002	10	1	10	4	1	 
28002	11	1	11	4	1	 
28002	12	1	13	4	0	20
28002	13	1	13	4	1	 
28003	9	1	9	4	1	 
28003	10	1	10	4	1	 
28003	11	1	11	4	1	 
28003	12	1	15	1	0	20
28003	13	1	15	1	1	 
28004	9	1	9	4	1	 
28004	10	1	10	4	0	20
28004	11	1	11	4	1	 
28004	12	0	 	 	 	 
28004	13	0	 	 	 	 
28006	9	1	10	4	0	20
28006	10	1	11	4	1	 
28006	11	0	 	 	 	 
28006	12	0	 	 	 	 
28006	13	0	 	 	 	 
28007	9	1	8	4	1	 
28007	10	1	9	4	1	 
28007	11	1	10	4	1	 
28007	12	1	11	4	1	 
28007	13	0	 	 	 	 
28008	9	1	8	4	1	 
28008	10	1	9	4	1	 
28008	11	1	10	4	1	 
28008	12	1	11	4	1	 
28008	13	1	15	1	0	20
28009	9	1	9	4	1	 
28009	10	1	10	4	1	 
28009	11	1	11	4	1	 
28009	12	0	 	 	 	 
28009	13	0	 	 	 	 
28011	9	1	9	4	1	 
28011	10	1	10	4	1	 
28011	11	1	11	4	1	 
28011	12	1	13	4	0	20
28011	13	1	13	4	0	20
28012	9	1	7	4	1	 
28012	10	1	8	4	1	 
28012	11	1	9	4	1	 
28012	12	1	10	4	1	 
28012	13	0	 	 	 	 
28013	9	1	8	4	1	 
28013	10	1	9	4	1	 
28013	11	1	10	4	1	 
28013	12	0	 	 	 	 
28013	13	0	 	 	 	 
28014	9	1	9	4	1	 
28014	10	1	10	4	1	 
28014	11	1	11	4	1	 
28014	12	1	13	4	0	20
28014	13	1	13	4	1	 
28015	9	1	9	4	1	 
28015	10	1	10	4	1	 
28015	11	1	11	4	1	 
28015	12	0	 	 	 	 
28015	13	0	 	 	 	 
