CHILDCODE	ACTIDR4	DESWRKR4	ECNSCTR4	ACTR4	ACTFORR4	ACTMTHR4	ACTDAYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
18009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18010	1	 	1	3	2	12	26	4	6	5	1	30	0	1	 	1	12
18010	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18010	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18015	1	 	18	11	1	1	24	4	6	9	1	300	0	4	 	0	 
18015	2	 	7	11	1	4	30	4	7	7	1	200	0	4	 	1	12
18015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18016	1	 	1	7	2	12	8	4	2	6	0	 	 	 	 	1	12
18016	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18016	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	1	 	6	11	3	12	24	4	6	8	1	250	120	3	 	1	12
18017	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	1	 	8	10	7	7	24	4	6	13	1	240	0	3	 	1	12
18019	2	 	6	12	1	1	4	1	1	10	1	30	0	2	 	1	1
18019	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18020	1	 	9	11	2	12	8	4	2	4	1	5	9	2	 	1	12
18020	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18020	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18021	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	1	 	8	10	7	6	30	4	7	12	1	40	0	2	 	1	4
18023	2	 	7	11	3	3	26	4	6	10	1	20	0	2	 	0	 
18023	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18024	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	1	 	8	10	7	9	12	4	3	10	1	30	0	2	 	1	12
18026	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	1	 	18	11	1	6	20	4	5	4	1	150	0	4	 	1	12
18028	2	 	1	2	3	7	12	4	3	6	1	75	0	3	 	0	 
18028	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	1	 	8	10	7	12	30	4	7	12	1	50	0	2	 	0	 
18029	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	1	 	7	15	2	12	30	4	7	5	0	 	 	 	 	1	6
18030	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18030	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	1	 	9	12	3	0	5	1	5	1	1	50	3	2	 	0	 
18031	2	 	19	12	2	7	16	4	4	2	1	40	0	7	 	1	6
18031	3	 	7	12	1	2	9	2	3	3	1	15	20	2	 	0	 
18032	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18032	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18034	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18035	1	 	10	12	2	2	20	4	5	4	1	20	0	2	 	1	10
18035	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18035	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	1	 	7	14	7	12	30	4	5	3	0	 	 	 	 	1	12
18036	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18037	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18037	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18037	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	1	 	7	11	1	12	24	4	6	9	1	400	0	8	 	1	12
18038	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18038	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	1	 	6	11	2	12	16	4	4	4	1	30	0	2	 	1	6
18039	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18039	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	1	 	7	11	3	10	15	4	4	2	1	300	0	4	 	1	6
18040	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18040	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18041	1	 	7	7	2	12	8	4	2	10	0	 	 	 	 	1	12
18041	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18041	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18042	1	 	9	11	3	1	30	4	7	8	1	20	0	2	 	1	6
18042	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18042	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18043	1	 	7	11	1	1	26	4	6	6	1	20	0	2	 	0	 
18043	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18043	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	1	 	8	10	7	12	30	4	4	12	1	30	0	2	 	1	4
18044	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18044	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18045	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18046	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18047	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18047	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18047	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	1	 	15	11	4	0	5	1	5	2	1	200	0	3	 	0	 
18048	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18048	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	1	 	7	11	3	1	24	4	6	10	1	20	0	2	 	1	5
18049	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18049	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18050	1	 	18	10	1	2	8	4	2	7	1	50	0	2	 	0	 
18050	2	 	18	11	4	10	20	4	5	3	2	0	120	4	 	1	12
18050	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	1	 	1	2	1	12	24	4	6	6	1	250	0	3	 	1	12
28001	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28001	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28002	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28003	1	 	1	7	2	12	24	4	6	5	0	 	 	 	 	1	12
28003	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28003	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28004	1	 	9	11	1	6	26	4	6	12	1	500	250	4	 	0	 
28004	2	 	1	2	2	6	26	4	6	5	1	25	5	2	 	1	12
28004	3	 	1	7	2	6	4	4	1	6	0	 	 	 	 	1	12
28006	1	 	20	23	3	4	24	4	6	16	1	600	0	4	 	0	 
28006	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28008	1	 	1	2	3	3	8	2	3	4	1	20	0	2	 	0	 
28008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28012	1	 	1	3	1	2	26	4	6	8	1	350	0	8	 	1	4
28012	2	 	1	2	2	10	24	4	5	6	1	120	0	3	 	0	 
28012	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28013	1	 	1	2	1	1	5	1	5	8	1	25	0	2	 	1	1
28013	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28013	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28014	1	 	7	15	3	1	24	4	6	3	0	 	 	 	 	1	7
28014	2	 	15	20	4	4	20	4	5	4	0	 	 	 	 	0	 
28014	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28015	1	 	19	23	3	9	30	4	7	6	1	25	0	3	 	0	 
28015	2	 	19	20	8	12	25	4	5	3	0	 	 	 	 	1	12
28015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28016	1	 	3	12	1	1	24	4	6	5	1	98	0	3	 	0	 
28016	2	 	1	3	2	3	4	4	1	3	1	25	0	2	 	1	12
28016	3	 	18	14	7	1	12	4	3	3	1	100	0	4	 	1	12
28017	1	 	1	8	1	11	24	4	6	8	1	1000	0	4	 	0	 
28017	2	 	1	3	1	1	16	4	4	8	1	450	0	8	 	1	2
28017	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	1	 	1	21	2	12	24	4	6	11	1	150	0	3	 	1	12
28018	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28018	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28020	1	 	1	11	3	9	24	4	6	5	1	20	0	2	 	1	4
28020	2	 	3	11	1	3	24	4	6	8	1	35	0	2	 	0	 
28020	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28021	1	 	13	11	1	12	24	4	6	10	1	200	0	4	 	1	12
28021	2	 	1	7	2	2	2	2	1	8	0	 	 	 	 	1	12
28021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	1	 	20	23	3	1	6	2	3	2	3	10	12	2	 	1	12
28022	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	1	 	7	11	2	2	4	4	1	7	1	20	0	2	 	1	6
28023	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28024	1	 	7	11	1	4	26	4	5	10	1	750	0	4	 	0	 
28024	2	 	1	2	3	5	20	4	5	8	1	180	0	3	 	0	 
28024	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	1	 	1	2	3	7	24	4	6	8	1	20	0	2	 	1	7
38001	2	 	1	21	6	3	24	4	6	7	3	0	0	88	 	1	4
38001	3	 	1	7	3	2	8	4	2	7	0	 	 	 	 	1	5
38002	1	 	1	21	2	10	16	4	4	8	0	 	 	 	 	1	12
38002	2	 	1	2	1	2	24	4	6	9	1	120	0	3	 	0	 
38002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	1	 	1	2	2	12	24	4	6	8	1	10	0	2	 	1	12
38004	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	1	 	1	7	2	12	4	4	4	7	0	 	 	 	 	0	 
38005	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	1	 	7	11	1	12	26	4	6	10	1	500	0	4	 	1	12
38006	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38007	1	 	9	11	1	1	15	3	6	8	1	120	0	3	 	1	4
38007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	1	 	20	23	3	12	24	4	6	11	1	900	0	4	 	1	12
38008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	1	 	6	12	3	3	20	4	6	6	1	25	0	2	 	0	 
38010	2	 	15	11	4	6	30	4	7	7	1	256	450	4	 	1	12
38010	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38012	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38012	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38015	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38015	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38017	1	 	1	7	3	4	10	2	3	6	0	 	 	 	 	0	 
38017	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38017	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38019	1	 	9	11	3	12	20	4	5	9	1	950	0	4	 	1	12
38019	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38019	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38021	1	 	3	11	1	12	28	4	7	8	1	200	0	3	 	1	12
38021	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38023	1	 	6	11	4	1	7	1	7	3	1	175	0	3	 	0	 
38023	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38023	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38024	1	 	3	11	1	4	20	4	5	9	1	180	0	3	 	1	1
38024	2	 	3	11	1	6	24	4	6	12	1	180	30	3	 	0	 
38024	3	 	3	11	1	5	24	4	6	10	1	180	30	3	 	0	 
38025	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38025	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38025	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48001	1	 	8	11	1	3	24	4	6	11	1	475	0	8	 	0	 
48001	2	 	3	11	1	3	24	4	6	11	1	200	0	3	 	0	 
48001	3	 	3	11	1	1	24	4	6	8	1	120	0	3	 	0	 
48002	1	 	1	21	7	12	20	4	5	8	3	6800	1500	5	 	1	12
48002	2	 	1	8	6	12	30	4	7	3	3	500	280	5	 	1	12
48002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48003	1	 	1	2	3	3	30	4	7	9	1	20	0	2	 	1	6
48003	2	 	6	11	5	5	24	4	6	8	1	560	0	8	 	0	 
48003	3	 	6	11	3	6	24	4	6	10	1	40	0	2	 	0	 
48004	1	 	6	11	1	2	24	4	6	8	1	180	0	3	 	0	 
48004	2	 	1	7	2	1	5	1	5	8	0	 	 	 	 	0	 
48004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48005	1	 	3	11	2	12	28	4	7	12	1	160	0	3	 	1	12
48005	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48005	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48006	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48006	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48006	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48007	1	 	1	21	2	12	30	4	7	8	0	 	 	 	 	1	12
48007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48008	1	 	1	6	2	12	16	4	4	7	0	 	 	 	 	1	12
48008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48009	1	 	20	23	3	8	4	4	6	13	1	650	520	4	 	0	 
48009	2	 	1	7	2	4	26	4	7	6	0	 	 	 	 	1	6
48009	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48010	1	 	1	7	2	12	8	4	2	6	0	 	 	 	 	1	12
48010	2	 	7	11	3	3	20	4	5	9	1	300	16	2	 	0	 
48010	3	 	1	7	2	12	8	4	2	5	0	 	 	 	 	1	12
48011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48014	1	 	20	23	3	3	26	4	6	15	1	400	0	4	 	1	3
48014	2	 	1	7	6	9	30	4	7	10	0	 	 	 	 	0	 
48014	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48015	1	 	7	11	1	4	20	4	5	12	1	20	0	2	 	0	 
48015	2	 	6	11	1	6	26	4	6	12	1	550	0	4	 	1	3
48015	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48016	1	 	1	7	2	2	8	4	2	5	0	 	 	 	 	0	 
48016	2	 	7	11	3	2	24	4	6	8	1	250	200	4	 	0	 
48016	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48017	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48017	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48017	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48018	1	 	1	21	2	6	30	4	7	10	0	 	 	 	 	0	 
48018	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48018	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48019	1	 	3	11	3	4	24	4	6	8	1	200	0	3	 	1	12
48019	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48019	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48021	1	 	6	11	1	12	24	4	6	8	1	25	0	2	 	1	8
48021	2	 	7	11	3	12	1	1	1	4	0	 	 	 	 	1	7
48021	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48022	1	 	9	11	3	1	30	4	7	9	1	450	5	2	 	1	0
48022	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48022	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48023	1	 	1	7	2	12	12	4	3	1	0	 	 	 	 	1	12
48023	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48023	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48024	1	 	1	21	7	12	24	4	6	8	1	400	0	7	 	1	12
48024	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48024	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48025	1	 	20	11	1	3	20	4	5	14	1	250	600	4	 	0	 
48025	2	 	1	7	2	9	20	4	5	8	0	 	 	 	 	1	9
48025	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48026	1	 	19	10	3	2	16	4	4	8	1	30	0	2	 	0	 
48026	2	 	1	7	2	3	12	4	3	12	0	 	 	 	 	1	12
48026	3	 	6	12	3	3	24	4	6	8	1	120	0	3	 	0	 
58002	1	 	3	11	1	10	24	4	6	8	1	130	0	3	 	1	12
58002	2	 	14	11	1	2	24	4	6	4	1	375	0	4	 	0	 
58002	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58003	1	 	1	7	2	7	30	4	7	6	0	 	 	 	 	1	4
58003	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58003	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58004	1	 	7	11	1	12	26	4	6	8	1	200	0	3	 	1	2
58004	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58004	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58006	1	 	11	11	5	3	20	4	5	6	1	150	0	4	 	1	4
58006	2	 	1	2	1	5	1	1	1	9	1	20	0	2	 	1	12
58006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58007	1	 	9	11	1	11	24	4	6	10	3	900	50	4	 	1	12
58007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58008	1	 	1	7	2	12	8	4	2	8	0	 	 	 	 	0	 
58008	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58008	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58011	1	 	1	2	3	3	12	4	3	5	1	20	0	2	 	0	 
58011	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58011	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
