CHILDCODE	MOVEIDR4	CNTRYR4	DPTMNTR4	TYPRESR4	YRMOVER4	MTHSTYR4	MVEMEMR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
78046	1	51	6	1	2010	24	1	27	88	0	 
78046	2	51	6	1	2012	0	1	27	88	0	 
78050	1	51	6	1	2009	0	0	5	88	1	2
88001	1	51	20	4	2012	7	0	20	24	0	 
88001	2	51	13	4	2013	0	1	22	24	1	1
88005	1	51	13	1	2010	24	1	5	88	1	5
88005	2	51	13	1	2012	12	1	5	29	1	5
88005	3	51	13	1	2013	0	1	13	88	0	 
88010	1	51	13	2	2013	3	0	11	88	1	4
88010	2	51	13	2	2013	0	1	22	88	1	1
88019	1	51	13	3	2010	0	1	5	88	1	2
88026	1	51	15	4	2009	36	1	8	88	1	4
88026	2	51	13	1	2013	0	1	5	13	1	1
88028	1	51	15	5	2011	8	0	2	88	0	 
88028	2	51	13	5	2011	0	0	22	88	1	1
98001	1	51	15	5	2012	0	0	2	88	1	2
98002	1	51	2	3	2013	0	0	5	88	0	 
98004	1	51	15	5	2012	0	1	2	5	1	2
98006	1	51	2	4	2012	3	1	1	88	0	 
98006	2	51	2	2	2012	0	1	21	3	1	4
98007	1	51	15	5	2010	0	0	1	4	1	7
98008	1	51	2	3	2011	0	1	5	9	1	2
98010	1	51	7	5	2012	23	0	5	88	1	2
98012	1	51	15	4	2012	12	0	5	88	1	1
98012	2	51	2	4	2013	0	1	11	88	1	4
98013	1	51	7	4	2012	6	0	27	5	1	4
98013	2	51	2	4	2013	0	0	22	88	1	1
98014	1	51	15	4	2011	0	1	16	17	1	4
98017	1	51	2	3	2010	6	0	5	88	1	4
98017	2	51	2	3	2010	12	0	5	88	1	1
98017	3	51	15	4	2012	24	0	5	1	1	4
98017	4	51	2	4	2014	0	1	7	88	1	1
98018	1	51	15	4	2012	0	0	5	88	1	2
98023	1	51	7	5	2011	6	0	1	88	0	 
98023	2	51	2	5	2011	0	0	3	88	1	1
98024	1	51	15	4	2012	0	1	5	2	1	2
98026	1	51	15	4	2011	0	0	2	5	1	4
98028	1	51	15	1	2013	0	1	13	88	1	4
108017	1	51	13	4	2012	0	1	7	88	1	4
118001	1	51	10	3	2010	0	1	5	88	1	4
118005	1	51	15	4	2012	0	1	5	88	1	2
118006	1	51	10	3	2013	0	1	5	88	1	2
118007	1	51	15	5	2011	12	0	2	88	1	2
118007	2	51	15	2	2013	0	0	1	88	0	 
118009	1	51	22	4	2011	0	0	22	88	1	1
118011	1	51	15	5	2013	0	0	2	5	1	2
118013	1	51	15	4	2012	6	1	2	88	1	2
118013	2	51	10	4	2013	0	0	22	88	1	1
118014	1	51	15	4	2013	0	0	5	88	0	 
118015	1	51	15	5	2013	0	0	1	88	1	4
118017	1	 	 	 	 	 	 	 	 	 	 
118019	1	51	15	5	2011	12	1	13	88	1	2
118019	2	51	10	5	2012	0	1	5	88	1	1
118020	1	51	15	5	2009	19	0	17	35	1	2
118020	2	51	10	1	2011	22	1	5	88	1	1
118020	3	51	10	1	2013	0	1	5	9	1	5
118021	1	51	22	4	2012	6	1	1	88	0	 
118021	2	51	10	1	2013	0	0	2	88	1	1
118022	1	51	15	5	2012	12	0	1	88	0	 
118022	2	51	15	2	2013	0	0	22	1	1	2
118024	1	51	10	1	2009	0	0	5	88	1	4
118027	1	51	15	5	2012	7	0	5	2	1	4
118027	2	51	15	2	2013	0	0	1	88	0	 
118028	1	51	12	4	2012	3	1	1	88	1	4
118028	2	51	12	4	2013	3	0	1	88	1	4
118028	3	51	7	5	2013	0	0	2	8	1	4
118029	1	51	15	4	2011	0	1	5	88	1	2
128002	1	51	15	2	2010	12	0	5	88	1	4
128002	2	51	15	2	2011	6	0	22	88	1	1
128002	3	51	15	2	2012	9	0	22	88	1	1
128002	4	51	15	1	2013	0	0	28	88	1	4
128010	1	51	15	1	2011	0	1	9	13	0	 
128012	1	51	15	2	2010	0	1	26	13	0	 
128020	1	51	15	1	2013	0	0	13	88	1	3
128043	1	51	15	2	2012	0	1	13	88	0	 
138014	1	51	12	4	2011	12	0	5	7	1	2
138014	2	51	15	4	2012	6	0	5	23	1	1
138014	3	51	15	2	2012	6	1	20	24	1	3
138014	4	51	15	1	2013	0	1	35	13	0	 
138015	1	51	4	3	2011	0	1	5	88	1	4
138020	1	51	15	1	2013	0	1	28	27	1	5
138023	1	51	15	2	2010	32	1	27	88	1	5
138027	1	51	15	1	2011	6	1	5	88	0	 
138027	2	51	4	5	2011	0	1	5	8	1	2
138028	1	51	12	4	2009	6	0	28	88	1	4
138028	2	51	15	4	2010	0	0	77	 	1	2
138029	1	51	15	2	2013	0	0	5	29	0	 
138035	1	51	15	2	2010	0	1	5	22	0	 
138040	1	51	15	1	2013	3	0	20	88	1	1
138046	1	51	15	2	2011	0	1	16	17	1	4
138047	1	51	12	4	2011	7	0	5	88	1	4
138047	2	51	15	4	2012	0	0	5	88	1	1
138053	1	51	17	5	2012	6	0	6	88	0	 
138053	2	51	15	5	2012	0	0	22	35	1	1
148004	1	51	15	1	2012	0	1	20	88	1	3
148011	1	51	13	5	2013	0	1	5	88	1	2
148014	1	51	11	2	2010	0	1	9	15	1	5
148018	1	51	10	4	2013	0	0	5	88	1	4
148023	1	51	15	1	2013	0	0	24	13	1	3
148025	1	51	15	2	2012	0	0	23	5	1	5
148026	1	51	15	1	2009	48	0	79	 	1	5
148026	2	51	15	1	2013	0	0	79	 	1	1
148027	1	51	15	2	2012	0	1	13	88	0	 
148031	1	51	15	2	2010	0	1	22	88	1	4
148043	1	51	4	4	2009	15	1	12	4	1	5
148043	2	51	15	5	2011	0	0	79	 	1	4
148046	1	51	15	2	2009	0	1	9	22	1	4
158001	1	51	12	1	2011	12	0	2	26	1	4
158001	2	51	17	5	2012	0	0	1	13	1	4
158002	1	51	12	1	2011	18	0	20	88	0	 
158002	2	51	12	1	2013	0	0	12	88	1	1
158003	1	51	12	3	2013	0	0	11	88	0	 
158004	1	51	25	5	2009	12	1	2	35	0	 
158004	2	51	12	4	2010	45	1	2	88	1	4
158004	3	51	15	4	2013	0	0	2	88	1	4
158006	1	51	15	4	2012	0	0	5	88	0	 
158007	1	51	12	2	2012	0	0	5	1	1	4
158010	1	51	15	4	2013	0	0	5	88	0	 
158011	1	51	15	5	2012	15	1	5	18	1	2
158011	2	51	15	2	2013	0	1	13	88	1	4
158013	1	51	12	3	2012	0	0	5	1	1	5
158019	1	51	15	4	2013	3	0	1	88	1	4
158019	2	51	15	2	2013	0	0	24	88	1	4
158023	1	51	15	5	2012	0	0	2	5	0	 
158025	1	51	12	3	2011	6	0	1	88	1	4
158025	2	51	12	3	2012	0	0	22	88	1	1
158032	1	51	15	4	2013	3	0	5	88	0	 
158032	2	51	15	1	2013	0	0	35	88	0	 
158033	1	51	10	4	2010	23	0	5	88	1	2
158033	2	51	12	1	2012	0	1	5	88	1	1
158034	1	51	15	5	2011	0	1	5	88	1	4
158037	1	51	12	2	2012	0	0	5	88	0	 
158039	1	51	15	4	2011	0	1	2	6	1	4
158041	1	51	15	5	2013	0	0	5	88	0	 
158042	1	51	12	1	2012	0	1	16	88	0	 
158044	1	51	12	3	2011	24	1	5	88	1	4
158044	2	51	12	3	2013	8	1	5	88	1	5
158044	3	51	12	3	2013	0	0	28	2	1	1
158045	1	51	15	4	2013	0	1	2	88	1	1
158047	1	51	12	3	2012	5	1	5	88	1	4
158047	2	51	12	3	2012	4	1	10	88	1	1
158047	3	51	15	5	2013	3	1	5	88	0	 
158047	4	51	15	2	2013	0	1	5	88	0	 
158052	1	51	15	2	2012	12	1	5	88	0	 
158052	3	51	15	2	2013	0	1	13	33	0	 
158056	1	51	15	5	2012	0	0	5	88	1	7
158057	1	51	15	2	2010	36	1	1	88	1	4
158057	2	51	15	1	2013	0	1	13	88	0	 
168001	1	51	15	5	2011	3	0	2	88	1	4
168001	2	51	5	5	2011	0	0	22	88	1	1
168002	1	51	5	2	2012	15	0	5	88	1	4
168002	2	51	5	2	2013	0	0	13	88	0	 
168004	1	51	5	2	2011	24	0	5	88	1	2
168004	2	51	15	5	2013	3	0	2	88	1	4
168004	3	51	5	5	2013	0	1	22	88	1	1
168005	1	51	15	5	2011	6	1	2	1	1	2
168005	2	51	5	5	2011	0	1	77	 	1	1
168007	1	51	5	2	2012	0	1	2	88	1	4
168010	1	51	5	2	2011	0	1	13	88	0	 
168012	1	51	5	2	2013	7	0	1	88	1	4
168012	2	51	5	2	2013	0	0	22	88	1	1
168013	1	51	5	1	2010	3	1	5	88	1	2
168013	2	51	15	5	2012	6	0	23	88	1	4
168013	3	51	5	2	2013	6	0	5	88	1	2
168013	4	51	5	1	2013	0	1	22	88	1	2
168016	1	51	5	2	2009	0	1	2	88	0	 
168017	1	51	5	4	2011	0	0	5	88	0	 
168020	1	51	5	4	2013	0	0	27	2	1	4
168022	1	51	5	2	2011	0	0	5	2	1	2
168023	1	51	5	2	2010	0	1	6	5	1	4
168025	1	51	15	4	2013	0	0	2	88	1	4
178001	1	51	11	4	2013	0	0	5	2	1	2
178002	1	51	11	5	2011	14	1	4	2	1	2
178002	2	51	15	4	2012	4	1	2	88	1	4
178002	3	51	11	5	2012	0	1	2	88	1	2
178003	1	51	11	4	2011	0	1	5	88	1	4
178006	1	51	5	2	2010	3	0	5	88	1	4
178006	2	51	15	5	2011	6	0	17	88	1	4
178006	3	51	5	5	2012	0	1	5	22	1	4
178010	1	51	11	4	2012	12	1	2	88	0	 
178010	2	51	11	1	2013	0	1	11	88	0	 
178011	1	51	11	4	2013	7	0	5	88	1	4
178011	2	51	5	4	2013	0	1	22	35	1	1
178013	1	51	11	4	2012	0	1	5	88	0	 
178015	1	51	11	2	2009	36	0	1	5	1	5
178015	2	51	11	2	2013	0	0	1	28	1	5
178019	1	51	15	5	2011	9	0	2	88	1	2
178019	2	51	3	5	2012	0	0	5	88	1	2
178020	1	51	15	5	2011	0	0	5	2	1	4
178021	1	51	15	4	2011	16	0	2	5	1	4
178021	2	51	15	1	2013	0	1	22	27	0	 
178022	1	51	11	4	2011	0	0	5	9	1	2
178025	1	51	5	1	2012	0	0	1	88	1	2
178026	1	51	11	4	2012	0	0	15	88	1	4
178027	1	51	11	4	2012	0	0	5	2	0	 
178028	1	51	11	4	2012	0	0	5	2	1	4
178029	1	51	5	1	2012	0	0	11	88	0	 
178030	1	51	11	4	2011	6	0	6	88	1	4
178030	2	51	5	4	2012	5	1	22	88	1	1
178030	3	51	4	4	2012	0	0	6	88	0	 
178031	1	51	15	5	2012	0	0	5	2	1	4
178036	1	51	5	2	2010	24	1	5	2	1	4
178036	2	51	11	4	2012	0	1	5	88	1	4
188001	1	51	2	5	2011	12	0	1	88	1	4
188001	2	51	12	5	2012	5	0	1	88	0	 
188001	3	51	15	5	2012	6	0	1	88	1	4
188001	4	51	3	5	2013	0	0	3	22	1	1
188003	1	51	4	5	2012	3	0	2	1	1	1
188003	2	51	15	5	2013	3	0	1	88	1	4
188003	3	51	4	5	2013	6	1	1	88	1	1
188003	4	51	3	4	2013	0	1	13	11	1	4
188004	1	51	3	1	2011	6	0	27	9	1	4
188004	2	51	3	1	2011	2	0	3	88	1	1
188004	3	51	3	1	2011	5	0	2	27	0	 
188004	4	51	3	2	2012	3	0	2	1	0	 
188004	5	51	3	2	2012	0	0	2	17	1	4
188006	1	51	15	5	2011	12	0	1	88	1	4
188006	2	51	3	5	2012	0	0	5	88	1	1
188007	1	51	15	5	2012	0	0	2	88	1	4
188009	1	51	15	5	2010	10	1	5	88	1	2
188009	2	51	15	1	2011	18	1	17	9	0	 
188009	3	51	15	2	2013	0	1	9	88	0	 
188012	1	51	4	5	2013	0	1	5	2	1	2
188014	1	51	15	1	2013	0	0	5	88	0	 
188016	1	51	15	4	2010	0	0	2	88	0	 
188019	1	51	8	4	2010	12	1	22	88	1	1
188019	2	51	12	4	2011	12	0	1	88	0	 
188019	3	51	3	5	2013	11	0	1	6	0	 
188019	4	51	8	4	2013	3	0	6	88	0	 
188019	5	51	3	4	2013	3	0	6	88	0	 
188019	6	51	8	4	2013	6	0	6	88	0	 
188019	7	51	3	4	2014	0	0	22	88	1	1
188022	1	51	15	5	2010	24	0	2	88	0	 
188022	2	51	15	2	2012	0	0	2	88	0	 
188023	1	51	15	5	2012	3	0	1	88	1	4
188023	2	51	3	5	2012	0	0	5	3	1	1
188025	1	51	3	2	2011	0	1	5	16	1	4
188026	1	51	3	2	2012	0	0	5	2	1	2
198004	1	51	4	4	2011	0	0	9	22	1	1
198009	1	51	8	4	2011	12	0	2	88	1	4
198009	2	51	23	5	2012	12	1	2	88	1	4
198009	3	51	8	5	2013	0	1	1	88	1	3
198010	1	51	4	2	2012	0	0	11	20	1	3
198011	1	51	4	3	2012	0	1	5	88	1	2
198014	1	51	4	3	2010	0	0	20	24	0	 
198016	1	51	15	5	2012	23	0	5	88	1	4
198016	2	51	15	2	2014	0	0	5	88	0	 
198025	1	51	4	3	2012	0	1	5	88	1	4
198026	1	51	4	3	2012	6	0	5	88	1	5
198026	2	51	4	3	2012	0	1	27	35	1	2
198027	1	51	4	2	2012	0	1	5	88	1	4
198028	1	51	4	3	2012	8	1	5	88	0	 
198028	2	51	4	1	2012	0	1	5	88	1	4
208001	1	51	21	2	2013	0	1	2	13	1	1
208002	1	80	 	6	2012	18	1	2	88	1	2
208002	2	51	21	6	2013	0	0	79	 	1	4
208003	1	51	21	3	2013	0	0	2	1	1	4
208007	1	51	21	1	2012	0	1	2	27	0	 
208008	1	51	4	1	2012	0	0	24	25	1	3
208011	1	51	4	4	2013	0	1	5	88	1	4
208014	1	51	21	1	2013	0	1	26	88	0	 
208019	1	51	21	1	2011	0	1	10	88	0	 
208021	1	51	11	5	2011	0	1	13	88	1	4
208023	1	51	21	1	2011	24	0	11	88	0	 
208023	2	51	21	1	2012	0	1	14	13	1	4
208024	1	51	3	4	2011	12	1	4	9	1	4
208024	2	51	21	4	2012	0	0	5	88	1	1
208026	1	51	21	1	2012	0	1	13	88	1	4
208029	1	51	21	1	2013	0	1	13	88	1	4
208033	1	51	4	4	2013	0	0	2	6	0	 
208034	1	51	21	1	2009	0	1	3	88	1	4
208038	1	51	21	1	2012	0	1	13	88	0	 
208047	1	51	21	1	2010	0	1	16	13	0	 
208050	1	51	21	1	2009	0	1	35	88	0	 
