CHILDID	planid	plan
VN121042	1	4
VN121043	1	4
VN121044	1	10
VN121044	2	10
VN121045	1	4
VN121047	1	10
VN121048	1	4
VN121049	1	4
VN121050	1	4
VN121052	1	4
VN121057	1	4
VN121061	1	2
VN121061	2	3
VN121063	1	4
VN121074	1	10
VN121074	2	10
VN121088	1	10
VN121088	2	10
VN121094	1	4
VN121109	1	10
VN121109	2	10
VN121124	1	10
VN121126	1	4
VN131001	1	4
VN131001	2	10
VN131002	1	4
VN131002	2	10
VN131003	1	10
VN131003	2	10
VN131004	1	8
VN131004	2	4
VN131005	1	4
VN131005	2	7
VN131006	1	4
VN131007	1	1
VN131008	1	4
VN131009	1	4
VN131009	2	2
VN131010	1	4
VN131010	2	7
VN131011	1	8
VN131012	1	4
VN131013	1	2
VN131013	2	3
VN131014	1	10
VN131014	2	4
VN131017	1	5
VN131019	1	4
VN131020	1	4
VN131021	1	1
VN131022	1	1
VN131023	1	1
VN131024	1	4
VN131025	1	4
VN131026	1	4
VN131027	1	3
VN131028	1	4
VN131028	2	10
VN131030	1	2
VN131031	1	4
VN131033	1	4
VN131033	2	10
VN131036	1	4
VN131037	1	7
VN131037	2	8
VN131038	1	10
VN131039	1	4
VN131040	1	4
VN131040	2	10
VN131041	1	4
VN131041	2	2
VN131042	1	10
VN131043	1	4
VN131044	1	7
VN131044	2	2
VN131045	1	4
VN131046	1	3
VN131046	2	2
VN131047	1	4
VN131047	2	10
VN131048	1	7
VN131048	2	2
VN131049	1	4
VN131049	2	2
VN131050	1	10
VN131050	2	10
VN131051	1	4
VN131051	2	2
VN131052	1	4
VN131053	1	4
VN131053	2	2
VN131054	1	4
VN131054	2	10
VN131055	1	4
VN131056	1	2
VN131056	2	4
VN131058	1	4
VN141001	1	4
VN141001	2	2
VN141002	1	2
VN141002	2	7
VN141003	1	1
VN141004	1	4
VN141005	1	10
VN141005	2	10
VN141006	1	4
VN141007	1	7
VN141007	2	4
VN141008	1	10
VN141008	2	8
VN141009	1	4
VN141010	1	7
VN141010	2	4
VN141011	1	7
VN141012	1	2
VN141012	2	10
VN141013	1	4
VN141014	1	4
VN141015	1	4
VN141015	2	2
VN141016	1	2
VN141016	2	10
VN141017	1	7
VN141018	1	2
VN141018	2	3
VN141019	1	4
VN141020	1	4
VN141025	1	10
VN141026	1	4
VN141027	1	7
VN141027	2	10
VN141028	1	1
VN141029	1	7
VN141029	2	2
VN141030	1	7
VN141030	2	4
VN141031	1	2
VN141032	1	4
VN141033	1	4
VN141034	1	7
VN141034	2	4
VN141035	1	1
VN141036	1	4
VN141037	1	4
VN141037	2	10
VN141039	1	4
VN141039	2	2
VN141040	1	4
VN141041	1	4
VN141041	2	2
VN141042	1	4
VN141043	1	4
VN141044	1	8
VN141045	1	4
VN141047	1	4
VN141047	2	2
VN141048	1	4
VN141049	1	4
VN141049	2	8
VN141050	1	4
VN141051	1	4
VN141052	1	4
VN141062	1	4
VN141066	1	4
VN141066	2	10
VN141073	1	7
VN141076	1	4
VN151001	1	4
VN151002	1	10
VN151002	2	10
VN151003	1	8
VN151003	2	4
VN151004	1	2
VN151005	1	10
VN151005	2	7
VN151006	1	4
VN151007	1	10
VN151008	1	2
VN151010	1	10
VN151010	2	4
VN151011	1	4
VN151012	1	1
VN151013	1	4
VN151014	1	4
VN151015	1	1
VN151016	1	10
VN151017	1	10
VN151017	2	10
VN151018	1	4
VN151018	2	10
VN151019	1	4
VN151020	1	2
VN151021	1	7
VN151021	2	4
VN151022	1	9
VN151022	2	8
VN151023	1	4
VN151024	1	8
VN151024	2	7
VN151025	1	4
VN151028	1	7
VN151029	1	9
VN151030	1	2
VN151030	2	7
VN151031	1	4
VN151031	2	3
VN151032	1	10
VN151032	2	10
VN151034	1	9
VN151034	2	10
VN151035	1	10
VN151035	2	10
VN151036	1	4
VN151037	1	4
VN151038	1	10
VN151038	2	10
VN151039	1	10
VN151039	2	4
VN151040	1	7
VN151040	2	8
VN151041	1	2
VN151041	2	3
VN151042	1	7
VN151043	1	4
VN151043	2	10
VN151044	1	4
VN151045	1	1
VN151046	1	9
VN151046	2	10
VN151047	1	4
VN151049	1	1
VN151051	1	2
VN151051	2	10
VN151075	1	7
VN151075	2	10
VN151079	1	10
VN151079	2	4
VN151081	1	10
VN151081	2	10
VN151082	1	4
VN151084	1	7
VN161001	1	7
VN161001	2	3
VN161002	1	4
VN161003	1	8
VN161004	1	4
VN161005	1	10
VN161006	1	4
VN161006	2	2
VN161007	1	4
VN161008	1	4
VN161009	1	7
VN161009	2	10
VN161010	1	4
VN161011	1	4
VN161011	2	2
VN161012	1	4
VN161012	2	10
VN161013	1	10
VN161014	1	4
VN161014	2	10
VN161015	1	10
VN161015	2	7
VN161016	1	7
VN161017	1	7
VN161017	2	8
VN161018	1	8
VN161018	2	10
VN161019	1	9
VN161019	2	4
VN161020	1	2
VN161021	1	4
VN161022	1	4
VN161023	1	2
VN161023	2	3
VN161024	1	4
VN161025	1	10
VN161026	1	10
VN161026	2	1
VN161027	1	2
VN161027	2	3
VN161028	1	10
VN161028	2	9
VN161029	1	8
VN161029	2	10
VN161030	1	4
VN161030	2	10
VN161031	1	8
VN161031	2	10
VN161032	1	1
VN161033	1	8
VN161033	2	10
VN161034	1	4
VN161035	1	1
VN161036	1	9
VN161036	2	7
VN161037	1	8
VN161037	2	4
VN161038	1	1
VN161039	1	4
VN161039	2	7
VN161040	1	1
VN161041	1	7
VN161041	2	4
VN161042	1	7
VN161042	2	2
VN161043	1	7
VN161043	2	8
VN161044	1	4
VN161045	1	4
VN161045	2	10
VN161046	1	8
VN161046	2	4
VN161047	1	10
VN161048	1	4
VN161048	2	10
VN161049	1	4
VN161050	1	4
VN171001	1	8
VN171001	2	10
VN171003	1	1
VN171004	1	4
VN171005	1	4
VN171006	1	4
VN171007	1	2
VN171007	2	10
VN171008	1	7
VN171009	1	1
VN171011	1	4
VN171012	1	4
VN171013	1	8
VN171013	2	4
VN171014	1	4
VN171015	1	2
VN171015	2	4
VN171017	1	10
VN171017	2	10
VN171018	1	10
VN171019	1	4
VN171020	1	4
VN171020	2	2
VN171021	1	10
VN171021	2	4
VN171022	1	4
VN171023	1	4
VN171024	1	4
VN171025	1	4
VN171026	1	4
VN171027	1	4
VN171030	1	2
VN171030	2	4
VN171031	1	4
VN171033	1	10
VN171033	2	10
VN171034	1	4
VN171035	1	7
VN171037	1	2
VN171037	2	4
VN171038	1	10
VN171040	1	8
VN171041	1	4
VN171042	1	4
VN171043	1	10
VN171044	1	3
VN171045	1	4
VN171046	1	4
VN171047	1	4
VN171048	1	4
VN171049	1	4
VN171051	1	4
VN171052	1	2
VN171052	2	4
VN171053	1	4
VN171057	1	10
VN171057	2	10
VN171059	1	8
VN171060	1	1
VN171061	1	4
VN171063	1	1
VN171080	1	4
VN171080	2	7
VN181001	1	2
VN181001	2	10
VN181002	1	1
VN181003	1	4
VN181004	1	3
VN181004	2	4
VN181005	1	1
VN181006	1	10
VN181006	2	4
VN181008	1	4
VN181009	1	7
VN181010	1	3
