CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
VN021022	2	1	2	6	3	1
VN021022	3	1	2	12	3	1
VN021022	4	2	2	6	1	1
VN021022	5	2	2	12	1	1
VN021022	6	2	2	12	1	1
VN021023	1	1	2	12	1	60
VN021023	2	1	2	4	3	1
VN021023	3	1	2	12	3	1
VN021023	4	2	2	4	3	1
VN021023	5	2	2	12	1	52
VN021023	6	2	2	12	1	1
VN021023	7	3	2	12	1	52
VN021023	8	3	2	12	1	52
VN021024	1	1	2	12	1	1
VN021024	2	1	2	3	2	1
VN021024	3	1	2	12	1	1
VN021024	4	2	1	1	2	45
VN021024	5	2	2	3	2	1
VN021024	6	2	2	12	2	1
VN021024	7	3	1	3	1	5
VN021024	8	3	2	2	2	1
VN021024	9	3	2	4	3	1
VN021024	10	4	2	12	1	1
VN021024	11	4	2	2	3	1
VN021024	12	4	2	3	3	1
VN021024	13	5	2	12	3	1
VN021024	14	5	2	12	3	1
VN021024	15	6	2	12	2	1
VN021025	1	1	1	12	1	75
VN021025	2	1	2	12	2	1
VN021025	3	1	2	10	2	1
VN021025	4	2	2	12	2	1
VN021025	5	2	2	10	2	1
VN021025	6	3	1	12	1	92
VN021025	7	3	2	10	3	1
VN021025	8	3	2	12	3	1
VN021025	9	4	2	10	4	1
VN021025	10	5	2	12	4	1
VN021026	1	1	1	1	2	1
VN021026	2	1	1	8	1	17
VN021026	3	1	2	8	3	52
VN021026	4	2	1	10	1	5
VN021026	5	3	1	6	2	93
VN021026	6	3	1	3	1	45
VN021026	7	4	1	9	1	5
VN021026	8	5	1	5	1	17
VN021026	9	2	2	6	1	1
VN021027	1	2	1	10	1	5
VN021027	2	3	2	4	2	1
VN021027	3	3	2	8	2	1
VN021027	4	4	2	4	3	1
VN021027	5	4	1	2	2	1
VN021027	6	3	1	5	1	17
VN021027	8	4	1	5	1	17
VN021027	9	6	1	5	1	17
VN021029	1	1	2	5	2	1
VN021029	2	1	1	12	2	80
VN021029	3	2	2	5	2	1
VN021029	4	2	2	3	1	1
VN021030	1	1	1	6	1	45
VN021030	2	1	1	6	2	5
VN021030	3	2	2	12	1	52
VN021030	4	2	2	12	1	52
VN021030	5	2	2	6	2	1
VN021030	6	3	1	3	1	5
VN021030	7	4	2	3	2	1
VN021030	8	4	2	6	2	1
VN021030	9	5	2	4	2	15
VN021031	1	1	1	9	1	5
VN021031	2	1	2	6	3	1
VN021031	3	1	2	12	1	1
VN021031	4	2	2	12	1	1
VN021031	5	2	2	12	1	1
VN021031	6	2	2	12	1	1
VN021031	7	3	1	12	1	5
VN021031	8	3	2	3	3	1
VN021031	9	3	2	12	1	1
VN021031	10	4	2	12	1	1
VN021031	11	5	2	3	1	52
VN021032	1	1	2	11	2	60
VN021032	2	1	2	12	1	1
VN021032	3	1	2	9	2	1
VN021032	4	2	2	11	2	1
VN021032	5	2	2	6	3	1
VN021032	6	2	2	12	2	1
VN021033	1	1	2	4	1	1
VN021033	2	1	2	8	2	1
VN021033	3	1	2	12	1	1
VN021033	4	2	1	8	1	1
VN021033	5	2	2	4	2	1
VN021033	6	2	2	8	2	1
VN021033	7	3	2	12	2	1
VN021034	1	1	2	9	2	1
VN021034	2	1	2	12	1	1
VN021034	3	1	1	6	2	93
VN021034	4	2	2	4	2	1
VN021034	5	2	2	7	2	1
VN021034	6	2	2	10	2	1
VN021036	1	1	2	6	2	1
VN021036	2	1	2	4	2	1
VN021036	3	1	1	2	2	5
VN021036	4	2	2	6	2	1
VN021036	5	2	2	4	1	1
VN021037	1	1	2	6	3	1
VN021037	2	1	2	12	3	1
VN021037	3	2	2	6	2	1
VN021037	4	2	2	12	1	1
VN021037	5	3	2	12	1	1
VN021038	1	1	2	10	2	60
VN021038	2	1	2	5	3	1
VN021038	3	1	2	3	3	1
VN021038	4	2	2	5	3	1
VN021038	5	2	2	12	1	52
VN021038	6	2	2	4	1	1
VN021039	1	1	1	12	1	80
VN021039	2	1	2	8	1	52
VN021039	3	1	2	4	2	72
VN021039	4	2	2	8	1	52
VN021039	5	2	2	7	1	1
VN021039	6	2	2	4	2	1
VN021040	1	1	1	6	1	20
VN021040	2	1	1	1	3	93
VN021040	3	2	2	11	3	52
VN021040	4	2	2	4	1	1
VN021040	6	1	2	4	2	1
VN021041	1	1	2	6	2	1
VN021041	2	1	2	8	1	5
VN021041	3	2	2	6	2	1
VN021041	4	2	2	12	2	18
VN021041	5	2	1	12	4	93
VN021041	6	3	2	8	2	5
VN021041	7	3	2	6	2	1
VN021041	8	3	1	12	4	93
VN021042	1	1	2	10	1	1
VN021042	2	1	2	6	3	1
VN021042	3	1	1	4	1	1
VN021042	4	2	2	10	2	1
VN021042	5	2	2	6	2	1
VN021042	6	2	2	12	1	1
VN021042	7	3	2	12	3	1
VN021043	1	1	1	12	2	75
VN021043	2	1	2	8	3	1
VN021043	3	1	2	8	2	5
VN021043	4	2	2	8	1	1
VN021043	5	2	1	12	4	91
VN021044	1	1	2	10	2	5
VN021044	2	1	2	2	2	93
VN021044	3	1	2	6	3	1
VN021044	4	2	2	10	2	5
VN021044	5	2	1	12	2	17
VN021044	6	2	2	6	3	1
VN021044	7	3	2	2	3	52
VN021044	8	3	2	10	3	5
VN021046	1	1	2	12	2	1
VN021046	2	1	2	11	2	5
VN021046	3	1	2	9	2	1
VN021046	4	2	2	10	2	1
VN021046	5	2	2	12	3	1
VN021046	6	2	2	12	1	1
VN021046	7	3	2	11	2	5
VN021046	8	3	2	1	2	1
VN021046	9	3	1	1	1	15
VN021046	10	4	2	12	1	1
VN021047	1	1	2	8	2	5
VN021047	2	1	1	2	1	93
VN021047	3	1	2	3	1	1
VN021047	4	2	2	6	2	1
VN021047	5	2	1	3	1	93
VN021047	6	2	2	3	2	1
VN021048	1	1	2	12	1	52
VN021048	2	2	2	6	2	5
VN021048	3	2	2	8	1	5
VN021048	4	2	2	12	1	70
VN021048	5	3	2	3	1	1
VN021048	6	3	2	6	3	52
VN021049	1	1	2	9	2	5
VN021049	2	1	2	4	2	1
VN021049	3	2	2	4	2	1
VN021049	4	2	2	9	2	5
VN021056	1	1	1	8	2	45
VN021056	2	1	2	1	4	0
VN021056	3	1	2	6	3	1
VN021065	1	2	2	7	1	52
VN021065	2	2	1	7	2	5
VN021069	1	1	2	6	1	15
VN021069	2	1	2	4	2	1
VN021069	3	1	2	12	2	1
VN021069	4	2	2	6	2	15
VN021069	5	2	2	6	2	1
VN021069	6	2	2	10	2	1
VN021069	7	3	2	6	3	15
VN021069	8	3	2	3	2	1
VN021069	9	3	2	4	3	1
VN021069	10	4	2	4	2	15
VN021069	11	4	2	3	3	1
VN021069	12	4	2	3	3	1
VN021072	1	1	2	12	1	60
VN021072	2	1	2	12	2	1
VN021072	3	1	2	5	2	1
VN021072	4	2	2	12	1	1
VN021072	5	2	2	5	1	1
VN021072	6	2	2	3	1	1
VN021078	1	1	2	10	2	51
VN021078	2	1	2	12	1	52
VN021078	3	1	2	12	3	15
VN021078	4	2	2	10	2	5
VN021078	5	3	2	4	4	5
