CHILDID	REMID	REMREL	REMQNT	REMTYPE	V2070403
VN121021	1	2	3	3	2
VN121021	2	3	12	3	2
VN121021	3	5	1	1	2
VN121023	1	2	10	2	1
VN121025	1	2	5	3	2
VN121025	2	5	10	3	2
VN121025	3	3	3	2	2
VN121028	1	2	3	2	1
VN121028	2	3	5	2	1
VN121034	1	3	13	2	1
VN121036	1	1	1	2	2
VN121036	2	2	6	3	2
VN121036	3	3	3	2	2
VN121038	1	3	10	2	1
VN121038	2	2	6	2	1
VN121039	1	3	5	3	1
VN121041	1	2	3	3	1
VN121041	2	5	2	2	1
VN121044	1	2	5	3	1
VN121044	2	3	24	3	1
VN121045	1	2	2	2	1
VN121045	2	3	2	2	1
VN121048	1	2	5	2	1
VN121048	2	3	12	2	1
VN121049	1	2	2	2	1
VN121057	1	3	2	3	1
VN121063	1	2	5	2	1
VN121063	2	3	3	2	1
VN121088	1	2	3	3	1
VN121088	2	3	60	2	1
VN121094	1	3	30	3	1
VN121094	2	3	3	1	2
VN121126	1	2	2	1	2
VN131002	1	5	1	1	2
VN131010	1	3	5	2	1
VN131010	2	2	5	2	1
VN131011	1	2	1	1	2
VN131012	1	2	2	1	2
VN131014	1	5	1	1	2
VN131014	2	2	1	1	1
VN131022	1	2	2	3	2
VN131024	1	2	2	1	1
VN131024	2	3	5	3	1
VN131024	3	5	5	2	1
VN131030	1	3	25	3	2
VN131031	1	2	5	3	2
VN131036	1	2	40	2	2
VN131036	2	5	4	2	2
VN131039	1	2	10	2	2
VN131040	1	2	20	3	1
VN131040	2	3	30	2	1
VN131040	3	5	10	2	1
VN131042	1	3	5	2	1
VN131043	1	4	2	2	1
VN131043	2	2	2	2	1
VN131044	1	5	2	3	2
VN131044	2	3	100	3	1
VN131044	3	2	50	3	1
VN131045	1	3	10	2	1
VN131045	2	5	10	3	1
VN131046	1	3	24	3	2
VN131046	2	2	5	2	1
VN131047	1	5	15	3	1
VN131047	2	2	20	3	1
VN131047	3	3	10	3	1
VN131048	1	2	20	2	1
VN131048	2	3	70	2	1
VN131048	3	4	10	2	1
VN131048	4	5	15	2	1
VN131049	1	2	5	3	1
VN131049	2	3	6	2	1
VN131049	3	3	3	2	1
VN131050	1	3	30	2	1
VN131050	2	2	20	2	1
VN131050	3	5	10	2	1
VN131053	1	2	240	2	1
VN131053	2	3	160	2	1
VN131054	1	6	10	1	2
VN131054	2	3	5	2	1
VN131054	3	5	2	3	1
VN131055	1	4	100	2	1
VN131055	2	2	120	2	2
VN131055	3	3	200	2	1
VN131055	4	5	200	2	2
VN131056	1	2	1	1	1
VN131058	1	1	2	3	1
VN141001	1	2	2	3	1
VN141001	2	3	1	2	2
VN141002	1	2	9	3	1
VN141002	2	3	4	3	1
