CHILDID	ID	AGE	SEX	RELATE	STILL	YRSCHOOL	DISABLED	SUPPORT	V2020510	V2020511
VN021011	6	11	1	5	1	42	2	2	0	0
VN021012	1	54	1	1	2	0	2	1	3	0
VN021012	2	50	2	1	2	0	2	1	0	0
VN021012	3	22	1	5	2	42	2	1	4	0
VN021012	4	14	1	5	2	42	2	1	0	0
VN021013	1	34	1	1	2	43	2	1	0	0
VN021013	2	34	2	1	2	0	2	1	0	0
VN021013	17	3	1	5	88	88	2	88	88	88
VN021014	1	33	1	13	2	43	2	1	10	0
VN021014	2	29	2	1	2	0	2	1	0	0
VN021015	1	33	1	1	2	0	2	1	20	0
VN021015	2	35	2	1	2	0	2	1	0	0
VN021015	3	12	2	5	1	43	2	2	0	0
VN021015	4	10	1	5	1	42	2	2	0	0
VN021015	5	5	2	5	2	0	2	2	0	0
VN021015	17	2	1	5	88	88	2	88	88	88
VN021017	1	41	1	1	2	44	2	1	5	0
VN021017	2	38	2	1	2	43	2	1	0	0
VN021017	3	12	2	5	1	43	2	2	0	0
VN021018	1	38	1	1	2	42	2	1	3	0
VN021018	2	38	2	1	2	42	2	1	0	0
VN021018	3	14	2	5	2	42	2	2	0	0
VN021018	4	11	2	5	1	43	2	2	0	0
VN021018	17	3	2	5	88	88	2	88	88	88
VN021020	1	74	1	3	2	0	2	2	0	0
VN021020	2	32	1	1	2	0	2	1	20	0
VN021020	3	32	2	1	2	0	2	1	0	0
VN021020	4	13	2	5	1	43	2	2	0	0
VN021020	5	13	2	5	1	43	2	2	0	0
VN021022	1	28	1	1	2	42	2	1	20	0
VN021022	2	30	2	1	2	0	2	1	0	0
VN021023	1	39	1	1	2	43	2	1	10	0
VN021023	2	34	2	1	2	43	2	1	0	0
VN021023	3	9	1	5	1	42	2	2	0	0
VN021024	1	38	2	1	2	42	2	1	20	0
VN021024	2	37	1	1	2	42	2	1	0	0
VN021024	3	17	1	5	2	43	2	1	0	0
VN021024	4	15	1	5	1	44	2	2	0	0
VN021024	5	14	2	5	1	43	2	2	0	0
VN021024	6	11	2	5	1	42	2	2	0	0
VN021025	1	47	1	1	2	43	2	1	0	0
VN021025	2	50	2	1	2	0	2	1	0	0
VN021025	3	25	2	5	2	46	2	2	0	0
VN021025	4	22	2	5	2	46	2	2	0	0
VN021025	5	20	2	5	2	44	2	2	0	0
VN021025	6	17	2	5	1	44	2	2	0	0
VN021026	1	40	2	1	2	0	2	1	0	0
VN021026	2	39	1	1	2	0	2	1	20	0
VN021026	3	18	2	5	2	0	2	2	0	0
VN021026	4	16	1	5	2	42	2	2	0	0
VN021026	5	13	2	5	2	42	2	2	0	0
VN021026	6	11	2	5	2	0	2	2	0	0
VN021026	17	3	1	5	88	88	2	88	88	88
VN021027	1	59	2	3	2	0	2	2	0	0
VN021027	2	36	1	1	2	42	2	1	1	0
VN021027	3	34	2	1	2	42	2	1	0	0
VN021027	4	15	2	5	2	0	2	2	0	0
VN021027	5	12	1	5	2	0	2	2	0	0
VN021027	6	10	2	5	1	42	2	2	0	0
VN021027	17	2	2	5	88	88	2	88	88	88
VN021029	1	37	1	1	2	45	2	1	5	0
VN021029	2	34	2	1	2	42	2	1	0	0
VN021029	3	11	2	5	1	43	2	2	0	0
VN021029	17	2	2	5	88	88	2	88	88	88
VN021030	1	38	1	1	2	42	2	1	10	0
VN021030	2	39	2	1	2	0	2	1	0	0
VN021030	3	14	1	5	1	43	2	2	0	0
VN021030	4	13	2	5	2	42	2	2	0	0
VN021030	5	9	2	5	1	42	2	2	0	0
VN021030	6	5	2	5	2	0	2	2	0	0
VN021030	18	2	1	5	88	88	2	88	88	88
VN021031	1	37	1	1	2	42	2	1	20	0
VN021031	2	36	2	1	2	42	2	1	0	0
VN021031	3	16	1	5	2	42	2	1	0	0
VN021031	4	13	1	5	2	42	2	2	0	0
VN021031	5	10	1	5	1	42	2	2	0	0
VN021032	1	29	1	1	2	0	2	1	20	0
VN021032	2	29	2	1	2	42	2	1	0	0
VN021032	17	4	1	5	88	88	2	88	88	88
VN021033	1	32	2	1	2	0	2	1	0	0
VN021033	2	31	1	1	2	42	2	1	10	0
VN021033	3	10	1	5	1	42	2	2	0	0
VN021033	17	2	1	5	88	88	2	88	88	88
VN021034	1	33	1	1	2	43	2	1	10	0
VN021034	2	31	2	1	2	42	2	1	0	0
VN021034	3	12	1	5	1	42	2	2	0	0
VN021036	1	30	1	1	2	42	2	1	20	0
VN021036	2	30	2	1	2	42	2	1	0	0
VN021036	17	4	2	5	88	88	2	88	88	88
VN021037	1	40	1	1	2	0	2	1	10	0
VN021037	2	39	2	1	2	0	2	1	0	0
VN021037	3	18	1	5	2	0	2	2	0	0
VN021037	4	13	2	5	2	0	2	2	0	0
VN021037	5	12	2	5	1	43	2	2	0	0
VN021037	17	2	1	5	88	88	2	88	88	88
VN021038	1	32	1	1	2	44	2	1	0	0
VN021038	2	32	2	1	2	42	2	1	0	0
VN021038	3	10	1	5	1	42	2	2	0	0
VN021038	17	2	1	5	88	88	2	88	88	88
VN021039	1	39	1	1	2	45	2	1	1	0
VN021039	2	39	2	1	2	44	2	1	0	0
VN021039	3	6	1	5	1	42	2	2	0	0
VN021040	1	38	1	1	2	42	2	1	1	0
VN021040	2	37	2	1	2	43	2	1	0	0
VN021040	3	13	2	5	2	42	2	2	0	0
VN021040	4	11	1	5	1	42	2	2	0	0
VN021040	17	4	2	5	88	88	2	88	88	88
VN021041	1	48	1	1	2	42	2	1	0	0
VN021041	2	48	2	1	2	42	2	1	0	0
VN021041	3	21	1	5	2	42	2	1	0	0
VN021041	4	16	1	5	1	44	2	2	0	0
VN021041	5	13	2	5	1	43	2	2	0	0
VN021042	1	35	1	1	2	43	2	1	0	0
VN021042	2	34	2	1	2	43	2	1	0	0
VN021042	3	14	1	5	1	43	2	2	0	0
VN021042	4	12	1	5	1	43	2	2	0	0
VN021042	17	4	1	5	88	88	2	88	88	88
VN021043	1	35	1	1	2	43	2	1	4	0
VN021043	2	35	2	1	2	42	2	1	0	0
VN021043	3	14	2	5	1	43	2	2	0	0
VN021043	4	11	1	5	1	43	2	2	0	0
VN021043	5	5	1	5	2	0	2	2	0	0
VN021044	1	41	1	1	2	42	2	1	20	0
VN021044	2	36	2	1	2	42	2	1	0	0
VN021044	3	15	2	5	2	42	2	1	0	0
VN021044	4	11	1	5	1	43	2	2	0	0
VN021046	1	48	1	1	2	0	2	1	2	0
VN021046	2	48	2	1	2	0	2	1	0	0
VN021046	3	17	1	5	2	43	2	1	0	0
VN021046	4	14	2	5	2	42	2	1	0	0
VN021046	5	12	1	5	1	42	2	2	0	0
VN021047	1	29	1	1	2	42	2	1	10	0
VN021047	2	29	2	1	2	42	2	1	0	0
VN021047	3	6	1	5	1	42	2	2	0	0
VN021048	1	54	2	3	2	0	2	1	0	0
VN021048	2	32	1	1	2	42	2	1	1	0
VN021048	3	30	2	1	2	0	2	1	0	0
VN021048	4	11	1	5	1	43	2	2	0	0
VN021049	1	36	1	1	2	42	2	1	10	0
VN021049	2	31	2	1	2	42	2	1	0	0
VN021049	3	9	1	5	1	42	2	2	0	0
VN021049	4	5	1	5	2	0	2	2	0	0
VN021056	1	35	1	1	2	43	2	1	20	0
VN021056	2	12	1	5	2	43	2	2	0	0
VN021065	1	57	2	4	2	0	2	2	0	0
VN021065	2	40	2	1	2	0	2	1	0	0
VN021065	3	7	2	5	1	42	2	2	0	0
VN021069	1	39	1	1	2	42	2	1	5	0
VN021069	2	39	2	1	2	0	2	1	0	0
VN021069	3	15	1	5	1	44	2	2	0	0
VN021069	4	14	1	5	1	43	2	2	0	0
VN021069	5	10	2	5	1	42	2	2	0	0
VN021072	1	31	1	1	2	43	2	1	20	0
VN021072	2	30	2	1	2	43	2	1	0	0
VN021072	3	5	1	5	2	0	2	2	0	0
VN021078	1	35	2	1	2	42	2	1	0	0
VN021078	2	34	1	1	2	42	2	1	10	0
VN021078	3	18	1	5	1	44	2	2	0	0
VN021078	4	15	2	5	1	43	2	2	0	0
VN021078	5	12	1	5	1	43	2	2	0	0
VN021083	1	32	1	1	2	42	2	1	20	0
VN021083	2	31	2	1	2	42	2	1	0	0
VN021083	3	7	1	5	2	0	2	2	0	0
VN021089	1	35	1	1	2	43	2	1	0	0
VN021089	2	35	2	1	2	42	2	1	0	0
VN021089	3	15	2	5	1	43	2	2	0	0
VN021089	4	12	1	5	1	43	2	2	0	0
VN021090	1	31	1	1	2	43	2	1	0	0
VN021090	2	28	2	1	2	42	2	1	0	0
VN021090	3	5	1	5	2	0	2	2	0	0
VN021094	1	43	1	1	2	0	2	1	2	0
VN021094	2	39	2	1	2	0	2	1	0	0
VN021094	3	18	2	5	1	44	2	2	0	0
VN021094	4	15	2	5	1	43	2	2	0	0
VN021094	5	13	1	5	1	43	2	2	0	0
VN021094	6	10	1	5	1	42	2	2	0	0
VN031001	1	34	1	1	2	45	2	1	3	0
VN031001	2	32	2	1	2	45	2	1	0	0
VN031001	17	3	1	5	88	88	2	88	88	88
VN031002	1	43	1	1	2	43	2	1	0	0
VN031002	2	39	2	1	2	44	2	1	0	0
VN031002	3	17	1	5	2	42	2	1	0	0
VN031002	4	15	2	5	1	43	2	2	0	0
VN031002	5	13	2	5	1	42	2	2	0	0
VN031002	6	11	2	5	1	42	2	2	0	0
VN031003	1	59	1	3	2	42	2	2	5	0
VN031003	2	31	1	1	2	42	2	1	10	0
VN031003	3	25	1	4	2	42	2	1	10	0
VN031003	4	24	2	1	2	42	2	2	0	0
VN031003	5	5	1	5	2	0	2	2	0	0
VN031003	17	3	2	5	88	88	2	88	88	88
VN031004	1	75	2	3	2	0	2	2	3	0
VN031004	2	49	1	1	2	0	2	1	20	0
VN031004	3	48	2	1	2	0	2	1	5	0
VN031004	4	18	1	5	2	0	2	1	0	0
VN031004	5	16	1	5	2	42	2	1	0	0
VN031004	6	13	2	5	1	43	2	2	0	0
VN031005	1	38	1	1	2	42	2	1	0	0
VN031005	2	31	2	1	2	0	2	1	0	0
VN031005	3	10	1	5	1	42	2	2	0	0
VN031005	17	2	1	5	88	88	2	88	88	88
VN031006	1	47	1	1	2	42	2	1	20	0
VN031006	2	44	2	1	2	42	2	1	0	0
VN031006	3	17	1	5	2	42	2	2	0	0
VN031006	4	16	2	5	1	43	2	2	0	0
VN031006	5	14	2	5	2	42	2	2	0	0
VN031006	6	12	1	5	1	42	2	2	0	0
VN031006	17	2	1	5	88	88	2	88	88	88
VN031007	1	55	1	1	2	0	2	1	1	0
VN031007	2	42	2	1	2	0	2	1	1	0
VN031007	3	10	2	5	1	42	2	2	0	0
VN031008	1	45	1	1	2	42	2	1	10	0
VN031008	2	43	2	1	2	0	2	1	4	0
VN031008	3	21	2	5	2	0	2	2	4	0
VN031008	4	22	1	13	2	42	2	2	10	0
VN031008	5	18	2	5	2	0	2	2	6	0
VN031008	6	20	1	13	2	42	2	2	9	0
VN031008	7	14	1	5	1	43	2	2	0	0
VN031008	8	10	1	5	1	42	2	2	0	0
VN031008	9	6	2	5	1	42	2	2	0	0
VN031008	17	3	1	5	88	88	2	88	88	88
VN031008	18	0	1	13	88	88	2	88	88	88
VN031009	1	83	2	3	2	0	2	2	0	0
VN031009	2	45	1	1	2	0	2	1	20	0
VN031009	3	45	2	1	2	42	2	1	0	0
VN031009	4	20	1	5	2	42	2	1	0	0
VN031009	5	15	1	5	1	43	2	2	0	0
VN031009	6	13	1	5	1	42	2	2	0	0
VN031009	7	11	2	5	1	42	2	2	0	0
VN031010	1	43	1	1	2	42	2	1	20	0
VN031010	2	36	2	1	2	42	2	1	0	0
VN031010	3	12	1	5	1	43	2	2	0	0
VN031010	4	10	1	5	1	42	2	2	0	0
VN031011	1	38	1	1	2	44	2	1	3	0
VN031011	2	37	2	1	2	42	2	1	0	0
VN031011	3	16	2	5	1	44	2	2	0	0
VN031011	4	15	1	5	1	43	2	2	0	0
