CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDAYR5	ACTHRSR5	PYMRECR5	PDCASHR5	PDKINDR5	PDTIMER5	PDNMPCR5	KEEPMYR5
30005	1	2	1	12	30	2	0	 	 	 	 	 
30006	1	2	1	3	20	4	0	 	 	 	 	 
30006	2	3	1	2	15	1	0	 	 	 	 	 
30007	1	2	1	12	20	2	0	 	 	 	 	 
30007	2	3	1	12	20	1	0	 	 	 	 	 
30009	1	2	1	3	10	2	0	 	 	 	 	 
30010	1	6	2	2	30	12	1	80	 	2	 	1
30011	1	2	1	12	30	3	0	 	 	 	 	 
30013	1	2	1	12	26	1	0	 	 	 	 	 
30014	1	2	1	12	30	1	0	 	 	 	 	 
30015	1	2	1	12	30	1	0	 	 	 	 	 
30016	1	2	1	12	20	2	0	 	 	 	 	 
30018	1	2	1	12	30	1	0	 	 	 	 	 
30019	1	2	1	12	26	1	0	 	 	 	 	 
30020	1	2	1	12	15	2	0	 	 	 	 	 
30020	2	3	1	12	14	1	0	 	 	 	 	 
30021	1	2	1	12	30	3	0	 	 	 	 	 
30022	1	2	1	12	30	3	0	 	 	 	 	 
30023	1	2	1	12	15	2	0	 	 	 	 	 
30024	1	2	1	12	30	1	0	 	 	 	 	 
30025	1	2	1	12	20	2	0	 	 	 	 	 
30026	1	2	1	12	30	3	0	 	 	 	 	 
30027	1	2	1	10	30	2	0	 	 	 	 	 
30027	2	6	2	2	26	9	1	100	 	3	 	1
30028	1	2	1	12	10	1	0	 	 	 	 	 
30028	2	3	1	12	15	2	0	 	 	 	 	 
30029	1	2	1	12	30	1	0	 	 	 	 	 
30032	1	2	1	12	26	1	0	 	 	 	 	 
30032	2	6	3	3	26	8	1	50	 	2	 	2
30033	1	2	1	12	22	1	0	 	 	 	 	 
30034	1	2	1	10	25	3	0	 	 	 	 	 
30035	1	2	1	12	30	1	0	 	 	 	 	 
30036	1	2	1	12	15	1	0	 	 	 	 	 
30037	1	2	1	12	24	1	0	 	 	 	 	 
30039	1	2	1	12	20	2	0	 	 	 	 	 
30039	2	3	1	10	15	2	0	 	 	 	 	 
30040	1	2	1	12	20	2	0	 	 	 	 	 
30041	1	2	1	8	15	3	0	 	 	 	 	 
30041	2	3	1	4	20	1	0	 	 	 	 	 
30043	1	2	1	12	15	2	0	 	 	 	 	 
30043	2	3	1	12	15	1	0	 	 	 	 	 
30044	1	3	1	6	10	1	0	 	 	 	 	 
30045	1	2	1	12	30	1	0	 	 	 	 	 
30046	1	2	1	12	20	2	0	 	 	 	 	 
30047	1	2	1	12	30	2	0	 	 	 	 	 
30048	1	2	1	12	30	1	0	 	 	 	 	 
30051	1	6	2	3	26	9	1	400	 	3	 	2
30052	1	2	1	12	26	1	0	 	 	 	 	 
30053	1	2	1	12	20	2	0	 	 	 	 	 
30054	1	2	1	12	10	1	0	 	 	 	 	 
30055	1	2	1	12	30	2	0	 	 	 	 	 
30055	2	1	1	12	12	1	0	 	 	 	 	 
30056	1	2	1	12	30	2	0	 	 	 	 	 
30057	1	2	1	12	30	2	0	 	 	 	 	 
30058	1	2	1	6	10	2	0	 	 	 	 	 
30059	1	2	1	12	15	2	0	 	 	 	 	 
30060	1	2	1	12	30	2	0	 	 	 	 	 
30061	1	2	1	12	10	2	0	 	 	 	 	 
30061	2	3	1	12	30	1	0	 	 	 	 	 
30062	1	2	1	12	30	4	0	 	 	 	 	 
30062	2	1	1	12	26	2	0	 	 	 	 	 
30062	3	3	1	12	30	1	0	 	 	 	 	 
30064	1	2	1	12	30	2	0	 	 	 	 	 
30065	1	2	1	12	8	1	0	 	 	 	 	 
30066	1	2	1	12	16	2	0	 	 	 	 	 
30067	1	2	1	12	20	2	0	 	 	 	 	 
30067	2	3	1	12	20	2	0	 	 	 	 	 
30068	1	2	1	12	30	2	0	 	 	 	 	 
30069	1	2	1	12	30	1	0	 	 	 	 	 
30070	1	2	1	12	30	2	0	 	 	 	 	 
30071	1	2	1	12	22	3	0	 	 	 	 	 
30072	1	2	1	12	30	1	0	 	 	 	 	 
30073	1	2	1	12	20	3	0	 	 	 	 	 
30074	1	2	1	12	30	2	0	 	 	 	 	 
30077	1	3	1	12	10	2	0	 	 	 	 	 
30078	1	2	1	12	30	1	0	 	 	 	 	 
30079	1	2	1	12	28	1	0	 	 	 	 	 
30080	1	2	1	12	20	2	0	 	 	 	 	 
30080	2	3	1	12	20	1	0	 	 	 	 	 
30081	1	2	1	5	15	3	0	 	 	 	 	 
30082	1	2	1	12	30	1	0	 	 	 	 	 
30083	1	2	1	12	15	2	0	 	 	 	 	 
30084	1	2	1	12	30	1	0	 	 	 	 	 
30085	1	2	1	2	15	1	0	 	 	 	 	 
30085	2	3	1	12	20	1	0	 	 	 	 	 
30086	1	2	1	12	26	2	0	 	 	 	 	 
30087	1	2	1	12	30	1	0	 	 	 	 	 
30087	2	3	1	12	26	1	0	 	 	 	 	 
30088	1	2	1	12	22	1	0	 	 	 	 	 
30088	2	3	1	12	15	1	0	 	 	 	 	 
30089	1	2	1	3	10	3	0	 	 	 	 	 
30090	1	2	1	12	30	2	0	 	 	 	 	 
30091	1	2	1	12	30	2	0	 	 	 	 	 
30093	1	2	1	12	10	1	0	 	 	 	 	 
30093	2	4	1	8	30	2	1	500	 	4	 	1
30094	1	2	1	11	15	3	0	 	 	 	 	 
30095	1	2	1	12	15	3	0	 	 	 	 	 
30097	1	2	1	12	30	1	0	 	 	 	 	 
30098	1	2	1	12	30	2	0	 	 	 	 	 
30098	2	3	1	12	30	2	0	 	 	 	 	 
30098	3	4	1	2	30	2	1	8	 	2	 	2
30100	1	2	1	12	30	1	0	 	 	 	 	 
40001	1	2	1	10	20	2	0	 	 	 	 	 
40002	1	2	1	12	20	1	0	 	 	 	 	 
40003	1	2	1	11	15	3	0	 	 	 	 	 
40003	2	3	1	11	15	1	0	 	 	 	 	 
40004	1	3	1	7	15	2	0	 	 	 	 	 
40005	1	2	1	10	20	2	0	 	 	 	 	 
40006	1	2	1	12	24	2	0	 	 	 	 	 
40008	1	2	1	12	6	3	0	 	 	 	 	 
40009	1	6	2	10	20	8	1	50	 	2	 	2
40009	2	2	1	8	22	2	0	 	 	 	 	 
40009	3	3	1	9	20	2	0	 	 	 	 	 
40010	1	3	1	12	20	2	0	 	 	 	 	 
40010	2	2	1	12	18	1	0	 	 	 	 	 
40011	1	2	1	12	30	2	0	 	 	 	 	 
40012	1	7	2	12	30	8	1	-77	 	6	9	2
40013	1	4	2	6	22	4	0	 	 	 	 	 
40013	2	2	1	12	30	2	0	 	 	 	 	 
40015	1	2	1	12	30	2	0	 	 	 	 	 
40016	1	2	1	12	28	2	0	 	 	 	 	 
40017	1	3	1	12	26	4	0	 	 	 	 	 
40017	2	2	1	12	22	2	0	 	 	 	 	 
40018	1	4	1	12	16	5	0	 	 	 	 	 
40019	1	2	1	10	20	1	0	 	 	 	 	 
40020	1	2	2	12	8	1	0	 	 	 	 	 
40021	1	2	1	10	26	3	0	 	 	 	 	 
40022	1	2	1	10	26	1	0	 	 	 	 	 
40022	2	3	1	5	30	2	0	 	 	 	 	 
40023	1	4	1	10	22	4	0	 	 	 	 	 
40023	2	3	1	10	20	1	0	 	 	 	 	 
40024	1	2	1	12	30	2	0	 	 	 	 	 
40024	2	3	1	12	16	1	0	 	 	 	 	 
40025	1	2	1	12	21	1	0	 	 	 	 	 
40026	1	2	1	12	22	2	0	 	 	 	 	 
40027	1	2	1	12	30	4	0	 	 	 	 	 
40028	1	2	1	12	22	4	0	 	 	 	 	 
40028	2	3	1	12	22	3	0	 	 	 	 	 
40029	1	3	1	10	22	1	0	 	 	 	 	 
40029	2	2	1	10	22	2	0	 	 	 	 	 
40030	1	3	1	12	22	2	0	 	 	 	 	 
40031	1	2	1	12	22	3	0	 	 	 	 	 
40031	2	3	1	12	22	2	0	 	 	 	 	 
40032	1	2	1	12	25	2	0	 	 	 	 	 
40033	1	1	1	12	18	4	0	 	 	 	 	 
40033	2	2	1	12	16	3	0	 	 	 	 	 
40034	1	2	1	12	30	4	0	 	 	 	 	 
40034	2	3	1	12	22	3	0	 	 	 	 	 
40035	1	2	1	12	22	4	0	 	 	 	 	 
40036	1	2	1	12	30	2	0	 	 	 	 	 
40036	2	6	1	1	15	9	1	40	 	2	 	2
40037	1	2	1	11	15	2	0	 	 	 	 	 
40038	1	2	1	7	16	1	0	 	 	 	 	 
40039	1	2	1	5	10	1	0	 	 	 	 	 
40040	1	2	1	10	22	4	0	 	 	 	 	 
40041	1	2	1	12	30	3	0	 	 	 	 	 
40041	2	3	1	12	8	1	0	 	 	 	 	 
40042	1	2	1	12	30	2	0	 	 	 	 	 
40043	1	2	1	5	22	2	0	 	 	 	 	 
40043	2	3	1	6	26	1	0	 	 	 	 	 
40044	1	2	1	12	30	2	0	 	 	 	 	 
40045	1	7	2	12	30	5	1	30	 	7	 	2
40046	1	2	1	12	26	1	0	 	 	 	 	 
40046	2	7	1	12	30	2	0	 	 	 	 	 
40047	1	2	1	12	30	4	0	 	 	 	 	 
40048	1	7	1	12	20	1	0	 	 	 	 	 
40050	1	2	1	12	30	3	0	 	 	 	 	 
40051	1	2	1	12	22	5	0	 	 	 	 	 
40053	1	2	1	12	30	2	0	 	 	 	 	 
40053	2	3	1	12	30	2	0	 	 	 	 	 
40054	1	2	1	9	30	2	0	 	 	 	 	 
40054	2	3	1	9	30	1	0	 	 	 	 	 
40055	1	7	1	12	30	3	0	 	 	 	 	 
40055	2	2	1	12	30	2	0	 	 	 	 	 
40055	3	3	1	12	30	1	0	 	 	 	 	 
40056	1	2	1	8	12	1	0	 	 	 	 	 
40057	1	2	1	12	22	3	0	 	 	 	 	 
40057	2	3	1	12	22	3	0	 	 	 	 	 
40058	1	2	1	12	30	4	0	 	 	 	 	 
40059	2	7	1	12	18	3	0	 	 	 	 	 
40059	3	2	1	12	15	1	0	 	 	 	 	 
40059	4	6	1	1	14	3	1	25	 	2	 	1
40060	1	2	1	12	24	3	0	 	 	 	 	 
40061	1	2	1	12	15	2	0	 	 	 	 	 
40064	1	2	1	12	30	4	0	 	 	 	 	 
40064	2	3	1	12	30	2	0	 	 	 	 	 
40065	1	2	1	12	20	3	0	 	 	 	 	 
40065	2	3	1	12	20	1	0	 	 	 	 	 
40067	1	2	1	12	30	2	0	 	 	 	 	 
40068	1	2	1	12	22	4	0	 	 	 	 	 
40070	1	2	1	12	30	2	0	 	 	 	 	 
40070	2	4	1	12	20	1	0	 	 	 	 	 
40071	1	2	1	12	25	3	0	 	 	 	 	 
40071	2	6	2	2	22	10	0	 	 	 	 	 
40072	1	2	1	12	30	1	0	 	 	 	 	 
40072	2	1	1	12	30	2	0	 	 	 	 	 
40073	1	2	1	10	22	4	0	 	 	 	 	 
40073	2	3	1	10	22	2	0	 	 	 	 	 
40074	1	1	1	12	30	1	0	 	 	 	 	 
40074	2	2	1	12	30	2	0	 	 	 	 	 
40075	1	2	1	12	30	2	0	 	 	 	 	 
40076	1	2	1	12	30	4	0	 	 	 	 	 
40077	1	2	1	12	30	2	0	 	 	 	 	 
40077	2	3	1	12	30	2	0	 	 	 	 	 
40078	1	4	1	12	30	6	0	 	 	 	 	 
40078	2	2	1	12	12	2	0	 	 	 	 	 
40079	1	2	1	12	4	1	0	 	 	 	 	 
40080	1	2	1	12	30	3	0	 	 	 	 	 
40082	1	2	1	12	20	2	0	 	 	 	 	 
40082	2	3	1	12	15	1	0	 	 	 	 	 
40083	1	2	1	12	30	4	0	 	 	 	 	 
40084	1	3	1	12	30	2	0	 	 	 	 	 
40084	2	2	1	12	30	2	0	 	 	 	 	 
40085	1	2	1	3	8	1	0	 	 	 	 	 
40086	1	2	1	12	30	3	0	 	 	 	 	 
40087	1	2	1	12	22	4	0	 	 	 	 	 
40089	1	2	1	12	26	2	0	 	 	 	 	 
40090	1	2	1	12	16	3	0	 	 	 	 	 
40091	1	3	1	12	30	3	0	 	 	 	 	 
40091	2	2	1	12	30	2	0	 	 	 	 	 
40092	1	2	1	12	26	3	0	 	 	 	 	 
40094	1	2	1	12	30	3	0	 	 	 	 	 
40095	1	2	1	12	10	1	0	 	 	 	 	 
40097	1	4	1	12	24	3	0	 	 	 	 	 
40097	2	2	1	12	20	1	0	 	 	 	 	 
40098	1	2	1	12	22	4	0	 	 	 	 	 
40100	1	2	1	12	30	3	0	 	 	 	 	 
50001	1	1	1	12	26	3	0	 	 	 	 	 
50001	2	2	1	12	20	2	0	 	 	 	 	 
50001	3	3	1	10	15	1	0	 	 	 	 	 
50002	1	2	1	12	15	2	0	 	 	 	 	 
50002	2	3	1	12	20	1	0	 	 	 	 	 
50003	1	2	1	10	22	4	0	 	 	 	 	 
50003	2	1	1	3	15	2	0	 	 	 	 	 
50004	1	2	1	12	20	3	0	 	 	 	 	 
50006	1	2	1	12	30	3	0	 	 	 	 	 
50008	1	7	1	10	20	5	0	 	 	 	 	 
50008	2	1	1	2	20	11	0	 	 	 	 	 
50009	1	1	1	12	26	5	0	 	 	 	 	 
50009	2	2	1	12	15	3	0	 	 	 	 	 
50009	3	3	1	12	15	2	0	 	 	 	 	 
50010	1	1	1	12	26	5	0	 	 	 	 	 
50010	2	2	1	12	20	2	0	 	 	 	 	 
50010	3	3	1	12	30	1	0	 	 	 	 	 
50011	1	1	1	12	26	5	0	 	 	 	 	 
50011	2	2	1	12	15	2	0	 	 	 	 	 
50012	1	2	1	12	20	3	0	 	 	 	 	 
50014	1	2	1	12	22	4	0	 	 	 	 	 
50016	1	2	1	12	5	4	0	 	 	 	 	 
50017	1	2	1	9	10	1	0	 	 	 	 	 
50018	1	2	1	10	20	3	0	 	 	 	 	 
50018	2	3	1	12	22	2	0	 	 	 	 	 
50019	1	2	1	12	20	3	0	 	 	 	 	 
50019	2	1	1	12	20	2	0	 	 	 	 	 
50019	3	3	1	12	15	1	0	 	 	 	 	 
50020	1	1	1	10	20	4	0	 	 	 	 	 
50020	2	2	1	10	20	2	0	 	 	 	 	 
50021	1	7	1	12	30	10	0	 	 	 	 	 
50021	2	2	1	12	30	2	0	 	 	 	 	 
50021	3	2	1	1	30	1	0	 	 	 	 	 
50022	1	1	1	10	22	4	0	 	 	 	 	 
50022	2	2	1	12	22	2	0	 	 	 	 	 
50023	1	7	1	12	15	5	0	 	 	 	 	 
50023	2	2	1	12	8	4	0	 	 	 	 	 
50024	1	2	1	12	25	8	0	 	 	 	 	 
50024	2	1	1	3	15	4	0	 	 	 	 	 
50026	1	2	1	12	26	2	0	 	 	 	 	 
