CHILDCODE	EDCHSTR5	EDAGR5	ATDSCHR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	ZONER5	SCHNMER5
20042	3	14	1	6	1	1	 	 	 	 
20042	4	15	1	7	4	1	 	 	 	 
20044	1	12	1	4	2	1	4	14	1402	505
20044	2	13	1	4	1	1	 	 	 	 
20044	3	14	1	5	1	1	 	 	 	 
20044	4	15	1	6	4	1	 	 	 	 
20045	1	11	1	6	1	1	4	14	1401	121
20045	2	12	1	7	1	1	 	 	 	 
20045	3	13	1	8	1	1	 	 	 	 
20045	4	14	1	9	4	0	4	14	1401	1603
20046	1	13	1	7	1	1	1	14	1401	1614
20046	2	14	1	8	1	1	 	 	 	 
20046	3	15	1	9	1	1	 	 	 	 
20046	4	16	1	10	4	1	 	 	 	 
20047	1	11	1	6	1	1	1	14	1401	1604
20047	2	12	1	7	3	1	 	 	 	 
20047	3	13	1	7	1	1	 	 	 	 
20047	4	14	1	8	4	1	 	 	 	 
20048	1	11	1	6	1	1	1	14	1401	1605
20048	2	12	1	7	1	1	 	 	 	 
20048	3	13	1	8	1	0	1	14	1402	1606
20048	4	14	1	9	4	0	1	14	1401	1607
20049	1	12	1	5	1	1	4	14	1401	121
20049	2	13	1	6	1	1	 	 	 	 
20049	3	14	1	7	1	1	 	 	 	 
20049	4	15	1	8	4	1	 	 	 	 
20050	1	13	1	7	1	1	4	14	1401	121
20050	2	14	1	8	1	1	 	 	 	 
20050	3	15	1	9	1	0	4	14	1401	1603
20050	4	16	1	10	4	1	 	 	 	 
20051	1	12	1	6	2	1	4	14	1401	121
20051	2	13	1	6	1	1	 	 	 	 
20051	3	14	1	7	1	1	 	 	 	 
20051	4	15	1	8	4	1	 	 	 	 
20052	1	12	1	6	1	1	4	14	1401	121
20052	2	13	1	7	2	1	 	 	 	 
20052	3	14	1	7	1	1	 	 	 	 
20052	4	15	1	8	4	1	 	 	 	 
20053	1	12	1	7	1	1	4	14	1401	1601
20053	2	13	1	8	1	1	 	 	 	 
20053	3	14	1	9	1	0	4	14	1401	1608
20053	4	15	1	10	4	1	 	 	 	 
20054	1	13	1	4	1	1	4	4	408	1609
20054	2	14	1	5	3	1	 	 	 	 
20054	3	15	1	5	1	1	 	 	 	 
20054	4	16	1	6	4	1	 	 	 	 
20055	1	11	1	6	1	1	4	14	1401	121
20055	2	12	1	7	2	1	 	 	 	 
20055	3	13	1	7	1	1	 	 	 	 
20055	4	14	1	8	4	1	 	 	 	 
20056	1	12	1	5	2	1	4	14	1401	62
20056	2	13	1	5	1	1	 	 	 	 
20056	3	14	1	6	1	1	 	 	 	 
20056	4	15	1	7	4	1	 	 	 	 
20058	1	11	1	6	1	1	1	4	9999	974
20058	2	12	1	7	1	1	 	 	 	 
20058	3	13	1	8	1	1	 	 	 	 
20058	4	14	1	9	4	0	1	4	9999	1610
20059	1	12	1	6	1	0	4	14	1403	752
20059	2	13	1	7	2	0	4	14	1401	62
20059	3	14	1	7	1	1	 	 	 	 
20059	4	15	1	8	4	1	 	 	 	 
20060	1	12	1	6	1	1	2	14	1401	1611
20060	2	13	1	7	1	1	 	 	 	 
20060	3	14	1	8	1	1	 	 	 	 
20060	4	15	1	9	4	0	1	14	1401	1612
20061	1	12	1	6	1	1	1	14	1401	1613
20061	2	13	1	7	1	1	 	 	 	 
20061	3	14	1	8	1	1	 	 	 	 
20061	4	15	1	9	4	0	1	14	1401	1614
20062	1	11	1	6	2	1	4	14	1401	505
20062	2	12	1	6	1	1	 	 	 	 
20062	3	13	1	7	1	1	 	 	 	 
20062	4	14	1	8	4	1	 	 	 	 
20064	1	11	1	7	1	1	4	14	1401	121
20064	2	12	1	8	1	1	 	 	 	 
20064	3	13	1	9	1	0	4	14	1401	1603
20064	4	14	1	10	4	1	 	 	 	 
20065	1	11	1	6	1	1	4	14	1401	121
20065	2	12	1	7	1	1	 	 	 	 
20065	3	13	1	8	1	1	 	 	 	 
20065	4	14	1	9	4	0	4	14	1401	1601
20066	1	11	1	4	1	1	4	14	1401	63
20066	2	12	1	5	1	1	 	 	 	 
20066	3	13	1	6	1	1	 	 	 	 
20066	4	14	1	7	4	1	 	 	 	 
20067	1	12	1	6	1	1	4	14	1401	121
20067	2	13	1	7	1	1	 	 	 	 
20067	3	14	1	8	2	1	 	 	 	 
20067	4	15	1	8	4	1	 	 	 	 
20068	1	12	1	7	2	1	4	14	1401	505
20068	2	13	1	7	1	1	 	 	 	 
20068	3	14	1	8	2	1	 	 	 	 
20068	4	15	1	8	4	1	 	 	 	 
20070	1	12	1	5	1	1	4	14	1401	121
20070	2	13	1	6	1	1	 	 	 	 
20070	3	14	1	7	1	1	 	 	 	 
20070	4	15	1	8	4	1	 	 	 	 
20071	1	12	1	7	1	1	4	14	1401	505
20071	2	13	1	8	1	1	 	 	 	 
