PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN012	21	1	5	 	 	52	1	4	8	52
IN012	22	1	3	 	 	40	1	3	8	40
IN012	23	1	2	 	 	55	1	3	8	55
IN012	24	1	4	 	 	22	2	1	8	4
IN012	25	2	5	 	 	45	1	3	8	45
IN012	26	1	5	 	 	38	1	4	8	38
IN013	1	1	1	2	4	40	1	3	2	40
IN013	2	1	1	4	5	45	2	3	2	28
IN013	3	1	2	3	4	48	1	3	2	48
IN013	4	1	3	5	 	55	2	3	2	40
IN013	5	1	3	 	 	60	1	3	2	60
IN013	6	1	1	2	3	66	1	3	8	66
IN013	7	1	5	 	 	45	2	3	2	30
IN013	8	1	4	 	 	60	1	2	2	60
IN013	9	1	4	5	 	55	1	2	2	55
IN013	10	1	5	 	 	38	1	4	2	38
IN013	11	2	5	4	 	38	2	2	6	20
IN013	12	2	5	2	 	34	2	3	4	4
IN013	13	2	2	 	 	30	2	3	8	12
IN013	14	2	3	1	5	31	1	3	4	5
IN013	15	2	3	1	 	30	1	3	4	3
IN013	16	2	1	2	 	30	2	3	2	10
IN013	17	2	3	1	 	35	1	3	2	35
IN013	18	1	5	 	 	33	1	4	2	33
IN013	19	2	4	 	 	35	2	3	3	5
IN013	20	2	4	 	 	20	2	1	3	20
IN013	21	1	5	 	 	36	1	4	2	36
IN013	22	2	4	 	 	35	1	3	3	1
IN014	1	1	1	2	3	45	1	3	2	45
IN014	2	1	1	2	3	35	1	1	8	35
IN014	3	1	1	2	3	69	1	3	1	69
IN014	4	1	1	5	 	42	1	3	2	42
IN014	5	2	1	2	4	28	2	3	4	28
IN014	6	2	1	2	 	48	2	3	8	20
IN014	7	2	1	4	2	30	2	3	6	12
IN014	8	2	1	4	5	38	2	3	1	20
IN014	9	1	4	5	 	48	1	3	2	45
IN014	10	1	4	5	 	44	1	3	2	44
IN014	11	1	4	5	 	65	1	3	2	50
IN014	12	1	4	5	 	50	2	3	2	35
IN014	13	1	5	 	 	55	1	4	2	50
IN014	14	1	5	 	 	50	1	3	9	3
IN014	15	1	2	3	 	29	2	3	9	3
IN014	16	2	5	3	 	30	2	3	6	12
IN014	17	2	3	5	 	36	1	3	4	1
IN014	18	2	3	5	 	46	1	3	4	1
IN015	1	1	2	4	3	32	2	3	1	32
IN015	2	1	1	2	3	456	1	4	9	1
IN015	3	1	1	2	4	44	1	3	8	44
IN015	4	1	3	 	 	40	2	3	8	22
IN015	5	2	3	1	 	54	1	3	4	3
IN015	6	2	1	3	 	57	1	3	4	6
IN015	7	1	5	 	 	30	1	4	8	8
IN015	8	2	1	3	 	42	1	4	4	4
IN015	9	2	3	 	 	38	2	3	4	3
IN015	10	1	5	1	 	37	1	3	8	37
IN015	11	1	5	 	 	30	1	3	8	10
IN015	12	1	5	3	4	45	1	3	8	45
IN015	13	2	5	 	 	31	2	3	8	12
IN015	14	2	4	 	 	30	2	3	8	10
IN015	15	1	1	3	5	80	1	3	1	80
IN015	16	2	2	 	 	33	2	3	8	19
IN015	17	2	4	 	 	35	2	3	8	35
IN015	18	1	5	 	 	29	1	4	8	10
IN015	19	1	5	 	 	34	1	4	8	34
IN015	20	2	3	 	 	42	1	3	8	42
IN015	21	2	2	 	 	28	2	3	8	9
IN015	22	2	2	 	 	34	2	3	8	13
IN015	23	2	3	 	 	44	1	3	8	44
IN015	24	2	5	4	 	80	1	3	1	80
IN015	25	2	5	 	 	45	1	3	8	45
IN015	26	2	4	 	 	48	1	3	3	13
IN015	27	2	4	 	 	57	1	3	3	5
IN015	28	2	4	 	 	25	2	3	3	4
IN016	1	1	1	2	3	33	1	3	4	33
IN016	2	1	1	3	5	28	1	3	4	28
IN016	3	1	2	4	5	40	1	3	2	40
IN016	4	1	2	4	5	30	1	3	2	30
IN016	5	1	2	5	1	38	1	3	2	38
IN016	6	1	3	5	 	38	1	3	2	38
IN016	7	1	4	3	5	35	2	3	6	20
IN016	8	2	1	2	5	27	2	3	4	10
IN016	9	2	1	5	2	46	2	3	8	30
IN016	10	1	5	 	 	23	2	3	6	5
IN016	11	1	1	2	3	39	1	4	9	0
IN016	12	1	5	 	 	40	2	3	6	35
IN016	13	2	3	2	4	38	2	3	6	20
IN016	14	2	3	5	4	40	1	3	2	40
IN016	15	2	3	5	1	42	1	3	4	5
IN016	16	2	3	 	 	44	2	3	4	1
IN016	17	2	3	4	 	35	2	3	6	20
IN016	18	1	5	 	 	36	1	4	2	36
IN016	19	1	4	5	 	28	1	3	2	28
IN016	20	1	4	5	 	55	2	3	2	55
IN016	21	1	4	5	 	55	1	3	2	55
IN016	22	2	2	4	 	50	2	3	2	50
IN016	23	2	2	4	 	30	2	3	2	30
IN016	24	2	2	4	 	50	2	3	2	50
IN016	25	2	5	 	 	50	2	3	2	50
IN016	26	2	5	 	 	35	2	3	2	35
IN016	27	2	5	 	 	35	2	3	2	35
IN016	28	1	2	4	 	40	2	3	2	12
IN016	29	1	2	4	 	50	2	3	2	35
IN016	30	1	3	4	 	50	2	3	2	35
IN016	31	1	3	4	 	38	2	3	2	20
IN016	32	2	4	 	 	48	1	3	3	13
IN016	33	2	4	 	 	57	1	3	3	5
IN017	1	1	4	5	 	45	1	3	8	45
IN017	2	1	3	 	 	58	1	1	8	58
IN017	3	1	4	 	 	56	1	1	8	56
IN017	4	1	1	3	4	59	1	3	8	59
IN017	5	1	1	2	3	47	2	3	8	33
IN017	6	1	1	2	3	32	1	1	9	1
IN017	7	1	4	5	 	27	2	3	8	15
IN017	8	1	4	 	 	63	1	1	8	60
IN017	9	1	3	2	5	48	1	3	8	48
IN017	10	1	3	 	 	52	1	3	8	52
IN017	11	1	5	 	 	28	1	4	8	28
IN017	12	1	5	 	 	58	2	4	8	41
IN017	13	 	 	 	 	42	2	4	8	24
IN017	14	1	5	 	 	32	1	3	8	32
IN017	15	1	5	 	 	52	1	4	8	52
