PLACEID	ANMLFDID	PRICE	ACCOUNT
IN036	2	120	1
IN036	3	24	2
IN036	4	10	3
IN037	1	10	3
IN037	2	60	1
IN037	3	120	1
IN037	4	2	2
IN038	1	70	1
IN038	2	100	1
IN038	3	2.29999995231628	2
IN038	4	6	3
IN038	5	30	1
IN040	1	60	1
IN040	2	130	1
IN040	3	10	3
IN040	4	2	2
IN040	5	40	1
IN041	1	70	1
IN041	2	120	1
IN041	3	10	3
IN041	4	35	1
IN042	1	60	1
IN042	2	100	1
IN042	3	26	2
IN042	4	8	3
IN043	1	60	1
IN043	2	140	1
IN043	3	2	2
IN043	4	10	3
IN044	1	50	1
IN044	2	100	1
IN044	3	10	3
IN044	4	2	1
IN045	1	50	1
IN045	2	100	1
IN045	3	2	2
IN045	4	10	3
IN046	1	45	1
IN046	2	10	3
IN046	3	2	2
IN047	1	15	3
IN047	2	2	2
IN047	3	60	1
IN047	4	60	1
IN047	5	40	1
IN047	6	150	1
IN047	7	40	1
IN048	1	15	3
IN048	2	2	2
IN048	3	60	1
IN048	4	60	1
IN048	5	40	1
IN048	6	150	1
IN048	7	50	1
IN049	1	2	2
IN049	2	55	1
IN049	3	40	1
IN049	4	140	1
IN049	5	45	1
IN050	1	11	3
IN050	2	2	2
IN050	3	65	1
IN050	4	50	1
IN050	5	50	1
IN050	6	100	1
IN050	7	40	1
IN051	1	2	2
IN051	2	70	1
IN051	3	40	1
IN051	4	140	1
IN051	5	45	1
IN052	1	2	2
IN052	2	65	1
IN052	3	140	1
IN052	4	40	1
IN052	5	50	1
IN053	1	11	3
IN053	2	2	2
IN053	3	60	1
IN053	4	70	1
IN053	5	140	1
IN054	1	10	3
IN054	2	2	2
IN054	3	65	1
IN054	4	50	1
IN054	5	50	1
IN054	6	100	1
IN054	7	40	1
IN055	1	12	3
IN055	2	2	2
IN055	3	63	1
IN055	4	45	1
IN055	5	50	1
IN055	6	130	1
IN056	1	9	3
IN056	2	2	2
IN056	3	60	1
IN056	4	50	1
IN056	5	130	1
IN056	6	40	1
IN056	7	65	1
IN057	1	2	2
IN057	2	12	3
IN057	3	70	1
IN057	4	130	1
IN057	5	70	1
IN058	1	130	1
IN058	2	80	1
IN058	3	35	1
IN058	4	2	2
IN058	5	100	1
IN058	6	12	3
IN060	1	10	3
IN060	2	2	2
IN060	3	80	1
IN060	4	130	1
IN060	5	35	1
IN061	1	2.5	2
IN061	2	80	1
IN061	3	120	1
IN061	4	10	3
IN061	5	45	1
IN062	1	2	2
IN062	2	12	3
IN062	3	80	1
IN062	4	120	1
IN062	5	40	1
IN063	1	8	3
IN063	2	120	2
IN063	3	70	1
IN063	4	2	2
IN063	5	35	1
IN064	1	40	1
IN064	2	10	3
IN064	3	120	1
IN064	4	70	1
IN064	5	2	2
IN065	1	10	3
IN065	2	2.5	2
IN065	3	80	1
IN065	4	100	1
IN065	5	30	1
IN066	1	5	3
IN066	2	2.5	2
IN066	3	80	1
IN066	4	120	1
IN066	5	30	1
IN067	1	2	2
IN067	2	80	1
IN067	3	120	1
IN067	4	100	1
IN067	5	10	3
IN068	1	10	3
IN068	2	2	2
IN068	3	80	1
IN068	4	130	1
IN069	1	2.5	2
IN069	2	6	3
IN069	3	120	1
IN069	4	80	1
IN069	5	40	1
IN070	1	120	1
IN070	2	70	1
IN070	3	2	2
IN070	4	11	3
IN070	5	40	1
IN071	1	2	2
IN071	2	70	1
IN071	3	120	1
IN071	4	20	1
IN071	5	12	3
IN072	1	70	1
IN072	2	2	2
IN072	3	135	1
IN072	4	12	3
IN073	1	50	1
IN073	2	55	1
IN073	3	2	2
IN073	4	10	3
IN074	1	70	1
IN074	2	2	2
IN074	3	45	1
IN074	4	120	1
IN074	5	12	3
IN075	1	70	1
IN075	2	120	1
IN075	3	30	1
IN075	4	2	2
IN075	5	12	3
IN076	1	10	3
IN076	2	2.5	2
IN076	3	80	1
IN076	4	120	1
IN076	5	30	1
IN077	1	120	1
IN077	2	70	1
IN077	3	2	2
IN077	4	10	3
IN077	5	30	2
IN078	1	120	1
IN078	2	70	1
IN078	3	2	2
IN078	4	10	3
IN079	1	8	3
IN079	2	2	2
IN079	3	70	1
IN079	4	100	1
IN079	5	30	1
IN080	1	8	3
IN080	2	2	2
IN080	3	120	1
IN080	4	70	1
IN080	5	40	1
IN081	1	75	1
IN081	2	40	1
IN081	3	1.75	2
IN081	4	130	1
IN081	5	10	3
IN082	1	12	3
IN082	2	2	2
IN082	3	70	1
IN082	4	130	1
IN083	1	70	1
IN083	2	140	1
IN083	3	2	2
IN083	4	10	3
IN084	1	70	1
IN084	2	2	2
IN084	3	11	3
IN085	1	70	1
IN085	2	2	2
IN085	3	140	1
IN085	4	40	1
IN085	5	10	3
IN086	1	140	1
IN086	2	70	1
IN086	3	2	2
IN086	4	50	1
IN087	1	70	1
IN087	2	150	1
IN087	3	2	2
IN087	4	15	3
IN087	5	50	1
IN088	1	18	3
IN088	2	2	2
IN088	3	70	1
IN088	4	60	1
IN088	5	140	1
IN089	1	70	1
IN089	2	160	1
IN089	3	20	3
IN089	4	1.75	2
IN090	1	70	1
IN090	2	160	1
IN090	3	16	3
IN090	4	1.75	2
IN091	1	40	1
IN091	2	40	1
IN091	3	140	1
IN091	4	1.75	2
IN091	5	15	3
IN092	1	10	3
IN092	2	2	2
IN092	3	65	1
IN092	4	120	1
IN092	5	30	1
IN093	1	80	1
IN093	2	40	1
IN093	3	150	1
IN093	4	2	2
IN093	5	12	3
IN094	1	60	1
IN094	2	50	1
IN094	3	160	1
IN094	4	18	3
IN094	5	60	1
IN096	1	70	1
IN096	2	140	1
IN096	3	1.75	2
IN096	4	12	3
IN096	5	60	1
IN097	1	10	3
IN097	2	2	2
IN097	3	70	1
IN097	4	110	1
IN097	5	30	1
IN099	1	10	3
IN099	2	2	2
IN099	3	52	1
IN099	4	150	1
IN099	5	25	1
IN101	1	16	3
IN101	2	2	2
IN101	3	75	1
IN101	4	125	1
IN101	5	40	1
IN102	1	16	3
IN102	2	2	2
IN102	3	68	1
IN102	4	170	1
IN102	5	40	1
