PLACEID	LOCLTYID	CODE	ROUTE	TRNSPTNT	TIMEARRV
IN050	3	2	2	8	20
IN050	4	2	2	8	20
IN050	5	2	2	8	20
IN051	1	2	2	8	30
IN051	2	2	2	8	25
IN051	3	2	2	8	28
IN051	4	2	2	8	20
IN051	5	2	2	8	25
IN052	1	2	2	8	25
IN052	2	2	2	8	30
IN052	3	2	2	8	90
IN052	4	2	2	8	20
IN052	5	2	2	8	20
IN053	1	2	2	1	10
IN053	2	2	2	5	20
IN053	3	2	2	8	25
IN053	4	2	2	8	30
IN053	5	2	2	5	30
IN054	1	2	2	8	30
IN054	2	2	2	8	45
IN054	3	2	2	8	45
IN054	4	2	2	8	45
IN055	1	2	2	8	25
IN055	2	2	2	8	110
IN055	3	2	2	8	70
IN055	4	2	2	8	80
IN055	5	2	2	8	100
IN056	1	2	2	8	45
IN056	2	2	2	8	35
IN056	3	2	2	8	40
IN056	4	2	2	8	30
IN056	5	2	2	8	35
IN058	1	2	1	5	25
IN058	2	2	1	5	30
IN058	3	2	1	1	60
IN058	4	2	1	5	30
IN058	5	2	1	5	30
IN061	1	2	2	5	30
IN061	2	2	1	12	45
IN061	3	2	1	12	45
IN061	4	2	2	5	45
IN061	5	2	2	5	45
IN061	6	2	1	1	10
IN062	1	2	2	5	30
IN062	2	2	2	5	45
IN062	3	2	1	12	45
IN062	4	2	1	1	10
IN062	5	2	2	5	45
IN062	6	2	3	8	60
IN063	1	2	2	5	30
IN063	2	2	1	12	45
IN063	3	2	1	121	45
IN063	4	2	1	1	10
IN063	5	2	2	5	45
IN063	6	2	5	8	60
IN064	1	2	2	5	30
IN064	2	2	1	12	45
IN064	3	2	1	12	45
IN064	4	2	1	1	10
IN064	5	2	2	5	45
IN064	6	2	3	8	60
IN065	1	1	1	10	10
IN065	2	2	1	12	20
IN065	3	2	1	12	20
IN065	4	2	1	12	30
IN065	5	2	1	12	50
IN066	1	2	1	5	15
IN066	2	2	2	5	50
IN066	3	2	2	12	45
IN066	4	2	1	5	30
IN066	5	2	2	1	10
IN067	1	2	2	12	10
IN067	2	2	2	12	40
IN067	3	2	2	12	30
IN067	4	2	2	12	30
IN067	5	2	2	12	40
IN068	1	2	1	5	15
IN068	2	2	2	5	50
IN068	3	2	1	12	30
IN068	4	2	1	5	30
IN068	5	2	2	1	10
IN069	1	2	2	1	10
IN069	2	2	2	1	30
IN069	3	2	2	1	20
IN069	4	2	2	1	30
IN069	5	2	2	12	30
IN070	1	2	2	1	10
IN070	2	2	2	1	30
IN070	3	2	2	1	20
IN070	4	2	2	1	30
IN070	5	2	2	5	30
IN071	1	2	1	1	30
IN071	2	2	1	8	20
IN071	3	2	3	1	10
IN071	4	2	1	8	60
IN071	5	2	3	1	40
IN072	1	2	2	1	10
IN072	2	2	1	8	30
IN072	3	2	1	1	30
IN072	4	2	2	8	5
IN072	5	2	2	8	30
IN073	1	2	2	1	10
IN073	2	2	1	8	30
IN073	3	2	1	1	30
IN073	4	2	2	8	5
IN073	5	2	2	8	30
IN074	1	2	1	1	30
IN074	2	2	1	8	20
IN074	3	2	3	1	10
IN074	4	2	1	8	60
IN074	5	2	3	1	70
IN075	1	2	1	1	30
IN075	2	2	1	8	20
IN075	3	2	3	1	10
IN075	4	2	1	8	60
IN075	5	2	3	1	40
IN076	1	2	1	1	5
IN076	2	2	1	1	15
IN076	3	2	1	5	15
IN076	4	2	1	5	25
IN076	5	2	1	12	30
IN077	1	2	1	1	5
IN077	2	2	1	5	5
IN077	3	2	1	5	5
IN077	4	2	1	12	20
IN077	5	2	1	12	30
IN078	1	1	1	1	8
IN078	2	2	1	8	30
IN078	3	1	1	8	30
IN078	4	2	1	12	40
IN078	5	2	1	12	60
IN079	1	2	1	5	5
IN079	2	2	1	5	5
IN079	3	2	1	5	5
IN079	4	2	1	12	30
IN079	5	2	1	12	20
IN080	1	1	1	1	8
IN080	2	2	1	8	30
IN080	3	1	1	8	30
IN080	4	2	1	12	40
IN080	5	2	1	5	60
IN081	1	2	1	1	15
IN081	2	2	1	5	30
IN081	3	2	2	5	60
IN081	4	2	2	5	60
IN081	5	2	2	5	60
IN082	1	2	1	8	30
IN082	2	2	1	8	20
IN082	3	2	1	8	25
IN082	4	2	2	8	15
IN082	5	2	2	8	15
IN083	1	2	1	1	15
IN083	2	2	1	5	30
IN083	3	2	2	5	60
IN083	4	2	2	5	60
IN083	5	2	2	5	60
IN084	1	2	1	8	30
IN084	2	2	1	8	20
IN084	3	2	1	8	25
IN084	4	2	2	8	15
IN084	5	2	2	8	15
IN085	1	2	1	8	30
IN085	2	2	1	8	20
IN085	3	2	1	8	25
IN085	4	2	2	8	15
IN085	5	2	2	8	15
IN086	1	2	3	8	40
IN086	2	2	3	8	30
IN086	3	2	3	3	30
IN087	1	2	1	5	30
IN087	2	2	1	5	30
IN087	3	2	1	8	40
IN087	4	2	1	8	75
IN087	5	2	1	8	120
IN088	1	2	1	8	20
IN088	2	2	1	8	20
IN088	3	2	1	8	25
IN088	4	2	1	8	30
IN088	5	2	1	8	30
IN089	1	7	1	1	15
IN089	2	4	2	1	10
IN089	3	4	2	1	10
IN090	1	77	77	77	-77
IN090	2	77	77	77	-77
IN090	3	77	77	77	-77
IN091	1	7	1	1	30
IN091	2	7	1	1	20
IN091	3	7	1	1	15
IN091	4	7	1	1	15
IN091	5	7	1	1	15
IN092	1	2	2	1	10
IN092	2	2	2	1	5
IN092	3	2	2	5	15
IN092	4	2	2	5	10
IN092	5	2	2	5	30
IN092	6	2	2	8	60
IN092	7	2	2	8	30
IN092	8	2	2	5	45
IN093	1	3	1	1	60
IN093	2	3	1	1	120
IN093	3	3	1	1	120
IN093	4	3	1	1	60
IN093	5	2	2	5	40
IN094	1	7	2	1	30
IN094	2	7	2	1	25
IN094	3	7	2	1	30
IN094	4	7	2	1	30
IN094	5	7	2	1	20
IN096	1	2	1	8	30
IN096	2	2	1	8	20
IN096	3	2	1	8	25
IN096	4	2	2	8	15
IN096	5	2	2	8	15
IN097	1	1	2	1	10
IN097	2	2	1	5	30
IN097	3	2	1	5	45
IN097	4	2	1	5	60
