CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET040052	4	2	2	12	1	74
ET040052	5	3	2	12	1	52
ET040052	6	3	2	12	1	74
ET040052	7	4	2	12	3	52
ET040053	1	1	2	12	1	52
ET040053	2	2	1	10	1	80
ET040054	1	1	1	10	2	45
ET040054	2	1	2	6	3	52
ET040054	3	2	2	6	3	52
ET040055	1	1	2	4	2	52
ET040056	1	1	1	4	3	45
ET040056	2	3	1	12	1	74
ET040057	1	1	2	12	1	52
ET040057	2	1	2	9	3	75
ET040057	3	1	2	12	3	1
ET040058	1	1	2	6	2	52
ET040058	2	2	2	6	2	1
ET040059	1	1	2	9	2	74
ET040059	2	3	2	6	1	1
ET040060	1	1	2	9	1	91
ET040060	2	1	2	8	2	74
ET040061	1	1	1	12	1	75
ET040061	2	2	1	12	1	75
ET040062	1	1	1	12	1	74
ET040063	1	1	1	12	3	45
ET040064	1	1	1	12	1	91
ET040064	2	3	1	12	2	74
ET040065	1	1	1	12	2	20
ET040065	2	1	2	7	3	1
ET040065	3	2	1	1	3	1
ET040066	1	1	1	12	2	45
ET040067	1	1	2	12	1	52
ET040067	2	1	2	12	1	52
ET040067	3	2	2	12	1	52
ET040067	4	2	2	12	1	52
ET040067	5	3	2	12	1	52
ET040068	1	1	1	12	1	74
ET040069	1	2	2	12	1	52
ET040069	2	2	2	12	2	52
ET040069	3	2	1	12	2	74
ET040069	4	4	2	12	2	52
ET040069	5	5	2	12	2	52
ET040070	1	1	2	12	1	74
ET040070	2	1	2	12	2	52
ET040071	1	1	2	12	2	95
ET040071	2	1	1	12	3	93
ET040071	3	1	1	12	1	74
ET040071	4	1	2	12	1	74
ET040072	1	1	2	12	1	74
ET040072	2	1	2	12	3	52
ET040072	3	2	2	12	3	52
ET040072	4	2	1	2	1	74
ET040073	1	1	2	12	2	52
ET040073	2	1	2	12	2	52
ET040073	3	2	2	12	2	52
ET040074	1	1	1	12	2	74
ET040074	2	1	2	12	2	91
ET040075	1	1	2	12	3	52
ET040076	1	1	1	10	1	80
ET040076	2	2	2	12	1	36
ET040076	3	3	1	12	1	24
ET040077	1	1	1	12	1	75
ET040078	1	1	1	12	1	52
ET040078	2	2	2	12	3	28
ET040078	3	2	2	12	1	36
ET040078	4	3	2	12	3	52
ET040079	1	1	1	11	1	80
ET040080	1	1	2	12	1	1
ET040081	1	1	2	6	1	1
ET040081	2	1	1	12	2	90
ET040081	3	2	2	2	3	1
ET040082	1	2	2	6	2	52
ET040082	2	2	1	6	3	95
ET040083	1	1	1	12	2	85
ET040084	1	1	2	12	1	1
ET040084	2	2	2	6	4	85
ET040084	3	2	2	5	3	52
ET040085	1	1	1	10	1	74
ET040086	1	1	1	12	1	45
ET040087	1	1	1	9	2	91
ET040087	2	4	1	9	2	91
ET040088	1	1	2	12	1	70
ET040088	2	1	2	12	1	74
ET040088	3	3	2	12	3	52
ET040089	1	1	1	12	1	91
ET040089	2	1	2	6	1	1
