CHILDID	CAID	WHO	TIMECARE	PAYCARE
ET090086	1	1	4	2
ET090087	1	1	2	2
ET090087	2	1	2	2
ET090087	3	2	2	2
ET090088	1	1	2	2
ET090088	2	1	2	2
ET090089	1	1	2	2
ET090090	1	1	2	2
ET090093	1	1	2	2
ET090098	1	1	4	2
ET100009	1	1	3	2
ET100010	1	1	2	2
ET100017	1	1	1	2
ET100017	2	2	1	2
ET100019	1	1	4	2
ET100019	2	99	99	99
ET100029	1	1	4	2
ET100036	1	1	4	2
ET100048	1	1	4	2
ET100050	1	1	4	2
ET100056	1	1	1	2
ET100058	1	1	4	2
ET100063	1	1	4	2
ET100066	1	1	4	2
ET100067	1	1	4	2
ET100081	1	1	4	2
ET100084	1	1	4	2
ET100090	1	1	2	2
ET100090	2	2	3	2
ET100099	1	1	4	2
ET110007	1	3	99	2
ET110039	1	1	4	2
ET110045	1	99	2	2
ET110045	2	99	2	2
ET110045	3	99	2	2
ET110046	1	99	99	2
ET110046	2	99	99	2
ET110046	3	99	99	2
ET110048	1	1	4	2
ET110056	1	1	1	2
ET110066	1	1	1	2
ET110075	1	2	4	2
ET120001	1	1	1	2
ET120001	2	1	1	2
ET120002	1	2	1	2
ET120003	1	1	1	2
ET120004	1	1	1	2
ET120005	1	2	1	2
ET120006	1	1	1	2
ET120006	2	2	1	2
ET120006	3	3	1	2
ET120007	1	2	1	2
ET120007	2	3	2	99
ET120008	1	2	2	2
ET120008	2	1	1	2
ET120008	3	3	1	1
ET120009	1	2	1	2
ET120009	2	1	1	2
ET120010	1	1	1	2
ET120010	2	2	1	2
ET120012	1	1	3	2
ET120013	1	2	1	2
ET120013	2	99	99	99
ET120014	1	1	1	2
ET120015	1	1	1	2
ET120015	2	2	1	2
ET120016	1	1	1	1
ET120016	2	2	1	2
ET120019	1	1	1	2
ET120021	1	1	1	2
ET120021	2	2	1	2
ET120022	1	1	1	2
ET120022	2	2	1	2
ET120023	1	2	2	2
ET120025	1	1	1	2
ET120025	2	2	1	2
ET120026	1	1	1	2
ET120027	1	1	1	2
ET120027	2	1	1	2
ET120028	1	1	1	2
ET120029	1	1	1	2
ET120029	2	2	1	2
ET120030	1	1	1	2
ET120031	1	2	2	2
ET120032	1	2	1	2
ET120033	1	2	2	2
ET120034	1	1	2	2
ET120034	2	2	2	2
ET120035	1	1	2	2
ET120035	2	2	1	2
ET120036	1	1	1	2
ET120036	2	2	1	2
ET120037	1	1	1	2
ET120037	2	2	1	2
ET120038	1	2	1	2
ET120039	1	2	2	2
ET120040	1	1	1	2
ET120040	2	2	1	2
ET120041	1	1	1	2
ET120042	1	2	1	2
ET120042	2	1	2	2
ET120043	1	2	2	2
ET120044	1	1	2	2
ET120046	1	1	2	2
ET120046	2	2	1	2
ET120048	1	1	1	2
ET120048	2	2	2	2
ET120049	1	1	2	2
ET120049	2	1	1	2
ET120050	1	1	1	2
ET120050	2	2	1	2
ET120051	1	1	1	2
ET120051	2	2	2	2
ET120052	1	2	1	2
ET120053	1	1	1	2
ET120053	2	2	1	2
ET120055	1	2	1	2
ET120056	1	1	1	2
ET120056	2	2	1	2
ET120062	1	1	1	2
ET120062	2	2	1	2
ET120066	1	1	2	2
ET120067	1	1	2	1
ET120068	1	1	1	2
ET120069	1	2	1	2
ET120071	1	1	1	2
ET120072	1	2	1	2
ET120076	1	1	2	2
ET120077	1	2	1	2
ET120078	1	1	1	2
ET120080	1	1	1	2
ET120081	1	1	1	2
ET120082	1	1	2	2
ET120083	1	2	2	2
ET120085	1	1	1	2
ET120085	2	2	1	2
ET120086	1	1	1	2
ET120086	2	2	1	2
ET120087	1	1	1	2
ET120087	2	2	1	2
ET120088	1	1	2	2
ET120088	2	2	2	2
ET120089	1	2	2	2
ET120095	1	2	1	2
ET120097	1	1	1	2
ET120100	1	2	1	2
ET130005	1	1	1	2
ET130005	2	2	1	2
ET130061	1	1	1	2
ET130061	2	1	1	2
ET130061	3	1	1	2
ET130086	1	3	1	2
ET130091	1	1	1	2
ET130099	1	2	2	99
ET140001	1	3	1	1
ET140002	1	1	4	2
ET140013	1	2	1	2
ET140013	2	2	1	2
ET140013	3	2	1	2
ET140018	1	1	1	2
ET140020	1	1	1	2
ET140022	1	1	1	2
ET140025	1	2	2	2
ET140029	1	2	1	2
ET140033	1	1	1	2
ET140033	2	2	1	2
ET140040	1	1	2	2
ET140042	1	2	1	1
ET140043	1	1	1	2
ET140044	1	1	2	2
ET140046	1	2	2	2
ET140047	1	2	2	2
ET140055	1	1	2	2
ET140056	1	1	1	2
ET140063	1	1	1	2
ET140067	1	1	2	2
ET140071	1	2	2	2
ET140074	1	1	1	2
ET140077	1	2	1	2
ET140078	1	2	1	2
ET140078	2	1	1	2
ET140089	1	3	1	2
ET140090	1	2	2	2
ET140095	1	2	1	2
ET140097	1	1	2	2
ET140098	1	2	3	2
ET150027	1	1	4	2
ET150029	1	1	4	2
ET150054	1	1	4	2
ET150058	1	1	1	2
ET150060	1	1	2	2
ET150065	1	1	1	2
ET150075	1	1	4	2
ET150077	1	1	1	2
ET150078	1	1	1	2
ET150079	1	1	2	2
ET150085	1	1	4	2
ET150087	1	1	2	99
ET150091	1	2	1	2
ET150093	1	1	1	2
ET150098	1	1	1	2
ET160004	1	1	1	2
ET160012	1	1	1	2
ET160013	1	1	1	2
ET160016	1	2	1	2
ET160018	1	1	1	1
ET160021	1	1	1	2
ET160022	1	3	4	2
ET160036	1	1	1	2
ET160038	1	1	1	2
ET160043	1	1	1	2
ET160044	1	1	2	2
ET160053	1	1	99	2
ET160054	1	1	1	2
ET160061	1	1	1	2
ET160070	1	1	2	2
ET160072	1	1	3	2
ET160073	1	1	2	2
ET160074	1	1	2	2
ET160075	1	1	2	2
ET160076	1	1	1	2
ET160077	1	1	2	2
ET160078	1	1	2	2
ET160079	1	1	2	2
ET160085	1	1	1	2
ET160086	1	1	4	2
ET160096	1	1	2	2
ET160097	1	1	2	2
ET170016	1	1	1	2
ET170021	1	1	4	2
ET170021	2	2	3	2
ET170032	1	1	1	2
ET170034	1	99	2	2
ET170039	1	1	3	2
ET170039	2	2	3	2
ET170051	1	1	4	2
ET170058	1	1	1	2
ET170058	2	2	1	2
ET170066	1	2	1	2
ET170067	1	99	1	2
ET170068	1	1	1	2
ET170077	1	1	4	2
ET170085	1	1	2	2
ET170089	1	1	1	2
ET200006	1	2	4	2
ET200027	1	1	1	2
