CHILDID	REMID	REMREL	REMQNT	REMTYPE
ET160094	1	2	4	2
ET160096	1	5	3	2
ET160097	1	2	4	1
ET180003	1	1	12	3
ET190014	1	2	1	2
ET200001	1	1	4	1
ET200011	1	2	2	1
ET200018	1	4	12	2
ET200027	1	6	8	2
ET200037	1	2	2	1
ET200037	2	6	10	2
ET200059	1	1	12	1
ET200064	1	1	6	1
ET200064	2	6	9	2
ET200093	1	6	11	2
ET200098	1	6	11	2
