CHILDID	PLANID	PLAN
ET060085	1	10
ET060086	1	4
ET060087	1	9
ET060087	2	3
ET060088	1	1
ET060089	1	1
ET060090	1	8
ET060091	1	6
ET060091	2	9
ET060092	1	1
ET060093	1	1
ET060094	1	3
ET060095	1	1
ET060096	1	1
ET060097	1	10
ET060098	1	1
ET060099	1	1
ET060100	1	10
ET070001	1	10
ET070002	1	10
ET070002	2	10
ET070003	1	10
ET070003	2	10
ET070004	1	99
ET070005	1	99
ET070006	1	1
ET070007	1	10
ET070007	2	10
ET070008	1	10
ET070009	1	8
ET070009	2	7
ET070010	1	10
ET070011	1	10
ET070011	2	7
ET070012	1	1
ET070013	1	10
ET070014	1	1
ET070015	1	1
ET070016	1	3
ET070016	2	8
ET070017	1	8
ET070017	2	3
ET070018	1	1
ET070019	1	1
ET070020	1	1
ET070021	1	8
ET070021	2	9
ET070022	1	1
ET070023	1	8
ET070023	2	7
ET070024	1	3
ET070024	2	8
ET070025	1	2
ET070025	2	3
ET070026	1	7
ET070026	2	8
ET070027	1	10
ET070028	1	1
ET070029	1	4
ET070029	2	8
ET070030	1	3
ET070030	2	10
ET070031	1	8
ET070032	1	10
ET070032	2	10
ET070033	1	1
ET070034	1	10
ET070034	2	4
ET070035	1	10
ET070036	1	10
ET070037	1	7
ET070038	1	1
ET070039	1	10
ET070040	1	8
ET070041	1	1
ET070042	1	1
ET070043	1	1
ET070044	1	4
ET070044	2	6
ET070045	1	1
ET070046	1	8
ET070046	2	4
ET070047	1	1
ET070048	1	10
ET070048	2	8
ET070049	1	4
ET070049	2	10
ET070050	1	4
ET070051	1	1
ET070052	1	1
ET070053	1	1
ET070054	1	1
ET070055	1	1
ET070056	1	10
ET070056	2	6
ET070057	1	8
ET070058	1	8
ET070059	1	6
ET070059	2	8
ET070060	1	4
ET070060	2	8
ET070061	1	9
ET070062	1	4
ET070063	1	4
ET070063	2	8
ET070064	1	4
ET070064	2	9
ET070065	1	1
ET070066	1	6
ET070067	1	1
ET070068	1	1
ET070069	1	1
ET070070	1	2
ET070071	1	1
ET070072	1	4
ET070073	1	4
ET070074	1	6
ET070075	1	1
ET070076	1	1
ET070077	1	1
ET070078	1	4
ET070079	1	4
ET070080	1	4
ET070081	1	1
ET070082	1	1
ET070083	1	4
ET070084	1	4
ET070085	1	8
ET070086	1	4
ET070087	1	4
ET070088	1	1
ET070089	1	1
ET070090	1	4
ET070090	2	10
ET070091	1	4
ET070091	2	8
ET070092	1	8
ET070093	1	1
ET070094	1	4
ET070094	2	9
ET070095	1	7
ET070095	2	4
ET070096	1	4
ET070097	1	8
ET070097	2	10
ET070098	1	4
ET070099	1	4
ET070100	1	4
ET080001	1	2
ET080002	1	2
ET080002	2	4
ET080003	1	1
ET080004	1	1
ET080005	1	1
ET080006	1	1
ET080007	1	1
ET080008	1	2
ET080008	2	4
ET080009	1	4
ET080010	1	1
ET080011	1	2
ET080011	2	4
ET080012	1	1
ET080013	1	1
ET080014	1	2
ET080014	2	4
ET080015	1	1
ET080016	1	2
ET080017	1	4
ET080018	1	1
ET080019	1	2
ET080019	2	4
ET080020	1	1
ET080021	1	1
ET080022	1	1
ET080023	1	1
ET080024	1	1
ET080025	1	9
ET080026	1	2
ET080026	2	4
ET080027	1	9
ET080028	1	1
ET080029	1	1
ET080030	1	1
ET080031	1	2
ET080032	1	4
ET080032	2	2
ET080033	1	1
ET080034	1	1
ET080035	1	1
ET080036	1	1
ET080037	1	1
ET080038	1	1
