childid	id	age	sex	relate	still	yrschool	disabled	care	support
ET060052	3	26	2	1	2	6	2	1	1
ET060052	4	10	2	4	2	0	2	1	2
ET060053	1	31	1	1	2	0	2	1	2
ET060053	2	28	2	1	2	0	2	1	2
ET060053	3	12	2	5	1	1	2	1	2
ET060053	4	9	2	5	1	0	2	1	2
ET060053	15	4	1	5	 	 	2	 	 
ET060053	16	3	2	5	 	 	2	 	 
ET060054	1	30	1	1	1	5	2	1	1
ET060054	2	24	2	1	2	0	2	1	1
ET060054	3	14	1	4	1	1	2	1	2
ET060055	1	27	1	1	2	0	1	1	2
ET060055	2	22	2	1	2	0	2	1	2
ET060055	3	7	1	5	2	0	2	1	2
ET060056	1	50	1	1	2	0	1	1	2
ET060056	2	30	2	1	2	0	1	1	2
ET060056	3	10	2	5	1	3	1	1	2
ET060056	4	8	1	5	2	0	2	2	2
ET060056	5	5	2	5	2	0	1	2	2
ET060056	15	3	1	5	 	 	2	 	 
ET060057	1	52	1	3	2	0	1	1	1
ET060057	2	44	2	3	1	1	1	1	2
ET060057	3	18	1	4	1	0	2	2	2
ET060057	4	13	2	4	1	4	2	1	2
ET060057	5	10	1	4	2	0	2	1	2
ET060057	6	7	1	4	2	0	1	1	2
ET060057	15	1	1	4	 	 	2	 	 
ET060058	1	45	1	1	2	0	2	2	2
ET060058	2	40	2	1	2	0	2	1	1
ET060058	3	16	1	5	2	0	2	2	2
ET060058	4	13	1	5	1	4	2	2	2
ET060058	5	8	2	5	1	0	2	2	2
ET060059	1	35	1	1	2	1	2	2	2
ET060059	2	24	2	1	2	0	2	1	2
ET060059	3	5	1	5	2	0	2	2	2
ET060060	1	53	1	1	1	0	1	1	2
ET060060	2	30	2	1	2	0	2	1	2
ET060060	3	22	1	5	1	6	2	1	2
ET060060	4	18	1	5	1	6	2	1	2
ET060060	5	9	2	5	1	1	2	1	2
ET060060	6	15	1	7	2	0	2	2	2
ET060060	15	4	1	5	 	 	2	 	 
ET060061	1	40	1	1	2	0	2	1	2
ET060061	2	30	2	1	2	0	2	1	2
ET060061	3	12	2	5	2	0	2	1	2
ET060061	4	5	2	5	2	0	2	1	2
ET060062	1	28	1	1	1	3	2	2	2
ET060062	2	20	2	1	2	0	2	1	2
ET060062	3	72	2	3	2	0	2	1	2
ET060062	4	18	1	6	1	3	1	2	2
ET060063	1	30	1	1	2	0	2	2	1
ET060063	2	21	2	1	2	0	2	1	1
ET060063	3	6	1	5	2	0	2	2	2
ET060064	1	65	1	1	2	0	2	2	2
ET060064	2	45	2	1	2	0	2	2	2
ET060064	3	18	2	5	2	0	2	2	2
ET060064	4	16	2	5	1	4	2	2	2
ET060064	5	14	2	5	1	5	2	2	2
ET060064	6	11	2	5	2	0	2	1	2
ET060064	7	5	2	5	2	0	2	2	2
ET060064	15	3	2	5	 	 	2	 	 
ET060065	1	30	1	1	2	4	2	2	1
ET060065	2	23	2	1	2	3	2	1	1
ET060065	3	6	2	5	2	0	2	2	2
ET060066	1	30	1	1	2	0	2	1	2
ET060066	2	26	2	1	2	5	2	1	2
ET060066	3	6	2	5	2	0	2	1	2
ET060066	15	4	1	5	 	 	2	 	 
ET060067	1	 	1	1	2	0	2	2	2
ET060067	2	 	2	1	2	0	2	1	2
ET060067	3	 	1	5	2	0	2	2	2
ET060067	15	2	2	5	 	 	2	 	 
ET060068	1	50	1	1	2	0	2	1	2
ET060068	2	37	2	1	2	0	2	1	2
ET060068	3	20	1	5	1	3	2	1	2
ET060068	4	18	1	5	1	7	2	1	2
ET060068	5	10	1	5	1	2	2	1	2
ET060068	6	7	1	5	2	0	2	1	2
ET060068	15	4	2	5	 	 	2	 	 
ET060069	1	60	1	1	2	0	1	2	2
ET060069	2	40	2	1	2	0	2	1	2
ET060069	3	22	1	5	1	8	2	1	2
ET060069	4	15	1	5	1	3	2	1	2
ET060069	5	12	2	5	2	0	2	1	2
ET060069	6	9	2	5	1	2	2	1	2
ET060069	7	6	2	5	2	0	2	1	2
ET060070	1	65	1	1	2	0	2	2	2
ET060070	2	35	2	1	2	0	2	1	1
ET060070	3	9	2	5	1	1	2	2	2
ET060070	4	12	2	5	1	4	2	2	2
ET060070	5	6	1	5	2	0	2	2	2
ET060071	1	33	1	1	2	2	2	2	1
ET060071	2	30	2	1	2	0	2	1	1
ET060071	3	15	1	5	1	5	2	2	1
ET060071	4	10	2	5	1	1	2	2	2
ET060071	5	5	2	5	2	0	2	2	2
ET060072	1	30	1	1	2	0	2	1	2
ET060072	2	24	2	1	2	0	2	1	2
ET060072	3	7	2	5	1	0	2	1	2
ET060072	4	15	1	7	2	0	2	2	2
ET060072	15	4	1	5	 	 	2	 	 
ET060073	1	60	2	3	2	0	2	1	2
ET060073	2	25	2	1	2	0	2	1	2
ET060074	1	28	2	1	2	4	2	1	1
ET060074	2	12	1	5	1	2	2	2	2
ET060074	3	9	2	5	2	1	2	2	2
ET060074	4	7	2	5	2	0	2	2	2
ET060074	15	4	2	5	 	 	2	 	 
ET060075	1	38	1	1	1	6	2	1	2
ET060075	2	36	2	1	2	0	2	1	2
ET060075	3	16	2	5	1	9	2	1	1
ET060075	4	15	2	5	1	7	2	1	2
ET060075	5	12	2	5	1	6	2	1	2
ET060075	6	6	1	5	1	0	2	2	2
ET060076	1	35	1	1	2	0	2	2	2
ET060076	2	30	2	1	2	0	2	1	2
ET060076	3	12	1	5	1	2	2	2	2
ET060076	4	9	1	5	2	0	2	2	2
ET060076	5	7	2	5	1	0	2	2	2
ET060076	15	4	1	5	 	 	2	 	 
ET060077	1	40	1	1	2	0	2	2	2
ET060077	2	33	2	1	2	1	2	1	2
ET060077	3	13	2	5	1	4	2	1	2
ET060077	4	10	2	5	1	3	2	1	2
ET060077	5	6	2	5	2	0	2	2	2
ET060077	15	4	2	5	 	 	2	 	 
ET060077	16	2	2	5	 	 	2	 	 
ET060078	1	18	2	1	2	0	2	2	1
ET060079	1	24	1	1	2	0	2	1	2
ET060079	2	16	2	1	2	0	2	1	2
ET060080	1	27	1	1	2	4	2	2	2
ET060080	2	24	2	1	2	0	2	1	2
ET060080	15	4	2	5	 	 	2	 	 
ET060081	1	50	1	1	2	0	2	1	2
ET060081	2	25	2	1	2	0	2	1	2
ET060081	3	15	1	5	1	4	2	2	2
ET060081	4	12	1	5	1	4	2	2	2
ET060081	5	8	2	5	1	0	2	2	2
ET060081	15	4	1	5	 	 	2	 	 
ET060082	1	47	1	1	2	0	2	2	2
ET060082	2	39	2	1	2	0	2	1	2
ET060082	3	21	1	5	1	2	2	2	2
ET060082	4	16	2	5	1	9	2	2	2
ET060082	5	14	2	5	1	6	2	2	2
ET060082	6	8	2	5	2	0	2	2	2
ET060082	7	5	1	5	2	0	2	2	2
ET060083	1	28	1	1	2	0	2	2	2
ET060083	2	27	2	1	2	0	2	1	2
ET060083	3	10	1	5	1	2	2	2	2
ET060083	4	7	2	5	2	0	2	2	2
ET060084	1	70	1	3	2	0	1	1	1
ET060084	2	60	2	13	2	0	2	1	1
ET060084	3	20	1	6	1	2	2	2	2
ET060084	4	18	1	6	1	5	2	2	2
ET060084	5	9	2	6	2	0	2	1	2
ET060085	1	32	1	1	1	0	1	1	2
ET060085	2	23	2	1	2	0	1	1	2
ET060085	3	7	1	5	2	0	1	1	2
ET060085	15	4	1	5	 	 	1	 	 
ET060086	1	48	1	1	1	0	2	1	2
ET060086	2	32	2	1	2	0	1	1	2
ET060086	3	19	1	5	1	0	2	2	2
ET060086	4	12	2	5	1	1	2	1	2
ET060086	5	9	1	5	2	0	2	1	2
ET060086	6	5	2	5	2	0	2	1	2
ET060087	1	40	1	1	2	4	2	2	2
ET060087	2	30	2	1	2	2	2	1	2
ET060087	3	6	2	5	1	1	2	2	2
ET060087	15	4	2	5	 	 	2	 	 
ET060088	1	45	1	1	2	0	2	2	2
ET060088	2	35	2	1	2	0	2	1	2
ET060088	3	20	2	5	2	0	2	2	2
ET060088	4	11	1	5	2	0	2	2	2
ET060088	5	8	2	5	1	1	2	2	2
ET060088	6	6	2	5	2	0	2	1	2
ET060088	15	4	2	5	 	 	2	 	 
ET060089	1	27	1	1	2	0	2	2	2
ET060089	2	18	2	1	2	0	2	1	2
ET060090	1	30	1	1	2	0	2	1	2
ET060090	2	18	2	1	2	0	2	1	2
ET060091	1	38	1	1	2	3	2	2	2
ET060091	2	29	2	1	2	0	2	1	2
ET060091	3	5	2	5	1	0	2	2	2
ET060091	4	5	2	5	2	0	2	2	2
ET060091	5	10	1	5	2	0	2	2	2
ET060091	15	3	1	5	 	 	2	 	 
ET060092	1	35	1	1	2	0	2	2	2
ET060092	2	24	2	1	2	0	2	1	2
ET060092	3	6	1	6	2	0	2	2	2
ET060093	1	28	1	1	2	3	2	1	2
ET060093	2	18	2	1	2	0	2	1	2
ET060094	1	60	1	1	2	0	2	1	2
ET060094	2	31	2	1	2	0	2	1	2
ET060094	3	15	2	5	2	3	2	1	2
ET060094	4	13	2	5	2	0	2	1	2
ET060094	5	5	2	5	2	0	2	2	2
ET060095	1	28	1	1	2	0	2	2	2
ET060095	2	17	2	1	2	0	2	1	2
ET060096	1	60	2	3	2	0	1	1	2
ET060096	2	27	1	4	1	3	2	2	2
ET060096	3	20	2	1	2	0	2	1	2
ET060096	4	14	1	4	2	0	2	2	2
ET060097	1	40	1	1	2	3	2	1	2
ET060097	2	31	2	1	2	0	2	1	2
ET060097	3	11	2	5	2	0	2	1	2
ET060097	4	8	2	5	1	0	2	1	2
ET060097	5	5	1	5	2	0	2	2	2
ET060098	1	40	1	1	2	0	2	2	2
ET060098	2	38	2	1	2	0	2	1	2
ET060098	3	16	2	5	2	0	2	1	2
ET060098	4	14	1	5	1	2	2	2	2
ET060098	5	7	2	5	2	0	2	1	2
ET060098	6	5	1	5	2	0	2	2	2
ET060098	15	3	1	5	 	 	2	 	 
ET060099	1	24	2	1	2	0	2	1	2
ET060099	2	7	2	5	1	1	2	2	2
ET060099	15	3	1	5	 	 	2	 	 
ET060100	1	37	1	1	2	0	1	2	2
ET060100	2	26	2	1	2	0	2	1	1
ET060100	3	14	2	5	1	4	2	1	2
ET060100	4	9	2	5	2	0	2	2	2
ET060100	5	6	1	5	2	0	2	1	2
ET070001	1	27	1	1	2	0	2	1	2
ET070001	2	23	2	1	2	5	2	1	2
ET070001	15	3	1	5	 	 	2	 	 
ET070002	1	24	1	1	2	12	2	1	2
ET070002	2	19	2	1	2	6	2	1	2
ET070002	15	3	1	5	 	 	2	 	 
ET070003	1	36	1	1	2	 	1	1	1
ET070003	2	25	2	1	2	 	2	1	2
ET070003	3	9	2	5	1	1	2	1	2
ET070003	4	5	1	5	2	 	2	1	2
ET070004	1	40	1	1	2	0	2	1	2
ET070004	2	35	2	1	2	0	2	1	2
ET070004	3	14	2	5	1	5	2	1	2
ET070004	4	10	1	5	1	1	2	1	2
ET070004	5	7	1	5	2	 	2	1	2
ET070004	15	4	2	5	 	 	2	 	 
ET070005	1	30	1	1	2	0	2	1	1
ET070005	2	16	2	1	2	 	2	1	1
ET070006	1	27	1	1	2	 	2	1	2
ET070006	2	16	2	1	2	 	2	1	2
ET070007	1	29	1	1	2	4	2	1	1
ET070007	2	24	2	1	2	3	2	1	2
ET070007	15	1	1	5	 	 	2	 	 
ET070008	1	40	1	1	2	0	2	1	2
ET070008	2	30	2	1	2	8	2	1	2
ET070008	3	10	1	5	2	0	1	1	2
ET070009	1	40	1	1	2	0	1	1	2
ET070009	2	35	2	1	2	 	2	1	1
ET070009	3	20	1	4	2	 	2	1	2
ET070009	4	12	1	5	1	2	2	1	2
ET070009	5	8	2	5	1	2	2	1	2
ET070009	6	6	2	5	2	 	2	1	2
ET070009	15	4	2	5	 	 	2	 	 
ET070010	1	24	1	1	2	0	2	1	2
ET070010	2	18	2	1	2	4	2	1	2
ET070011	1	43	1	1	2	0	2	1	2
ET070011	2	29	2	1	2	 	2	1	2
ET070011	3	14	2	5	1	2	2	1	2
ET070011	4	7	2	5	1	0	2	1	2
ET070011	5	5	2	5	2	0	2	2	2
ET070012	1	30	2	1	2	 	2	1	2
ET070012	2	5	1	5	2	 	2	1	2
ET070013	1	30	1	1	2	 	2	1	1
ET070013	2	18	2	1	2	 	2	1	2
ET070013	15	3	1	5	 	 	2	 	 
ET070014	1	30	1	1	2	 	2	1	1
ET070014	2	25	2	1	2	 	2	1	2
ET070014	3	5	2	5	2	 	2	2	2
ET070015	1	35	1	1	2	0	2	2	1
ET070015	2	28	2	1	2	 	2	2	1
ET070015	3	7	1	5	2	 	2	1	2
ET070015	4	10	1	5	1	2	2	1	2
ET070015	15	4	1	5	 	 	2	 	 
ET070016	1	55	1	1	2	 	2	2	1
ET070016	2	30	2	1	2	 	2	1	1
ET070016	3	8	1	5	2	 	2	2	2
ET070016	4	11	1	5	1	0	2	1	2
ET070016	5	18	2	5	2	 	2	1	2
ET070016	15	4	1	5	 	 	2	 	 
ET070017	1	40	1	1	2	 	2	2	1
ET070017	2	27	2	1	2	 	2	1	1
ET070017	3	7	2	5	1	0	2	1	2
ET070017	4	5	2	5	2	 	2	1	2
ET070018	1	35	1	1	2	9	2	2	1
ET070018	2	30	2	1	2	2	2	1	1
ET070018	3	11	1	5	1	2	2	1	2
ET070018	4	8	2	5	1	1	2	1	2
ET070018	5	6	2	5	2	 	2	2	2
ET070019	1	35	1	1	1	 	2	2	2
ET070019	2	28	2	1	1	 	2	1	1
ET070019	3	9	2	5	1	0	2	1	2
ET070019	4	7	1	5	1	1	2	1	2
ET070019	15	4	1	5	 	 	2	 	 
ET070020	1	33	1	1	2	 	2	2	2
ET070020	2	28	2	1	2	 	2	1	1
ET070020	3	15	1	4	1	1	2	2	2
ET070020	4	13	1	5	1	0	2	1	2
ET070020	5	7	2	5	1	0	2	1	2
ET070020	15	4	1	5	 	 	2	 	 
ET070021	1	50	1	1	2	 	2	1	2
ET070021	2	45	2	3	2	 	2	2	1
ET070021	3	15	1	5	2	 	2	2	2
ET070021	4	13	1	5	1	2	2	2	2
ET070021	5	10	2	5	1	2	2	1	2
ET070021	6	7	1	5	2	 	2	2	2
ET070022	1	35	1	1	2	 	2	2	2
ET070022	2	25	2	1	2	 	2	1	1
ET070022	3	8	2	5	1	1	2	1	2
ET070022	4	6	2	5	2	 	2	1	2
ET070022	15	3	1	5	 	 	2	 	 
ET070023	1	42	1	1	2	 	2	1	2
ET070023	2	31	2	1	2	 	2	1	1
ET070023	3	6	1	5	2	 	2	2	2
ET070024	1	42	1	1	2	 	2	2	2
ET070024	2	35	2	1	2	 	2	1	1
ET070024	3	9	2	5	1	0	2	1	2
ET070025	1	30	1	1	2	 	2	1	1
ET070025	2	24	2	1	2	 	2	1	1
ET070026	1	35	1	1	2	 	2	1	2
ET070026	2	30	2	1	2	 	2	1	1
ET070026	3	7	1	5	2	0	2	2	2
ET070026	15	4	2	5	 	 	2	 	 
ET070027	1	27	1	1	2	 	1	1	1
ET070027	2	18	2	1	2	 	2	1	1
ET070028	1	30	2	1	2	 	1	1	1
ET070028	2	17	2	5	2	 	1	1	2
ET070028	3	12	2	5	1	3	2	1	2
ET070028	4	10	1	5	1	0	2	1	2
ET070028	5	7	1	5	2	 	1	1	2
ET070029	1	75	2	3	2	 	2	1	2
ET070029	2	36	1	1	2	3	2	1	1
ET070029	3	32	2	1	2	0	1	1	1
ET070029	4	5	1	5	2	0	2	1	2
ET070030	1	60	1	3	2	 	2	1	2
ET070030	2	32	1	1	2	0	2	1	1
ET070030	3	21	2	1	2	 	2	1	1
ET070030	4	16	1	6	2	 	2	1	2
ET070030	5	8	1	6	2	 	2	1	2
ET070030	6	6	2	5	2	 	2	1	2
ET070030	15	3	2	5	 	 	2	 	 
ET070031	1	35	1	1	2	2	2	1	1
ET070031	2	26	2	1	2	 	2	1	1
ET070031	15	3	2	5	 	 	2	 	 
ET070032	1	32	1	1	2	0	2	1	1
ET070032	2	28	2	1	2	6	2	1	1
ET070032	15	4	2	5	 	 	2	 	 
ET070033	1	47	1	1	2	0	2	1	2
ET070033	2	37	2	1	2	0	2	1	2
ET070033	3	15	2	5	1	4	2	1	2
ET070033	4	12	1	5	1	1	2	1	2
ET070033	5	9	2	5	1	0	2	1	2
ET070033	6	6	1	5	2	 	2	1	2
ET070033	15	2	1	5	 	 	2	 	 
ET070034	1	27	1	1	2	0	2	1	1
ET070034	2	18	2	1	2	 	2	1	1
ET070034	3	12	1	7	2	 	2	2	2
ET070035	1	30	1	1	2	0	1	1	1
ET070035	2	21	2	1	2	6	2	1	1
ET070035	3	10	2	5	1	0	2	1	2
ET070035	4	7	1	5	2	 	2	1	2
ET070036	1	65	2	3	2	 	2	1	1
ET070036	2	48	1	1	2	2	2	1	1
ET070036	3	32	2	1	2	0	2	1	2
ET070036	4	21	2	5	1	8	2	1	2
ET070036	5	17	2	5	1	7	2	1	2
ET070036	6	15	1	5	1	3	2	1	2
ET070036	7	10	2	5	1	0	2	1	2
ET070036	8	5	1	5	2	0	2	2	2
ET070036	15	3	2	5	 	 	2	 	 
ET070037	1	26	1	1	2	10	2	1	1
ET070037	2	23	2	1	2	7	2	1	1
ET070038	1	51	1	1	2	0	2	1	2
ET070038	2	38	2	1	2	 	2	1	2
ET070038	3	20	1	5	1	10	2	1	2
ET070038	4	17	1	5	2	 	2	1	2
ET070038	5	14	1	5	1	2	2	1	2
ET070038	6	11	1	5	1	3	2	1	2
ET070038	7	8	1	5	2	 	2	1	2
ET070038	15	4	2	5	 	 	2	 	 
ET070039	1	44	1	1	2	8	1	1	1
ET070039	2	31	2	1	2	2	2	1	1
ET070039	3	8	1	5	2	0	2	1	2
ET070039	4	7	2	5	2	 	2	1	2
ET070040	1	35	1	1	2	12	2	1	1
ET070040	2	25	2	1	1	8	2	1	1
ET070040	3	10	2	5	1	2	2	1	2
ET070040	4	8	2	5	2	 	1	1	2
ET070040	15	4	2	5	 	 	2	 	 
ET070041	1	45	1	1	2	0	2	2	1
ET070041	2	30	2	1	2	0	2	1	1
ET070041	3	18	1	5	1	8	2	1	2
ET070041	4	15	1	5	2	4	2	1	2
ET070041	5	12	1	5	1	3	2	1	2
ET070041	6	8	1	5	1	0	2	2	2
ET070041	15	4	2	5	 	 	2	 	 
ET070042	1	42	1	1	2	6	2	1	1
ET070042	2	20	2	1	2	 	2	1	1
ET070042	3	18	1	5	2	 	2	1	2
ET070042	4	10	1	5	1	6	2	1	2
ET070042	5	8	2	5	1	0	2	2	2
ET070042	15	4	2	5	 	 	2	 	 
ET070043	1	65	1	3	2	 	2	1	2
ET070043	2	32	2	1	2	 	2	2	1
ET070043	3	14	2	5	1	3	2	1	2
ET070043	4	10	2	5	1	1	2	1	2
ET070043	5	7	1	5	2	 	2	1	2
ET070043	6	5	1	5	2	 	2	2	2
ET070044	1	29	1	1	2	12	2	2	1
ET070044	2	23	2	1	2	9	2	1	1
ET070044	3	6	1	5	2	 	2	2	2
ET070044	15	3	2	5	 	 	2	 	 
ET070045	1	30	1	1	2	9	2	1	1
ET070045	2	20	2	1	2	0	2	1	1
ET070045	15	4	1	5	 	 	2	 	 
ET070046	1	65	1	1	2	 	2	2	1
ET070046	2	43	2	1	2	 	2	1	1
ET070046	3	27	1	5	1	9	2	1	2
ET070046	4	18	2	5	1	6	2	1	2
ET070046	5	14	1	5	2	 	2	1	2
ET070046	6	12	1	5	1	3	2	1	2
ET070046	7	10	1	5	2	 	2	1	2
ET070046	8	8	1	5	2	 	2	2	2
ET070046	15	4	1	5	 	 	2	 	 
ET070047	1	37	1	1	2	0	2	1	1
ET070047	2	33	2	1	2	 	2	1	1
ET070047	3	11	2	5	1	3	2	1	2
ET070047	4	8	2	5	1	0	2	1	2
ET070047	5	6	1	5	2	 	2	1	2
ET070048	1	50	1	1	2	 	2	1	1
ET070048	2	40	2	1	2	 	2	1	1
ET070048	3	18	2	5	1	7	2	1	2
ET070048	4	15	1	5	2	 	2	1	2
ET070048	5	12	1	5	1	3	2	1	2
ET070048	6	10	2	5	1	0	2	1	2
ET070048	7	8	2	5	2	 	2	1	2
ET070049	1	30	1	1	2	10	2	1	1
ET070049	2	25	2	1	2	8	2	1	1
ET070049	3	10	1	5	1	2	2	2	2
ET070049	4	8	1	5	1	0	2	1	2
ET070049	5	5	1	5	2	 	2	2	2
ET070050	1	45	1	1	2	0	2	1	1
ET070050	2	36	2	1	2	0	2	1	1
ET070050	3	16	1	5	1	2	2	1	2
ET070050	4	13	2	5	1	4	2	1	2
ET070050	5	10	1	5	1	1	2	1	2
ET070050	6	6	2	5	2	 	2	2	2
ET070051	1	45	1	1	2	 	2	1	1
ET070051	2	35	2	1	2	 	2	1	1
ET070051	3	18	2	5	1	2	2	1	2
ET070051	4	16	2	5	1	7	2	1	2
ET070051	5	13	2	5	1	3	2	1	2
ET070051	6	12	1	5	1	6	2	1	2
ET070051	7	8	2	5	1	0	2	1	2
ET070051	8	6	2	5	1	0	2	1	2
ET070052	1	30	1	1	2	 	2	1	1
ET070052	2	22	2	1	2	 	2	1	1
ET070053	1	74	1	1	2	 	2	2	2
ET070053	2	33	2	1	2	 	2	1	2
ET070054	1	70	1	4	2	 	2	2	2
ET070054	2	40	2	13	2	 	2	1	2
ET070054	3	23	1	6	1	2	2	2	2
ET070054	4	13	2	6	1	3	2	1	2
ET070054	5	6	1	6	2	 	2	2	2
ET070054	15	3	2	6	 	 	2	 	 
ET070055	1	36	1	1	2	5	2	2	2
ET070055	2	22	2	1	2	 	2	1	2
ET070055	3	16	1	5	2	 	2	2	2
ET070055	4	5	2	5	2	 	2	2	2
ET070056	1	38	1	1	2	 	2	2	2
ET070056	2	32	2	1	2	 	2	1	2
ET070056	3	10	1	5	1	2	2	2	2
ET070056	4	6	1	5	2	 	2	2	2
ET070056	15	4	1	5	 	 	2	 	 
ET070057	1	38	1	1	2	 	2	2	2
ET070057	2	38	2	1	2	5	2	1	2
ET070057	3	12	2	5	1	3	2	1	2
ET070057	4	9	2	5	2	 	2	2	2
ET070057	5	7	2	5	2	 	2	2	2
ET070057	15	4	1	5	 	 	2	 	 
ET070058	1	30	1	1	2	 	2	2	2
ET070058	2	25	2	1	2	 	2	1	2
ET070058	3	10	1	5	2	 	2	2	2
ET070058	4	8	2	5	2	 	2	2	2
ET070058	5	6	1	5	2	 	2	2	2
ET070058	15	4	1	5	 	 	2	 	 
ET070059	1	60	1	1	2	 	2	2	2
ET070059	2	40	2	1	2	 	2	1	2
ET070059	3	13	1	5	1	3	2	2	2
ET070059	4	8	1	5	2	 	2	2	2
ET070059	5	7	2	5	2	 	2	1	2
ET070059	15	4	2	5	 	 	2	 	 
ET070060	1	30	1	1	2	4	2	2	2
ET070060	2	26	2	1	2	2	2	1	2
ET070060	3	6	1	5	2	 	2	2	2
ET070061	1	41	1	1	2	0	2	2	2
ET070061	2	32	2	1	2	0	2	1	2
ET070061	3	14	1	5	2	 	2	2	2
ET070061	4	7	2	5	2	 	2	2	2
ET070061	15	4	2	5	 	 	2	 	 
ET070062	1	42	1	1	2	5	2	1	2
ET070062	2	31	2	1	2	 	2	2	2
ET070062	3	11	1	5	1	3	2	2	2
ET070062	4	8	2	5	1	0	2	1	2
ET070062	5	6	2	5	2	 	2	1	2
ET070062	15	4	1	5	 	 	2	 	 
ET070063	1	35	1	1	2	 	2	2	2
ET070063	2	27	2	1	2	 	2	1	2
ET070063	15	4	1	5	 	 	2	 	 
ET070064	1	50	1	1	2	 	2	2	2
ET070064	2	40	2	1	2	 	2	1	2
ET070064	3	13	2	5	1	1	2	1	2
ET070064	4	10	2	5	1	1	2	1	2
ET070064	5	7	1	5	2	 	2	2	2
ET070064	6	5	2	5	2	 	2	2	2
ET070064	15	3	2	5	 	 	2	 	 
ET070065	1	50	1	1	2	0	2	1	1
ET070065	2	40	2	1	2	0	2	1	2
ET070065	3	15	2	5	2	2	2	1	2
ET070065	4	13	1	5	1	1	2	2	2
ET070065	15	4	1	5	 	 	2	 	 
ET070066	1	28	1	1	2	 	2	1	1
ET070066	2	25	2	1	2	5	2	1	2
ET070066	3	12	2	4	1	3	2	1	2
ET070066	4	5	1	5	2	 	2	2	2
ET070067	1	35	1	1	2	0	2	1	1
ET070067	2	28	2	1	2	0	2	1	2
ET070067	3	11	1	5	1	3	2	1	2
ET070067	4	8	2	5	2	0	2	1	2
ET070067	5	5	1	5	2	0	2	2	2
ET070068	1	29	1	1	2	4	2	1	1
ET070068	2	27	2	1	2	5	2	1	2
ET070068	3	8	1	5	1	1	2	1	2
ET070068	4	5	1	5	2	 	2	2	2
ET070069	1	45	1	1	2	0	2	1	1
ET070069	2	25	2	1	2	0	2	1	2
ET070069	3	11	2	5	2	0	2	1	2
ET070069	4	6	1	5	2	0	2	1	2
ET070069	15	3	1	5	 	 	2	 	 
ET070070	1	24	1	1	2	 	2	1	1
ET070070	2	18	2	1	1	3	2	1	2
ET070071	1	36	1	1	2	0	2	1	1
ET070071	2	25	2	1	2	 	2	1	2
ET070071	3	10	1	5	1	 	2	1	2
ET070071	4	8	1	5	2	 	2	1	2
ET070072	1	30	1	1	1	3	2	1	1
ET070072	2	20	2	1	2	2	2	1	2
ET070073	1	28	1	1	2	 	2	1	1
ET070073	2	23	2	1	2	 	2	1	2
ET070073	3	5	2	5	2	 	2	2	2
ET070074	1	40	1	1	2	0	2	1	1
ET070074	2	30	2	1	2	4	2	1	2
ET070074	3	15	2	5	1	6	2	1	2
ET070074	4	12	1	5	1	4	2	1	2
ET070074	5	10	1	5	2	0	2	1	2
ET070074	6	7	1	5	2	0	2	2	2
ET070074	15	4	2	5	 	 	2	 	 
ET070075	1	25	1	1	2	0	2	1	1
ET070075	2	20	2	1	2	0	2	1	2
ET070076	1	35	1	1	2	0	1	1	1
ET070076	2	28	2	1	2	0	2	1	2
ET070076	3	15	2	5	1	2	2	1	2
ET070076	4	8	2	5	1	2	2	1	2
ET070077	1	29	2	1	2	 	2	1	2
ET070078	1	35	1	1	2	7	2	1	2
ET070078	2	21	2	1	2	6	2	1	2
ET070079	1	46	1	1	2	0	2	1	2
ET070079	2	33	2	1	2	 	2	1	1
ET070079	3	15	1	5	1	4	2	1	2
ET070080	1	31	1	1	2	7	2	1	2
ET070080	2	22	2	1	2	3	2	1	2
ET070080	15	3	1	5	 	 	2	 	 
ET070081	1	72	1	3	2	0	2	2	2
ET070081	2	67	2	3	2	 	2	1	1
ET070081	3	25	2	1	1	5	2	1	1
ET070081	4	15	1	4	2	0	2	2	2
ET070081	5	15	1	6	1	4	2	1	2
ET070081	6	15	2	7	2	 	2	1	2
ET070081	7	14	2	6	1	7	2	1	2
ET070081	8	10	1	6	2	 	2	2	2
ET070082	1	39	2	1	2	0	2	1	1
ET070082	2	18	1	5	1	9	2	1	2
ET070082	3	15	2	5	1	9	2	1	2
ET070082	4	12	1	5	1	 	2	1	2
ET070082	5	8	2	5	1	2	2	1	2
ET070083	1	37	1	1	2	10	2	1	2
ET070083	2	29	2	1	2	7	2	1	2
ET070083	3	12	2	4	2	 	2	2	2
ET070083	4	8	1	5	2	 	2	1	2
ET070083	15	4	2	5	 	 	2	 	 
ET070084	1	62	1	3	2	 	2	2	2
ET070084	2	50	2	3	2	 	2	1	1
ET070084	3	25	1	1	2	12	2	1	2
ET070084	4	24	2	1	2	11	2	1	1
ET070084	5	20	1	4	1	4	2	1	2
ET070084	6	15	2	4	1	6	2	1	2
ET070084	7	12	1	4	1	 	2	1	2
ET070084	8	8	2	4	2	 	2	1	2
ET070085	1	74	2	3	2	 	1	1	2
ET070085	2	45	1	1	2	5	2	1	2
ET070085	3	24	2	1	2	 	2	1	1
ET070086	1	39	1	1	2	0	2	1	2
ET070086	2	28	2	1	2	4	2	1	1
ET070086	3	7	2	5	2	 	2	1	2
ET070086	4	5	1	5	2	 	2	2	2
ET070087	1	51	2	3	2	 	1	1	2
