CHILDID	PLOT	LAREA	LOWN	LUSE
ET060019	2	1250	3	1
ET060020	1	5750	4	1
ET060020	2	5000	3	1
ET060020	3	2500	4	1
ET060020	4	2500	4	1
ET060020	5	2000	4	1
ET060020	6	250	4	1
ET060021	1	2500	4	1
ET060021	2	2500	4	1
ET060021	3	5000	2	1
ET060022	1	2500	4	1
ET060022	2	2500	4	1
ET060022	3	2500	4	1
ET060022	4	2500	4	1
ET060022	5	2500	4	1
ET060023	1	5000	4	1
ET060023	2	2500	3	1
ET060024	1	2500	4	1
ET060024	2	2500	4	2
ET060024	3	2500	4	1
ET060024	4	2500	4	1
ET060024	5	5000	3	1
ET060024	6	5000	3	1
ET060025	1	5000	4	1
ET060025	2	2500	4	1
ET060025	3	2500	4	1
ET060025	4	2500	4	1
ET060026	1	5000	4	1
ET060026	2	5000	4	1
ET060026	3	2500	3	1
ET060026	4	2500	3	1
ET060027	1	2500	4	2
ET060027	2	5000	4	1
ET060027	3	5000	3	1
ET060027	4	5000	3	1
ET060027	5	5000	3	1
ET060028	1	2500	3	1
ET060028	2	5000	4	1
ET060028	3	5000	4	1
ET060028	4	2500	4	1
ET060028	5	5000	4	1
ET060028	6	2500	4	1
ET060029	1	5000	4	1
ET060029	2	5000	4	1
ET060029	3	2500	4	1
ET060030	1	5000	4	1
ET060030	2	2500	4	1
ET060030	3	2500	3	1
ET060030	4	2500	3	1
ET060030	5	1250	4	1
ET060030	6	1250	4	1
ET060031	1	2500	3	1
ET060031	2	2500	4	1
ET060031	3	2500	4	1
ET060031	4	2500	4	1
ET060031	5	2500	4	1
ET060032	1	10000	3	1
ET060032	2	2500	4	1
ET060033	1	750	4	1
ET060033	2	2500	4	1
ET060033	3	2500	4	1
ET060033	4	1250	4	2
ET060033	5	1250	4	1
ET060033	6	2500	3	1
ET060033	7	750	4	1
ET060034	1	5000	3	1
ET060034	2	5000	4	1
ET060034	3	5000	4	1
ET060035	1	2500	4	1
ET060035	2	2500	4	1
ET060035	3	2500	4	1
ET060035	4	2500	4	1
ET060035	5	2500	4	1
ET060035	6	2500	4	1
ET060036	1	2500	3	1
ET060036	2	2500	3	1
ET060036	3	2500	3	1
ET060037	1	2500	4	1
ET060037	2	2500	4	1
ET060037	3	2500	4	1
ET060037	4	2500	4	1
ET060038	1	1250	4	1
ET060038	2	4000	4	1
ET060038	3	2500	4	1
ET060038	4	1250	4	1
ET060038	5	1250	4	2
ET060038	6	1250	3	1
ET060039	1	7500	3	1
ET060039	2	2500	4	1
ET060039	3	2500	4	1
ET060040	1	2500	3	1
ET060040	2	1250	4	1
ET060041	1	10000	2	1
ET060041	2	5000	2	1
ET060041	3	7500	1	1
ET060042	1	2500	4	1
ET060042	2	2500	4	1
ET060042	3	2500	4	1
ET060042	4	2500	3	1
ET060042	5	2500	3	1
ET060043	1	2500	4	1
ET060043	2	2500	4	1
ET060044	1	5000	4	1
ET060044	2	5000	4	1
ET060044	3	1250	4	2
ET060045	1	4500	4	1
ET060045	2	3750	4	1
ET060045	3	2500	4	1
ET060045	4	1250	4	1
ET060046	1	3750	4	1
ET060046	2	3750	4	1
ET060046	3	2500	4	1
ET060046	5	5000	3	2
ET060046	6	5000	3	2
ET060047	1	5000	3	1
ET060047	2	2500	4	1
ET060047	3	1250	3	1
ET060047	4	750	3	1
ET060048	1	5000	3	1
ET060048	2	5000	3	1
ET060049	1	7500	4	1
ET060049	2	2500	4	1
ET060049	3	2500	4	1
ET060050	1	7500	4	1
ET060050	2	2500	4	1
ET060050	3	7500	4	1
ET060050	4	2500	3	1
ET060050	5	7500	3	1
ET060051	1	3750	4	1
ET060051	2	3750	4	1
ET060051	3	2500	3	1
ET060052	1	5000	4	1
ET060052	2	5000	4	1
ET060052	3	5000	4	1
ET060053	1	5000	4	1
ET060053	2	5000	4	1
ET060054	1	5000	4	1
ET060054	2	2500	4	1
ET060054	3	2500	4	1
ET060054	4	2500	3	1
ET060054	5	5000	3	1
ET060055	1	5000	3	1
ET060055	2	1250	3	1
ET060055	3	5000	3	1
ET060055	4	2500	3	1
ET060055	5	2500	4	1
ET060055	6	2500	4	1
ET060055	7	2500	4	1
ET060056	1	5000	4	1
ET060056	2	2500	4	1
ET060056	3	3750	4	1
ET060056	4	1250	4	1
ET060056	5	5000	4	1
ET060056	6	2500	4	1
ET060056	7	5000	3	1
ET060056	8	3750	3	1
ET060057	1	1250	4	1
ET060057	2	1250	4	1
ET060057	3	2500	4	1
ET060057	4	2500	4	1
ET060057	5	1250	4	1
ET060057	6	1250	4	1
ET060057	7	2500	3	1
ET060057	8	1250	4	2
ET060058	1	5000	4	1
ET060058	2	5000	3	1
ET060058	3	2500	4	1
ET060059	1	2500	3	1
ET060059	2	5000	4	1
ET060059	3	2500	3	1
ET060060	1	5000	4	1
ET060060	2	10000	4	1
ET060060	3	1250	4	1
ET060060	4	2500	4	1
ET060060	5	2500	4	1
ET060060	6	2500	4	1
ET060060	7	1250	4	2
ET060061	1	2500	4	8
ET060061	2	2500	4	8
ET060061	3	2500	4	8
ET060061	4	2500	4	8
ET060061	5	2500	4	8
ET060061	6	2500	4	1
ET060062	1	2500	3	1
ET060062	2	2500	3	1
ET060062	3	3750	3	1
ET060062	4	2500	1	1
ET060062	5	2500	3	1
ET060062	6	2500	3	1
ET060062	7	3750	3	1
ET060062	8	2000	3	1
ET060063	1	2500	4	2
ET060063	2	2500	4	1
ET060063	3	2500	4	1
ET060063	4	2500	4	1
ET060063	5	2500	2	1
ET060064	1	3750	4	1
ET060064	2	3750	4	1
ET060064	3	2500	4	1
ET060064	4	1250	4	1
ET060064	5	1250	4	2
ET060064	6	750	4	1
ET060065	1	2500	4	1
ET060065	2	2500	4	1
ET060065	3	1250	4	1
ET060065	4	1250	3	1
ET060065	5	1250	3	1
ET060066	1	2500	4	8
ET060066	2	2500	4	1
ET060066	3	2500	4	1
ET060066	4	5000	4	1
ET060067	1	3750	3	1
ET060067	2	2500	3	1
ET060067	3	2500	3	1
ET060067	4	1250	3	1
ET060067	5	1250	3	2
ET060068	1	2500	4	1
ET060068	2	2500	4	1
ET060068	3	2500	4	1
ET060068	4	2500	4	1
ET060068	5	2500	4	1
ET060069	1	7500	4	1
ET060069	2	2500	4	1
ET060069	3	5000	4	1
ET060069	4	5000	3	1
ET060070	1	5000	4	1
ET060070	2	2500	4	1
ET060070	3	2500	4	1
ET060071	1	7500	4	1
ET060071	2	2500	4	1
ET060071	3	2500	1	1
ET060071	4	3750	3	1
ET060072	1	2500	4	1
ET060072	2	2500	4	1
ET060072	3	2500	4	1
ET060072	4	2500	3	1
ET060073	1	2500	4	8
ET060073	2	2500	4	8
ET060073	3	2500	4	8
ET060073	4	2500	4	8
ET060074	1	5000	5	1
ET060074	2	3750	5	1
ET060074	3	2500	5	1
ET060074	4	2500	4	1
ET060074	5	1250	4	1
ET060074	6	750	4	1
ET060075	1	5000	4	1
ET060075	2	3750	4	1
ET060075	3	2500	4	1
ET060075	4	12500	3	1
ET060075	5	2500	4	1
ET060075	6	2500	4	1
ET060075	7	5000	4	1
ET060075	8	2500	4	1
ET060076	1	2500	3	1
ET060076	2	2500	4	1
ET060076	3	2500	4	1
ET060077	1	5000	4	1
ET060077	2	5000	4	1
ET060077	3	2500	4	1
ET060079	1	2500	3	1
ET060079	2	5000	4	2
ET060079	3	2500	3	1
ET060079	4	5000	4	1
ET060079	5	2500	3	1
ET060079	6	7500	4	1
ET060079	7	1250	4	1
ET060080	1	5000	4	1
ET060080	2	5000	4	1
ET060080	3	5000	3	1
ET060080	4	1250	4	1
ET060080	5	-9999	2	2
ET060081	1	3750	4	1
ET060081	2	1250	4	1
ET060081	3	1250	4	2
ET060081	4	3750	4	1
ET060082	1	3750	4	1
ET060082	2	1250	4	1
ET060082	3	1250	4	1
ET060082	4	1250	4	1
ET060082	5	1250	4	1
ET060082	6	1250	4	2
ET060082	7	750	4	1
ET060083	1	5000	4	1
ET060083	2	2500	4	1
ET060083	3	1250	4	1
ET060083	4	1250	4	1
ET060084	1	5000	4	1
ET060084	2	5000	4	1
ET060085	1	3750	4	1
ET060085	2	5000	4	1
ET060085	3	2500	4	1
ET060085	4	1250	4	1
ET060085	5	1250	4	1
ET060085	6	5000	3	1
ET060085	7	2500	3	1
ET060085	8	25000	4	1
ET060086	1	5000	3	6
ET060086	2	2500	3	6
ET060086	3	750	4	1
ET060087	1	5000	4	1
ET060087	2	2500	3	1
ET060087	3	2500	3	1
ET060087	4	3750	4	1
ET060088	1	2500	4	1
ET060088	2	2500	4	1
ET060088	3	2500	4	1
ET060088	4	2500	4	1
ET060089	1	5000	4	1
ET060089	2	2500	4	1
ET060089	3	2500	4	1
ET060089	4	2500	3	1
ET060089	5	1250	4	1
ET060090	1	2500	4	1
ET060090	2	2500	4	1
ET060090	3	2500	4	1
ET060090	4	1250	3	1
ET060091	1	2500	4	1
ET060091	2	2500	4	1
ET060091	3	2500	4	1
ET060091	4	2500	4	1
ET060091	5	2500	4	1
ET060092	1	2500	4	1
ET060092	2	2500	4	1
ET060092	3	1250	4	1
ET060092	4	1250	4	2
ET060093	1	5000	4	1
ET060093	2	2500	4	1
ET060094	1	2500	4	1
ET060094	2	6250	4	6
ET060094	3	6250	4	6
ET060095	1	5000	4	1
ET060095	2	2500	4	1
ET060095	3	2500	4	1
ET060096	1	2500	4	8
ET060096	2	2500	4	1
ET060096	3	5000	4	8
ET060096	4	2500	4	1
ET060097	1	2500	4	1
ET060097	2	2500	4	1
ET060097	3	2500	4	1
ET060097	4	2500	4	1
ET060098	1	2500	4	1
ET060098	2	2500	4	1
ET060098	3	7500	4	1
ET060098	4	2500	4	1
ET060099	1	2500	4	8
ET060099	2	2500	4	8
ET060100	1	2500	4	1
ET060100	2	2500	4	1
ET060100	3	2500	4	1
ET060100	4	2500	4	1
ET070001	1	2500	4	1
ET070001	2	2500	4	1
ET070002	1	2500	4	1
ET070002	2	2500	4	1
ET070002	3	2500	4	1
ET070002	4	2500	4	1
ET070003	1	10000	4	1
ET070003	2	2500	4	1
ET070003	3	2500	4	1
ET070004	1	5000	4	1
ET070004	2	3750	4	1
ET070004	3	2500	4	1
ET070005	1	7500	4	1
ET070005	2	5000	4	1
ET070006	1	2500	4	1
ET070006	2	2500	4	1
ET070007	1	2500	4	1
ET070007	2	2500	4	1
ET070008	1	7500	4	1
ET070008	2	5000	4	1
ET070008	3	2500	4	1
ET070009	1	5000	4	1
ET070009	2	2500	4	1
ET070010	1	2500	4	1
ET070010	2	2500	4	1
ET070010	3	1250	4	1
ET070011	1	7500	4	1
ET070011	2	5000	4	1
ET070011	3	1250	4	1
ET070012	1	2500	3	1
ET070012	2	1250	3	1
ET070013	1	5000	4	1
ET070013	2	2500	4	1
ET070014	1	2500	4	1
ET070014	2	2500	4	1
ET070015	1	3750	4	1
ET070015	2	2500	4	1
ET070015	3	2500	4	1
ET070016	1	7500	4	1
