CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	THSVILR5	HHCSTER5	DOBHHMR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	TYPATDR5
11004	2	 	1	 	38	41	 	2	1	 	24	 	1	1	0	98	98	0	 	 	 	 	 	 	 	 
11004	3	 	1	 	22	25	 	1	7	 	24	 	2	0	0	2	1	1	15	0	 	 	 	 	 	 
11005	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	3	2	1	16	1	 	 	 	 	 	 
11005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	2	 	1	 	46	49	 	1	1	 	24	 	 	1	0	99	99	1	13	0	 	 	 	 	 	 
11005	3	 	1	 	40	43	 	2	1	 	24	 	1	1	0	99	99	1	13	0	 	 	 	 	 	 
11005	4	 	1	 	18	21	 	1	7	 	24	 	2	0	0	3	2	1	15	1	 	 	 	 	 	 
11006	0	 	1	 	18	21	 	2	0	 	23	 	6	1	0	98	98	1	10	0	 	 	 	 	 	 
11006	1	 	4	 	49	52	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	2	 	4	 	37	40	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	3	 	4	 	22	25	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	5	 	4	 	59	62	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	6	 	1	 	24	27	 	1	25	 	23	 	2	1	0	10	9	0	 	 	 	 	 	 	 	 
11006	7	 	1	 	0	3	 	2	27	 	23	 	5	 	0	0	6	 	 	 	 	 	 	 	 	 
11006	8	 	1	 	 	1	 	2	27	 	23	 	5	 	0	0	6	 	 	 	 	 	 	 	 	 
11006	9	 	1	 	 	58	 	1	26	 	23	 	 	1	0	99	99	0	 	 	 	 	 	 	 	 
11006	10	 	1	 	 	52	 	2	26	 	23	 	1	1	0	99	99	0	 	 	 	 	 	 	 	 
11007	0	1	1	 	19	22	 	2	0	 	23	 	1	1	0	98	98	1	12	0	 	 	 	 	 	 
11007	1	0	4	 	51	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	2	0	4	 	41	44	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	3	0	4	 	26	29	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	4	0	4	 	22	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	5	0	4	 	22	25	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	6	0	4	 	3	6	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	7	1	1	 	 	29	 	1	25	 	23	 	 	1	0	98	98	1	7	0	 	 	 	 	 	 
11008	0	 	1	 	18	21	 	2	0	 	23	 	2	0	0	2	99	1	15	0	 	 	 	 	 	 
11008	1	 	3	2015	51	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	2	 	1	 	44	47	 	2	1	 	23	 	 	3	0	6	99	1	6	0	 	 	 	 	 	 
11008	3	 	1	 	26	29	 	1	7	 	23	 	2	0	0	2	99	1	13	0	 	 	 	 	 	 
11008	4	 	4	 	22	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	5	 	3	2015	65	68	 	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	6	 	1	 	60	63	 	2	5	 	23	 	3	3	0	99	99	0	 	 	 	 	 	 	 	 
11009	0	 	1	 	18	21	 	2	0	 	23	 	1	1	0	98	98	1	5	0	 	 	 	 	 	 
11009	1	 	4	 	41	44	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	2	 	4	 	39	42	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	3	 	4	 	23	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	4	 	1	 	 	33	 	1	25	 	23	 	 	1	0	98	98	1	7	0	 	 	 	 	 	 
11009	5	 	1	 	 	0	2	1	27	 	23	 	2	 	0	0	4	 	 	 	 	 	 	 	 	 
11010	0	 	1	 	18	21	 	2	0	 	23	 	2	0	0	3	2	1	14	1	 	 	 	 	 	 
11010	1	 	1	 	66	69	 	2	6	 	23	 	3	3	0	99	99	1	0	0	 	 	 	 	 	 
11010	2	 	1	 	41	44	 	1	1	 	23	 	 	1	0	1	99	1	12	0	 	 	 	 	 	 
11010	3	 	1	 	35	38	 	2	1	 	23	 	1	1	0	98	99	1	10	0	 	 	 	 	 	 
11010	4	 	4	 	31	34	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	5	 	1	 	17	20	 	1	7	 	23	 	2	0	0	3	2	1	13	1	 	 	 	 	 	 
11011	0	 	1	 	18	21	 	1	0	 	24	 	2	0	0	4	3	1	12	1	 	 	 	 	 	 
11011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	2	 	1	 	67	70	 	2	6	 	24	 	3	3	0	99	99	1	5	0	 	 	 	 	 	 
11011	3	 	1	 	41	44	 	1	1	 	24	 	 	1	0	2	99	1	7	0	 	 	 	 	 	 
11011	4	 	1	 	36	39	 	2	1	 	24	 	1	1	1	98	98	1	5	0	 	 	 	 	 	 
11011	5	 	1	 	17	20	 	2	7	 	24	 	2	0	0	4	3	1	12	1	 	 	 	 	 	 
11012	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	3	2	1	15	1	 	 	 	 	 	 
11012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	2	 	1	 	46	49	 	1	1	 	24	 	 	1	0	99	99	1	9	0	 	 	 	 	 	 
11012	3	 	1	 	41	44	 	2	1	 	24	 	1	1	0	98	98	1	10	0	 	 	 	 	 	 
11012	4	 	4	 	25	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	5	 	1	 	22	25	 	1	7	 	24	 	2	0	0	3	2	1	12	0	 	 	 	 	 	 
11013	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	1	99	1	11	0	 	 	 	 	 	 
11013	1	 	1	 	53	56	 	2	1	 	23	 	 	3	1	98	99	1	12	0	 	 	 	 	 	 
11013	2	 	2	 	45	48	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	3	 	2	 	67	70	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	4	 	2	 	40	43	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	5	 	2	 	10	13	 	1	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	6	 	2	 	8	11	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	0	 	1	 	19	22	 	2	0	 	23	 	2	1	0	2	1	1	11	0	 	 	 	 	 	 
11014	1	 	1	 	63	66	 	1	1	 	23	 	 	1	0	99	99	1	10	0	 	 	 	 	 	 
11014	2	 	1	 	56	59	 	2	1	 	23	 	1	1	0	99	99	1	15	0	 	 	 	 	 	 
11014	3	 	4	 	29	32	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	4	 	1	 	 	32	 	1	25	 	23	 	6	1	0	98	98	1	12	0	 	 	 	 	 	 
11015	0	 	1	 	19	22	 	2	0	 	23	 	2	1	0	2	1	1	11	0	 	 	 	 	 	 
11015	1	 	1	 	39	42	 	1	1	 	23	 	 	1	0	98	99	1	8	0	 	 	 	 	 	 
11015	2	 	1	 	36	39	 	2	1	 	23	 	1	1	0	98	98	1	5	0	 	 	 	 	 	 
11015	3	 	1	 	17	20	 	1	7	 	23	 	2	0	0	2	1	1	10	0	 	 	 	 	 	 
11015	4	 	1	 	22	25	 	1	25	 	23	 	6	1	0	98	98	1	7	0	 	 	 	 	 	 
11016	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	2	1	1	16	1	 	 	 	 	 	 
11016	1	 	1	 	49	52	 	1	1	 	24	 	 	1	0	99	99	1	10	0	 	 	 	 	 	 
11016	2	 	1	 	42	45	 	2	1	 	24	 	1	1	0	99	99	1	10	0	 	 	 	 	 	 
11016	3	 	1	 	17	20	 	1	7	 	24	 	2	0	0	2	1	1	15	1	 	 	 	 	 	 
11018	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	4	3	1	10	0	 	 	 	 	 	 
11018	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	2	 	1	 	81	84	 	2	6	 	23	 	3	3	0	99	99	1	1	0	 	 	 	 	 	 
11018	3	 	1	 	51	54	 	1	1	 	23	 	 	1	0	2	99	1	3	0	 	 	 	 	 	 
11018	4	 	1	 	42	45	 	2	1	 	23	 	1	1	0	99	99	1	3	0	 	 	 	 	 	 
11018	5	 	2	 	41	44	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	6	 	2	 	34	37	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	7	 	1	 	26	29	 	1	7	 	23	 	2	0	0	4	3	1	13	0	 	 	 	 	 	 
11018	8	 	1	 	25	28	 	1	7	 	23	 	2	0	0	4	3	1	3	0	 	 	 	 	 	 
11018	9	 	1	 	24	27	 	1	7	 	23	 	2	0	0	4	3	1	10	0	 	 	 	 	 	 
11018	10	 	1	 	21	24	 	1	7	 	23	 	2	0	0	4	3	1	10	0	 	 	 	 	 	 
11018	11	 	1	 	17	20	 	2	14	 	23	 	2	0	0	98	98	1	12	0	 	 	 	 	 	 
11018	13	 	1	 	11	14	 	1	14	 	23	11	5	0	0	98	98	 	 	 	1	6	1	 	 	3
11018	14	 	2	 	9	12	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	28	 	1	 	14	17	 	1	14	 	23	5	5	0	0	98	98	 	 	 	1	10	1	 	 	1
11019	0	 	1	 	19	22	 	1	0	 	24	 	2	0	0	2	1	1	15	2	 	 	 	 	 	 
11019	1	 	1	 	43	46	 	1	1	 	24	 	 	1	0	99	99	0	 	 	 	 	 	 	 	 
11019	2	 	1	 	41	44	 	2	1	 	24	 	1	1	0	98	98	1	3	0	 	 	 	 	 	 
11021	0	 	1	 	19	22	 	2	0	 	23	 	 	0	0	99	99	1	12	3	 	 	 	 	 	 
11021	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	3	 	3	2014	45	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	4	 	4	 	24	27	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	5	 	1	 	17	20	 	2	7	 	23	 	4	0	0	99	99	1	5	0	 	 	 	 	 	 
11021	6	 	4	 	16	19	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	0	 	1	 	19	22	 	1	0	 	24	 	2	0	0	6	4	1	13	0	 	 	 	 	 	 
11022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	2	 	1	 	64	67	 	2	6	 	24	 	3	3	0	99	99	0	 	 	 	 	 	 	 	 
11022	3	 	1	 	48	51	 	1	13	 	24	 	 	1	0	2	99	1	15	0	 	 	 	 	 	 
11022	4	 	1	 	44	47	 	1	1	 	24	 	4	1	0	2	99	1	15	0	 	 	 	 	 	 
11022	5	 	1	 	43	46	 	2	13	 	24	 	8	1	0	99	99	0	 	 	 	 	 	 	 	 
11022	6	 	1	 	40	43	 	2	1	 	24	 	8	1	0	98	98	1	12	0	 	 	 	 	 	 
11022	7	 	1	 	23	26	 	1	14	 	24	 	2	1	0	98	3	1	16	0	 	 	 	 	 	 
11022	8	 	1	 	17	20	 	2	7	 	24	 	2	0	0	6	4	1	12	1	 	 	 	 	 	 
11023	0	 	1	 	19	22	 	2	0	 	23	 	2	0	0	2	1	1	15	0	 	 	 	 	 	 
11023	1	 	1	 	36	39	 	1	1	 	23	 	 	1	0	98	99	0	 	 	 	 	 	 	 	 
11023	2	 	1	 	41	44	 	2	1	 	23	 	1	1	0	99	99	0	 	 	 	 	 	 	 	 
11023	3	 	4	 	25	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11023	4	 	1	 	24	27	 	1	7	 	23	 	2	0	0	2	1	1	13	0	 	 	 	 	 	 
11024	0	 	1	 	18	21	 	2	0	 	24	 	6	1	0	99	98	1	10	0	 	 	 	 	 	 
11024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	3	 	4	 	37	40	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	4	 	4	 	35	38	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	5	 	4	 	33	36	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	6	 	4	 	33	36	 	1	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	7	 	4	 	10	13	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	8	 	4	 	31	34	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	9	 	4	 	9	12	 	2	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	10	 	1	 	28	31	 	1	25	 	24	 	2	1	0	12	11	1	8	0	 	 	 	 	 	 
11024	11	 	1	 	55	58	 	1	26	 	24	 	 	1	0	99	99	0	 	 	 	 	 	 	 	 
11024	12	 	1	 	47	50	 	2	26	 	24	 	1	1	0	99	99	0	 	 	 	 	 	 	 	 
11024	13	 	1	 	0	3	 	2	27	 	24	 	5	 	0	0	10	 	 	 	 	 	 	 	 	 
11024	14	 	1	 	 	2	 	1	27	 	24	 	5	 	0	0	10	 	 	 	 	 	 	 	 	 
11025	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	2	1	1	12	0	 	 	 	 	 	 
11025	1	 	1	 	41	44	 	1	1	 	23	 	 	1	0	98	98	1	5	0	 	 	 	 	 	 
11025	2	 	1	 	38	41	 	2	1	 	23	 	1	1	0	98	98	1	6	0	 	 	 	 	 	 
11025	3	 	1	 	17	20	 	1	7	 	23	 	2	0	0	2	1	1	12	1	 	 	 	 	 	 
11026	0	 	1	 	18	21	 	2	0	 	24	 	2	0	0	2	1	1	13	0	 	 	 	 	 	 
11026	1	 	1	 	47	50	 	1	1	 	24	 	 	1	0	98	98	1	10	0	 	 	 	 	 	 
11026	2	 	1	 	40	43	 	2	1	 	24	 	1	1	0	98	98	1	12	0	 	 	 	 	 	 
11026	3	 	1	 	18	21	 	1	7	 	24	 	2	0	0	2	1	1	13	1	 	 	 	 	 	 
11027	0	 	1	 	18	21	 	2	0	 	23	 	1	1	0	98	98	1	15	0	 	 	 	 	 	 
11027	1	 	4	 	50	53	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	2	 	4	 	46	49	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	3	 	4	 	24	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	4	 	1	 	 	29	 	1	25	 	23	 	 	1	0	98	98	1	16	0	 	 	 	 	 	 
11029	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	2	1	1	15	1	 	 	 	 	 	 
11029	1	 	1	 	46	49	 	1	1	 	23	 	 	1	0	2	1	1	10	0	 	 	 	 	 	 
11029	2	 	1	 	41	44	 	2	1	 	23	 	1	1	0	99	99	1	10	0	 	 	 	 	 	 
11029	3	 	1	 	18	21	 	1	7	 	23	 	2	0	0	2	1	1	12	1	 	 	 	 	 	 
11030	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	3	2	1	15	1	 	 	 	 	 	 
11030	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	 	1	 	46	49	 	1	1	 	24	 	 	1	0	99	99	1	7	0	 	 	 	 	 	 
11030	3	 	1	 	43	46	 	2	1	 	24	 	1	1	0	99	99	1	15	0	 	 	 	 	 	 
11031	0	 	1	 	18	21	 	1	0	 	23	 	2	0	0	6	5	1	7	0	 	 	 	 	 	 
11031	1	 	1	 	66	69	 	1	5	 	23	 	7	1	0	99	99	1	5	0	 	 	 	 	 	 
11031	2	 	4	 	61	64	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	3	 	4	 	29	32	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	4	 	4	 	27	30	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	5	 	1	 	42	45	 	1	1	 	23	 	 	1	0	98	99	0	 	 	 	 	 	 	 	 
11031	6	 	1	 	37	40	 	2	1	 	23	 	1	1	0	98	1	0	 	 	 	 	 	 	 	 
11031	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	8	 	1	 	22	25	 	1	7	 	23	 	2	0	0	6	5	1	12	1	 	 	 	 	 	 
11032	0	 	1	 	20	23	 	1	0	 	23	 	2	0	0	2	1	1	15	0	 	 	 	 	 	 
11032	1	 	1	 	43	46	 	1	1	 	23	 	 	1	0	5	99	0	 	 	 	 	 	 	 	 
11032	2	 	1	 	41	44	 	2	1	 	23	 	1	1	0	6	99	1	7	0	 	 	 	 	 	 
11032	3	 	1	 	24	27	 	2	7	 	23	 	2	1	0	2	1	1	10	0	 	 	 	 	 	 
11032	4	 	1	 	22	25	 	1	7	 	23	 	2	0	0	2	1	1	8	0	 	 	 	 	 	 
11032	5	 	1	 	69	72	 	2	6	 	23	 	3	3	0	99	99	0	 	 	 	 	 	 	 	 
11032	6	 	1	 	67	70	 	2	5	 	23	 	7	3	1	99	99	0	 	 	 	 	 	 	 	 
11032	7	 	1	 	7	10	 	2	15	 	23	7	5	 	0	98	98	 	 	 	1	5	1	 	 	1
11034	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	3	2	1	13	1	 	 	 	 	 	 
11034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	2	 	1	 	51	54	 	1	1	 	23	 	 	1	0	99	99	1	15	0	 	 	 	 	 	 
11034	3	 	1	 	46	49	 	2	1	 	23	 	1	1	0	99	99	1	15	0	 	 	 	 	 	 
11034	4	 	1	 	47	50	 	1	13	 	23	 	4	1	0	99	99	1	15	0	 	 	 	 	 	 
11034	5	 	1	 	18	21	 	1	7	 	23	 	2	0	0	3	2	1	15	0	 	 	 	 	 	 
11034	28	 	1	 	15	18	 	1	14	 	23	 	2	0	0	98	4	1	10	1	 	 	 	 	 	 
11035	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	2	1	1	13	0	 	 	 	 	 	 
11035	1	 	1	 	45	48	 	1	1	 	23	 	 	1	0	99	99	1	10	0	 	 	 	 	 	 
11035	2	 	1	 	38	41	 	2	1	 	23	 	1	1	0	98	98	1	10	0	 	 	 	 	 	 
11035	3	 	1	 	18	21	 	1	7	 	23	 	2	0	0	2	1	1	13	1	 	 	 	 	 	 
11036	0	 	1	 	19	22	 	2	0	 	23	 	2	0	0	4	3	1	13	0	 	 	 	 	 	 
11036	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	2	 	1	 	61	64	 	2	6	 	23	 	3	3	0	99	99	1	10	0	 	 	 	 	 	 
11036	3	 	1	 	46	49	 	1	1	 	23	 	 	1	0	2	99	1	8	0	 	 	 	 	 	 
11036	4	 	1	 	39	42	 	2	1	 	23	 	1	1	0	98	99	1	15	0	 	 	 	 	 	 
11036	28	 	1	 	15	18	 	2	7	 	23	 	2	0	0	4	3	1	11	0	 	 	 	 	 	 
11037	0	 	1	 	19	22	 	2	0	 	24	 	2	0	0	2	1	1	15	0	 	 	 	 	 	 
11037	1	 	1	 	47	50	 	1	1	 	24	 	 	1	0	5	99	1	12	0	 	 	 	 	 	 
11037	2	 	1	 	37	40	 	2	1	 	24	 	1	1	0	98	99	1	10	0	 	 	 	 	 	 
11037	3	 	4	 	23	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	4	 	4	 	57	60	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	5	 	1	 	 	60	 	2	6	 	24	 	3	1	0	99	99	1	3	0	 	 	 	 	 	 
11038	0	 	1	 	19	22	 	2	0	 	24	 	1	1	0	98	98	1	6	0	 	 	 	 	 	 
11038	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	2	 	4	 	41	44	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	3	 	4	 	39	42	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	4	 	4	 	23	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	5	 	4	 	21	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	6	 	1	 	55	58	 	1	13	 	24	 	3	1	0	98	98	0	 	 	 	 	 	 	 	 
11038	7	 	1	 	44	47	 	2	13	 	24	 	3	1	0	98	99	0	 	 	 	 	 	 	 	 
11038	8	 	4	 	25	28	 	1	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	9	 	4	 	23	26	 	2	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	10	 	1	 	22	25	 	1	25	 	24	 	 	1	0	7	6	1	5	0	 	 	 	 	 	 
11038	11	 	1	 	 	2	 	2	27	 	24	 	2	 	0	0	10	 	 	 	 	 	 	 	 	 
11038	12	 	1	 	 	0	5	2	27	 	24	 	2	 	0	0	10	 	 	 	 	 	 	 	 	 
11039	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	2	99	1	13	0	 	 	 	 	 	 
11039	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	2	 	1	 	46	49	 	2	1	 	23	 	 	3	0	99	99	1	6	0	 	 	 	 	 	 
11039	3	 	4	 	25	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	4	 	4	 	22	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	0	 	1	 	19	22	 	1	0	 	24	 	2	0	0	3	2	1	13	0	 	 	 	 	 	 
11040	1	 	3	2015	88	91	 	1	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	2	 	1	 	51	54	 	1	1	 	24	 	 	1	0	99	99	1	13	0	 	 	 	 	 	 
11040	3	 	1	 	47	50	 	2	1	 	24	 	1	1	0	98	98	1	16	0	 	 	 	 	 	 
11040	4	 	1	 	17	20	 	1	7	 	24	 	2	0	0	3	2	1	12	1	 	 	 	 	 	 
11041	0	 	1	 	19	22	 	1	0	 	22	 	2	0	0	2	99	1	15	0	 	 	 	 	 	 
11041	1	 	1	 	73	76	 	2	5	 	22	 	12	3	0	99	99	0	 	 	 	 	 	 	 	 
11041	2	 	1	 	47	50	 	2	1	 	22	 	 	3	0	1	99	1	15	0	 	 	 	 	 	 
11041	3	 	1	 	27	30	 	1	7	 	22	 	2	1	0	2	99	1	16	0	 	 	 	 	 	 
11042	0	 	1	 	19	22	 	1	0	 	23	 	2	0	0	4	3	1	12	0	 	 	 	 	 	 
11042	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	2	 	3	2016	66	69	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
