CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5
81019	2	30	5	32	5
81020	1	1	6	11	6
81020	2	2	1	11	1
81021	1	1	3	11	3
81022	1	12	1	32	1
81022	2	2	1	32	1
81023	1	1	4	11	4
81025	1	30	2	9	2
81027	1	1	5	11	5
81027	2	3	1	11	1
81027	3	7	2	11	2
81030	1	30	4	26	4
81033	1	1	4	11	4
81034	1	1	8	11	8
81035	1	1	5	11	5
81036	1	1	4	11	4
81037	1	1	4	11	4
81038	1	1	7	11	7
81038	2	3	1	11	1
81038	3	7	1	11	1
81040	1	1	4	11	4
81042	1	1	5	11	5
81042	2	30	1	24	1
81043	1	1	5	11	5
81043	2	5	1	11	1
81043	3	3	1	11	1
81044	1	1	4	11	4
81044	2	21	1	21	1
81045	1	15	20	12	20
81046	1	1	3	11	3
81047	1	1	6	11	6
81048	1	1	2	11	2
81049	1	1	10	11	10
81049	2	3	1	11	1
91002	1	1	4	11	4
91003	1	1	4	11	4
91003	2	12	3	8	3
91005	1	8	6	11	6
91006	1	1	3	11	3
91007	1	1	4	11	4
91008	1	1	7	11	7
91009	1	12	3	8	3
91009	2	30	1	24	0
91009	3	21	1	21	1
91010	1	1	15	11	15
91010	2	6	1	11	1
91010	3	4	3	11	3
91010	4	12	3	8	3
91010	5	21	1	21	1
91010	6	1	5	8	5
91012	1	1	3	11	3
91013	1	8	5	11	5
91014	1	1	4	11	4
91015	1	1	6	11	6
91016	1	1	5	11	5
91017	1	1	6	11	6
91018	1	1	6	11	6
91019	1	1	6	11	6
91021	1	1	3	11	3
91022	1	1	5	11	5
91025	1	21	1	21	1
91026	1	1	3	11	3
91027	1	1	5	11	5
91030	1	1	6	11	6
91033	1	21	1	21	1
91034	1	1	3	11	3
91037	1	1	4	11	4
91037	2	21	1	21	1
91039	1	1	3	11	3
91040	1	1	2	5	2
91041	1	1	14	11	14
91041	2	21	1	21	1
91043	1	1	4	11	4
91044	1	1	6	11	6
91045	1	1	5	11	5
91046	1	1	7	11	7
91046	2	3	1	11	1
91046	3	5	1	11	1
91047	1	1	6	11	6
91049	1	1	3	11	3
101004	1	 	 	 	 
101006	1	21	1	21	1
101008	1	15	5	12	5
101008	2	21	1	21	1
101009	1	 	 	 	 
101011	1	1	2	11	2
101013	1	30	2	28	2
101014	1	21	1	21	1
101017	1	30	2	26	2
101019	1	21	1	21	1
101019	2	11	4	19	4
101023	1	30	6	28	6
101024	1	23	5	26	5
101025	1	23	5	23	5
101026	1	22	5	22	5
101027	1	17	6	16	6
101032	1	23	3	23	3
101033	1	 	 	 	 
101034	1	21	1	21	1
101039	1	1	4	11	4
101040	1	21	1	21	1
101041	1	21	1	21	1
101043	1	1	3	26	3
101049	1	7	1	24	0
111001	1	1	10	11	10
111001	2	2	1	11	1
111001	3	4	4	11	4
111003	1	7	1	11	0
111003	2	3	6	11	6
111003	3	3	1	11	1
111003	4	4	1	11	0
111005	1	30	3	26	3
111006	1	1	10	5	10
111008	1	1	3	11	3
111008	2	3	1	11	1
111008	3	2	1	11	1
111008	4	7	1	11	0
111008	5	4	1	11	0
111009	1	1	3	11	3
111010	1	7	1	11	0
111010	2	6	1	11	0
111010	3	2	1	11	0
111010	4	3	1	11	0
111010	5	1	15	11	15
111011	1	4	1	11	1
111011	2	7	1	11	0
111011	3	1	3	11	3
111011	4	3	1	11	1
111012	1	30	1	26	1
111012	2	1	4	11	4
111012	3	7	1	11	0
111014	1	25	1	11	1
111014	2	2	1	11	1
111014	3	3	1	11	1
111014	4	4	1	11	0
111014	5	1	3	11	3
111015	1	1	4	11	4
111015	2	2	1	11	0
111015	3	4	2	11	0
111015	4	7	1	11	0
111018	1	7	1	11	0
111018	2	3	1	11	1
111019	1	1	2	11	2
111019	2	2	1	11	1
111019	3	4	3	11	3
111019	4	3	1	11	1
111019	5	30	1	12	1
111020	1	1	2	11	2
111020	2	2	1	11	0
111020	3	4	2	11	0
111020	4	3	1	11	0
111021	1	25	1	24	1
111022	1	1	3	11	3
111022	2	2	1	11	0
111022	3	3	1	11	0
111023	1	2	1	11	1
111023	2	1	3	11	3
111023	3	4	3	11	3
111024	1	1	3	11	3
111024	2	2	1	11	1
111024	3	4	3	11	2
111025	1	1	6	11	6
111025	2	4	3	11	3
111025	3	3	1	11	1
111026	1	2	1	11	1
111026	2	4	5	11	5
111026	3	1	11	11	11
111026	4	3	1	11	0
111026	5	6	1	11	0
111027	1	1	4	11	4
111027	2	2	1	11	1
111027	3	3	1	11	1
111027	4	4	4	11	4
111028	1	25	1	24	1
111030	1	1	3	11	3
111030	2	2	1	11	1
111030	3	4	3	11	2
111031	1	1	3	11	3
111031	2	2	1	11	1
111031	3	3	1	11	1
111031	4	4	1	11	1
111032	1	1	2	11	0
111033	1	5	1	11	1
111033	2	3	1	11	0
111033	3	7	1	11	0
111033	4	1	5	11	5
111035	1	2	1	11	1
111035	2	4	5	11	5
111035	3	5	1	11	1
111035	4	3	1	11	1
111035	5	8	20	11	20
111036	1	1	8	11	8
111038	1	1	3	11	3
111038	2	2	1	11	1
111038	3	4	2	11	2
111038	4	3	1	11	0
111039	1	1	3	11	1
111039	2	3	1	11	0
111039	3	4	3	11	3
111040	1	1	8	11	8
111040	2	7	1	11	1
111041	1	1	3	11	3
111041	2	2	1	12	0
111041	3	2	1	11	0
111041	4	7	1	11	0
111041	5	4	2	11	0
111041	6	18	35	11	0
111044	1	4	6	11	6
111044	2	4	1	11	1
111044	3	1	10	11	10
111044	4	5	1	11	1
111044	5	3	2	11	2
111045	1	12	2	32	2
111045	2	30	4	32	4
111047	1	3	3	11	2
