CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
61027	2	0	0	 
61028	1	.0199999995529652	0	 
61028	2	0	0	 
61029	1	.0599999986588955	2	2
61029	2	0	0	 
61030	1	.0199999995529652	.5	4
61030	2	0	0	 
61031	1	1.03999996185303	.5	4
61031	2	0	1	4
61032	1	.0299999993294477	1.5	1
61032	2	0	0	 
61033	1	.0399999991059303	1.5	2
61033	2	0	1	5
61034	1	.0199999995529652	.300000011920929	5
61034	2	0	0	 
61035	1	.0199999995529652	4	5
61035	2	0	0	 
61036	1	.0399999991059303	1	4
61036	2	0	0	 
61037	1	.0299999993294477	0	 
61037	2	0	0	 
61038	1	.0399999991059303	3	1
61038	2	0	0	 
61039	1	.0199999995529652	0	 
61039	2	0	0	 
61040	1	.0199999995529652	0	 
61040	2	0	0	 
61041	1	.100000001490116	5	1
61041	2	0	2	5
61042	1	.0199999995529652	0	 
61042	2	0	0	 
61043	1	.0299999993294477	3	1
61043	2	0	0	 
61044	1	0	 	 
61044	2	0	 	 
61045	1	.0199999995529652	0	 
61045	2	0	0	 
61046	1	0	 	 
61046	2	0	 	 
61047	1	.0299999993294477	.300000011920929	5
61047	2	0	0	 
61048	1	.00999999977648258	0	 
61048	2	0	0	 
61049	1	.0299999993294477	.200000002980232	4
61049	2	0	0	 
61050	1	.5	.5	4
61050	2	0	0	 
71001	1	.0299999993294477	1	5
71001	2	0	2	5
71002	1	.0700000002980232	0	 
71002	2	0	0	 
71003	1	 	 	 
71003	2	 	 	 
71004	1	 	 	 
71004	2	 	 	 
71005	1	.0199999995529652	2	5
71005	2	0	0	 
71006	1	.00999999977648258	.560000002384186	1
71006	2	0	0	 
71007	1	.00999999977648258	0	 
71007	2	0	0	 
71008	1	.0299999993294477	1.20000004768372	4
71008	2	0	0	 
71009	1	.0299999993294477	0	 
71009	2	0	0	 
71010	1	.0599999986588955	.5	4
71010	2	0	0	 
71011	1	.0799999982118607	4	2
71011	2	0	0	 
71012	1	.0299999993294477	2	5
71012	2	0	0	 
71013	1	.00999999977648258	.300000011920929	5
71013	2	0	0	 
71014	1	.00999999977648258	.200000002980232	5
71014	2	0	0	 
71015	1	0	 	 
71015	2	0	 	 
71016	1	.0399999991059303	.5	4
71016	2	0	0	 
71017	1	.0199999995529652	1	5
71017	2	0	0	 
71018	1	.100000001490116	2	5
71018	2	0	0	 
71019	1	.0599999986588955	3	5
71019	2	0	0	 
71020	1	.0500000007450581	1.20000004768372	5
71020	2	0	0	 
71021	1	.0399999991059303	0	 
71021	2	0	0	 
71022	1	.00999999977648258	 	 
71022	2	0	 	 
71023	1	.0299999993294477	0	 
71023	2	0	0	 
71024	1	.0299999993294477	1	4
71024	2	0	0	 
71025	1	.400000005960464	.800000011920929	4
71025	2	0	3	4
71026	1	.0199999995529652	.300000011920929	4
71026	2	0	0	 
71027	1	.0299999993294477	2.5	3
71027	2	0	0	 
71028	1	.0199999995529652	0	 
71028	2	0	0	 
71030	1	.0199999995529652	0	 
71030	2	0	0	 
71031	1	.140000000596046	1.29999995231628	4
71031	2	0	0	 
71032	1	.300000011920929	.5	4
71032	2	0	0	 
71033	1	.0199999995529652	3.32999992370605	4
71033	2	0	0	 
71034	1	.100000001490116	1.70000004768372	1
71034	2	0	0	 
71035	1	.00999999977648258	1	1
71035	2	0	2.5	2
71036	1	.0299999993294477	.800000011920929	4
71036	2	0	0	 
