CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
31007	1	2016	5	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	5
31011	1	2014	27	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
31020	1	2015	1	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
31021	1	2012	48	3	2	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	1	4
31028	1	2016	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
31031	1	2015	15	1	4	N	N	N	N	Y	N	N	Y	N	N	N	N	11	9	1	3
31033	1	2014	26	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
31034	1	2016	2	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
31036	1	2016	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
31037	1	2014	10	1	5	N	N	N	N	Y	N	N	Y	N	N	N	N	20	88	1	2
31038	1	2014	10	3	10	N	N	N	N	N	N	N	N	Y	N	N	N	1	88	1	4
31039	1	2013	24	2	2	N	N	N	Y	N	N	N	N	N	N	N	N	2	88	1	2
31040	1	2014	24	3	10	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	1	2
31041	2	2014	3	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	0	 
31041	3	2013	17	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
31045	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	79	1	5
31046	3	2016	12	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	5	1	4
31046	4	2015	1	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
31046	5	2014	8	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
31049	1	2014	0	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31049	2	2016	4	3	10	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
31049	3	2016	2	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
31049	4	2017	1	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	9	0	 
31050	1	2015	11	2	4	N	N	N	Y	N	N	N	N	N	N	N	N	2	1	1	2
31050	2	2014	6	3	5	N	N	N	Y	N	N	N	N	N	N	N	N	2	1	1	2
31050	3	2013	1	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	2	1	0	 
31058	1	2014	24	1	4	N	N	N	N	Y	N	N	N	N	N	N	N	20	88	1	1
31060	1	2013	15	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	0	 
31079	1	2015	1	2	4	N	N	N	N	N	N	N	N	Y	N	N	N	2	1	1	4
31079	2	2016	1	3	4	N	N	N	N	N	N	N	N	Y	N	N	N	1	88	1	4
31108	1	2014	18	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41001	1	2015	4	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
41001	2	2014	3	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
41001	3	2013	6	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41002	1	2015	3	3	3	N	N	N	N	N	N	N	N	Y	N	N	N	1	88	1	2
41004	1	2015	13	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41004	2	2016	5	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	0	 
41004	3	2017	1	3	4	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	5
41007	1	2016	2	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
41009	1	2014	24	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41010	1	2013	38	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
41011	1	2013	8	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41013	1	2015	0	2	3	N	N	N	N	Y	N	N	N	N	N	N	N	17	20	0	 
41014	1	2015	3	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41015	1	2014	12	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41015	2	2015	18	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	1	5
41016	1	2014	31	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
41017	1	2014	10	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
41019	1	2014	5	3	4	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
41019	2	2016	8	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41020	1	2013	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41021	1	2016	4	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	6
41021	2	2015	6	3	3	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
41022	1	2015	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
41023	1	2014	25	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	1	4
41024	1	2014	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	1	4
41026	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	2
41027	1	2014	18	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41027	2	2016	10	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41028	1	2015	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
41030	1	2014	4	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41030	2	2015	11	2	2	N	N	N	N	N	N	N	N	N	N	N	Y	13	5	1	5
41030	3	2016	10	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	28	88	0	 
41031	1	2015	7	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
41034	1	2013	36	2	5	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
41036	1	2014	0	3	1	N	N	N	Y	N	N	N	N	Y	N	N	N	5	2	0	 
41037	1	2013	18	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
41037	2	2016	3	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
41038	1	2016	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
41042	1	2014	8	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
41042	2	2015	6	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41042	3	2016	2	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
41042	4	2016	1	3	77	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
