CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
161045	2	2016	3	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	1
161046	1	2013	0	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
161047	1	2014	18	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
161047	2	2015	12	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	2
161049	1	2015	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
161050	1	2014	10	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
161050	2	2014	22	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	2
171003	1	2014	2	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	1	1	4
171006	1	2014	25	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
171006	2	2016	4	2	1	N	N	N	N	Y	N	N	Y	N	N	N	N	35	88	0	 
171007	2	2013	36	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
171007	3	2016	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	1
171009	1	2014	24	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
171013	1	2015	7	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	1	5
171013	2	2016	2	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	1	5
171014	1	2015	14	1	1	N	N	Y	Y	N	N	N	N	N	N	N	N	27	88	0	 
171020	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
171022	1	2014	27	1	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	13	88	0	 
171027	1	2015	1	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	0	 
171045	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
171046	1	2014	12	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
171051	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
171052	1	2015	14	1	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	13	88	0	 
171061	1	2013	0	1	2	N	Y	Y	Y	N	N	N	N	N	N	N	N	4	5	1	5
171063	1	2016	0	2	1	N	Y	Y	Y	Y	N	N	Y	N	N	N	N	13	88	0	 
181003	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
181005	1	2013	36	2	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	35	88	0	 
181011	1	2016	2	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
181014	1	2016	3	1	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	13	88	0	 
181014	2	2015	12	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	12	88	1	1
181017	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
181018	1	2016	3	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	27	88	1	1
181019	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
181030	1	2014	24	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
181034	1	2016	1	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	35	88	0	 
181041	1	2013	17	2	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	13	88	1	4
181041	2	2015	19	2	1	N	Y	Y	Y	N	N	N	N	N	N	N	N	13	88	0	 
181042	1	2014	23	1	1	N	N	N	N	N	N	N	N	Y	N	N	N	13	28	1	4
181043	1	2016	5	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	20	88	1	5
181046	1	2014	6	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
181056	1	2016	6	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
191006	2	2014	7	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
191009	1	2015	9	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	0	 
191011	1	2014	16	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
191014	1	2013	36	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
191018	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	1	5
191019	1	2013	36	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
191024	1	2013	19	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
191033	1	2016	3	1	1	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	0	 
191036	1	2013	12	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
191036	2	2016	1	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	5
191039	1	2016	4	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
191040	1	2015	19	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
191047	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
191049	1	2013	18	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
191057	1	2014	12	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
191057	2	2016	0	1	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	0	 
191070	1	2013	0	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	0	 
201008	1	2015	0	3	1	N	N	N	N	Y	N	N	N	N	N	N	N	20	88	0	 
201010	1	2016	2	1	1	N	Y	Y	Y	N	N	N	N	Y	N	N	N	13	88	0	 
201016	1	2013	8	2	10	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	1
201016	2	2014	4	2	10	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	1
201017	1	2014	27	2	1	N	N	Y	Y	N	N	N	N	Y	N	N	N	13	88	0	 
201049	1	2016	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
201054	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
201104	1	2014	24	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
