CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTWEKR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PDPCPRR5	PRFACTR5	MTHPRFR5
11034	3	88	 	 	 	 	 	 	 	 	 	 	 
11035	1	13	3	11	25	8	1	7000	 	4	 	1	12
11035	2	88	 	 	 	 	 	 	 	 	 	 	 
11035	3	88	 	 	 	 	 	 	 	 	 	 	 
11037	1	13	1	12	26	8	1	7000	 	4	 	1	12
11037	2	9	3	12	12	1	1	1000	 	4	 	1	12
11037	3	88	 	 	 	 	 	 	 	 	 	 	 
11038	1	12	3	7	30	4	1	1200	 	4	 	0	 
11038	2	88	 	 	 	 	 	 	 	 	 	 	 
11038	3	88	 	 	 	 	 	 	 	 	 	 	 
11039	1	 	 	 	 	 	 	 	 	 	 	 	 
11039	2	 	 	 	 	 	 	 	 	 	 	 	 
11039	3	 	 	 	 	 	 	 	 	 	 	 	 
11040	1	13	1	12	26	8	1	4000	 	4	 	1	12
11040	2	88	 	 	 	 	 	 	 	 	 	 	 
11040	3	88	 	 	 	 	 	 	 	 	 	 	 
11041	1	20	6	12	30	6	1	4000	 	4	 	1	12
11041	2	88	 	 	 	 	 	 	 	 	 	 	 
11041	3	88	 	 	 	 	 	 	 	 	 	 	 
11042	1	1	2	7	20	4	0	 	 	 	 	1	6
11042	2	88	 	 	 	 	 	 	 	 	 	 	 
11042	3	88	 	 	 	 	 	 	 	 	 	 	 
11043	1	13	3	10	25	8	1	2800	 	3	 	1	12
11043	2	88	 	 	 	 	 	 	 	 	 	 	 
11043	3	88	 	 	 	 	 	 	 	 	 	 	 
11044	1	13	1	12	26	12	1	7500	 	4	 	1	4
11044	2	88	 	 	 	 	 	 	 	 	 	 	 
11044	3	88	 	 	 	 	 	 	 	 	 	 	 
11047	1	13	1	6	25	8	1	200	 	2	 	1	-77
11047	2	1	2	1	7	7	0	 	 	 	 	0	 
11047	3	88	 	 	 	 	 	 	 	 	 	 	 
11048	1	13	1	6	26	8	6	7000	0	4	 	1	6
11048	2	13	1	6	26	8	1	5000	 	4	 	0	 
11048	3	88	 	 	 	 	 	 	 	 	 	 	 
11050	1	5	3	1	20	8	1	3500	 	4	 	0	 
11050	2	1	2	4	20	8	0	 	 	 	 	1	4
11050	3	88	 	 	 	 	 	 	 	 	 	 	 
11052	1	13	1	12	26	8	6	10000	0	4	 	1	12
11052	2	88	 	 	 	 	 	 	 	 	 	 	 
11052	3	88	 	 	 	 	 	 	 	 	 	 	 
11061	1	13	1	12	28	8	1	6000	 	4	 	1	12
11061	2	88	 	 	 	 	 	 	 	 	 	 	 
11061	3	88	 	 	 	 	 	 	 	 	 	 	 
11063	1	20	7	3	9	2	0	 	 	 	 	1	12
11063	2	88	 	 	 	 	 	 	 	 	 	 	 
11063	3	88	 	 	 	 	 	 	 	 	 	 	 
11069	1	12	1	5	26	8	1	5000	 	4	 	0	 
11069	2	1	2	4	20	6	0	 	 	 	 	1	3
11069	3	88	 	 	 	 	 	 	 	 	 	 	 
11074	1	13	3	12	26	10	1	2000	 	4	 	1	12
11074	2	1	2	2	7	4	0	 	 	 	 	0	 
11074	3	88	 	 	 	 	 	 	 	 	 	 	 
11088	1	13	1	5	26	8	1	5000	 	4	 	1	12
11088	2	88	 	 	 	 	 	 	 	 	 	 	 
11088	3	88	 	 	 	 	 	 	 	 	 	 	 
21002	1	13	1	12	26	8	1	5000	 	4	 	1	12
21002	2	88	 	 	 	 	 	 	 	 	 	 	 
21002	3	88	 	 	 	 	 	 	 	 	 	 	 
21004	1	13	1	12	26	10	1	3500	 	4	 	1	12
21004	2	88	 	 	 	 	 	 	 	 	 	 	 
21004	3	88	 	 	 	 	 	 	 	 	 	 	 
21005	1	20	1	5	20	5	1	3000	 	4	 	0	 
21005	2	88	 	 	 	 	 	 	 	 	 	 	 
21005	3	88	 	 	 	 	 	 	 	 	 	 	 
21007	1	13	3	7	30	8	1	6000	 	4	 	0	 
21007	2	13	3	3	30	9	1	3000	 	4	 	0	 
21007	3	12	3	1	20	12	1	700	 	4	 	0	 
21008	1	13	1	5	26	8	1	5000	 	4	 	1	7
21008	2	7	2	7	30	5	0	 	 	 	 	0	 
21008	3	88	 	 	 	 	 	 	 	 	 	 	 
21009	1	 	 	 	 	 	 	 	 	 	 	 	 
21009	2	 	 	 	 	 	 	 	 	 	 	 	 
21009	3	 	 	 	 	 	 	 	 	 	 	 	 
21011	1	13	1	7	24	8	1	5740	 	4	 	0	 
21011	2	12	3	3	30	8	1	4500	 	4	 	0	 
21011	3	20	3	1	30	12	0	 	 	 	 	0	 
21012	1	13	3	12	30	13	1	10000	 	4	 	1	12
21012	2	88	 	 	 	 	 	 	 	 	 	 	 
21012	3	88	 	 	 	 	 	 	 	 	 	 	 
21013	1	12	3	7	30	10	1	4000	 	4	 	0	 
21013	2	1	2	5	20	5	0	 	 	 	 	1	12
21013	3	88	 	 	 	 	 	 	 	 	 	 	 
21015	1	13	3	12	25	6	1	4500	 	4	 	1	12
21015	2	88	 	 	 	 	 	 	 	 	 	 	 
21015	3	88	 	 	 	 	 	 	 	 	 	 	 
21017	1	11	2	12	28	3	0	 	 	 	 	1	12
21017	2	88	 	 	 	 	 	 	 	 	 	 	 
21017	3	88	 	 	 	 	 	 	 	 	 	 	 
21018	1	10	2	2	20	4	1	900	 	4	 	1	12
21018	2	88	 	 	 	 	 	 	 	 	 	 	 
21018	3	88	 	 	 	 	 	 	 	 	 	 	 
21020	1	5	3	8	20	5	1	2000	 	4	 	0	 
21020	2	88	 	 	 	 	 	 	 	 	 	 	 
21020	3	88	 	 	 	 	 	 	 	 	 	 	 
21022	1	13	1	12	29	12	1	9500	 	4	 	0	 
21022	2	13	1	12	26	8	1	6000	 	4	 	0	 
21022	3	13	1	12	23	12	1	7000	 	4	 	1	12
21023	1	13	4	5	26	8	1	2400	 	4	 	1	0
21023	2	88	 	 	 	 	 	 	 	 	 	 	 
21023	3	88	 	 	 	 	 	 	 	 	 	 	 
21024	1	13	1	12	26	12	1	6500	 	4	 	1	12
21024	2	88	 	 	 	 	 	 	 	 	 	 	 
21024	3	88	 	 	 	 	 	 	 	 	 	 	 
21025	1	13	2	4	30	8	1	4500	 	4	 	1	-77
21025	2	88	 	 	 	 	 	 	 	 	 	 	 
21025	3	88	 	 	 	 	 	 	 	 	 	 	 
21026	1	7	2	10	20	5	0	 	 	 	 	1	12
21026	2	12	3	2	30	11	1	3000	 	4	 	0	 
21026	3	88	 	 	 	 	 	 	 	 	 	 	 
21027	1	12	1	7	28	11	1	3500	 	4	 	0	 
21027	2	88	 	 	 	 	 	 	 	 	 	 	 
21027	3	88	 	 	 	 	 	 	 	 	 	 	 
21029	1	12	1	6	20	12	1	6500	 	4	 	0	 
21029	2	13	3	12	29	8	1	4000	 	4	 	0	 
21029	3	88	 	 	 	 	 	 	 	 	 	 	 
21030	1	13	1	8	26	10	1	3500	 	4	 	1	12
21030	2	88	 	 	 	 	 	 	 	 	 	 	 
21030	3	88	 	 	 	 	 	 	 	 	 	 	 
21031	1	13	1	7	26	8	1	8000	 	4	 	1	12
21031	2	10	3	1	30	12	1	10000	 	4	 	1	12
21031	3	88	 	 	 	 	 	 	 	 	 	 	 
21032	1	13	1	12	28	13	1	6400	 	4	 	0	 
21032	2	13	1	12	26	10	1	5200	 	4	 	1	10
21032	3	88	 	 	 	 	 	 	 	 	 	 	 
21033	1	13	1	10	25	8	1	3700	 	4	 	1	0
21033	2	1	2	10	4	8	0	 	 	 	 	1	10
21033	3	88	 	 	 	 	 	 	 	 	 	 	 
21034	1	13	1	12	25	9	1	4500	 	4	 	1	12
21034	2	88	 	 	 	 	 	 	 	 	 	 	 
21034	3	88	 	 	 	 	 	 	 	 	 	 	 
21036	1	13	3	12	4	7	1	200	 	2	 	1	-77
21036	2	88	 	 	 	 	 	 	 	 	 	 	 
21036	3	88	 	 	 	 	 	 	 	 	 	 	 
21037	1	5	1	12	30	9	1	4000	 	4	 	1	12
21037	2	88	 	 	 	 	 	 	 	 	 	 	 
21037	3	88	 	 	 	 	 	 	 	 	 	 	 
21039	1	12	1	2	20	3	1	2800	 	4	 	1	6
21039	2	88	 	 	 	 	 	 	 	 	 	 	 
21039	3	88	 	 	 	 	 	 	 	 	 	 	 
21040	1	13	3	12	30	9	1	10000	 	4	 	1	12
21040	2	88	 	 	 	 	 	 	 	 	 	 	 
21040	3	88	 	 	 	 	 	 	 	 	 	 	 
21041	1	13	1	12	25	10	1	5500	 	4	 	1	12
21041	2	88	 	 	 	 	 	 	 	 	 	 	 
21041	3	88	 	 	 	 	 	 	 	 	 	 	 
21042	1	13	1	12	24	8	1	4800	 	4	 	1	12
21042	2	88	 	 	 	 	 	 	 	 	 	 	 
21042	3	88	 	 	 	 	 	 	 	 	 	 	 
21043	1	10	2	8	25	8	0	 	 	 	 	1	12
21043	2	12	3	5	20	6	1	100	 	1	 	0	 
21043	3	88	 	 	 	 	 	 	 	 	 	 	 
21044	1	13	1	12	24	8	1	5500	 	4	 	1	12
21044	2	88	 	 	 	 	 	 	 	 	 	 	 
21044	3	88	 	 	 	 	 	 	 	 	 	 	 
21046	1	3	2	6	30	10	0	 	 	 	 	0	 
21046	2	88	 	 	 	 	 	 	 	 	 	 	 
21046	3	88	 	 	 	 	 	 	 	 	 	 	 
21047	1	13	1	11	26	10	1	6500	 	4	 	1	12
21047	2	13	1	11	26	10	1	6000	 	4	 	0	 
21047	3	88	 	 	 	 	 	 	 	 	 	 	 
21048	1	13	1	7	26	8	1	4500	 	4	 	1	0
21048	2	88	 	 	 	 	 	 	 	 	 	 	 
21048	3	88	 	 	 	 	 	 	 	 	 	 	 
21056	1	20	1	12	30	5	1	3000	 	4	 	1	12
21056	2	88	 	 	 	 	 	 	 	 	 	 	 
21056	3	88	 	 	 	 	 	 	 	 	 	 	 
21069	1	9	2	12	20	3	1	6000	 	4	 	1	12
21069	2	13	1	6	28	7	1	4500	 	4	 	0	 
21069	3	88	 	 	 	 	 	 	 	 	 	 	 
21072	1	12	3	2	8	4	1	500	 	4	 	1	6
21072	2	10	3	9	30	1	1	20	 	6	1	0	 
21072	3	88	 	 	 	 	 	 	 	 	 	 	 
21083	1	5	1	5	28	11	1	7000	 	4	 	0	 
21083	2	88	 	 	 	 	 	 	 	 	 	 	 
21083	3	88	 	 	 	 	 	 	 	 	 	 	 
21089	1	19	2	12	30	10	0	 	 	 	 	1	12
21089	2	88	 	 	 	 	 	 	 	 	 	 	 
21089	3	88	 	 	 	 	 	 	 	 	 	 	 
21094	1	13	3	12	26	4	1	900	 	4	 	0	 
21094	2	1	2	4	5	5	0	 	 	 	 	1	12
21094	3	88	 	 	 	 	 	 	 	 	 	 	 
31001	1	13	4	4	24	8	1	2600	 	4	 	1	12
31001	2	88	 	 	 	 	 	 	 	 	 	 	 
31001	3	88	 	 	 	 	 	 	 	 	 	 	 
31003	1	13	1	5	27	8	1	5400	 	4	 	1	6
31003	2	10	6	12	4	2	1	1200	 	4	 	1	12
31003	3	88	 	 	 	 	 	 	 	 	 	 	 
31004	1	1	2	8	20	5	0	 	 	 	 	1	8
31004	2	5	3	3	25	7	1	150	 	2	 	0	 
31004	3	88	 	 	 	 	 	 	 	 	 	 	 
31006	1	12	1	11	26	8	1	3000	 	4	 	1	-77
31006	2	88	 	 	 	 	 	 	 	 	 	 	 
31006	3	88	 	 	 	 	 	 	 	 	 	 	 
31007	1	9	3	12	30	10	1	100	 	2	 	1	-77
31007	2	1	2	2	15	4	0	 	 	 	 	0	 
31007	3	88	 	 	 	 	 	 	 	 	 	 	 
31008	1	7	2	2	20	8	1	3000	 	4	 	0	 
31008	2	88	 	 	 	 	 	 	 	 	 	 	 
31008	3	88	 	 	 	 	 	 	 	 	 	 	 
31009	1	20	3	2	18	7	1	200	 	2	 	0	 
31009	2	88	 	 	 	 	 	 	 	 	 	 	 
31009	3	88	 	 	 	 	 	 	 	 	 	 	 
31010	1	12	1	6	30	8	1	2000	 	4	 	1	12
31010	2	1	2	5	20	6	0	 	 	 	 	0	 
31010	3	88	 	 	 	 	 	 	 	 	 	 	 
31011	1	 	 	 	 	 	 	 	 	 	 	 	 
31011	2	 	 	 	 	 	 	 	 	 	 	 	 
31011	3	 	 	 	 	 	 	 	 	 	 	 	 
31012	1	1	2	9	15	8	0	 	 	 	 	1	9
31012	2	88	 	 	 	 	 	 	 	 	 	 	 
31012	3	88	 	 	 	 	 	 	 	 	 	 	 
31013	1	1	2	7	15	5	6	0	0	5	 	1	12
31013	2	5	3	1	10	7	1	120	 	2	 	0	 
31013	3	88	 	 	 	 	 	 	 	 	 	 	 
31018	1	1	2	6	20	6	0	 	 	 	 	1	6
31018	2	5	3	3	20	8	1	120	 	2	 	1	3
31018	3	88	 	 	 	 	 	 	 	 	 	 	 
31020	1	5	3	4	17	7	1	2000	 	4	 	0	 
31020	2	1	2	3	15	7	0	 	 	 	 	0	 
31020	3	88	 	 	 	 	 	 	 	 	 	 	 
31021	1	13	1	9	26	8	1	2000	 	4	 	1	6
31021	2	10	2	12	30	12	6	40000	0	4	 	1	12
31021	3	88	 	 	 	 	 	 	 	 	 	 	 
31023	1	1	2	6	15	5	0	 	 	 	 	1	6
31023	2	5	3	8	15	8	1	100	 	2	 	1	8
31023	3	88	 	 	 	 	 	 	 	 	 	 	 
31024	1	1	2	6	20	10	0	 	 	 	 	1	6
31024	2	5	3	3	25	7	1	120	 	2	 	0	 
31024	3	88	 	 	 	 	 	 	 	 	 	 	 
31025	1	1	2	5	20	5	0	 	 	 	 	1	12
31025	2	12	3	3	20	7	1	150	 	2	 	0	 
31025	3	4	2	4	10	2	0	 	 	 	 	1	4
31027	1	1	2	2	10	8	0	 	 	 	 	1	2
31027	2	5	3	6	20	8	1	120	 	2	 	1	6
31027	3	88	 	 	 	 	 	 	 	 	 	 	 
31028	1	1	2	12	30	8	0	 	 	 	 	1	12
31028	2	88	 	 	 	 	 	 	 	 	 	 	 
31028	3	88	 	 	 	 	 	 	 	 	 	 	 
31029	1	1	2	10	20	6	0	 	 	 	 	1	10
31029	2	5	4	12	6	4	1	457	 	4	 	1	12
31029	3	88	 	 	 	 	 	 	 	 	 	 	 
31031	1	5	3	12	15	7	1	100	 	2	 	1	12
31031	2	4	2	12	30	2	0	 	 	 	 	1	12
31031	3	88	 	 	 	 	 	 	 	 	 	 	 
31033	1	 	 	 	 	 	 	 	 	 	 	 	 
31033	2	 	 	 	 	 	 	 	 	 	 	 	 
31033	3	 	 	 	 	 	 	 	 	 	 	 	 
31034	1	5	2	3	25	6	0	 	 	 	 	0	 
31034	2	12	3	8	17	8	1	150	 	2	 	0	 
31034	3	88	 	 	 	 	 	 	 	 	 	 	 
31035	1	5	3	8	15	6	1	120	 	2	 	1	8
31035	2	4	2	12	30	3	0	 	 	 	 	1	12
31035	3	1	2	6	10	6	0	 	 	 	 	1	6
31036	1	13	1	10	26	12	6	7000	0	4	 	1	3
31036	2	88	 	 	 	 	 	 	 	 	 	 	 
31036	3	88	 	 	 	 	 	 	 	 	 	 	 
31037	1	10	6	12	30	9	1	100	 	2	 	1	12
31037	2	88	 	 	 	 	 	 	 	 	 	 	 
31037	3	88	 	 	 	 	 	 	 	 	 	 	 
31038	1	13	1	5	26	8	1	2600	 	4	 	1	6
31038	2	88	 	 	 	 	 	 	 	 	 	 	 
31038	3	88	 	 	 	 	 	 	 	 	 	 	 
31039	1	 	 	 	 	 	 	 	 	 	 	 	 
31039	2	 	 	 	 	 	 	 	 	 	 	 	 
31039	3	 	 	 	 	 	 	 	 	 	 	 	 
31040	1	13	3	7	30	14	1	2000	 	4	 	1	2
31040	2	88	 	 	 	 	 	 	 	 	 	 	 
31040	3	88	 	 	 	 	 	 	 	 	 	 	 
31041	1	11	2	5	20	2	0	 	 	 	 	1	3
31041	2	9	3	12	25	10	1	5000	 	4	 	1	12
31041	3	88	 	 	 	 	 	 	 	 	 	 	 
31043	1	13	1	12	26	8	1	5500	 	4	 	1	12
31043	2	88	 	 	 	 	 	 	 	 	 	 	 
31043	3	88	 	 	 	 	 	 	 	 	 	 	 
31045	1	 	 	 	 	 	 	 	 	 	 	 	 
31045	2	 	 	 	 	 	 	 	 	 	 	 	 
31045	3	 	 	 	 	 	 	 	 	 	 	 	 
31046	1	20	1	5	26	8	0	 	 	 	 	1	12
31046	2	88	 	 	 	 	 	 	 	 	 	 	 
31046	3	88	 	 	 	 	 	 	 	 	 	 	 
31048	1	10	2	12	30	10	1	5000	 	4	 	1	12
31048	2	88	 	 	 	 	 	 	 	 	 	 	 
31048	3	88	 	 	 	 	 	 	 	 	 	 	 
31049	1	12	1	4	26	8	1	4000	 	4	 	0	 
31049	2	13	1	1	26	8	1	5000	 	4	 	1	12
31049	3	88	 	 	 	 	 	 	 	 	 	 	 
31050	1	13	3	12	20	8	1	200	 	2	 	1	12
31050	2	5	3	2	20	7	1	150	 	2	 	0	 
31050	3	88	 	 	 	 	 	 	 	 	 	 	 
31052	1	13	4	12	25	4	1	1437	 	4	 	1	12
31052	2	1	2	5	10	3	1	35000	 	5	 	1	5
31052	3	88	 	 	 	 	 	 	 	 	 	 	 
31058	1	 	 	 	 	 	 	 	 	 	 	 	 
31058	2	 	 	 	 	 	 	 	 	 	 	 	 
31058	3	 	 	 	 	 	 	 	 	 	 	 	 
31059	1	12	3	3	10	9	1	120	 	2	 	0	 
31059	2	20	1	2	10	9	1	120	 	2	 	0	 
31059	3	88	 	 	 	 	 	 	 	 	 	 	 
31060	1	1	2	8	15	5	0	 	 	 	 	1	12
31060	2	4	2	6	30	2	0	 	 	 	 	1	12
31060	3	5	3	5	10	8	1	100	 	2	 	1	12
31079	1	2	2	10	25	7	0	 	 	 	 	1	10
31079	2	12	3	1	30	8	1	4500	 	4	 	0	 
31079	3	88	 	 	 	 	 	 	 	 	 	 	 
31096	1	19	2	12	30	3	0	 	 	 	 	1	12
31096	2	1	2	12	20	4	0	 	 	 	 	1	12
31096	3	88	 	 	 	 	 	 	 	 	 	 	 
31098	1	5	3	8	10	8	1	100	 	2	 	1	12
31098	2	1	6	7	10	8	0	 	 	 	 	1	7
31098	3	88	 	 	 	 	 	 	 	 	 	 	 
31108	1	2	2	6	15	8	0	 	 	 	 	1	12
31108	2	5	3	8	10	8	1	120	 	2	 	1	12
31108	3	88	 	 	 	 	 	 	 	 	 	 	 
31134	1	 	 	 	 	 	 	 	 	 	 	 	 
31134	2	 	 	 	 	 	 	 	 	 	 	 	 
31134	3	 	 	 	 	 	 	 	 	 	 	 	 
41001	1	5	2	12	30	7	1	5000	 	4	 	1	1
41001	2	3	2	12	4	2	0	 	 	 	 	0	 
41001	3	88	 	 	 	 	 	 	 	 	 	 	 
41002	1	20	2	4	20	3	0	 	 	 	 	0	 
41002	2	88	 	 	 	 	 	 	 	 	 	 	 
41002	3	88	 	 	 	 	 	 	 	 	 	 	 
41003	1	3	2	12	30	6	0	 	 	 	 	1	12
41003	2	88	 	 	 	 	 	 	 	 	 	 	 
41003	3	88	 	 	 	 	 	 	 	 	 	 	 
41004	1	12	1	5	26	8	1	3900	 	4	 	0	 
41004	2	88	 	 	 	 	 	 	 	 	 	 	 
41004	3	88	 	 	 	 	 	 	 	 	 	 	 
41005	1	3	2	8	30	10	0	 	 	 	 	0	 
41005	2	12	1	3	30	10	1	3000	 	4	 	0	 
41005	3	88	 	 	 	 	 	 	 	 	 	 	 
41006	1	13	3	12	30	6	1	3000	 	4	 	1	3
41006	2	88	 	 	 	 	 	 	 	 	 	 	 
41006	3	88	 	 	 	 	 	 	 	 	 	 	 
41007	1	3	2	2	10	2	0	 	 	 	 	0	 
41007	2	88	 	 	 	 	 	 	 	 	 	 	 
41007	3	88	 	 	 	 	 	 	 	 	 	 	 
41008	1	8	2	12	30	8	0	 	 	 	 	1	12
41008	2	88	 	 	 	 	 	 	 	 	 	 	 
41008	3	88	 	 	 	 	 	 	 	 	 	 	 
41009	1	13	4	12	30	8	1	7000	 	4	 	1	12
41009	2	88	 	 	 	 	 	 	 	 	 	 	 
41009	3	88	 	 	 	 	 	 	 	 	 	 	 
41010	1	 	 	 	 	 	 	 	 	 	 	 	 
41010	2	 	 	 	 	 	 	 	 	 	 	 	 
41010	3	 	 	 	 	 	 	 	 	 	 	 	 
41011	1	3	2	12	30	4	0	 	 	 	 	1	12
41011	2	88	 	 	 	 	 	 	 	 	 	 	 
41011	3	88	 	 	 	 	 	 	 	 	 	 	 
41012	1	10	2	12	30	7	1	60	 	2	 	1	12
41012	2	88	 	 	 	 	 	 	 	 	 	 	 
41012	3	88	 	 	 	 	 	 	 	 	 	 	 
41013	1	13	1	12	28	12	1	5000	 	4	 	1	12
41013	2	88	 	 	 	 	 	 	 	 	 	 	 
41013	3	88	 	 	 	 	 	 	 	 	 	 	 
41014	1	20	3	12	30	7	1	3000	 	4	 	1	12
41014	2	88	 	 	 	 	 	 	 	 	 	 	 
41014	3	88	 	 	 	 	 	 	 	 	 	 	 
41015	1	13	1	12	26	8	1	8000	 	4	 	1	12
41015	2	88	 	 	 	 	 	 	 	 	 	 	 
41015	3	88	 	 	 	 	 	 	 	 	 	 	 
41016	1	20	1	9	10	12	1	400	 	2	 	0	 
41016	2	88	 	 	 	 	 	 	 	 	 	 	 
41016	3	88	 	 	 	 	 	 	 	 	 	 	 
41017	1	3	2	4	30	10	1	7000	 	4	 	1	2
41017	2	3	2	6	25	10	0	 	 	 	 	1	0
41017	3	88	 	 	 	 	 	 	 	 	 	 	 
41019	1	12	3	8	30	10	1	2100	 	4	 	1	-77
41019	2	88	 	 	 	 	 	 	 	 	 	 	 
41019	3	88	 	 	 	 	 	 	 	 	 	 	 
41020	1	13	3	4	26	10	1	3000	 	4	 	0	 
41020	2	13	1	5	26	8	1	4500	 	4	 	1	12
41020	3	10	6	1	30	1	1	1000	 	4	 	0	 
41021	1	13	1	4	30	8	1	8000	 	4	 	0	 
41021	2	3	2	8	20	5	0	 	 	 	 	1	6
41021	3	88	 	 	 	 	 	 	 	 	 	 	 
41022	1	20	7	12	22	4	6	900	0	4	 	1	7
41022	2	88	 	 	 	 	 	 	 	 	 	 	 
41022	3	88	 	 	 	 	 	 	 	 	 	 	 
41023	1	9	2	7	30	6	0	 	 	 	 	1	2
41023	2	12	1	3	26	8	1	4500	 	4	 	0	 
41023	3	88	 	 	 	 	 	 	 	 	 	 	 
41024	1	13	1	8	29	8	1	3000	 	4	 	1	12
41024	2	88	 	 	 	 	 	 	 	 	 	 	 
41024	3	88	 	 	 	 	 	 	 	 	 	 	 
41025	1	13	4	6	26	8	1	1200	 	4	 	1	12
41025	2	19	2	12	20	2	0	 	 	 	 	1	12
