CHILDCODE	EDCHSTR5	EDGRADER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	SCHNMER5
31012	16	0	 	 	 	 	 
31013	13	0	 	 	 	 	 
31013	14	0	 	 	 	 	 
31013	15	0	 	 	 	 	 
31013	16	0	 	 	 	 	 
31018	13	0	 	 	 	 	 
31018	14	0	 	 	 	 	 
31018	15	0	 	 	 	 	 
31018	16	0	 	 	 	 	 
31020	13	0	 	 	 	 	 
31020	14	0	 	 	 	 	 
31020	15	0	 	 	 	 	 
31020	16	0	 	 	 	 	 
31021	13	30	1	3	0	98	338
31021	14	31	1	3	1	 	 
31021	15	32	1	3	1	 	 
31021	16	0	 	 	 	 	 
31023	13	0	 	 	 	 	 
31023	14	0	 	 	 	 	 
31023	15	0	 	 	 	 	 
31023	16	0	 	 	 	 	 
31024	13	0	 	 	 	 	 
31024	14	0	 	 	 	 	 
31024	15	0	 	 	 	 	 
31024	16	0	 	 	 	 	 
31025	13	0	 	 	 	 	 
31025	14	0	 	 	 	 	 
31025	15	0	 	 	 	 	 
31025	16	0	 	 	 	 	 
31027	13	0	 	 	 	 	 
31027	14	0	 	 	 	 	 
31027	15	0	 	 	 	 	 
31027	16	0	 	 	 	 	 
31028	13	0	 	 	 	 	 
31028	14	0	 	 	 	 	 
31028	15	0	 	 	 	 	 
31028	16	0	 	 	 	 	 
31029	13	0	 	 	 	 	 
31029	14	0	 	 	 	 	 
31029	15	0	 	 	 	 	 
31029	16	0	 	 	 	 	 
31031	13	0	 	 	 	 	 
31031	14	0	 	 	 	 	 
31031	15	0	 	 	 	 	 
31031	16	0	 	 	 	 	 
31033	13	0	 	 	 	 	 
31033	14	0	 	 	 	 	 
31033	15	21	1	3	0	5	1111
31033	16	22	4	3	1	 	 
31034	13	0	 	 	 	 	 
31034	14	0	 	 	 	 	 
31034	15	0	 	 	 	 	 
31034	16	0	 	 	 	 	 
31035	13	0	 	 	 	 	 
31035	14	0	 	 	 	 	 
31035	15	0	 	 	 	 	 
31035	16	0	 	 	 	 	 
31036	13	22	1	3	1	1	200
31036	14	23	1	3	1	 	 
31036	15	0	 	 	 	 	 
31036	16	0	 	 	 	 	 
31037	13	0	 	 	 	 	 
31037	14	0	 	 	 	 	 
31037	15	0	 	 	 	 	 
31037	16	0	 	 	 	 	 
31038	13	0	 	 	 	 	 
31038	14	0	 	 	 	 	 
31038	15	0	 	 	 	 	 
31038	16	0	 	 	 	 	 
31039	13	0	 	 	 	 	 
31039	14	0	 	 	 	 	 
31039	15	0	 	 	 	 	 
31039	16	0	 	 	 	 	 
31040	13	0	 	 	 	 	 
31040	14	0	 	 	 	 	 
31040	15	0	 	 	 	 	 
31040	16	0	 	 	 	 	 
31041	13	0	 	 	 	 	 
31041	14	0	 	 	 	 	 
31041	15	0	 	 	 	 	 
31041	16	0	 	 	 	 	 
31043	13	0	 	 	 	 	 
31043	14	0	 	 	 	 	 
31043	15	0	 	 	 	 	 
31043	16	0	 	 	 	 	 
31045	13	30	1	3	1	98	349
31045	14	31	1	3	1	 	 
31045	15	32	1	3	1	 	 
31045	16	33	4	3	1	 	 
31046	13	25	1	3	1	98	336
31046	14	26	1	3	1	 	 
31046	15	38	1	3	0	1	1070
31046	16	38	4	3	0	1	203
31048	13	0	 	 	 	 	 
31048	14	0	 	 	 	 	 
31048	15	0	 	 	 	 	 
31048	16	0	 	 	 	 	 
31049	13	24	1	3	0	1	198
31049	14	25	1	3	1	 	 
31049	15	26	1	3	1	 	 
31049	16	0	 	 	 	 	 
31050	13	0	 	 	 	 	 
31050	14	0	 	 	 	 	 
31050	15	0	 	 	 	 	 
31050	16	0	 	 	 	 	 
31052	13	9	1	3	0	1	132
31052	14	10	1	3	1	 	 
31052	15	11	1	7	0	1	360
31052	16	12	1	7	1	 	 
31058	13	0	 	 	 	 	 
31058	14	0	 	 	 	 	 
31058	15	0	 	 	 	 	 
31058	16	0	 	 	 	 	 
31059	13	0	 	 	 	 	 
31059	14	0	 	 	 	 	 
31059	15	0	 	 	 	 	 
31059	16	0	 	 	 	 	 
31060	13	0	 	 	 	 	 
31060	14	0	 	 	 	 	 
31060	15	0	 	 	 	 	 
31060	16	0	 	 	 	 	 
31079	13	0	 	 	 	 	 
31079	14	0	 	 	 	 	 
31079	15	0	 	 	 	 	 
31079	16	0	 	 	 	 	 
31096	13	0	 	 	 	 	 
31096	14	0	 	 	 	 	 
31096	15	0	 	 	 	 	 
31096	16	0	 	 	 	 	 
31098	13	0	 	 	 	 	 
31098	14	0	 	 	 	 	 
31098	15	0	 	 	 	 	 
31098	16	0	 	 	 	 	 
31108	13	14	1	3	0	98	1224
31108	14	18	1	3	1	 	 
31108	15	0	 	 	 	 	 
31108	16	0	 	 	 	 	 
31134	13	0	 	 	 	 	 
31134	14	0	 	 	 	 	 
31134	15	0	 	 	 	 	 
31134	16	0	 	 	 	 	 
41001	13	0	 	 	 	 	 
41001	14	0	 	 	 	 	 
41001	15	0	 	 	 	 	 
41001	16	0	 	 	 	 	 
41002	13	0	 	 	 	 	 
41002	14	0	 	 	 	 	 
41002	15	0	 	 	 	 	 
41002	16	0	 	 	 	 	 
41003	13	0	 	 	 	 	 
41003	14	0	 	 	 	 	 
41003	15	0	 	 	 	 	 
41003	16	0	 	 	 	 	 
41004	13	0	 	 	 	 	 
41004	14	0	 	 	 	 	 
41004	15	0	 	 	 	 	 
41004	16	0	 	 	 	 	 
41005	13	0	 	 	 	 	 
41005	14	0	 	 	 	 	 
41005	15	0	 	 	 	 	 
41005	16	0	 	 	 	 	 
41006	13	0	 	 	 	 	 
41006	14	0	 	 	 	 	 
41006	15	0	 	 	 	 	 
41006	16	0	 	 	 	 	 
41007	13	0	 	 	 	 	 
41007	14	0	 	 	 	 	 
41007	15	0	 	 	 	 	 
41007	16	0	 	 	 	 	 
41008	13	0	 	 	 	 	 
41008	14	0	 	 	 	 	 
41008	15	0	 	 	 	 	 
41008	16	0	 	 	 	 	 
41009	13	18	1	3	1	98	327
41009	14	16	1	3	1	 	 
41009	15	0	 	 	 	 	 
41009	16	0	 	 	 	 	 
41010	13	30	1	3	1	98	313
41010	14	31	1	3	1	 	 
41010	15	34	1	3	1	 	 
41010	16	0	 	 	 	 	 
41011	13	0	 	 	 	 	 
41011	14	0	 	 	 	 	 
41011	15	0	 	 	 	 	 
41011	16	0	 	 	 	 	 
41012	13	0	 	 	 	 	 
41012	14	0	 	 	 	 	 
41012	15	0	 	 	 	 	 
41012	16	0	 	 	 	 	 
41013	13	0	 	 	 	 	 
41013	14	0	 	 	 	 	 
41013	15	0	 	 	 	 	 
41013	16	0	 	 	 	 	 
41014	13	0	 	 	 	 	 
41014	14	0	 	 	 	 	 
41014	15	0	 	 	 	 	 
41014	16	0	 	 	 	 	 
41015	13	30	1	3	0	98	307
41015	14	31	1	3	1	 	 
41015	15	34	1	3	1	 	 
41015	16	0	 	 	 	 	 
41016	13	24	1	3	0	98	1227
41016	14	22	1	3	1	 	 
41016	15	23	1	3	1	 	 
41016	16	0	 	 	 	 	 
41017	13	0	 	 	 	 	 
41017	14	0	 	 	 	 	 
41017	15	0	 	 	 	 	 
41017	16	13	4	3	0	98	1221
41019	13	0	 	 	 	 	 
41019	14	0	 	 	 	 	 
41019	15	0	 	 	 	 	 
41019	16	0	 	 	 	 	 
41020	13	21	1	3	0	98	296
41020	14	25	1	3	1	 	 
41020	15	26	1	3	1	 	 
41020	16	0	 	 	 	 	 
41021	13	0	 	 	 	 	 
41021	14	0	 	 	 	 	 
41021	15	0	 	 	 	 	 
41021	16	0	 	 	 	 	 
41022	13	0	 	 	 	 	 
41022	14	0	 	 	 	 	 
41022	15	0	 	 	 	 	 
41022	16	0	 	 	 	 	 
41023	13	25	1	3	1	98	298
41023	14	23	1	3	1	 	 
41023	15	0	 	 	 	 	 
41023	16	0	 	 	 	 	 
41024	13	25	1	3	1	98	336
41024	14	26	1	3	1	 	 
41024	15	0	 	 	 	 	 
41024	16	0	 	 	 	 	 
41025	13	30	1	3	1	1	201
41025	14	31	1	3	1	 	 
41025	15	32	1	3	1	 	 
41025	16	34	1	3	1	 	 
41026	13	24	1	7	0	98	286
41026	14	25	1	7	1	 	 
41026	15	26	1	7	1	 	 
41026	16	0	 	 	 	 	 
41027	13	17	1	1	1	98	1164
41027	14	18	1	1	1	 	 
41027	15	0	 	 	 	 	 
41027	16	0	 	 	 	 	 
41028	13	0	 	 	 	 	 
41028	14	0	 	 	 	 	 
41028	15	0	 	 	 	 	 
41028	16	0	 	 	 	 	 
41030	13	0	 	 	 	 	 
41030	14	29	1	3	0	1	201
41030	15	30	1	3	1	 	 
41030	16	31	4	3	1	 	 
41031	13	0	 	 	 	 	 
41031	14	0	 	 	 	 	 
41031	15	0	 	 	 	 	 
41031	16	0	 	 	 	 	 
41032	13	0	 	 	 	 	 
41032	14	0	 	 	 	 	 
41032	15	0	 	 	 	 	 
41032	16	0	 	 	 	 	 
41034	13	12	1	3	1	1	359
41034	14	0	 	 	 	 	 
41034	15	0	 	 	 	 	 
41034	16	0	 	 	 	 	 
41036	13	0	 	 	 	 	 
41036	14	0	 	 	 	 	 
41036	15	17	1	3	0	98	1153
41036	16	20	4	3	1	 	 
41037	13	0	 	 	 	 	 
41037	14	0	 	 	 	 	 
41037	15	13	1	1	0	98	1222
41037	16	0	 	 	 	 	 
41038	13	14	1	3	0	98	1225
41038	14	15	1	3	1	 	 
41038	15	0	 	 	 	 	 
41038	16	0	 	 	 	 	 
41039	13	0	 	 	 	 	 
41039	14	0	 	 	 	 	 
41039	15	0	 	 	 	 	 
41039	16	0	 	 	 	 	 
41041	13	0	 	 	 	 	 
41041	14	0	 	 	 	 	 
41041	15	0	 	 	 	 	 
41041	16	0	 	 	 	 	 
41042	13	18	1	1	1	98	318
41042	14	0	 	 	 	 	 
41042	15	13	1	1	0	1	198
41042	16	0	 	 	 	 	 
41043	13	0	 	 	 	 	 
41043	14	0	 	 	 	 	 
41043	15	0	 	 	 	 	 
41043	16	0	 	 	 	 	 
41046	13	0	 	 	 	 	 
41046	14	0	 	 	 	 	 
41046	15	0	 	 	 	 	 
41046	16	0	 	 	 	 	 
41047	13	0	 	 	 	 	 
41047	14	0	 	 	 	 	 
41047	15	0	 	 	 	 	 
41047	16	0	 	 	 	 	 
41049	13	0	 	 	 	 	 
41049	14	0	 	 	 	 	 
41049	15	0	 	 	 	 	 
41049	16	0	 	 	 	 	 
41050	13	0	 	 	 	 	 
41050	14	13	1	1	0	98	1163
41050	15	0	 	 	 	 	 
41050	16	0	 	 	 	 	 
41059	13	24	1	3	0	1	200
41059	14	25	1	3	1	 	 
41059	15	26	1	3	1	 	 
41059	16	0	 	 	 	 	 
41092	13	0	 	 	 	 	 
41092	14	0	 	 	 	 	 
41092	15	0	 	 	 	 	 
41092	16	0	 	 	 	 	 
41106	13	0	 	 	 	 	 
41106	14	24	1	3	0	1	198
41106	15	25	1	3	1	 	 
41106	16	26	4	3	1	 	 
41109	13	12	1	3	1	98	406
41109	14	0	 	 	 	 	 
41109	15	0	 	 	 	 	 
41109	16	0	 	 	 	 	 
41110	13	0	 	 	 	 	 
41110	14	0	 	 	 	 	 
41110	15	0	 	 	 	 	 
41110	16	0	 	 	 	 	 
41114	13	29	1	3	0	98	338
41114	14	30	1	3	1	 	 
41114	15	31	1	3	1	 	 
41114	16	32	4	3	1	 	 
41130	13	12	1	3	1	1	362
41130	14	38	1	6	0	98	1169
41130	15	29	1	1	0	98	308
41130	16	30	4	1	1	 	 
51002	13	30	1	3	1	98	313
51002	14	31	1	3	1	 	 
51002	15	32	1	3	1	 	 
51002	16	34	1	3	1	 	 
51003	13	21	3	1	0	98	308
51003	14	0	 	 	 	 	 
51003	15	0	 	 	 	 	 
51003	16	0	 	 	 	 	 
51004	13	0	 	 	 	 	 
51004	14	0	 	 	 	 	 
51004	15	0	 	 	 	 	 
51004	16	0	 	 	 	 	 
51005	13	24	1	3	0	98	296
51005	14	25	1	3	1	 	 
51005	15	26	1	3	1	 	 
51005	16	0	 	 	 	 	 
51006	13	0	 	 	 	 	 
51006	14	0	 	 	 	 	 
51006	15	0	 	 	 	 	 
51006	16	0	 	 	 	 	 
51008	13	0	 	 	 	 	 
51008	14	0	 	 	 	 	 
51008	15	0	 	 	 	 	 
51008	16	0	 	 	 	 	 
51009	13	24	1	3	0	98	297
51009	14	25	1	3	1	 	 
51009	15	26	1	3	1	 	 
51009	16	0	 	 	 	 	 
51010	13	0	 	 	 	 	 
51010	14	0	 	 	 	 	 
51010	15	0	 	 	 	 	 
51010	16	0	 	 	 	 	 
51011	13	16	1	3	1	2	206
51011	14	0	 	 	 	 	 
51011	15	0	 	 	 	 	 
51011	16	0	 	 	 	 	 
51013	13	0	 	 	 	 	 
51013	14	0	 	 	 	 	 
51013	15	0	 	 	 	 	 
51013	16	0	 	 	 	 	 
51015	13	29	1	3	0	98	309
51015	14	30	1	3	1	 	 
51015	15	31	1	3	1	 	 
51015	16	32	3	3	1	 	 
51016	13	29	1	3	0	98	309
51016	14	30	1	3	1	 	 
51016	15	31	1	3	1	 	 
51016	16	32	4	3	1	 	 
51017	13	29	1	3	0	98	1160
51017	14	30	1	3	1	 	 
51017	15	31	1	3	1	 	 
51017	16	32	4	3	1	 	 
51018	13	0	 	 	 	 	 
51018	14	0	 	 	 	 	 
51018	15	0	 	 	 	 	 
51018	16	0	 	 	 	 	 
51019	13	25	1	3	1	2	204
51019	14	26	1	3	1	 	 
51019	15	0	 	 	 	 	 
51019	16	0	 	 	 	 	 
51020	13	0	 	 	 	 	 
51020	14	0	 	 	 	 	 
51020	15	0	 	 	 	 	 
51020	16	0	 	 	 	 	 
51022	13	0	 	 	 	 	 
51022	14	0	 	 	 	 	 
51022	15	0	 	 	 	 	 
51022	16	0	 	 	 	 	 
51023	13	0	 	 	 	 	 
51023	14	0	 	 	 	 	 
51023	15	0	 	 	 	 	 
51023	16	0	 	 	 	 	 
51024	13	30	1	3	1	98	307
51024	14	31	1	3	1	 	 
51024	15	34	1	3	1	 	 
51024	16	0	 	 	 	 	 
51025	13	0	 	 	 	 	 
51025	14	0	 	 	 	 	 
51025	15	0	 	 	 	 	 
51025	16	0	 	 	 	 	 
