CHILDCODE	TRANIDR5	TYPTRNR5	DELTRNR5	PAYTRNR5	TRNCMPR5	DURTTLR5	ATDTRNR5	ADDTRNR5	CRTDIPR5
71112	1	3	5	0	1	30	 	 	1
71112	2	2	3	1	0	 	36	12	 
81012	1	2	3	0	0	 	6	14	 
81024	1	2	3	0	1	90	 	 	 
81026	1	3	3	0	1	100	 	 	0
81029	1	3	5	0	1	90	 	 	0
81030	1	2	3	1	0	 	3	90	 
81035	1	1	2	1	1	48	 	 	0
81035	2	1	2	1	1	12	 	 	1
81036	1	1	2	1	1	15	 	 	1
81047	1	3	6	0	1	180	 	 	0
81049	1	1	2	1	0	 	48	144	1
81049	2	1	2	1	1	24	 	 	1
81049	3	3	6	0	1	10	 	 	0
81092	1	3	5	1	1	30	 	 	0
81120	1	2	3	1	1	50	 	 	 
81130	1	3	6	0	1	7	 	 	0
101018	1	1	3	1	1	14	 	 	1
111020	1	1	1	0	1	180	 	 	1
111034	1	3	7	1	1	170	 	 	0
111039	1	1	1	1	1	90	 	 	1
111048	1	1	3	1	1	30	 	 	1
121005	1	 	 	 	 	 	 	 	 
121007	1	1	1	0	1	17	 	 	0
121008	1	3	5	0	0	 	60	90	0
121009	1	1	1	0	1	7	 	 	1
121031	1	1	1	0	0	 	2	30	1
121033	1	2	3	0	1	7	 	 	 
121034	1	1	3	1	1	30	 	 	1
121037	1	 	 	 	 	 	 	 	 
121038	1	 	 	 	 	 	 	 	 
121038	2	 	 	 	 	 	 	 	 
121050	1	2	1	0	1	15	 	 	 
121094	1	1	3	0	1	7	 	 	0
121124	1	1	1	0	1	90	 	 	0
131001	1	1	2	1	1	60	 	 	1
131010	1	2	3	1	1	18	 	 	 
131011	1	3	3	0	1	15	 	 	0
131012	1	1	2	1	1	45	 	 	1
131012	2	1	1	1	1	30	 	 	1
131012	3	2	2	1	1	60	 	 	 
131012	4	2	2	1	1	30	 	 	 
131013	1	2	4	1	0	 	96	36	 
131014	1	2	3	1	1	12	 	 	 
131028	1	2	2	1	1	60	 	 	 
131033	1	2	2	1	1	90	 	 	 
131037	1	 	 	 	 	 	 	 	 
131038	1	1	2	1	1	300	 	 	1
131041	1	1	1	0	1	7	 	 	1
131045	1	1	1	0	1	30	 	 	1
131045	2	1	1	0	1	15	 	 	0
131050	1	2	2	1	1	60	 	 	 
131051	1	2	2	1	0	 	180	180	 
141010	1	2	2	1	1	48	 	 	 
141012	1	 	 	 	 	 	 	 	 
141014	1	3	5	0	1	60	 	 	0
141016	1	1	2	1	1	30	 	 	1
141016	2	1	2	1	0	 	15	15	1
141017	1	1	3	0	1	30	 	 	1
141018	1	2	2	1	0	 	144	144	 
141020	1	1	1	1	1	90	 	 	0
141028	1	1	3	0	0	 	90	0	1
141028	2	1	3	0	1	30	 	 	1
141028	3	1	2	1	0	 	30	0	0
141030	1	3	3	0	1	20	 	 	1
141032	1	2	2	1	1	30	 	 	 
141035	1	2	3	0	1	7	 	 	 
141050	1	2	3	1	1	70	 	 	 
151003	1	1	2	1	1	90	 	 	1
151007	1	3	3	0	1	30	 	 	0
151019	1	1	1	1	0	 	94	50	1
151020	1	2	3	1	1	15	 	 	 
151021	1	 	 	 	 	 	 	 	 
151025	1	2	2	0	1	40	 	 	 
151031	1	3	3	0	1	5	 	 	0
151034	1	2	2	1	1	90	 	 	 
151037	1	3	5	0	1	15	 	 	0
151043	1	1	2	1	1	180	 	 	1
151047	1	2	2	1	0	 	90	275	 
161005	1	2	3	1	1	90	 	 	 
161009	1	3	3	0	1	20	 	 	0
161011	1	3	5	1	0	 	30	20	0
161012	1	2	3	1	1	30	 	 	 
161014	1	2	2	1	1	30	 	 	 
161019	1	2	3	1	1	300	 	 	 
161039	1	2	3	1	1	45	 	 	 
161042	1	1	2	1	1	250	 	 	1
171005	1	1	3	0	1	15	 	 	1
171007	1	2	4	0	1	7	 	 	 
171009	1	2	5	0	1	3	 	 	 
171020	1	1	2	0	1	30	 	 	1
171020	2	1	3	1	1	360	 	 	1
171047	1	2	3	0	1	7	 	 	 
171048	1	 	 	 	 	 	 	 	 
171052	1	2	2	1	0	 	47	43	 
181001	1	2	2	0	1	6	 	 	 
181003	1	 	 	 	 	 	 	 	 
181005	1	2	3	1	0	 	21	49	 
181016	1	1	2	1	1	90	 	 	1
181016	2	1	2	1	0	 	75	15	1
181026	1	2	3	0	1	7	 	 	 
181037	1	3	5	0	1	365	 	 	0
181042	1	1	3	1	1	24	 	 	1
181050	1	3	6	0	1	6	 	 	0
181056	1	3	3	0	1	180	 	 	1
181058	1	1	1	1	0	 	90	30	1
181058	2	1	3	1	1	90	 	 	0
181069	1	 	 	 	 	 	 	 	 
181073	1	2	2	1	1	90	 	 	 
181078	1	 	 	 	 	 	 	 	 
191014	1	2	3	0	1	7	 	 	 
191023	1	2	3	0	1	90	 	 	 
191047	1	1	3	0	1	60	 	 	0
201003	1	2	3	0	1	7	 	 	 
201013	1	 	 	 	 	 	 	 	 
201014	1	1	2	0	1	18	 	 	0
201045	1	3	3	0	1	90	 	 	0
201049	1	2	3	0	1	14	 	 	 
201052	1	2	2	1	1	60	 	 	 
201054	1	2	2	1	1	45	 	 	 
201056	1	2	3	0	0	 	90	90	 
