CHILDCODE	MEMIDR4	AGER3	MEMAGER4	AGEMTHR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	LIVHSER4	YRDIEDR4	CHCSTER3	CHCSTER4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	AGEGRDR4	TYPATDR4	MEMCNSR4
11018	1	87	91	 	1	6	6	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	2	77	81	 	2	6	6	 	1	 	 	23	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11018	3	47	51	 	1	1	1	 	1	 	 	23	1	1	0	2	98	0	 	 	 	 	 	 	 	 	 	N
11018	4	38	42	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11018	5	37	41	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	6	30	34	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	7	22	26	 	1	7	7	 	1	 	 	23	3	0	0	4	3	1	15	1	0	 	 	 	 	 	 	N
11018	8	21	25	 	1	7	7	 	1	 	 	23	3	0	0	4	3	1	5	0	0	 	 	 	 	 	 	N
11018	9	20	24	 	1	7	7	 	1	 	 	23	3	0	0	4	3	1	9	0	0	 	 	 	 	 	 	N
11018	10	17	21	 	1	7	7	 	1	 	 	23	3	0	0	4	3	1	11	1	1	 	 	 	 	 	 	N
11018	11	13	17	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	13	7	11	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	14	5	9	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	28	10	14	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11019	0	15	19	 	1	0	0	0	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11019	1	39	43	 	1	1	1	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11019	2	37	41	 	2	1	1	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11021	0	15	19	 	2	0	0	0	1	 	23	23	1	0	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11021	1	87	91	 	2	6	6	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	2	58	62	 	2	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	3	 	45	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	4	20	24	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	5	13	17	 	2	7	7	 	1	 	 	23	11	0	0	98	98	 	 	 	 	0	 	 	33	 	 	N
11021	6	12	16	 	2	7	7	 	1	 	 	23	11	0	0	98	98	 	 	 	 	0	 	 	33	 	 	N
11022	0	15	19	 	1	0	0	1	1	 	24	24	3	0	0	6	4	1	12	1	1	 	 	 	 	 	 	N
11022	1	62	63	 	1	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11022	2	60	64	 	2	6	6	 	1	 	 	24	6	3	0	98	98	1	5	0	0	 	 	 	 	 	 	N
11022	3	44	48	 	1	13	13	 	1	 	 	24	11	1	0	2	98	1	15	0	0	 	 	 	 	 	 	N
11022	4	40	44	 	1	1	1	 	1	 	 	24	1	1	0	2	98	1	15	0	0	 	 	 	 	 	 	N
11022	5	39	43	 	2	13	13	 	1	 	 	24	7	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11022	6	36	40	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	12	0	0	 	 	 	 	 	 	N
11022	7	19	23	 	1	14	14	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	8	13	17	 	2	7	7	 	1	 	 	24	3	0	0	6	4	 	 	 	 	1	12	1	 	 	1	N
11023	0	15	19	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11023	1	32	36	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11023	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11023	3	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11023	4	20	24	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	14	1	0	 	 	 	 	 	 	N
11024	0	14	18	 	2	0	0	0	1	 	23	23	4	1	0	98	98	1	9	0	0	 	 	 	 	 	 	N
11024	1	52	54	 	1	6	6	 	3	2011	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	2	46	46	 	2	6	6	 	3	2009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	3	33	37	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	4	31	35	 	2	2	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	5	29	33	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	6	29	33	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	7	6	10	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	8	27	31	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	9	5	9	 	2	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	10	 	28	 	1	 	25	 	1	 	 	24	3	1	0	12	11	1	8	0	0	 	 	 	 	 	 	N
11024	11	 	55	 	1	 	26	 	1	 	 	24	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11024	12	 	47	 	2	 	26	 	1	 	 	24	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11024	13	 	0	1	2	 	27	 	1	 	 	24	5	0	0	0	10	 	 	 	 	 	 	 	 	 	 	N
11025	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11025	1	37	41	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11025	2	34	38	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11025	3	13	17	 	1	7	7	 	1	 	 	23	3	0	0	2	1	 	 	 	 	1	10	1	 	 	1	N
11026	0	14	18	 	2	0	0	1	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11026	1	43	47	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11026	2	36	40	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	12	0	0	 	 	 	 	 	 	N
11026	3	14	18	 	1	7	7	 	1	 	 	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11027	0	14	18	 	2	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11027	1	46	50	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	17	0	0	 	 	 	 	 	 	N
11027	2	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	14	0	0	 	 	 	 	 	 	N
11027	3	20	24	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11029	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11029	1	42	46	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	14	0	0	 	 	 	 	 	 	N
11029	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11029	3	14	18	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	11	1	1	 	 	 	 	 	 	N
11030	0	15	19	 	2	0	0	0	1	 	24	24	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11030	1	 	69	 	2	6	6	 	3	2010	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11030	2	42	46	 	1	1	1	 	1	 	 	24	1	1	0	98	98	1	6	0	0	 	 	 	 	 	 	N
11030	3	39	43	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11031	0	14	18	 	1	0	0	1	1	 	23	23	3	0	0	6	5	1	7	0	0	 	 	 	 	 	 	N
11031	1	62	66	 	1	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11031	2	57	61	 	2	5	5	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11031	3	25	29	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11031	4	23	27	 	2	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11031	5	38	42	 	1	1	1	 	1	 	 	23	1	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11031	6	33	37	 	2	1	1	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11031	7	73	77	 	2	6	6	 	3	2000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11031	8	18	22	 	1	7	7	 	1	 	 	23	3	0	0	6	5	1	12	1	0	 	 	 	 	 	 	N
11032	0	16	20	 	1	0	0	1	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11032	1	39	43	 	1	1	1	 	1	 	 	23	1	1	0	5	98	0	 	 	 	 	 	 	 	 	 	N
11032	2	37	41	 	2	1	1	 	1	 	 	23	2	1	0	6	98	1	7	0	0	 	 	 	 	 	 	N
11032	3	20	24	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11032	4	18	22	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	6	0	0	 	 	 	 	 	 	N
11032	5	65	69	 	2	6	6	 	1	 	 	23	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11032	6	63	67	 	2	5	5	 	1	 	 	23	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11032	7	3	7	 	2	14	15	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11034	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11034	1	 	70	 	1	6	6	 	3	2007	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11034	2	47	51	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11034	3	42	46	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11034	4	43	47	 	1	13	13	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11034	5	14	18	 	1	7	7	 	1	 	 	23	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11034	28	11	15	 	1	14	14	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11035	0	15	19	 	1	0	0	0	1	 	23	23	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11035	1	41	45	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11035	2	34	38	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11035	3	14	18	 	1	7	7	 	1	 	 	23	3	0	0	2	1	1	10	1	1	 	 	 	 	 	 	N
11036	0	15	19	 	2	0	0	1	1	 	23	23	3	0	0	4	3	1	12	1	1	 	 	 	 	 	 	N
11036	1	65	69	 	1	6	6	 	3	2009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11036	2	57	61	 	2	6	6	 	1	 	 	23	6	3	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11036	3	42	46	 	1	1	1	 	1	 	 	23	1	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11036	4	35	39	 	2	1	1	 	1	 	 	23	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11036	28	11	15	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	0	15	19	 	2	0	0	1	1	 	24	24	3	0	0	2	1	1	12	1	1	 	 	 	 	 	 	N
11037	1	43	47	 	1	1	1	 	1	 	 	24	1	1	0	98	4	1	10	0	0	 	 	 	 	 	 	N
11037	2	33	37	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11037	3	19	23	 	2	7	7	 	1	 	 	24	3	0	0	2	1	1	14	1	0	 	 	 	 	 	 	N
11037	4	53	57	 	1	6	6	 	1	 	 	24	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11038	0	15	19	 	2	0	0	1	1	 	23	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11038	1	87	91	 	2	6	6	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	2	37	41	 	1	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	3	35	39	 	2	1	1	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	4	19	23	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	5	17	21	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11038	6	 	55	 	1	 	13	 	1	 	 	23	1	1	1	98	98	0	 	 	 	 	 	 	 	 	 	N
11038	7	 	44	 	2	 	13	 	1	 	 	23	2	1	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11038	8	 	25	 	1	 	16	 	1	 	 	23	3	1	0	7	6	1	7	0	0	 	 	 	 	 	 	N
11038	9	 	23	 	2	 	10	 	1	 	 	23	4	1	0	98	98	1	7	0	0	 	 	 	 	 	 	N
11038	10	 	22	 	1	 	25	 	1	 	 	23	3	1	0	7	6	1	5	0	0	 	 	 	 	 	 	N
11039	0	15	19	 	1	0	0	1	1	 	23	23	3	0	0	2	98	1	14	1	1	 	 	 	 	 	 	N
11039	1	 	47	 	1	1	1	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11039	2	42	46	 	2	1	1	 	1	 	 	23	1	3	0	98	98	1	6	0	0	 	 	 	 	 	 	N
11039	3	21	25	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11039	4	18	22	 	2	7	7	 	1	 	 	23	3	0	0	2	98	1	9	0	0	 	 	 	 	 	 	N
11040	0	15	19	 	1	0	0	1	1	 	24	24	3	0	0	3	2	1	12	1	1	 	 	 	 	 	 	N
11040	1	84	88	 	1	6	6	 	1	 	 	24	6	3	0	98	98	1	10	0	0	 	 	 	 	 	 	N
11040	2	47	51	 	1	1	1	 	1	 	 	24	1	1	0	98	1	1	15	0	0	 	 	 	 	 	 	N
11040	3	43	47	 	2	1	1	 	1	 	 	24	2	1	0	98	98	1	16	0	0	 	 	 	 	 	 	N
11040	4	13	17	 	1	7	7	 	1	 	 	24	3	0	0	3	1	 	 	 	 	1	11	1	 	 	1	N
11041	0	15	19	 	1	0	0	1	1	 	22	22	3	0	0	2	98	1	12	1	1	 	 	 	 	 	 	N
11041	1	69	73	 	2	6	6	 	1	 	 	22	6	3	0	98	98	0	 	 	 	 	 	 	 	 	 	N
11041	2	43	47	 	2	1	1	 	1	 	 	22	1	3	0	98	98	1	15	0	0	 	 	 	 	 	 	N
11041	3	23	27	 	1	7	7	 	1	 	 	22	3	0	0	2	98	1	16	0	0	 	 	 	 	 	 	N
11042	0	15	19	 	1	0	0	0	1	 	24	24	3	0	0	4	3	1	12	1	1	 	 	 	 	 	 	N
