CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
21047	2	88	 	 	 	 	 	 	 
21047	3	88	 	 	 	 	 	 	 
21048	1	12	 	 	 	2	9	8	18
21048	2	88	 	 	 	 	 	 	 
21048	3	88	 	 	 	 	 	 	 
21049	1	47	 	 	 	2	2	1	88
21049	2	88	 	 	 	 	 	 	 
21049	3	88	 	 	 	 	 	 	 
21050	1	47	 	 	2	 	2	18	7
21050	2	88	 	 	 	 	 	 	 
21050	3	88	 	 	 	 	 	 	 
31002	1	42	2	 	 	 	17	88	 
31002	2	39	 	2	 	 	19	88	 
31002	3	88	 	 	 	 	 	 	 
31004	1	13	 	 	 	4	16	88	 
31004	2	88	 	 	 	 	 	 	 
31004	3	88	 	 	 	 	 	 	 
31005	1	88	 	 	 	 	 	 	 
31005	2	88	 	 	 	 	 	 	 
31005	3	88	 	 	 	 	 	 	 
31006	1	36	 	 	2	 	2	16	7
31006	2	42	 	 	 	2	2	18	7
31006	3	47	 	 	 	2	2	7	88
31007	1	88	 	 	 	 	 	 	 
31007	2	88	 	 	 	 	 	 	 
31007	3	88	 	 	 	 	 	 	 
31009	1	88	 	 	 	 	 	 	 
31009	2	88	 	 	 	 	 	 	 
31009	3	88	 	 	 	 	 	 	 
31010	1	88	 	 	 	 	 	 	 
31010	2	88	 	 	 	 	 	 	 
31010	3	88	 	 	 	 	 	 	 
31011	1	47	 	 	 	2	2	88	 
31011	2	88	 	 	 	 	 	 	 
31011	3	88	 	 	 	 	 	 	 
31012	1	42	 	 	4	 	21	16	88
31012	2	88	 	 	 	 	 	 	 
31012	3	88	 	 	 	 	 	 	 
31013	1	38	2	 	 	 	17	88	 
31013	2	88	 	 	 	 	 	 	 
31013	3	88	 	 	 	 	 	 	 
31014	1	37	 	3	 	 	9	88	 
31014	2	47	 	 	2	2	2	88	 
31014	3	88	 	 	 	 	 	 	 
31015	1	34	 	 	 	3	2	9	88
31015	2	47	 	 	2	2	2	88	 
31015	3	88	 	 	 	 	 	 	 
31016	1	47	 	 	 	2	2	88	 
31016	2	88	 	 	 	 	 	 	 
31016	3	88	 	 	 	 	 	 	 
31018	1	42	 	 	 	4	21	88	 
31018	2	38	2	 	 	 	18	88	 
31018	3	88	 	 	 	 	 	 	 
31019	1	42	2	2	2	2	2	88	 
31019	2	47	 	 	2	2	2	88	 
31019	3	88	 	 	 	 	 	 	 
31020	1	37	 	3	 	 	7	88	 
31020	2	88	 	 	 	 	 	 	 
