CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
61013	1	2	7
61013	2	10	5
61013	3	1	4
61013	4	9	3
61013	5	11	1
61014	1	1	11
61014	2	9	3
61014	3	10	3
61014	4	2	2
61014	5	11	1
61015	1	1	11
61015	2	9	6
61015	3	10	3
61016	1	1	12
61016	2	9	5
61016	3	10	3
61017	1	9	8
61017	2	10	5
61017	3	1	6
61017	4	11	1
61018	1	11	9
61018	2	9	5
61018	3	1	5
61018	4	2	1
61019	1	10	9
61019	2	8	7
61019	3	9	4
61020	1	6	16
61020	2	10	4
61021	1	10	13
61021	2	9	4
61021	3	2	2
61021	4	11	1
61022	1	10	20
61023	1	9	16
61023	2	10	4
61024	1	1	9
61024	2	10	6
61024	3	9	5
61025	1	9	9
61025	2	10	7
61025	3	8	4
61026	1	9	16
61026	2	8	4
61027	1	9	9
61027	2	8	7
61027	3	10	3
61027	4	11	1
61028	1	9	11
61028	2	10	9
61029	1	1	12
61029	2	9	5
61029	3	10	3
61030	1	1	10
61030	2	10	6
61030	3	9	4
61031	1	10	8
61031	2	9	7
61031	3	1	5
61032	1	1	10
61032	2	8	5
61032	3	9	5
61033	1	9	8
61033	2	1	7
61033	3	10	5
61034	1	10	10
61034	2	9	4
61034	3	1	3
61034	4	8	3
61035	1	1	9
61035	2	9	5
61035	3	10	3
61035	4	2	2
61035	5	11	1
61036	1	10	13
61036	2	1	4
61036	3	9	3
61037	1	8	10
61037	2	6	7
61037	3	1	3
61038	1	1	10
61038	2	7	5
61038	3	2	3
61038	4	10	1
61038	5	9	1
61039	1	8	20
61040	1	10	20
61042	1	8	10
61042	2	9	6
61042	3	11	3
61042	4	10	1
61043	1	2	12
61043	2	9	5
61043	3	1	3
61044	1	10	15
61044	2	9	3
61044	3	1	2
61045	1	10	17
61045	2	8	3
61046	1	10	12
61046	2	6	4
61046	3	1	3
61046	4	11	1
61047	1	8	13
61047	2	2	3
61047	3	1	2
61047	4	10	2
61048	1	8	10
61048	2	10	6
61048	3	9	4
61049	1	9	11
61049	2	1	4
61049	3	10	3
61049	4	11	2
61050	1	1	9
61050	2	10	7
61050	3	9	4
71001	1	9	12
71001	2	1	6
71001	3	11	2
71002	1	7	8
71002	2	9	6
71002	3	8	4
71002	4	10	2
71003	1	6	12
71003	2	9	8
71004	1	8	15
71004	2	7	5
71005	1	1	9
71005	2	9	6
71005	3	10	4
71005	4	11	1
71006	1	1	10
71006	2	8	6
71006	3	9	4
71007	1	7	9
71007	2	9	6
71007	3	8	5
71008	1	8	9
71008	2	10	9
71008	3	1	2
71009	1	10	15
71009	2	7	5
71010	1	8	18
71010	2	1	2
71011	1	11	10
71011	2	7	5
71011	3	8	3
71011	4	1	2
71012	1	8	13
71012	2	1	4
71012	3	7	3
71013	1	1	9
71013	2	9	7
71013	3	10	4
71014	1	10	8
71014	2	9	5
71014	3	8	4
71014	4	1	3
71015	1	1	15
71015	2	10	3
71015	3	9	2
71016	1	1	18
71016	2	10	2
71017	1	5	15
71017	2	1	2
71017	3	10	2
71017	4	9	1
71018	1	10	13
71018	2	1	5
71018	3	9	2
71019	1	8	15
71019	2	10	5
71020	1	9	12
71020	2	1	5
71020	3	10	3
71021	1	10	16
71021	2	9	4
71022	1	8	20
71023	1	6	20
71024	1	1	10
71024	2	9	7
71024	3	10	3
71025	1	1	12
71025	2	9	6
71025	3	8	2
71026	1	1	10
71026	2	9	6
71026	3	10	4
71027	1	1	14
71027	2	10	4
71027	3	11	2
71028	1	10	20
71030	1	9	15
71030	2	10	5
71031	1	5	7
71031	2	1	6
71031	3	9	4
71031	4	10	3
71032	1	8	14
71032	2	2	3
71032	3	11	3
71033	1	1	11
71033	2	8	6
71033	3	10	3
71034	1	1	10
71034	2	9	6
71034	3	10	4
71035	1	1	9
71035	2	9	6
71035	3	10	3
71035	4	11	2
71036	1	1	11
71036	2	10	9
71038	1	1	8
71038	2	2	5
71038	3	9	4
71038	4	10	2
71038	5	11	1
71039	1	2	14
71039	2	1	5
71039	3	11	1
71040	1	10	20
71041	1	8	20
71042	1	10	12
71042	2	8	6
71042	3	1	2
71043	1	9	12
71043	2	1	3
71043	3	10	5
71044	1	6	13
71044	2	1	7
71045	1	9	15
71045	2	10	5
71046	1	8	8
71046	2	9	5
71046	3	1	4
71046	4	10	3
71047	1	6	10
71047	2	10	7
71047	3	8	3
71048	1	10	12
71048	2	9	6
71048	3	1	2
71049	1	8	19
71049	2	1	1
71050	1	10	12
71050	2	9	8
81001	1	10	13
81001	2	9	7
81002	1	10	14
81002	2	9	6
81003	1	1	12
81003	2	9	3
81003	3	10	5
81004	1	6	13
81004	2	10	7
81006	1	9	10
81006	2	10	5
81006	3	8	5
81007	1	9	13
81007	2	10	7
81008	1	1	20
81009	1	6	12
81009	2	11	8
81010	1	10	16
81010	2	9	4
81011	1	1	9
81011	2	10	5
81011	3	9	4
81011	4	11	2
81012	1	1	9
81012	2	9	7
81012	3	10	4
81013	1	10	16
81013	2	11	4
81014	1	10	14
81014	2	9	6
81015	1	8	10
81015	2	1	8
81015	3	9	2
81016	1	8	17
81016	2	9	2
81016	3	10	1
81017	1	1	6
81017	2	5	5
81017	3	9	5
81017	4	2	2
81017	5	10	2
81018	1	9	20
81019	1	7	20
81020	1	1	16
81020	2	9	4
81021	1	9	10
81021	2	10	10
81022	1	1	3
81022	2	10	8
81022	3	8	9
81023	1	1	8
81023	2	9	6
81023	3	2	5
81023	4	11	1
81025	1	8	18
81025	2	9	2
81027	1	2	13
81027	2	1	7
81028	1	8	18
81028	2	7	2
81029	1	8	20
81030	1	8	10
81030	2	6	5
81030	3	1	5
81031	1	7	8
81031	2	6	7
81031	3	8	5
81032	1	2	10
81032	2	10	6
81032	3	7	4
81033	1	1	10
81033	2	9	6
81033	3	10	4
81034	1	9	11
81034	2	1	6
81034	3	10	3
81035	1	9	10
81035	2	11	6
81035	3	10	4
81036	1	10	12
81036	2	1	5
81036	3	9	3
81037	1	11	15
81037	2	1	5
81038	1	1	11
81038	2	2	4
81038	3	9	3
81038	4	10	2
81039	1	10	10
81039	2	1	6
81039	3	11	4
81040	1	1	9
81040	2	8	6
81040	3	9	4
81040	4	10	1
81041	1	10	15
81041	2	1	5
81042	1	10	20
81043	1	1	8
81043	2	2	7
81043	3	9	5
81044	1	9	10
81044	2	1	4
81044	3	7	4
81044	4	10	2
81045	1	6	10
81045	2	8	7
81045	3	1	3
81046	1	1	10
81046	2	9	6
81046	3	8	4
81047	1	10	18
81047	2	11	2
81048	1	8	12
81048	2	5	8
81049	1	2	12
81049	2	1	5
81049	3	9	3
