PLACEID	TLPLIDR5	PLCETLT	PERCUSE
601	1	1	100
601	2	0	 
601	3	0	 
601	4	0	 
601	5	0	 
601	6	0	 
601	7	0	 
601	8	0	 
602	1	1	100
602	2	0	 
602	3	0	 
602	4	0	 
602	5	0	 
602	6	0	 
602	7	0	 
602	8	0	 
701	1	1	100
701	2	0	 
701	3	0	 
701	4	0	 
701	5	0	 
701	6	0	 
701	7	0	 
701	8	0	 
702	1	1	100
702	2	0	 
702	3	0	 
702	4	0	 
702	5	0	 
702	6	0	 
702	7	0	 
702	8	0	 
703	1	1	100
703	2	0	 
703	3	0	 
703	4	0	 
703	5	0	 
703	6	0	 
703	7	0	 
703	8	0	 
704	1	1	80
704	2	1	20
704	3	0	 
704	4	0	 
704	5	0	 
704	6	0	 
704	7	0	 
704	8	0	 
801	1	1	100
801	2	0	 
801	3	0	 
801	4	0	 
801	5	0	 
801	6	0	 
801	7	0	 
801	8	0	 
802	1	1	100
802	2	0	 
802	3	0	 
802	4	0	 
802	5	0	 
802	6	0	 
802	7	0	 
802	8	0	 
803	1	1	100
803	2	0	 
803	3	0	 
803	4	0	 
803	5	0	 
803	6	0	 
803	7	0	 
803	8	0	 
901	1	1	80
901	2	1	10
901	3	0	 
901	4	1	10
901	5	0	 
901	6	0	 
901	7	0	 
901	8	0	 
902	1	0	 
902	2	1	90
902	3	0	 
902	4	0	 
902	5	0	 
902	6	0	 
902	7	0	 
902	8	0	 
903	1	1	100
903	2	0	 
903	3	0	 
903	4	0	 
903	5	0	 
903	6	0	 
903	7	0	 
903	8	0	 
904	1	1	100
904	2	0	 
904	3	0	 
904	4	0	 
904	5	0	 
904	6	0	 
904	7	0	 
904	8	0	 
905	1	1	80
905	2	0	 
905	3	1	20
905	4	0	 
905	5	0	 
905	6	0	 
905	7	0	 
905	8	0	 
906	1	1	100
906	2	0	 
906	3	0	 
906	4	0	 
906	5	0	 
906	6	0	 
906	7	0	 
906	8	0	 
907	1	0	 
907	2	0	 
907	3	1	100
907	4	0	 
907	5	0	 
907	6	0	 
907	7	0	 
907	8	0	 
908	1	1	100
908	2	0	 
908	3	0	 
908	4	0	 
908	5	0	 
908	6	0	 
908	7	0	 
908	8	0	 
909	1	1	100
909	2	0	 
909	3	0	 
909	4	0	 
909	5	0	 
909	6	0	 
909	7	0	 
909	8	0	 
910	1	0	 
910	2	0	 
910	3	1	100
910	4	0	 
910	5	0	 
910	6	0	 
910	7	0	 
910	8	0	 
911	1	0	 
911	2	0	 
911	3	0	 
911	4	1	100
911	5	0	 
911	6	0	 
911	7	0	 
911	8	0	 
912	1	1	100
912	2	0	 
912	3	0	 
912	4	0	 
912	5	0	 
912	6	0	 
912	7	0	 
912	8	0	 
1001	1	1	100
1001	2	0	 
1001	3	0	 
1001	4	0	 
1001	5	0	 
1001	6	0	 
1001	7	0	 
1001	8	0	 
1003	1	1	100
1003	2	0	 
1003	3	0	 
1003	4	0	 
1003	5	0	 
1003	6	0	 
1003	7	0	 
1003	8	0	 
1004	1	1	100
1004	2	0	 
1004	3	0	 
1004	4	0	 
1004	5	0	 
1004	6	0	 
1004	7	0	 
1004	8	0	 
1005	1	1	100
1005	2	0	 
1005	3	0	 
1005	4	0	 
1005	5	0	 
1005	6	0	 
1005	7	0	 
1005	8	0	 
1006	1	1	100
1006	2	0	 
1006	3	0	 
1006	4	0	 
1006	5	0	 
1006	6	0	 
1006	7	0	 
1006	8	0	 
1101	1	1	90
1101	2	0	 
1101	3	1	10
1101	4	0	 
1101	5	0	 
1101	6	0	 
1101	7	0	 
1101	8	0	 
1102	1	0	 
1102	2	0	 
1102	3	1	100
1102	4	0	 
1102	5	0	 
1102	6	0	 
1102	7	0	 
1102	8	0	 
1103	1	0	 
1103	2	0	 
1103	3	1	90
1103	4	1	10
1103	5	0	 
1103	6	0	 
1103	7	0	 
1103	8	0	 
1104	1	0	 
1104	2	1	100
1104	3	0	 
1104	4	0	 
1104	5	0	 
1104	6	0	 
1104	7	0	 
1104	8	0	 
1105	1	1	60
1105	2	1	40
1105	3	0	 
1105	4	0	 
1105	5	0	 
1105	6	0	 
1105	7	0	 
1105	8	0	 
1106	1	0	 
1106	2	0	 
1106	3	1	100
1106	4	0	 
1106	5	0	 
1106	6	0	 
1106	7	0	 
1106	8	0	 
1107	1	0	 
1107	2	0	 
1107	3	1	100
1107	4	0	 
1107	5	0	 
1107	6	0	 
1107	7	0	 
1107	8	0	 
1108	1	1	100
1108	2	0	 
1108	3	0	 
1108	4	0	 
1108	5	0	 
1108	6	0	 
1108	7	0	 
1108	8	0	 
1202	1	1	100
1202	2	0	 
1202	3	0	 
1202	4	0	 
1202	5	0	 
1202	6	0	 
1202	7	0	 
1202	8	0	 
1203	1	1	100
1203	2	0	 
1203	3	0	 
1203	4	0	 
1203	5	0	 
1203	6	0	 
1203	7	0	 
1203	8	0	 
1302	1	1	80
1302	2	0	 
1302	3	0	 
1302	4	1	20
1302	5	0	 
1302	6	0	 
1302	7	0	 
1302	8	0	 
1303	1	1	95
1303	2	1	5
1303	3	0	 
1303	4	0	 
1303	5	0	 
1303	6	0	 
1303	7	0	 
1303	8	0	 
1304	1	1	75
1304	2	1	15
1304	3	0	 
1304	4	1	5
1304	5	0	 
1304	6	0	 
1304	7	1	5
1304	8	0	 
1402	1	1	100
1402	2	0	 
1402	3	0	 
1402	4	0	 
1402	5	0	 
1402	6	0	 
1402	7	0	 
1402	8	0	 
1403	1	1	99
1403	2	0	 
1403	3	0	 
1403	4	1	1
1403	5	0	 
1403	6	0	 
1403	7	0	 
1403	8	0	 
1404	1	1	85
1404	2	0	 
1404	3	1	5
1404	4	1	10
1404	5	0	 
1404	6	0	 
1404	7	0	 
1404	8	0	 
1501	1	0	 
1501	2	0	 
1501	3	1	100
1501	4	0	 
1501	5	0	 
1501	6	0	 
1501	7	0	 
1501	8	0	 
1502	1	0	 
1502	2	1	70
1502	3	0	 
1502	4	1	30
1502	5	0	 
1502	6	0	 
1502	7	0	 
1502	8	0	 
1503	1	0	 
1503	2	0	 
1503	3	1	100
1503	4	0	 
1503	5	0	 
1503	6	0	 
1503	7	0	 
1503	8	0	 
1504	1	0	 
1504	2	1	10
1504	3	1	80
1504	4	1	10
1504	5	0	 
1504	6	0	 
1504	7	0	 
1504	8	0	 
1505	1	0	 
1505	2	1	100
1505	3	0	 
1505	4	0	 
1505	5	0	 
1505	6	0	 
1505	7	0	 
1505	8	0	 
1506	1	1	100
1506	2	0	 
1506	3	0	 
1506	4	0	 
1506	5	0	 
1506	6	0	 
1506	7	0	 
1506	8	0	 
1507	1	0	 
1507	2	0	 
1507	3	1	100
1507	4	0	 
1507	5	0	 
1507	6	0	 
1507	7	0	 
1507	8	0	 
1508	1	0	 
1508	2	0	 
1508	3	0	 
1508	4	1	95
1508	5	0	 
1508	6	1	5
1508	7	0	 
1508	8	0	 
1509	1	1	100
1509	2	0	 
1509	3	0	 
1509	4	0	 
1509	5	0	 
1509	6	0	 
1509	7	0	 
1509	8	0	 
1601	1	0	 
1601	2	0	 
1601	3	0	 
1601	4	1	80
1601	5	0	 
1601	6	1	20
1601	7	0	 
1601	8	0	 
1602	1	1	70
1602	2	0	 
1602	3	0	 
1602	4	1	30
1602	5	0	 
1602	6	0	 
1602	7	0	 
1602	8	0	 
1603	1	0	 
1603	2	0	 
1603	3	0	 
1603	4	1	95
1603	5	0	 
1603	6	1	5
1603	7	0	 
1603	8	0	 
1604	1	0	 
1604	2	0	 
1604	3	1	15
1604	4	1	85
1604	5	0	 
1604	6	0	 
1604	7	0	 
1604	8	0	 
1605	1	0	 
1605	2	0	 
1605	3	1	20
1605	4	1	80
1605	5	0	 
1605	6	0	 
1605	7	0	 
1605	8	0	 
1606	1	0	 
1606	2	0	 
1606	3	1	100
1606	4	0	 
1606	5	0	 
1606	6	0	 
1606	7	0	 
1606	8	0	 
1607	1	0	 
1607	2	0	 
1607	3	1	80
1607	4	0	 
1607	5	0	 
1607	6	1	20
1607	7	0	 
1607	8	0	 
1608	1	0	 
1608	2	0	 
1608	3	0	 
1608	4	1	100
1608	5	0	 
1608	6	0	 
1608	7	0	 
1608	8	0	 
1701	1	1	95
1701	2	0	 
1701	3	1	5
1701	4	0	 
1701	5	0	 
1701	6	0	 
1701	7	0	 
1701	8	0	 
1702	1	1	95
1702	2	0	 
1702	3	1	5
1702	4	0	 
1702	5	0	 
1702	6	0	 
1702	7	0	 
1702	8	0	 
1703	1	1	100
1703	2	0	 
1703	3	0	 
1703	4	0	 
1703	5	0	 
1703	6	0	 
1703	7	0	 
1703	8	0	 
1704	1	1	10
1704	2	0	 
1704	3	1	90
1704	4	0	 
1704	5	0	 
1704	6	0	 
1704	7	0	 
1704	8	0	 
1705	1	0	 
1705	2	0	 
1705	3	1	90
1705	4	1	8
1705	5	0	 
1705	6	1	2
1705	7	0	 
1705	8	0	 
1708	1	0	 
1708	2	0	 
1708	3	1	100
1708	4	0	 
1708	5	0	 
1708	6	0	 
1708	7	0	 
1708	8	0	 
1709	1	1	95
1709	2	0	 
1709	3	0	 
1709	4	1	5
1709	5	0	 
1709	6	0	 
1709	7	0	 
1709	8	0	 
1710	1	1	100
1710	2	0	 
1710	3	0	 
1710	4	0	 
1710	5	0	 
1710	6	0	 
1710	7	0	 
1710	8	0	 
1711	1	1	70
1711	2	0	 
1711	3	0	 
1711	4	1	30
1711	5	0	 
1711	6	0	 
1711	7	0	 
1711	8	0	 
1801	1	0	 
1801	2	0	 
1801	3	0	 
1801	4	1	100
1801	5	0	 
1801	6	0	 
1801	7	0	 
1801	8	0	 
1802	1	0	 
1802	2	0	 
1802	3	0	 
1802	4	1	100
1802	5	0	 
1802	6	0	 
1802	7	0	 
1802	8	0	 
1803	1	0	 
1803	2	0	 
1803	3	0	 
1803	4	1	100
1803	5	0	 
1803	6	0	 
1803	7	0	 
1803	8	0	 
1804	1	0	 
1804	2	0	 
1804	3	0	 
1804	4	1	100
1804	5	0	 
1804	6	0	 
1804	7	0	 
1804	8	0	 
1805	1	0	 
1805	2	0	 
1805	3	0	 
1805	4	1	100
1805	5	0	 
1805	6	0	 
1805	7	0	 
1805	8	0	 
1806	1	0	 
1806	2	0	 
1806	3	0	 
1806	4	1	100
1806	5	0	 
1806	6	0	 
1806	7	0	 
1806	8	0	 
1807	1	1	95
1807	2	0	 
1807	3	0	 
1807	4	1	5
1807	5	0	 
1807	6	0	 
1807	7	0	 
1807	8	0	 
1901	1	1	70
1901	2	0	 
1901	3	0	 
1901	4	1	30
1901	5	0	 
1901	6	0	 
1901	7	0	 
1901	8	0	 
1902	1	1	100
1902	2	0	 
1902	3	0	 
1902	4	0	 
1902	5	0	 
1902	6	0	 
1902	7	0	 
1902	8	0	 
1903	1	0	 
1903	2	0	 
1903	3	0	 
1903	4	1	1
1903	5	0	 
1903	6	1	1
1903	7	0	 
1903	8	0	 
1904	1	1	100
1904	2	0	 
1904	3	0	 
1904	4	0	 
1904	5	0	 
1904	6	0	 
1904	7	0	 
1904	8	0	 
1905	1	1	80
1905	2	0	 
1905	3	1	20
1905	4	0	 
1905	5	0	 
1905	6	0	 
1905	7	0	 
1905	8	0	 
2001	1	1	100
2001	2	0	 
2001	3	0	 
2001	4	0	 
2001	5	0	 
2001	6	0	 
2001	7	0	 
2001	8	0	 
2002	1	1	100
2002	2	0	 
2002	3	0	 
2002	4	0	 
2002	5	0	 
2002	6	0	 
2002	7	0	 
2002	8	0	 
2003	1	1	100
2003	2	0	 
2003	3	0	 
2003	4	0	 
2003	5	0	 
2003	6	0	 
2003	7	0	 
2003	8	0	 
2004	1	1	95
2004	2	0	 
2004	3	1	5
2004	4	0	 
2004	5	0	 
2004	6	0	 
2004	7	0	 
2004	8	0	 
2005	1	1	100
2005	2	0	 
2005	3	0	 
2005	4	0	 
2005	5	0	 
2005	6	0	 
2005	7	0	 
2005	8	0	 
2006	1	1	40
2006	2	0	 
2006	3	1	30
2006	4	1	30
2006	5	0	 
2006	6	0	 
2006	7	0	 
2006	8	0	 
2007	1	1	70
2007	2	0	 
2007	3	0	 
2007	4	1	30
2007	5	0	 
2007	6	0	 
2007	7	0	 
2007	8	0	 
2008	1	0	 
2008	2	0	 
2008	3	1	40
2008	4	1	60
2008	5	0	 
2008	6	0	 
2008	7	0	 
2008	8	0	 
8002	1	1	70
8002	2	0	 
8002	3	0	 
8002	4	1	30
8002	5	0	 
8002	6	0	 
8002	7	0	 
8002	8	0	 
8003	1	1	70
8003	2	0	 
8003	3	0	 
8003	4	1	30
8003	5	0	 
8003	6	0	 
8003	7	0	 
8003	8	0	 
8004	1	1	75
8004	2	0	 
8004	3	0	 
8004	4	1	25
8004	5	0	 
8004	6	0	 
8004	7	0	 
8004	8	0	 
8006	1	1	70
8006	2	0	 
8006	3	0	 
8006	4	1	30
8006	5	0	 
8006	6	0	 
8006	7	0	 
8006	8	0	 
8007	1	1	90
8007	2	0	 
8007	3	1	10
8007	4	0	 
8007	5	0	 
8007	6	0	 
8007	7	0	 
8007	8	0	 
8008	1	1	75
8008	2	0	 
8008	3	1	10
8008	4	1	15
8008	5	0	 
8008	6	0	 
8008	7	0	 
8008	8	0	 
8009	1	1	85
8009	2	0	 
8009	3	1	15
8009	4	0	 
8009	5	0	 
8009	6	0	 
8009	7	0	 
8009	8	0	 
8010	1	1	100
8010	2	0	 
8010	3	0	 
8010	4	0	 
8010	5	0	 
8010	6	0	 
8010	7	0	 
8010	8	0	 
8011	1	0	 
8011	2	0	 
8011	3	1	100
8011	4	0	 
8011	5	0	 
8011	6	0	 
8011	7	0	 
8011	8	0	 
8012	1	1	60
8012	2	0	 
8012	3	1	40
8012	4	0	 
8012	5	0	 
8012	6	0	 
8012	7	0	 
8012	8	0	 
8014	1	1	90
8014	2	1	10
8014	3	0	 
8014	4	0	 
8014	5	0	 
8014	6	0	 
8014	7	0	 
8014	8	0	 
8015	1	1	100
8015	2	0	 
8015	3	0	 
8015	4	0	 
8015	5	0	 
8015	6	0	 
8015	7	0	 
8015	8	0	 
8016	1	1	100
8016	2	0	 
8016	3	0	 
8016	4	0	 
8016	5	0	 
8016	6	0	 
8016	7	0	 
8016	8	0	 
8017	1	1	100
8017	2	0	 
8017	3	0	 
8017	4	0	 
8017	5	0	 
8017	6	0	 
8017	7	0	 
8017	8	0	 
8018	1	1	60
8018	2	0	 
8018	3	1	40
8018	4	0	 
8018	5	0	 
8018	6	0	 
8018	7	0	 
8018	8	0	 
8019	1	1	100
8019	2	0	 
8019	3	0	 
8019	4	0	 
8019	5	0	 
8019	6	0	 
8019	7	0	 
8019	8	0	 
8020	1	1	100
8020	2	0	 
8020	3	0	 
8020	4	0	 
8020	5	0	 
8020	6	0	 
8020	7	0	 
8020	8	0	 
8021	1	1	100
8021	2	0	 
8021	3	0	 
8021	4	0	 
8021	5	0	 
8021	6	0	 
8021	7	0	 
8021	8	0	 
8022	1	1	100
8022	2	0	 
8022	3	0	 
8022	4	0	 
8022	5	0	 
8022	6	0	 
8022	7	0	 
8022	8	0	 
8023	1	1	80
8023	2	0	 
8023	3	0	 
8023	4	1	20
8023	5	0	 
8023	6	0	 
8023	7	0	 
8023	8	0	 
8024	1	1	25
8024	2	0	 
8024	3	0	 
8024	4	1	75
8024	5	0	 
8024	6	0	 
8024	7	0	 
8024	8	0	 
8025	1	1	60
8025	2	0	 
8025	3	0	 
8025	4	1	40
8025	5	0	 
8025	6	0	 
8025	7	0	 
8025	8	0	 
8026	1	1	100
8026	2	0	 
8026	3	0	 
8026	4	0	 
8026	5	0	 
8026	6	0	 
8026	7	0	 
8026	8	0	 
8027	1	1	85
8027	2	0	 
8027	3	0	 
8027	4	1	15
8027	5	0	 
8027	6	0	 
8027	7	0	 
8027	8	0	 
8028	1	1	100
8028	2	0	 
8028	3	0	 
8028	4	0	 
8028	5	0	 
8028	6	0	 
8028	7	0	 
8028	8	0	 
8029	1	0	 
8029	2	1	100
8029	3	0	 
8029	4	0	 
8029	5	0	 
8029	6	0	 
8029	7	0	 
8029	8	0	 
8030	1	1	80
8030	2	0	 
8030	3	0	 
8030	4	1	20
8030	5	0	 
8030	6	0	 
8030	7	0	 
8030	8	0	 
8031	1	1	100
8031	2	0	 
8031	3	0	 
8031	4	0	 
8031	5	0	 
8031	6	0	 
8031	7	0	 
8031	8	0	 
8032	1	1	90
8032	2	0	 
8032	3	0	 
8032	4	1	10
8032	5	0	 
8032	6	0	 
8032	7	0	 
8032	8	0	 
8033	1	1	100
8033	2	0	 
8033	3	0	 
8033	4	0	 
8033	5	0	 
8033	6	0	 
8033	7	0	 
8033	8	0	 
8034	1	1	60
8034	2	1	20
8034	3	1	10
8034	4	1	10
8034	5	0	 
8034	6	0	 
8034	7	0	 
8034	8	0	 
