PLACEID	RSID	AGERES	SEXRES	CAPAC
308	8	44	2	7
308	9	42	2	7
308	10	35	1	2
308	11	81	1	7
309	1	23	2	3
309	2	57	1	2
309	3	34	2	4
309	4	59	2	7
309	5	53	2	4
309	6	45	2	7
309	7	34	1	3
310	1	52	1	9
310	2	49	1	2
310	3	49	1	2
310	4	31	1	7
310	5	23	2	3
310	6	55	1	4
310	7	42	2	7
311	1	26	1	2
311	2	37	1	10
311	3	55	1	4
311	4	52	2	7
311	5	24	2	3
311	6	26	2	3
311	7	45	1	7
311	8	45	1	9
311	9	42	2	7
312	1	54	2	2
312	2	35	1	9
312	3	70	1	2
312	4	49	1	7
312	5	50	1	7
312	6	49	1	7
312	7	28	1	3
312	8	44	2	7
312	9	42	2	7
312	10	81	1	7
313	1	40	1	2
313	2	55	1	2
313	3	46	1	9
313	4	41	2	10
313	5	49	1	7
313	6	81	1	7
313	7	42	2	7
313	8	28	1	3
314	1	43	1	2
314	2	54	1	9
314	3	38	1	2
314	4	49	1	7
314	5	50	1	7
314	6	40	2	7
314	7	49	1	7
314	8	28	1	3
314	9	42	2	7
314	10	81	1	7
401	1	26	1	2
401	2	28	1	2
401	3	45	1	4
401	4	40	2	3
401	5	34	2	7
401	6	40	2	7
401	7	33	2	7
402	1	36	1	2
402	2	28	1	3
402	3	58	2	7
402	4	27	2	7
402	5	42	2	7
402	6	46	1	4
402	7	55	1	8
403	1	42	1	1
403	2	-79	1	9
403	3	-79	1	2
403	4	30	2	2
403	5	44	1	4
403	6	29	2	3
403	7	42	1	3
403	8	23	2	7
403	9	60	2	7
403	10	54	2	7
404	1	28	1	2
404	2	35	2	2
404	3	40	1	8
404	4	28	1	7
404	5	26	2	7
404	6	34	2	3
404	7	54	1	4
404	8	23	2	7
405	1	28	2	3
405	2	51	1	4
405	3	30	2	7
405	4	45	2	10
405	5	32	1	2
405	6	23	2	7
406	1	28	2	10
406	2	29	1	9
406	3	48	2	7
406	4	50	2	7
406	5	-79	2	3
406	6	33	2	7
408	1	51	1	4
408	2	50	2	4
408	3	43	2	3
408	4	37	2	7
408	5	44	2	10
408	6	47	1	2
408	7	34	2	7
501	1	40	1	2
501	2	61	2	9
501	3	42	1	10
501	4	39	2	4
501	5	24	2	3
501	6	50	2	7
501	7	43	2	7
501	8	29	2	7
501	9	32	2	7
503	1	45	1	1
503	2	24	1	3
503	3	32	2	7
503	4	40	2	7
503	5	40	2	7
504	1	39	1	1
504	2	30	2	4
504	3	32	2	4
504	4	36	1	7
504	5	37	1	3
504	6	32	2	7
504	7	40	2	7
505	1	48	1	4
505	2	55	1	2
505	3	54	1	2
505	4	40	2	6
505	5	18	2	7
505	6	31	2	3
505	7	40	2	7
507	1	56	1	2
507	2	39	1	2
507	3	63	2	7
507	4	38	2	7
507	5	33	1	3
507	6	65	1	7
508	1	28	 	 
508	2	38	 	 
508	3	48	 	 
508	4	59	 	 
508	5	45	 	 
508	6	45	 	 
508	7	45	 	 
508	8	39	 	 
508	9	25	 	 
508	10	36	 	 
508	11	33	 	 
509	1	65	1	2
509	2	60	1	7
509	3	55	1	4
509	4	33	1	3
509	5	65	1	7
510	1	53	1	4
510	2	33	1	3
510	3	42	2	7
510	4	48	1	7
510	5	45	2	7
510	6	50	2	7
510	7	33	1	2
510	8	65	1	7
511	1	37	1	2
511	2	38	1	2
511	3	55	1	10
511	4	35	2	7
511	5	42	2	7
511	6	40	2	7
511	7	28	1	7
