PLACEID	GBGEIDR5	GBGEPLAC	GRBCLCT
505	4	0	 
505	5	0	 
505	6	1	 
505	7	1	 
505	8	1	 
505	9	0	 
507	1	0	 
507	2	0	 
507	3	0	 
507	4	0	 
507	5	0	 
507	6	0	 
507	7	1	 
507	8	1	 
507	9	0	 
508	1	0	 
508	2	0	 
508	3	0	 
508	4	0	 
508	5	0	 
508	6	0	 
508	7	1	 
508	8	1	 
508	9	0	 
509	1	0	 
509	2	1	 
509	3	0	 
509	4	0	 
509	5	1	 
509	6	0	 
509	7	1	 
509	8	1	 
509	9	0	 
510	1	1	8
510	2	0	 
510	3	0	 
510	4	0	 
510	5	0	 
510	6	0	 
510	7	0	 
510	8	1	 
510	9	0	 
511	1	0	 
511	2	0	 
511	3	0	 
511	4	0	 
511	5	0	 
511	6	1	 
511	7	1	 
511	8	1	 
511	9	0	 
512	1	1	15
512	2	0	 
512	3	0	 
512	4	0	 
512	5	0	 
512	6	0	 
512	7	1	 
512	8	1	 
512	9	0	 
601	1	1	12
601	2	1	 
601	3	0	 
601	4	0	 
601	5	0	 
601	6	0	 
601	7	0	 
601	8	1	 
601	9	0	 
602	1	1	30
602	2	0	 
602	3	0	 
602	4	0	 
602	5	0	 
602	6	0	 
602	7	0	 
602	8	1	 
602	9	0	 
701	1	1	15
701	2	0	 
701	3	0	 
701	4	0	 
701	5	0	 
701	6	0	 
701	7	0	 
701	8	0	 
701	9	0	 
702	1	1	8
702	2	1	 
702	3	0	 
702	4	0	 
702	5	0	 
702	6	0	 
702	7	0	 
702	8	1	 
702	9	0	 
703	1	1	8
703	2	1	 
703	3	0	 
703	4	0	 
703	5	0	 
703	6	0	 
703	7	0	 
703	8	1	 
703	9	0	 
704	1	1	10
704	2	1	 
704	3	0	 
704	4	0	 
704	5	0	 
704	6	0	 
704	7	0	 
704	8	0	 
704	9	0	 
801	1	1	30
801	2	1	 
801	3	0	 
801	4	0	 
801	5	0	 
801	6	0	 
801	7	0	 
801	8	1	 
801	9	0	 
802	1	1	30
802	2	1	 
802	3	1	 
802	4	0	 
802	5	0	 
802	6	0	 
802	7	0	 
802	8	0	 
802	9	0	 
803	1	1	12
803	2	1	 
803	3	0	 
803	4	0	 
803	5	0	 
803	6	0	 
803	7	0	 
803	8	1	 
803	9	0	 
901	1	1	9
901	2	1	 
901	3	0	 
901	4	0	 
901	5	0	 
901	6	1	 
901	7	1	 
901	8	1	 
901	9	0	 
902	1	1	0
902	2	0	 
902	3	1	 
902	4	0	 
902	5	0	 
902	6	1	 
902	7	0	 
902	8	1	 
902	9	0	 
903	1	1	4
903	2	0	 
903	3	1	 
903	4	0	 
903	5	0	 
903	6	0	 
903	7	0	 
903	8	1	 
903	9	0	 
904	1	1	20
904	2	0	 
904	3	1	 
904	4	0	 
904	5	0	 
904	6	0	 
904	7	0	 
904	8	0	 
904	9	0	 
905	1	0	 
905	2	1	 
905	3	0	 
905	4	0	 
905	5	0	 
905	6	1	 
905	7	0	 
905	8	1	 
905	9	0	 
906	1	1	10
906	2	0	 
906	3	0	 
906	4	0	 
906	5	0	 
906	6	0	 
906	7	0	 
906	8	1	 
906	9	0	 
907	1	1	4
907	2	0	 
907	3	1	 
907	4	0	 
907	5	0	 
907	6	0	 
907	7	0	 
907	8	1	 
907	9	0	 
908	1	1	30
908	2	0	 
908	3	0	 
908	4	0	 
908	5	0	 
908	6	0	 
908	7	0	 
908	8	0	 
908	9	0	 
909	1	1	10
909	2	0	 
909	3	1	 
909	4	0	 
909	5	0	 
909	6	0	 
909	7	0	 
909	8	1	 
909	9	0	 
910	1	1	4
910	2	0	 
910	3	1	 
910	4	0	 
910	5	0	 
910	6	0	 
910	7	0	 
910	8	1	 
910	9	0	 
911	1	1	4
911	2	0	 
911	3	0	 
911	4	0	 
911	5	0	 
911	6	1	 
911	7	1	 
911	8	1	 
911	9	0	 
912	1	1	4
912	2	0	 
912	3	1	 
912	4	0	 
912	5	0	 
912	6	0	 
912	7	0	 
912	8	1	 
912	9	0	 
1001	1	1	15
1001	2	0	 
1001	3	0	 
1001	4	0	 
1001	5	0	 
1001	6	0	 
1001	7	0	 
1001	8	0	 
1001	9	0	 
1003	1	1	15
1003	2	0	 
1003	3	0	 
1003	4	0	 
1003	5	0	 
1003	6	0	 
1003	7	0	 
1003	8	0	 
1003	9	0	 
1004	1	1	15
1004	2	0	 
1004	3	1	 
1004	4	0	 
1004	5	0	 
1004	6	0	 
1004	7	0	 
1004	8	0	 
1004	9	0	 
1005	1	1	15
1005	2	0	 
1005	3	1	 
1005	4	1	 
1005	5	0	 
1005	6	0	 
1005	7	0	 
1005	8	0	 
1005	9	0	 
1006	1	1	13
1006	2	0	 
1006	3	0	 
1006	4	0	 
1006	5	0	 
1006	6	0	 
1006	7	0	 
1006	8	0	 
1006	9	0	 
1101	1	1	4
1101	2	0	 
1101	3	0	 
1101	4	1	 
1101	5	0	 
1101	6	0	 
1101	7	0	 
1101	8	1	 
1101	9	0	 
1102	1	0	 
1102	2	0	 
1102	3	0	 
1102	4	1	 
1102	5	0	 
1102	6	1	 
1102	7	0	 
1102	8	1	 
1102	9	0	 
1103	1	0	 
1103	2	1	 
1103	3	0	 
1103	4	0	 
1103	5	0	 
1103	6	0	 
1103	7	1	 
1103	8	1	 
1103	9	0	 
1104	1	0	 
1104	2	0	 
1104	3	1	 
1104	4	1	 
1104	5	0	 
1104	6	0	 
1104	7	0	 
1104	8	1	 
1104	9	0	 
1105	1	1	8
1105	2	0	 
1105	3	0	 
1105	4	1	 
1105	5	0	 
1105	6	0	 
1105	7	1	 
1105	8	1	 
1105	9	0	 
1106	1	0	 
1106	2	0	 
1106	3	0	 
1106	4	1	 
1106	5	0	 
1106	6	1	 
1106	7	0	 
1106	8	1	 
1106	9	0	 
1107	1	0	 
1107	2	0	 
1107	3	0	 
1107	4	1	 
1107	5	0	 
1107	6	0	 
1107	7	1	 
1107	8	0	 
1107	9	0	 
1108	1	1	4
1108	2	0	 
1108	3	0	 
1108	4	1	 
1108	5	0	 
1108	6	0	 
1108	7	0	 
1108	8	1	 
1108	9	0	 
1202	1	1	30
1202	2	1	 
1202	3	0	 
1202	4	0	 
1202	5	0	 
1202	6	0	 
1202	7	0	 
1202	8	0	 
1202	9	0	 
1203	1	1	30
1203	2	1	 
1203	3	0	 
1203	4	0	 
1203	5	0	 
1203	6	0	 
1203	7	0	 
1203	8	0	 
1203	9	0	 
1302	1	1	15
1302	2	1	 
1302	3	0	 
1302	4	0	 
1302	5	0	 
1302	6	0	 
1302	7	0	 
1302	8	1	 
1302	9	0	 
1303	1	1	30
1303	2	1	 
1303	3	0	 
1303	4	0	 
1303	5	0	 
1303	6	0	 
1303	7	0	 
1303	8	0	 
1303	9	0	 
1304	1	1	12
1304	2	1	 
1304	3	0	 
1304	4	0	 
1304	5	1	 
1304	6	0	 
1304	7	0	 
1304	8	1	 
1304	9	0	 
1402	1	1	30
1402	2	0	 
1402	3	0	 
1402	4	0	 
1402	5	0	 
1402	6	0	 
1402	7	0	 
1402	8	0	 
1402	9	0	 
1403	1	1	30
1403	2	0	 
1403	3	0	 
1403	4	0	 
1403	5	0	 
1403	6	0	 
1403	7	0	 
1403	8	0	 
1403	9	0	 
1404	1	1	15
1404	2	0	 
1404	3	1	 
1404	4	0	 
1404	5	0	 
1404	6	0	 
1404	7	0	 
1404	8	0	 
1404	9	0	 
1501	1	1	15
1501	2	0	 
1501	3	0	 
1501	4	0	 
1501	5	0	 
1501	6	0	 
1501	7	1	 
1501	8	1	 
1501	9	0	 
1502	1	1	8
1502	2	0	 
1502	3	1	 
1502	4	0	 
1502	5	1	 
1502	6	1	 
1502	7	0	 
1502	8	1	 
1502	9	0	 
1503	1	0	 
1503	2	0	 
1503	3	0	 
1503	4	0	 
1503	5	0	 
1503	6	1	 
1503	7	0	 
1503	8	1	 
1503	9	0	 
1504	1	1	8
1504	2	0	 
1504	3	1	 
1504	4	0	 
1504	5	0	 
1504	6	0	 
1504	7	1	 
1504	8	1	 
1504	9	0	 
1505	1	1	2
1505	2	0	 
1505	3	1	 
1505	4	1	 
1505	5	0	 
1505	6	1	 
1505	7	0	 
1505	8	0	 
1505	9	0	 
1506	1	1	15
1506	2	0	 
1506	3	1	 
1506	4	0	 
1506	5	1	 
1506	6	0	 
1506	7	1	 
1506	8	1	 
1506	9	0	 
1507	1	0	 
1507	2	1	 
1507	3	0	 
1507	4	0	 
1507	5	0	 
1507	6	1	 
1507	7	0	 
1507	8	1	 
1507	9	0	 
1508	1	0	 
1508	2	0	 
1508	3	1	 
1508	4	0	 
1508	5	0	 
1508	6	1	 
1508	7	1	 
1508	8	1	 
1508	9	0	 
1509	1	1	30
1509	2	0	 
1509	3	1	 
1509	4	1	 
1509	5	0	 
1509	6	0	 
1509	7	0	 
1509	8	0	 
1509	9	0	 
1601	1	0	 
1601	2	0	 
1601	3	1	 
1601	4	0	 
1601	5	0	 
1601	6	1	 
1601	7	0	 
1601	8	1	 
1601	9	0	 
1602	1	1	30
1602	2	0	 
1602	3	0	 
1602	4	0	 
1602	5	0	 
1602	6	0	 
1602	7	0	 
1602	8	1	 
1602	9	0	 
1603	1	0	 
1603	2	0	 
1603	3	1	 
1603	4	0	 
1603	5	0	 
1603	6	0	 
1603	7	0	 
1603	8	0	 
1603	9	0	 
1604	1	1	2
1604	2	0	 
1604	3	0	 
1604	4	0	 
1604	5	0	 
1604	6	0	 
1604	7	0	 
1604	8	1	 
1604	9	0	 
1605	1	0	 
1605	2	0	 
1605	3	0	 
1605	4	0	 
1605	5	0	 
1605	6	1	 
1605	7	1	 
1605	8	1	 
1605	9	0	 
1606	1	0	 
1606	2	0	 
1606	3	1	 
1606	4	0	 
1606	5	0	 
1606	6	1	 
1606	7	0	 
1606	8	1	 
1606	9	0	 
1607	1	0	 
1607	2	1	 
1607	3	0	 
1607	4	0	 
1607	5	0	 
1607	6	1	 
1607	7	1	 
1607	8	1	 
1607	9	0	 
1608	1	0	 
1608	2	0	 
1608	3	0	 
1608	4	0	 
1608	5	0	 
1608	6	1	 
1608	7	0	 
1608	8	1	 
1608	9	0	 
1701	1	1	4
1701	2	0	 
1701	3	0	 
1701	4	0	 
1701	5	0	 
1701	6	0	 
1701	7	0	 
1701	8	0	 
1701	9	0	 
1702	1	1	30
1702	2	1	 
1702	3	0	 
1702	4	0	 
1702	5	0	 
1702	6	0	 
1702	7	1	 
1702	8	0	 
1702	9	0	 
1703	1	0	 
1703	2	0	 
1703	3	1	 
1703	4	0	 
1703	5	0	 
1703	6	0	 
1703	7	0	 
1703	8	1	 
1703	9	0	 
1704	1	0	 
1704	2	0	 
1704	3	1	 
1704	4	0	 
1704	5	0	 
1704	6	0	 
1704	7	0	 
1704	8	0	 
1704	9	0	 
1705	1	0	 
1705	2	0	 
1705	3	1	 
1705	4	0	 
1705	5	0	 
1705	6	0	 
1705	7	1	 
1705	8	1	 
1705	9	0	 
1708	1	0	 
1708	2	1	 
1708	3	0	 
1708	4	0	 
1708	5	0	 
1708	6	0	 
1708	7	1	 
1708	8	1	 
1708	9	0	 
1709	1	1	2
1709	2	0	 
1709	3	0	 
1709	4	0	 
1709	5	0	 
1709	6	0	 
1709	7	0	 
1709	8	1	 
1709	9	0	 
1710	1	1	30
1710	2	0	 
1710	3	1	 
1710	4	0	 
1710	5	0	 
1710	6	0	 
1710	7	0	 
1710	8	0	 
1710	9	0	 
1711	1	0	 
1711	2	0	 
1711	3	1	 
1711	4	0	 
1711	5	0	 
1711	6	1	 
1711	7	1	 
1711	8	1	 
1711	9	0	 
1801	1	0	 
1801	2	0	 
1801	3	0	 
1801	4	0	 
1801	5	0	 
1801	6	1	 
1801	7	0	 
1801	8	0	 
1801	9	0	 
1802	1	0	 
1802	2	0	 
1802	3	1	 
1802	4	0	 
1802	5	0	 
1802	6	1	 
1802	7	0	 
1802	8	1	 
1802	9	0	 
1803	1	0	 
1803	2	0	 
1803	3	0	 
1803	4	0	 
1803	5	0	 
1803	6	1	 
1803	7	1	 
1803	8	1	 
1803	9	0	 
1804	1	0	 
1804	2	1	 
1804	3	1	 
1804	4	0	 
1804	5	0	 
1804	6	0	 
1804	7	0	 
1804	8	1	 
1804	9	0	 
1805	1	0	 
1805	2	0	 
1805	3	1	 
1805	4	0	 
1805	5	0	 
1805	6	0	 
1805	7	1	 
1805	8	1	 
1805	9	0	 
1806	1	0	 
1806	2	0	 
1806	3	0	 
1806	4	0	 
1806	5	0	 
1806	6	1	 
1806	7	0	 
1806	8	1	 
1806	9	0	 
1807	1	1	30
1807	2	0	 
1807	3	0	 
1807	4	0	 
1807	5	0	 
1807	6	0	 
1807	7	0	 
1807	8	1	 
1807	9	0	 
1901	1	1	8
1901	2	0	 
1901	3	0	 
1901	4	0	 
1901	5	0	 
1901	6	0	 
1901	7	0	 
1901	8	0	 
1901	9	0	 
1902	1	1	8
1902	2	0	 
1902	3	0	 
1902	4	0	 
1902	5	1	 
1902	6	0	 
1902	7	1	 
1902	8	0	 
1902	9	0	 
1903	1	0	 
1903	2	0	 
1903	3	1	 
1903	4	0	 
1903	5	0	 
1903	6	0	 
1903	7	0	 
1903	8	0	 
1903	9	0	 
1904	1	1	8
1904	2	0	 
1904	3	0	 
1904	4	0	 
1904	5	0	 
1904	6	0	 
1904	7	0	 
1904	8	1	 
1904	9	0	 
1905	1	1	4
1905	2	0	 
1905	3	0	 
1905	4	0	 
1905	5	0	 
1905	6	0	 
1905	7	0	 
1905	8	0	 
1905	9	0	 
2001	1	1	4
2001	2	0	 
2001	3	1	 
2001	4	0	 
2001	5	0	 
2001	6	0	 
2001	7	0	 
2001	8	0	 
2001	9	0	 
2002	1	1	8
2002	2	1	 
2002	3	1	 
2002	4	0	 
2002	5	0	 
2002	6	0	 
2002	7	0	 
2002	8	1	 
2002	9	0	 
2003	1	1	4
2003	2	1	 
2003	3	1	 
2003	4	0	 
2003	5	0	 
2003	6	0	 
2003	7	0	 
2003	8	1	 
2003	9	0	 
2004	1	1	4
2004	2	1	 
2004	3	0	 
2004	4	0	 
2004	5	0	 
2004	6	0	 
2004	7	0	 
2004	8	1	 
2004	9	0	 
2005	1	1	41
2005	2	1	 
2005	3	0	 
2005	4	0	 
2005	5	0	 
2005	6	0	 
2005	7	0	 
2005	8	1	 
2005	9	0	 
2006	1	1	4
2006	2	1	 
2006	3	0	 
2006	4	0	 
2006	5	1	 
2006	6	0	 
2006	7	0	 
2006	8	1	 
2006	9	0	 
2007	1	1	4
2007	2	1	 
2007	3	1	 
2007	4	0	 
2007	5	0	 
2007	6	0	 
2007	7	0	 
2007	8	0	 
2007	9	0	 
2008	1	1	1
2008	2	1	 
2008	3	1	 
2008	4	0	 
2008	5	0	 
2008	6	1	 
2008	7	0	 
2008	8	1	 
2008	9	0	 
8002	1	1	30
8002	2	0	 
8002	3	0	 
8002	4	0	 
8002	5	0	 
8002	6	0	 
8002	7	0	 
8002	8	0	 
8002	9	0	 
8003	1	1	30
8003	2	0	 
8003	3	0	 
8003	4	0	 
8003	5	0	 
8003	6	0	 
8003	7	0	 
8003	8	0	 
8003	9	0	 
8004	1	1	30
8004	2	0	 
8004	3	0	 
8004	4	0	 
8004	5	0	 
8004	6	0	 
8004	7	0	 
8004	8	0	 
8004	9	0	 
8006	1	1	12
8006	2	0	 
8006	3	0	 
8006	4	0	 
8006	5	1	 
8006	6	0	 
8006	7	1	 
8006	8	0	 
8006	9	1	 
8007	1	1	30
8007	2	1	 
8007	3	0	 
8007	4	1	 
8007	5	0	 
8007	6	0	 
8007	7	0	 
8007	8	1	 
8007	9	0	 
8008	1	1	30
8008	2	0	 
8008	3	0	 
8008	4	0	 
8008	5	0	 
8008	6	0	 
8008	7	0	 
8008	8	0	 
8008	9	0	 
8009	1	1	30
8009	2	0	 
8009	3	0	 
8009	4	0	 
8009	5	0	 
8009	6	0	 
8009	7	0	 
8009	8	1	 
8009	9	0	 
8010	1	1	30
8010	2	0	 
8010	3	0	 
8010	4	0	 
8010	5	0	 
8010	6	0	 
8010	7	0	 
8010	8	0	 
8010	9	0	 
8011	1	1	30
8011	2	1	 
8011	3	0	 
8011	4	0	 
8011	5	0	 
8011	6	0	 
8011	7	0	 
8011	8	1	 
8011	9	0	 
8012	1	1	30
8012	2	0	 
8012	3	1	 
8012	4	0	 
8012	5	0	 
8012	6	0	 
8012	7	0	 
8012	8	1	 
8012	9	0	 
8014	1	1	30
8014	2	0	 
8014	3	0	 
8014	4	1	 
8014	5	0	 
8014	6	0	 
8014	7	0	 
8014	8	0	 
8014	9	0	 
8015	1	0	 
8015	2	1	 
8015	3	1	 
8015	4	0	 
8015	5	0	 
8015	6	0	 
8015	7	1	 
8015	8	1	 
8015	9	0	 
8016	1	1	15
8016	2	0	 
8016	3	0	 
8016	4	0	 
8016	5	1	 
8016	6	0	 
8016	7	0	 
8016	8	0	 
8016	9	0	 
8017	1	1	30
8017	2	0	 
8017	3	0	 
8017	4	0	 
8017	5	0	 
8017	6	0	 
8017	7	0	 
8017	8	0	 
8017	9	0	 
8018	1	1	12
8018	2	0	 
8018	3	0	 
8018	4	0	 
8018	5	0	 
8018	6	0	 
8018	7	0	 
8018	8	0	 
8018	9	0	 
8019	1	1	30
8019	2	0	 
8019	3	0	 
8019	4	0	 
8019	5	0	 
8019	6	0	 
8019	7	0	 
8019	8	0	 
8019	9	0	 
8020	1	1	8
8020	2	0	 
8020	3	1	 
8020	4	0	 
8020	5	0	 
8020	6	0	 
8020	7	0	 
8020	8	0	 
8020	9	0	 
8021	1	1	12
8021	2	0	 
8021	3	1	 
8021	4	0	 
8021	5	0	 
8021	6	0	 
8021	7	0	 
8021	8	1	 
8021	9	0	 
8022	1	1	30
8022	2	1	 
8022	3	0	 
8022	4	0	 
8022	5	0	 
8022	6	0	 
8022	7	0	 
8022	8	0	 
8022	9	0	 
8023	1	1	30
8023	2	0	 
8023	3	0	 
8023	4	0	 
8023	5	0	 
8023	6	0	 
8023	7	1	 
8023	8	1	 
8023	9	0	 
8024	1	1	8
8024	2	0	 
8024	3	0	 
8024	4	0	 
8024	5	0	 
8024	6	1	 
8024	7	1	 
8024	8	1	 
8024	9	0	 
8025	1	1	12
8025	2	0	 
8025	3	0	 
8025	4	0	 
8025	5	0	 
8025	6	0	 
8025	7	0	 
8025	8	0	 
8025	9	0	 
8026	1	1	15
8026	2	0	 
8026	3	0	 
8026	4	0	 
8026	5	1	 
8026	6	0	 
8026	7	0	 
8026	8	0	 
8026	9	0	 
8027	1	1	30
8027	2	1	 
8027	3	0	 
8027	4	0	 
8027	5	0	 
8027	6	0	 
8027	7	0	 
8027	8	1	 
8027	9	0	 
8028	1	1	30
8028	2	0	 
8028	3	0	 
8028	4	0	 
8028	5	0	 
8028	6	0	 
8028	7	0	 
8028	8	0	 
8028	9	0	 
8029	1	1	8
8029	2	1	 
8029	3	0	 
8029	4	0	 
8029	5	0	 
8029	6	0	 
8029	7	0	 
8029	8	1	 
8029	9	0	 
8030	1	1	12
8030	2	1	 
8030	3	0	 
8030	4	0	 
8030	5	0	 
8030	6	0	 
8030	7	0	 
8030	8	0	 
8030	9	0	 
8031	1	1	15
8031	2	0	 
8031	3	0	 
8031	4	0	 
8031	5	0	 
8031	6	0	 
8031	7	0	 
8031	8	0	 
8031	9	0	 
8032	1	1	30
8032	2	0	 
8032	3	0	 
8032	4	0	 
8032	5	0	 
8032	6	0	 
8032	7	0	 
8032	8	1	 
8032	9	0	 
8033	1	1	30
8033	2	0	 
8033	3	1	 
8033	4	0	 
8033	5	0	 
8033	6	0	 
8033	7	0	 
8033	8	1	 
8033	9	0	 
8034	1	1	15
8034	2	0	 
8034	3	0	 
8034	4	1	 
8034	5	0	 
8034	6	0	 
8034	7	0	 
8034	8	0	 
8034	9	0	 
