PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1	ITEMPRC2	ITEMVND2	ITEMINF2
204	7	.400000005960464	10	6	1	9	10
204	8	.0299999993294477	10	6	.0500000007450581	9	8
204	9	.109999999403954	10	6	.150000005960464	9	8
204	10	.0799999982118607	10	6	.25	9	10
204	11	2	1	9	2	1	12
204	12	2.79999995231628	1	9	2.79999995231628	1	12
204	13	4	16	9	3.59999990463257	16	12
204	15	1	1	9	.800000011920929	1	12
204	16	3.5	1	9	3.5	1	12
204	17	2.79999995231628	1	9	3	1	12
204	18	0	16	3	 	 	 
204	19	1	1	9	.5	1	12
204	20	10	1	9	9.5	1	12
204	21	1.5	1	9	1	1	12
204	23	.300000011920929	1	9	.300000011920929	1	12
204	24	4	16	3	4.5	16	12
204	25	1.5	1	9	1.20000004768372	1	12
204	27	8.5	1	3	9	1	12
204	28	12	16	3	13	16	12
204	29	8	1	3	7	1	12
204	30	3	1	9	2.5	1	12
204	32	10	1	9	12	1	12
204	33	6	1	9	6	1	12
204	34	1	1	9	1	1	12
204	35	2	1	9	2	1	12
204	36	5	1	9	6	1	12
204	37	1	1	9	1	1	12
204	38	1	1	9	1	1	12
204	39	.300000011920929	1	9	.300000011920929	1	12
204	40	1	1	9	1	1	12
204	41	2	1	9	2	1	12
204	42	5	16	9	6	16	12
204	43	1	1	3	1	1	12
204	44	2	1	3	2	1	12
204	45	7	16	3	7	16	12
204	46	38	1	9	36	1	12
204	61	5.5	1	9	5.40000009536743	1	12
204	70	8	1	9	6	1	12
205	1	1.20000004768372	1	4	1.5	1	7
205	2	40	16	4	45	16	7
205	3	20	16	4	20	16	7
205	4	20	16	4	18	16	7
205	5	35	16	4	40	16	7
205	6	30	16	4	35	16	7
205	7	.400000005960464	10	3	.800000011920929	9	8
205	8	.0500000007450581	10	3	.100000001490116	9	8
205	9	.180000007152557	10	3	.25	9	8
205	10	.5	10	3	.25	9	8
205	11	2	1	7	2	1	10
205	12	3	1	7	2.5	1	10
205	13	3.79999995231628	1	7	4	1	10
205	15	.800000011920929	1	7	1	1	10
205	16	3.40000009536743	1	7	3.29999995231628	1	10
205	17	2.79999995231628	1	7	2.79999995231628	1	10
205	18	0	16	7	 	 	 
205	19	.5	1	7	.5	1	10
205	20	10	1	7	9.5	1	10
205	21	1	1	7	1	1	10
205	23	.300000011920929	1	7	.300000011920929	1	10
205	24	3	16	7	3	16	10
205	25	1	1	7	1	1	10
205	27	9	1	7	8	1	10
205	28	14	16	7	14	16	10
205	29	8	16	7	7	16	10
205	30	2.5	1	7	2.79999995231628	1	10
205	32	10	16	7	13	16	10
205	33	5.5	1	7	6	1	10
205	34	1	1	7	1	1	10
205	35	2	1	7	2	1	10
205	36	4	1	7	4.5	1	10
205	37	0	16	7	 	 	 
205	38	1.20000004768372	1	7	1	1	10
205	39	.300000011920929	1	7	.300000011920929	1	10
205	40	2	1	7	2	1	10
205	41	1.5	1	7	1	1	10
205	42	6	16	7	50	16	10
205	43	1.20000004768372	1	7	1	1	10
205	44	2	1	7	2	1	10
205	45	6	16	7	6	16	10
205	46	35	1	5	34	1	6
205	61	6	1	7	5.40000009536743	1	10
205	70	3	1	7	3	1	10
301	1	2	1	1	1.79999995231628	1	2
301	2	40	1	1	50	16	2
301	3	25	1	1	25	16	2
301	4	25	1	1	25	16	2
301	5	30	1	1	30	16	2
301	6	30	1	1	30	16	2
301	7	.600000023841858	10	6	1	16	9
301	8	.0299999993294477	10	6	.100000001490116	16	9
301	9	.119999997317791	10	6	.25	16	9
301	10	.0399999991059303	10	6	.200000002980232	16	9
301	11	1.5	1	1	2	1	2
301	12	2.5	1	1	2.5	1	2
301	13	0	16	1	 	 	 
301	15	.800000011920929	1	1	.800000011920929	1	2
301	16	3.20000004768372	1	1	3.5	1	2
301	17	2.70000004768372	1	1	2.79999995231628	1	2
301	18	0	16	1	 	 	 
301	19	.5	1	1	.5	1	2
301	20	6	16	1	6	16	2
301	21	1	1	1	1	1	2
301	23	.300000011920929	1	1	.300000011920929	1	2
301	24	2	1	1	1.5	1	2
301	25	1.5	1	1	1.5	1	2
301	27	11	16	1	10	16	2
301	28	13	16	1	12	16	2
301	29	10	16	1	10	16	2
301	30	3.5	1	1	3	1	2
301	32	10	16	1	10	16	2
301	33	6	1	1	7	1	2
301	34	1	1	1	1	1	2
301	35	2	16	1	2	16	2
301	36	5	1	1	5	1	2
301	37	1	1	1	1	1	2
301	38	0	16	1	 	 	 
301	39	.300000011920929	1	1	.300000011920929	1	2
301	40	2	1	1	2	1	2
301	41	3	16	1	3	16	2
301	42	0	16	1	 	 	 
301	43	1	16	1	1	16	2
301	44	2	16	1	2	16	2
301	45	5	16	1	5	16	2
301	46	43	16	1	40	16	2
301	61	5.5	1	1	6	1	2
301	70	7	16	1	7	16	2
304	1	1.29999995231628	16	6	1.79999995231628	16	7
304	2	50	16	6	50	16	7
304	3	25	16	6	20	16	7
304	4	25	16	6	20	16	7
304	5	40	16	6	40	16	7
304	6	40	16	6	32	16	7
304	7	.5	10	5	.600000023841858	16	8
304	8	.219999998807907	10	5	.0299999993294477	16	8
304	9	.300000011920929	10	5	.300000011920929	16	8
304	10	.100000001490116	10	5	.100000001490116	16	8
304	11	2	1	6	2.20000004768372	1	7
304	12	2.29999995231628	1	6	2.29999995231628	1	7
304	13	0	16	6	 	 	 
304	15	1	1	6	.899999976158142	1	7
304	16	3.20000004768372	1	6	3.20000004768372	1	7
304	17	2.79999995231628	1	6	2.5	1	7
304	18	0	16	6	 	 	 
304	19	.5	1	6	.5	1	7
304	20	5	1	6	6	1	7
304	21	1	1	6	1.20000004768372	1	7
304	23	.200000002980232	1	6	.200000002980232	1	7
304	24	2	1	6	2	1	7
304	25	1	1	6	1.20000004768372	1	7
304	27	9.5	1	6	10	1	7
304	28	12	16	6	11	16	7
304	29	8	16	6	9	16	7
304	30	2.5	1	6	3	1	7
304	32	10	1	6	12	1	7
304	33	7	1	6	6	1	7
304	34	1	1	6	1	1	7
304	35	2	1	6	2	1	7
304	36	5	1	6	5	1	7
304	37	1	16	6	1.20000004768372	16	7
304	38	0	16	6	 	 	 
304	39	.300000011920929	1	6	.300000011920929	1	7
304	40	1.79999995231628	1	6	1.5	1	7
304	41	2	1	6	1.79999995231628	1	7
304	42	0	16	6	 	 	 
304	43	1.20000004768372	1	6	1.20000004768372	1	7
304	44	3	16	6	3	16	7
304	45	7	16	6	7	16	7
304	46	38	16	6	35	16	7
304	61	5.30000019073486	1	6	5.5	1	7
304	70	6	16	6	7	16	7
305	1	2	16	4	1.5	16	6
305	2	40	16	4	45	16	5
305	3	20	16	4	25	16	6
305	4	20	16	4	25	16	6
305	5	30	16	4	30	16	6
305	6	30	16	4	30	16	6
305	7	.600000023841858	16	7	1	16	8
305	8	.0299999993294477	16	7	.100000001490116	16	8
305	9	.300000011920929	16	7	.25	16	8
305	10	.100000001490116	16	7	.200000002980232	16	8
305	11	2	1	4	1.5	1	6
305	12	2.5	1	4	2.5	1	6
305	13	0	16	4	 	 	 
305	15	1	16	4	1	16	6
305	16	3.5	1	4	3.20000004768372	1	6
305	17	2.79999995231628	1	4	2.70000004768372	1	6
305	18	0	16	4	 	 	 
305	19	.5	1	4	1	1	6
305	20	4	1	4	6	1	6
305	21	1	1	4	1	1	6
305	23	.300000011920929	1	4	.300000011920929	1	6
305	24	2	1	4	2	1	6
305	25	1.20000004768372	1	4	1.39999997615814	1	6
305	27	11	1	4	10	1	6
305	28	13	16	4	12	16	6
305	29	10	1	4	9	1	6
305	30	3.5	1	4	3.5	1	6
305	32	14	1	4	13	1	6
305	33	7	1	4	7	1	6
305	34	1	1	4	1	1	6
305	35	2	1	4	2	16	6
305	36	4.5	1	4	5	1	6
305	37	1	16	4	1	16	6
305	38	0	16	4	 	 	 
305	39	.300000011920929	1	4	.300000011920929	1	6
305	40	1.20000004768372	1	4	1.5	1	6
305	41	3	1	4	2.5	1	6
305	42	0	16	4	 	 	 
305	43	1	16	4	1	16	6
305	44	3	16	4	3	16	6
305	45	7	1	4	7	1	6
305	46	40	16	4	40	16	6
305	61	5.5	1	4	5.5	1	6
305	70	7	16	4	6	16	6
306	1	1.5	16	5	1.5	16	7
306	2	55	16	5	45	16	7
306	3	18	16	5	20	16	7
306	4	15	16	5	20	16	7
306	5	35	16	5	40	16	7
306	6	35	16	5	35	16	7
306	7	1	16	8	1	16	9
306	8	.100000001490116	16	8	.100000001490116	16	9
306	9	.25	16	8	.300000011920929	16	9
306	10	.200000002980232	16	8	.25	16	9
306	11	1.5	1	5	1.5	1	7
306	12	2.5	1	5	3	1	7
306	13	0	16	5	 	 	 
306	15	1	16	5	1	16	7
306	16	3.20000004768372	1	5	3	1	7
306	17	2.70000004768372	1	5	3	1	7
306	18	0	1	5	 	 	 
306	19	.800000011920929	16	5	.5	1	7
306	20	10	1	5	10	1	7
306	21	1.20000004768372	1	5	1	1	7
306	23	.300000011920929	1	5	.200000002980232	1	7
306	24	2.5	16	5	2.5	16	7
306	25	1.20000004768372	1	5	1.5	1	7
306	27	10	16	5	10	16	7
306	28	13	16	5	11	16	7
306	29	8	16	5	8	16	7
306	30	3	16	5	4	16	7
306	32	12	1	5	10	1	7
306	33	6.5	1	5	7	1	7
306	34	1	1	5	1	1	7
306	35	2	16	5	2	16	7
306	36	5	1	5	5	1	7
306	37	1	16	5	1	16	7
306	38	0	16	88	 	 	 
306	39	.400000005960464	1	5	.400000005960464	1	7
306	40	1.5	1	5	1.5	1	7
306	41	2	16	5	2	16	7
306	42	0	16	5	 	 	 
306	43	1.20000004768372	16	5	1.20000004768372	17	7
306	44	2	16	5	2	16	7
306	45	7	16	5	8	16	7
306	46	40	1	5	40	1	4
306	61	6	1	5	6	1	7
306	70	7	16	5	8	16	7
307	1	2	16	4	1.79999995231628	16	5
307	2	55	16	4	50	16	5
307	3	20	16	4	25	16	5
307	4	20	16	4	25	16	5
307	5	35	16	4	40	16	5
307	6	35	16	4	40	16	5
307	7	1	16	6	1	16	7
307	8	.100000001490116	16	6	.100000001490116	16	7
307	9	.25	16	6	.300000011920929	16	7
307	10	.200000002980232	16	6	.25	16	7
307	11	1.5	1	4	1.5	1	5
307	12	2.79999995231628	1	4	3	1	5
307	13	0	16	4	 	 	 
307	15	1	16	4	1	16	5
307	16	3	1	4	3.20000004768372	1	5
307	17	2.79999995231628	1	4	3	1	5
307	18	0	16	4	 	 	 
307	19	.5	16	4	.5	16	5
307	20	5	16	4	5	16	5
307	21	1	1	4	1	1	5
307	23	.200000002980232	1	4	.300000011920929	1	5
307	24	2	1	4	2	1	5
307	25	2	1	4	2	1	5
307	27	10	16	4	10	16	5
307	28	12	16	4	13	16	5
307	29	10	16	4	9	16	5
307	30	3	1	4	2.79999995231628	1	5
307	32	12	1	4	12	1	5
307	33	6	16	4	6.5	16	5
307	34	1	1	4	1	1	5
307	35	2	16	4	2	16	5
307	36	5	1	4	5	1	5
307	37	1	16	4	1	16	5
307	38	0	16	4	 	 	 
307	39	.300000011920929	1	4	.300000011920929	1	5
307	40	1.5	16	4	1.5	16	5
307	41	2	16	4	2	16	5
307	42	0	16	4	 	 	 
307	43	1	16	4	1	16	5
307	44	2	16	4	2	16	5
307	45	7	16	4	7	16	5
307	46	42	16	2	40	16	3
307	61	5.59999990463257	1	4	5	1	5
307	70	6	16	4	7	16	5
308	1	1.79999995231628	1	6	2	1	8
308	2	60	1	6	55	1	8
308	3	20	1	6	18	1	8
308	4	20	1	6	15	1	8
308	5	40	1	6	35	1	8
308	6	40	1	6	35	1	8
308	7	1	9	9	1	9	11
308	8	.100000001490116	9	9	.100000001490116	9	11
308	9	.25	9	9	.300000011920929	9	11
308	10	.200000002980232	9	9	.25	9	11
308	11	1.5	1	6	1.5	1	8
308	12	2.70000004768372	1	6	3	1	8
308	13	0	16	6	 	 	 
308	15	1	1	6	1	1	8
308	16	3.20000004768372	1	6	3.20000004768372	1	8
308	17	3	1	6	2.59999990463257	1	8
308	18	0	16	6	 	 	 
308	19	.5	1	6	.5	1	8
308	20	6	1	6	5	1	8
308	21	1	1	6	1	1	8
308	23	.200000002980232	1	6	.200000002980232	1	8
308	24	2	1	6	2	1	8
308	25	1	1	6	1.20000004768372	1	8
308	27	10	1	6	10	1	8
308	28	12	1	6	11	1	8
308	29	10	3	6	8	1	8
308	30	4	1	6	3	1	8
308	32	12	1	6	14	1	8
308	33	6	1	6	6	1	8
308	34	1	1	6	1	1	8
308	35	2	1	6	2	1	8
308	36	5	1	6	5	1	8
308	37	1	1	6	1	1	8
308	38	0	16	6	 	 	 
308	39	.300000011920929	1	6	.300000011920929	1	8
308	40	1.5	1	6	1.5	1	8
308	41	2	1	6	3	1	8
308	42	0	16	6	 	 	 
308	43	1.20000004768372	1	6	1	1	8
308	44	2	1	6	2	1	8
308	45	7	16	6	8	16	8
308	46	42	1	2	42	1	3
308	61	5.59999990463257	1	6	5.30000019073486	1	8
308	70	6	1	6	7	1	8
309	1	1.20000004768372	16	5	1.5	16	6
309	2	50	16	5	60	16	6
309	3	27	16	5	25	16	6
309	4	27	16	5	25	16	6
309	5	40	16	5	40	16	6
309	6	30	16	5	40	16	6
309	7	.600000023841858	10	1	.5	16	7
309	8	.0299999993294477	10	1	.219999998807907	16	7
309	9	.300000011920929	10	1	.300000011920929	16	7
309	10	.100000001490116	10	1	.100000001490116	16	7
309	11	2	1	4	2.5	1	6
309	12	2.20000004768372	1	4	2.29999995231628	1	6
309	13	0	16	4	 	 	 
309	15	1	1	4	1	1	6
309	16	3	1	4	3.20000004768372	1	6
309	17	2.5	1	4	2.5	1	6
309	18	0	16	4	 	 	 
309	19	.5	1	4	.5	1	6
309	20	11	1	4	6	1	6
309	21	1	1	4	1	1	6
309	23	.200000002980232	1	4	.200000002980232	1	6
309	24	1.5	1	4	1.29999995231628	1	6
309	25	1.60000002384186	1	4	1	1	6
309	27	10	1	4	10	1	6
309	28	12	16	4	12	16	6
309	29	8	16	4	8	16	6
309	30	3	1	4	3.29999995231628	1	6
309	32	12	1	4	10	1	6
309	33	5	1	4	6	1	6
309	34	1	1	4	1	1	6
309	35	2	1	4	2	1	6
309	36	4.5	1	4	5	1	6
309	37	1	1	4	1	16	6
309	38	0	16	4	 	 	 
309	39	.300000011920929	1	4	.300000011920929	1	6
309	40	1.5	1	4	1.5	1	6
309	41	2	1	4	1.5	1	6
309	42	0	16	4	 	 	 
309	43	1.20000004768372	1	4	1	1	6
309	44	3	16	4	3.5	16	6
309	45	6	16	4	7	16	6
309	46	35	16	4	35	16	6
309	61	5.59999990463257	1	4	5.59999990463257	1	6
309	70	8	16	4	6	16	6
310	1	1.5	16	4	1.5	16	2
310	2	40	16	4	40	16	2
310	3	25	16	4	30	16	2
310	4	25	16	4	30	16	2
310	5	40	16	4	38	16	2
310	6	40	16	4	38	16	2
310	7	.600000023841858	10	5	1	16	7
310	8	.0299999993294477	10	5	.100000001490116	16	7
310	9	.300000011920929	10	5	.25	16	7
310	10	.100000001490116	10	5	.200000002980232	16	7
310	11	1.39999997615814	1	4	1.70000004768372	1	2
310	12	2.5	1	4	2.29999995231628	1	2
310	13	0	16	4	 	 	 
310	15	.800000011920929	16	4	.800000011920929	16	2
310	16	3.20000004768372	1	4	3.20000004768372	1	2
310	17	2.79999995231628	1	4	2.70000004768372	1	2
310	18	0	16	4	 	 	 
310	19	.5	1	4	.5	1	2
310	20	2.5	1	4	2.5	1	2
310	21	1	1	4	1	1	2
310	23	.300000011920929	1	4	.300000011920929	1	2
310	24	2	1	4	1.79999995231628	1	2
310	25	1.20000004768372	1	4	1.5	1	2
310	27	11	16	4	10	16	2
310	28	13	16	4	13	16	2
310	29	12	16	4	12	16	2
310	30	3.5	16	4	3.5	16	2
310	32	10	1	4	10	1	2
310	33	7.19999980926514	1	4	6.5	1	2
310	34	1	1	4	1	1	2
310	35	2	16	4	2	16	2
310	36	5	1	4	5	1	2
310	37	1	1	4	1	1	2
310	38	0	16	4	 	 	 
310	39	.300000011920929	1	4	.300000011920929	1	2
310	40	1.79999995231628	1	4	1.5	1	2
310	41	2.5	16	4	2.5	16	2
310	42	0	16	4	 	 	 
310	43	1	16	4	1	16	2
310	44	4	16	4	4	16	2
310	45	7	16	4	8	16	2
310	46	40	1	4	42	1	2
310	61	5.5	1	4	5.5	1	2
310	70	7	16	4	7	16	2
311	1	2	16	2	1.79999995231628	16	4
311	2	50	16	2	55	16	4
311	3	20	16	2	20	16	4
311	4	20	16	2	20	16	4
311	5	50	16	2	45	16	4
311	6	40	16	2	40	16	4
311	7	.600000023841858	10	5	1	16	9
311	8	.0299999993294477	10	5	.100000001490116	16	9
311	9	.300000011920929	10	5	.25	16	9
311	10	.100000001490116	10	5	.200000002980232	16	9
311	11	2	16	4	1.5	16	7
311	12	2.59999990463257	1	4	2.59999990463257	1	7
311	13	0	16	4	 	 	 
311	15	1	16	4	1	16	7
311	16	3.20000004768372	1	4	3.20000004768372	1	7
311	17	2.5	1	4	2.5	1	7
311	18	0	16	4	 	 	 
311	19	.5	1	4	.5	1	7
311	20	3	1	4	5	1	7
311	21	1	1	4	1	1	7
311	23	.200000002980232	1	4	.200000002980232	1	7
311	24	2	1	4	2	1	7
311	25	1	1	4	1	1	7
311	27	10	16	4	10	16	7
311	28	12	16	4	12	16	7
311	29	0	16	4	 	 	 
311	30	3	1	4	3.20000004768372	1	7
311	32	14	1	4	12	1	7
311	33	5.5	1	4	6.5	1	7
311	34	1	1	4	1	1	7
311	35	2	16	4	2	16	7
311	36	5	2	4	5	1	7
311	37	1	16	4	1	16	7
311	38	0	16	4	 	 	 
311	39	.300000011920929	1	4	.300000011920929	1	7
311	40	2	16	4	2	16	7
311	41	2	16	4	1.5	16	7
311	42	0	16	4	 	 	 
311	43	1	16	4	1	16	7
311	44	3	16	4	3.5	16	7
311	45	7	16	4	7	16	7
311	46	38	16	4	40	16	7
311	61	5.30000019073486	1	4	5.5	1	7
311	70	5	16	4	6	16	7
312	1	2	16	6	2	16	8
312	2	60	16	6	55	16	8
312	3	20	16	6	18	16	8
312	4	20	16	6	15	16	8
312	5	40	16	6	35	16	8
312	6	40	16	6	35	16	8
312	7	1	16	9	1	16	10
312	8	.100000001490116	16	9	.100000001490116	16	10
312	9	.25	16	9	.300000011920929	16	10
312	10	.200000002980232	16	9	.25	16	10
312	11	1.5	16	6	1.5	16	8
312	12	2.70000004768372	16	6	3	16	8
312	13	0	16	6	 	 	 
312	15	1	16	6	1	16	8
312	16	3.20000004768372	16	6	3.20000004768372	16	8
312	17	3	16	6	2.59999990463257	16	8
312	18	0	16	6	 	 	 
312	19	.5	16	6	.5	16	8
312	20	5	16	6	5	16	8
312	21	1	16	6	1	16	8
312	23	.200000002980232	16	6	.200000002980232	16	8
312	24	2	16	6	2	16	8
312	25	1	16	6	1.20000004768372	16	8
312	27	10	16	6	10	16	8
312	28	12	16	6	11	16	8
312	29	10	16	6	8	16	8
312	30	4	16	6	3	16	8
312	32	12	16	6	14	16	8
312	33	6	16	6	6	16	8
312	34	1	16	6	1	16	8
312	35	2	16	6	2	16	8
