PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
305	2	1200	 	 
305	3	1800	 	 
305	4	1000	 	 
305	5	2500	 	 
305	6	-88	 	 
305	7	-88	 	 
305	8	200	 	 
305	9	30	 	 
305	10	-88	 	 
305	11	-88	 	 
305	12	-88	 	 
305	13	1500	 	 
305	14	1000	 	 
306	1	3000	 	 
306	2	1000	 	 
306	3	3000	 	 
306	4	800	 	 
306	5	2500	 	 
306	6	100	 	 
306	7	-88	 	 
306	8	500	 	 
306	9	30	 	 
306	10	-88	 	 
306	11	-88	 	 
306	12	-88	 	 
306	13	1500	 	 
306	14	1000	 	 
307	1	2000	 	 
307	2	1500	 	 
307	3	3000	 	 
307	4	600	 	 
307	5	2000	 	 
307	6	-88	 	 
307	7	-88	 	 
307	8	400	 	 
307	9	30	 	 
307	10	-88	 	 
307	11	-88	 	 
307	12	-88	 	 
307	13	2500	 	 
307	14	1200	 	 
308	1	3000	 	 
308	2	2000	 	 
308	3	3000	 	 
308	4	500	 	 
308	5	1000	 	 
308	6	200	 	 
308	7	-88	 	 
308	8	1000	 	 
308	9	50	 	 
308	10	-88	 	 
308	11	-88	 	 
308	12	-88	 	 
308	13	2000	 	 
308	14	30	 	 
309	1	2000	 	 
309	2	1000	 	 
309	3	1500	 	 
309	4	500	 	 
309	5	2000	 	 
309	6	150	 	 
309	7	-88	 	 
309	8	500	 	 
309	9	30	 	 
309	10	-88	 	 
309	11	20	 	 
309	12	-88	 	 
309	13	1000	 	 
309	14	1200	 	 
310	1	2500	 	 
310	2	1500	 	 
310	3	2000	 	 
310	4	1000	 	 
310	5	2000	 	 
310	6	-88	 	 
310	7	-88	 	 
310	8	500	 	 
310	9	30	 	 
310	10	-88	 	 
310	11	-88	 	 
310	12	-88	 	 
310	13	3000	 	 
310	14	1500	 	 
311	1	3000	 	 
311	2	1000	 	 
311	3	3000	 	 
311	4	1000	 	 
311	5	2500	 	 
311	6	80	 	 
311	7	-88	 	 
311	8	500	 	 
311	9	30	 	 
311	10	-88	 	 
311	11	-88	 	 
311	12	-88	 	 
311	13	2000	 	 
311	14	1200	 	 
312	1	2500	 	 
312	2	1200	 	 
312	3	3000	 	 
312	4	600	 	 
312	5	2000	 	 
312	6	200	 	 
312	7	-88	 	 
312	8	300	 	 
312	9	40	 	 
312	10	-88	 	 
312	11	20	 	 
312	12	-88	 	 
312	13	2000	 	 
312	14	1200	 	 
313	1	2000	 	 
313	2	1500	 	 
313	3	3000	 	 
313	4	700	 	 
313	5	1500	 	 
313	6	150	 	 
313	7	-88	 	 
313	8	250	 	 
313	9	30	 	 
313	10	-88	 	 
313	11	-88	 	 
313	12	-88	 	 
313	13	1500	 	 
313	14	25	 	 
314	1	3000	 	 
314	2	1500	 	 
314	3	4200	 	 
314	4	500	 	 
314	5	2000	 	 
314	6	100	 	 
314	7	-88	 	 
314	8	400	 	 
314	9	30	 	 
314	10	-88	 	 
314	11	15	 	 
314	12	-88	 	 
314	13	1500	 	 
314	14	1200	 	 
401	1	3000	 	 
401	2	700	 	 
401	3	-88	 	 
401	4	500	 	 
401	5	1500	 	 
401	6	300	 	 
401	7	-88	 	 
401	8	400	 	 
401	9	30	 	 
401	10	-88	 	 
401	11	30	 	 
401	12	-88	 	 
401	13	1200	 	 
401	14	700	 	 
402	1	2000	 	 
402	2	800	 	 
402	3	-88	 	 
402	4	600	 	 
402	5	2000	 	 
402	6	-88	 	 
402	7	-88	 	 
402	8	400	 	 
402	9	30	 	 
402	10	-88	 	 
402	11	25	 	 
402	12	-88	 	 
402	13	1400	 	 
402	14	600	 	 
403	1	5000	 	 
403	2	1500	 	 
403	3	4000	 	 
403	4	300	 	 
403	5	1500	 	 
403	6	300	 	 
403	7	-88	 	 
403	8	450	 	 
403	9	35	 	 
403	10	-88	 	 
403	11	25	 	 
403	12	-88	 	 
403	13	2000	 	 
403	14	700	 	 
404	1	4000	 	 
404	2	800	 	 
404	3	5000	 	 
404	4	200	 	 
404	5	1000	 	 
404	6	300	 	 
404	7	-88	 	 
404	8	400	 	 
404	9	20	 	 
404	10	-88	 	 
404	11	15	 	 
404	12	-88	 	 
404	13	1500	 	 
404	14	800	 	 
405	1	3500	 	 
405	2	2500	 	 
405	3	-88	 	 
405	4	-88	 	 
405	5	2000	 	 
405	6	250	 	 
405	7	-88	 	 
405	8	500	 	 
405	9	30	 	 
405	10	-88	 	 
405	11	18	 	 
405	12	-88	 	 
405	13	3200	 	 
405	14	30	 	 
406	1	2000	 	 
406	2	800	 	 
406	3	-88	 	 
406	4	300	 	 
406	5	600	 	 
406	6	300	 	 
406	7	-88	 	 
406	8	350	 	 
406	9	25	 	 
406	10	-88	 	 
406	11	-88	 	 
406	12	-88	 	 
406	13	2000	 	 
406	14	400	 	 
408	1	2500	 	 
408	2	1200	 	 
408	3	-88	 	 
408	4	300	 	 
408	5	1500	 	 
408	6	300	 	 
408	7	-88	 	 
408	8	500	 	 
408	9	30	 	 
408	10	-88	 	 
408	11	20	 	 
408	12	-88	 	 
408	13	2000	 	 
408	14	45	 	 
501	1	3500	 	 
501	2	1500	 	 
501	3	-88	 	 
501	4	-88	 	 
501	5	2000	 	 
501	6	-88	 	 
501	7	-88	 	 
501	8	350	 	 
501	9	20	 	 
501	10	-88	 	 
501	11	20	 	 
501	12	-88	 	 
501	13	2000	 	 
501	14	20	 	 
503	1	-88	 	 
503	2	1000	 	 
503	3	-88	 	 
503	4	-88	 	 
503	5	2500	 	 
503	6	-88	 	 
503	7	-88	 	 
503	8	500	 	 
503	9	30	 	 
503	10	-88	 	 
503	11	25	 	 
503	12	-88	 	 
503	13	1500	 	 
503	14	800	 	 
504	1	2500	 	 
504	2	2000	 	 
504	3	-88	 	 
504	4	300	 	 
504	5	1500	 	 
504	6	-88	 	 
504	7	-88	 	 
504	8	300	 	 
504	9	25	 	 
504	10	-88	 	 
504	11	30	 	 
504	12	-88	 	 
504	13	2000	 	 
504	14	600	 	 
505	1	1500	 	 
505	2	1000	 	 
505	3	-88	 	 
505	4	200	 	 
505	5	600	 	 
505	6	-88	 	 
505	7	-88	 	 
505	8	200	 	 
505	9	25	 	 
505	10	-88	 	 
505	11	20	 	 
505	12	-88	 	 
505	13	1500	 	 
505	14	15	 	 
507	1	3000	 	 
507	2	2000	 	 
507	3	-88	 	 
507	4	-88	 	 
507	5	-88	 	 
507	6	-88	 	 
507	7	-88	 	 
507	8	300	 	 
507	9	40	 	 
507	10	-88	 	 
507	11	25	 	 
507	12	-88	 	 
507	13	1800	 	 
507	14	35	 	 
508	1	2000	 	 
508	2	1000	 	 
508	3	-88	 	 
508	4	-88	 	 
508	5	-88	 	 
508	6	-88	 	 
508	7	-88	 	 
508	8	300	 	 
508	9	40	 	 
508	10	-88	 	 
508	11	30	 	 
508	12	-88	 	 
508	13	1800	 	 
508	14	30	 	 
509	1	3500	 	 
509	2	1500	 	 
509	3	-88	 	 
509	4	-88	 	 
509	5	-88	 	 
509	6	-88	 	 
509	7	-88	 	 
509	8	400	 	 
509	9	30	 	 
509	10	-88	 	 
509	11	25	 	 
509	12	-88	 	 
509	13	2000	 	 
509	14	50	 	 
510	1	3000	 	 
510	2	1500	 	 
510	3	-88	 	 
510	4	-88	 	 
510	5	-88	 	 
510	6	-88	 	 
510	7	-88	 	 
510	8	600	 	 
510	9	50	 	 
510	10	-88	 	 
510	11	25	 	 
510	12	-88	 	 
510	13	1800	 	 
510	14	40	 	 
511	1	3000	 	 
511	2	1500	 	 
511	3	-88	 	 
511	4	300	 	 
511	5	1300	 	 
511	6	-88	 	 
511	7	-88	 	 
511	8	300	 	 
511	9	30	 	 
511	10	-88	 	 
511	11	25	 	 
511	12	-88	 	 
511	13	1500	 	 
511	14	600	 	 
512	1	1500	 	 
512	2	900	 	 
512	3	-88	 	 
512	4	400	 	 
512	5	2000	 	 
512	6	-88	 	 
512	7	-88	 	 
512	8	700	 	 
512	9	30	 	 
512	10	-88	 	 
512	11	25	 	 
512	12	-88	 	 
512	13	800	 	 
512	14	1000	 	 
601	1	-88	 	 
601	2	-88	 	 
601	3	-88	 	 
601	4	-88	 	 
601	5	-88	 	 
601	6	-88	 	 
601	7	-88	 	 
601	8	-88	 	 
601	9	-88	 	 
601	10	-88	 	 
601	11	-88	 	 
601	12	-88	 	 
601	13	-88	 	 
601	14	-88	 	 
602	1	-88	 	 
602	2	-88	 	 
602	3	-88	 	 
602	4	-88	 	 
602	5	-88	 	 
602	6	-88	 	 
602	7	-88	 	 
602	8	-88	 	 
602	9	-88	 	 
602	10	-88	 	 
602	11	-88	 	 
602	12	-88	 	 
602	13	-88	 	 
602	14	-88	 	 
701	1	-88	 	 
701	2	-88	 	 
701	3	-88	 	 
701	4	-88	 	 
701	5	-88	 	 
701	6	-88	 	 
701	7	-88	 	 
701	8	-88	 	 
701	9	-88	 	 
701	10	-88	 	 
701	11	-88	 	 
701	12	-88	 	 
701	13	-88	 	 
701	14	-88	 	 
702	1	-88	 	 
702	2	-88	 	 
702	3	-88	 	 
702	4	-88	 	 
702	5	-88	 	 
702	6	-88	 	 
702	7	-88	 	 
702	8	-88	 	 
702	9	-88	 	 
702	10	-88	 	 
702	11	-88	 	 
702	12	-88	 	 
702	13	-88	 	 
702	14	-88	 	 
703	1	-88	 	 
703	2	-88	 	 
703	3	-88	 	 
703	4	-88	 	 
703	5	-88	 	 
703	6	120	 	 
703	7	30	 	 
703	8	-88	 	 
703	9	25	 	 
703	10	-88	 	 
703	11	-88	 	 
703	12	-88	 	 
703	13	-88	 	 
703	14	-88	 	 
704	1	-88	 	 
704	2	-88	 	 
704	3	-88	 	 
704	4	-88	 	 
704	5	-88	 	 
704	6	-88	 	 
704	7	-88	 	 
704	8	-88	 	 
704	9	-88	 	 
704	10	-88	 	 
704	11	-88	 	 
704	12	-88	 	 
704	13	-88	 	 
704	14	-88	 	 
801	1	-88	 	 
801	2	-88	 	 
801	3	-88	 	 
801	4	-88	 	 
801	5	-88	 	 
801	6	-88	 	 
801	7	-88	 	 
801	8	-88	 	 
801	9	-88	 	 
801	10	-88	 	 
801	11	-88	 	 
801	12	-88	 	 
801	13	-88	 	 
801	14	-88	 	 
802	1	-88	 	 
802	2	-88	 	 
802	3	-88	 	 
802	4	-88	 	 
