placeid	entryid	kindsupp	whoprov	typeactv	yearbegn	yearend	howoften
ET4144	1	5	13	31	1990	9999	4
ET4144	2	12	15	18	1995	9999	4
ET4144	3	12	15	31	1995	9999	4
ET4144	4	12	15	27	1996	9999	4
ET4144	5	12	15	28	1996	9999	2
ET4144	6	14	15	31	1996	9999	6
ET4144	7	12	15	28	1997	9999	3
ET4144	8	6	15	31	1998	9999	4
ET4151	2	9	6	31	-7777	-7777	6
ET4151	3	9	15	31	-7777	-7777	6
ET4151	4	12	15	31	1997	-7777	4
ET4151	5	12	15	31	1997	-7777	6
ET4151	1	3	5	5	1998	-7777	4
ET4161	1	8	12	31	1995	9999	7
ET4161	3	14	15	31	1996	9999	5
ET4161	2	3	5	21	1997	9999	6
ET5171	2	5	5	5	1984	9999	4
ET5171	5	4	5	5	1984	1991	4
ET5171	1	5	19	2	1988	9999	3
ET5171	3	4	15	5	1995	9999	6
ET5171	4	4	22	5	1996	9999	6
ET5181	4	5	13	31	1984	9999	4
ET5181	2	3	15	5	1985	9999	6
ET5181	1	1	5	2	1987	9999	4
ET5181	9	14	15	31	1987	1997	6
ET5181	3	4	15	21	1988	1997	6
ET5181	5	7	6	31	1992	9999	6
ET5181	6	8	6	31	1992	9999	6
ET5181	7	9	6	27	1992	9999	6
ET5181	8	15	5	17	1995	9999	6
ET5191	2	3	19	5	1987	1997	7
ET5191	1	4	19	5	1997	9999	7
ET5201	1	5	5	2	1984	9999	4
ET5201	6	4	5	5	1984	1990	6
ET5201	5	5	15	27	1986	9999	6
ET5201	3	5	19	2	1988	9999	6
ET5201	8	4	19	5	1988	9999	6
ET5201	2	5	22	2	1996	9999	6
ET5201	7	4	22	5	1996	9999	6
ET5201	9	4	15	31	1996	9999	6
ET5201	4	5	24	2	1998	9999	4
