placeid	rsid	module	module2	module3	section	section2	section3	ageres	sexres	ethnic	capac	livres
ET1011	11	1	1	1	10	2	4	33	2	2	1	4
ET1011	12	 	 	 	 	 	 	30	2	2	6	4
ET1011	13	1	1	1	1	2	5	42	1	2	7	20
ET1011	14	1	 	 	5	 	 	51	1	6	7	51
ET1011	15	1	3	 	1	2	 	45	1	3	7	35
ET1011	16	1	1	 	1	2	 	28	2	2	2	10
ET1011	17	1	 	 	5	 	 	35	2	6	10	35
ET1011	18	1	1	1	5	1	3	32	1	2	9	10
ET1011	19	 	 	 	 	 	 	35	2	3	2	11
ET1011	79	 	 	 	 	 	 	0	88	88	88	0
ET1032	1	1	1	1	1	2	4	24	1	2	1	19
ET1032	2	1	1	2	1	3	4	23	1	2	3	13
ET1032	3	1	 	 	1	 	 	22	2	2	2	22
ET1032	4	1	1	 	2	3	 	25	2	3	2	0
ET1032	5	1	 	 	4	 	 	30	2	2	6	2
ET1032	6	1	 	 	1	 	 	68	1	2	7	40
ET1032	7	1	 	 	3	 	 	30	2	3	2	1
ET1032	8	1	1	 	2	3	 	38	1	2	8	2
ET1032	9	1	2	 	3	1	 	36	1	6	2	2
ET1032	10	2	 	 	1	 	 	50	1	6	4	3
ET1032	11	2	3	 	1	4	 	57	1	8	4	4
ET1032	12	1	 	 	3	 	 	28	2	2	2	3
ET1032	13	2	3	 	5	4	 	54	1	6	4	17
ET1032	14	2	3	 	5	4	 	28	2	2	4	4
ET1032	15	2	 	 	5	 	 	15	2	2	2	15
ET1032	16	2	3	 	3	4	 	36	1	2	4	30
ET1032	17	2	 	 	5	 	 	46	2	2	2	4
ET1032	79	 	 	 	 	 	 	0	88	88	88	0
ET2051	1	1	1	3	1	5	2	52	1	2	1	52
ET2051	2	1	3	 	1	2	 	32	1	2	1	4
ET2051	3	1	1	1	2	3	5	38	2	2	6	11
ET2051	4	1	1	3	1	2	1	65	1	2	7	65
ET2051	5	1	1	2	1	2	5	43	1	2	1	23
ET2051	6	1	 	 	5	 	 	43	1	2	9	36
ET2051	7	1	3	 	4	1	 	50	1	2	7	50
ET2051	8	1	3	 	1	1	 	45	1	2	1	45
ET2051	9	1	2	3	4	3	2	50	1	2	1	13
ET2051	10	1	2	3	5	3	4	39	1	2	4	6
ET2051	11	2	3	2	1	4	5	49	1	2	2	49
ET2051	12	2	2	2	1	3	5	46	1	2	1	46
ET2051	13	3	2	 	4	1	 	26	1	2	4	3
ET2051	14	2	3	 	4	4	 	26	1	2	3	0
ET2051	15	2	 	 	4	 	 	22	2	2	9	22
ET2051	16	2	 	 	4	 	 	39	1	2	9	6
ET2051	17	2	3	 	4	4	 	54	1	2	2	54
ET2051	18	1	2	3	4	5	1	21	1	2	2	1
ET2051	19	1	 	 	5	 	 	32	1	2	10	19
ET2051	20	1	 	 	5	 	 	44	1	2	10	44
ET4143	1	1	2	 	1	1	 	38	1	7	1	16
ET4143	2	1	2	3	1	1	2	37	1	8	1	18
ET4143	3	1	2	3	1	1	2	36	1	99	2	26
ET4143	4	1	 	 	3	 	 	28	1	6	1	28
ET4143	5	1	 	 	3	 	 	25	1	2	2	15
ET4143	6	1	 	 	4	 	 	48	1	5	2	23
ET4143	7	1	 	 	2	 	 	31	1	9	1	31
ET4143	8	1	3	3	2	2	3	68	1	2	1	31
ET4143	9	1	3	 	3	3	 	57	2	8	1	39
ET5181	79	 	 	 	 	 	 	0	88	88	88	0
ET4143	10	1	 	 	4	 	 	37	1	9	2	21
ET4143	11	2	3	 	5	4	 	40	1	9	4	10
ET4143	12	2	3	 	3	4	 	24	2	2	4	3
ET4143	13	2	3	 	4	4	 	57	1	2	3	5
ET4143	14	2	 	 	5	 	 	33	1	7	2	11
ET4143	15	2	 	 	5	 	 	25	1	10	2	8
ET4143	16	2	3	 	5	4	 	46	2	2	4	10
ET4143	17	2	3	 	5	4	 	41	1	9	4	14
ET4143	18	2	3	 	5	4	 	54	1	2	4	25
ET4143	79	 	 	 	 	 	 	0	88	88	88	0
ET1031	1	1	3	2	1	2	5	45	2	2	1	14
ET1031	2	1	2	2	1	5	4	41	2	2	1	3
ET1031	3	1	1	 	1	2	 	38	2	3	1	18
ET1031	4	1	2	 	2	5	 	39	2	2	1	39
ET1031	5	1	3	3	3	2	3	42	1	6	1	7
ET1031	6	1	3	3	4	2	3	32	1	2	2	3
ET1031	7	3	 	 	3	 	 	38	1	2	1	3
ET1031	8	2	2	3	1	3	4	56	1	2	4	2
ET1031	9	2	3	 	3	4	 	43	2	8	4	43
ET1031	10	1	1	2	4	3	1	40	1	2	7	20
ET1031	11	2	 	 	1	 	 	34	1	2	1	3
ET1031	12	1	1	 	3	4	 	36	2	6	1	4
ET1031	13	2	1	 	3	2	 	42	1	2	7	14
ET1031	14	1	 	 	2	 	 	28	1	2	7	8
ET1031	15	2	 	 	4	 	 	44	2	2	3	5
ET1031	16	2	 	 	3	 	 	36	2	2	2	8
ET1031	17	3	 	 	4	 	 	42	2	2	4	25
ET1031	18	2	 	 	5	 	 	35	1	2	3	10
ET1031	19	2	 	 	5	 	 	24	1	6	3	2
ET1031	20	2	 	 	5	 	 	55	2	8	10	22
ET1031	21	2	 	 	5	 	 	33	2	2	10	1
ET1031	22	2	 	 	5	 	 	46	2	2	2	4
ET1031	79	 	 	 	 	 	 	0	88	88	88	0
ET5171	1	2	3	 	1	4	 	39	1	8	4	3
ET5171	2	2	3	 	1	4	 	37	1	8	4	2
ET5171	3	2	3	2	1	4	5	48	2	8	1	48
ET5171	4	2	3	2	2	4	3	26	1	8	2	26
ET5171	5	2	2	 	4	5	 	28	2	8	3	1
ET5171	6	2	2	1	4	5	4	21	2	8	3	1
ET5171	7	1	1	3	1	2	1	48	2	8	3	48
ET5171	8	1	1	3	1	2	2	45	1	8	1	45
ET5171	9	1	1	3	1	2	2	58	1	8	7	58
ET5171	10	1	2	1	1	4	2	50	2	8	6	50
ET5171	11	1	3	1	2	1	4	48	1	8	1	48
ET5171	12	1	1	3	4	5	1	31	1	8	2	31
ET5171	13	1	2	 	3	2	 	30	1	8	2	30
ET5171	14	1	1	3	4	5	1	76	1	8	7	76
ET5171	15	1	1	3	3	4	2	29	1	8	2	3
ET5171	16	2	 	 	5	 	 	38	1	8	2	38
ET5171	17	1	 	 	4	 	 	39	1	8	4	10
ET5171	18	2	 	 	5	 	 	35	2	8	6	5
ET5171	19	2	 	 	5	 	 	38	1	8	2	4
ET5171	20	1	1	3	1	2	2	33	1	8	1	33
ET5171	79	 	 	 	 	 	 	0	88	88	88	0
ET5201	1	1	3	 	1	1	 	42	1	8	1	30
ET5201	2	1	3	 	1	1	 	40	1	8	1	40
ET5201	3	1	3	 	1	1	 	50	1	8	7	50
ET5201	4	1	1	1	2	3	4	56	1	8	1	56
ET5201	5	1	2	3	1	4	4	48	2	8	6	48
ET5201	6	2	1	 	5	2	 	50	1	8	1	50
ET5201	7	1	2	 	2	5	 	44	1	8	2	1
ET5201	8	2	2	3	2	1	4	35	1	8	4	4
ET5201	9	2	2	3	1	5	4	25	1	8	2	25
ET5201	10	2	2	3	3	5	4	36	1	8	3	5
ET5201	11	2	3	 	3	4	 	24	2	8	3	2
ET5201	12	1	1	3	4	5	2	22	2	8	2	2
ET5201	13	1	 	 	5	 	 	46	1	8	10	46
ET5201	14	2	 	 	5	 	 	46	2	8	6	3
ET5201	15	2	 	 	5	 	 	48	1	8	10	48
ET5201	16	2	 	 	5	 	 	40	1	8	2	10
ET5201	17	3	 	 	4	 	 	23	2	8	4	2
ET5201	79	 	 	 	 	 	 	0	88	88	88	0
ET5181	1	1	1	 	1	5	 	22	1	8	1	22
ET5181	2	1	1	 	1	5	 	55	1	8	7	55
ET5181	3	1	1	1	1	4	2	50	1	8	2	45
ET5181	4	1	 	 	5	 	 	30	2	8	6	30
ET5181	5	2	 	 	3	 	 	28	1	8	4	3
ET5181	6	1	1	 	3	4	 	25	1	8	2	25
ET5181	7	2	 	 	4	 	 	34	2	8	3	2
ET5181	8	1	 	 	3	 	 	35	1	8	3	6
ET5181	9	2	 	 	1	 	 	25	2	8	6	25
ET5181	10	1	1	 	3	5	 	46	1	8	2	46
ET5181	11	 	 	 	 	 	 	45	1	8	2	45
ET5181	12	1	1	 	4	5	 	56	1	8	2	56
ET5181	13	2	 	 	5	 	 	43	1	8	10	16
ET5181	14	2	 	 	5	 	 	40	1	8	4	4
ET5181	15	2	 	 	5	 	 	30	2	8	2	2
ET5181	16	 	 	 	 	 	 	50	2	8	10	50
ET5181	17	 	 	 	 	 	 	46	1	8	10	6
ET5181	18	1	 	 	5	 	 	43	1	8	10	43
ET5191	1	1	 	 	5	 	 	38	2	8	1	38
ET5191	2	1	3	 	4	1	 	43	2	8	2	43
ET5191	3	 	 	 	 	 	 	40	2	8	2	40
ET5191	4	1	1	3	1	3	3	41	1	8	7	41
ET5191	5	1	3	1	1	1	2	50	2	8	6	50
ET5191	6	1	2	3	3	1	4	38	1	8	4	4
ET5191	7	1	1	 	3	5	 	45	1	8	3	3
ET5191	8	1	2	3	5	4	4	32	2	8	3	8
ET5191	9	3	 	 	4	 	 	39	1	8	4	1
ET5191	10	1	1	2	2	2	3	53	1	8	1	40
ET5191	11	1	3	1	2	3	2	70	1	8	7	70
ET5191	12	2	 	 	5	 	 	39	2	8	2	39
ET5191	13	1	 	 	5	 	 	24	2	8	2	24
ET5191	14	2	 	 	1	 	 	30	1	8	1	1
ET5191	15	2	2	3	3	5	3	40	1	8	2	40
ET5191	16	2	 	 	1	 	 	32	1	8	2	2
ET5191	17	2	 	 	5	 	 	30	2	8	2	2
ET5191	18	1	3	 	5	1	 	46	1	8	10	6
ET5191	19	1	 	 	5	 	 	 	1	8	10	 
ET5191	79	 	 	 	 	 	 	0	88	88	88	0
ET4141	1	1	2	3	1	5	2	41	2	9	1	40
ET4141	2	1	2	 	1	1	 	70	1	2	7	40
ET4141	3	1	1	1	1	2	3	27	1	6	1	5
ET4141	4	1	1	1	1	2	3	42	1	9	7	35
ET4141	5	1	1	1	3	4	5	32	2	10	2	3
ET4141	6	1	1	1	1	2	3	37	1	7	1	12
ET4141	7	1	1	 	2	3	 	29	2	6	2	8
ET4141	8	1	2	3	5	1	4	33	2	9	4	3
ET4141	9	1	2	3	5	1	4	40	2	2	4	3
ET4141	10	3	 	 	4	 	 	40	2	6	4	13
ET4141	11	1	 	 	3	 	 	32	2	3	2	32
ET4141	12	1	1	3	4	5	1	50	1	6	10	12
ET4141	13	1	1	1	3	4	5	22	1	7	1	22
ET4141	14	1	2	3	3	5	3	35	1	2	5	35
ET4141	15	1	1	 	2	3	 	53	1	2	7	31
ET4141	16	2	 	 	5	 	 	33	1	7	1	11
