CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN041005	1	1	1	12	1	1
IN041005	2	2	1	12	1	1
IN041006	1	1	2	12	2	1
IN041006	2	2	2	4	3	1
IN041007	1	2	1	12	2	1
IN041007	2	3	1	12	2	1
IN041007	3	4	1	12	2	1
IN041008	1	1	1	12	1	1
IN041008	2	2	1	12	2	1
IN041009	1	1	1	12	1	1
IN041009	2	2	1	12	1	1
IN041010	1	1	1	8	3	1
IN041010	2	1	2	8	2	1
IN041010	3	2	1	8	2	1
IN041010	4	2	2	8	3	1
IN041011	1	1	1	12	1	1
IN041011	2	2	1	12	1	1
IN041012	1	1	1	12	1	1
IN041012	2	2	1	12	1	1
IN041013	1	2	1	4	2	1
IN041013	2	3	1	4	2	1
IN041013	3	2	2	8	1	1
IN041013	4	3	2	8	1	1
IN041014	1	1	2	8	2	1
IN041014	2	1	2	10	2	1
IN041014	3	1	1	8	3	1
IN041014	4	2	2	10	2	1
IN041014	5	2	1	8	3	1
IN041014	6	3	2	8	3	1
IN041014	7	3	2	10	2	1
IN041015	1	1	1	12	2	1
IN041015	2	2	1	12	2	1
IN041016	1	1	1	12	2	1
IN041016	2	2	1	12	2	1
IN041017	1	1	1	12	1	75
IN041018	1	1	1	12	1	1
IN041018	2	2	1	12	1	1
IN041019	1	1	1	12	1	45
IN041019	2	2	1	10	2	45
IN041020	1	3	2	10	2	1
IN041020	2	3	1	10	2	1
IN041021	1	1	2	4	1	52
IN041021	2	1	1	4	2	1
IN041021	3	2	1	4	2	1
IN041022	1	1	2	12	2	1
IN041022	2	2	2	12	2	1
IN041023	1	1	1	12	1	1
IN041023	2	2	1	12	1	1
IN041024	1	1	1	12	1	1
IN041024	2	2	1	12	2	1
IN041025	1	1	1	12	1	1
IN041026	1	2	1	12	1	1
IN041026	2	3	1	12	2	1
IN041027	1	1	2	12	1	93
IN041027	2	2	1	12	1	74
IN041028	1	1	1	12	1	80
IN041029	1	1	1	12	1	80
IN041030	1	1	2	12	1	20
IN041031	1	1	2	4	2	74
IN041031	2	2	1	8	2	1
IN041032	1	1	2	12	1	52
IN041032	2	1	2	12	2	17
IN041032	3	2	2	12	2	52
IN041033	1	1	1	12	2	1
IN041033	2	2	2	12	2	93
IN041034	1	1	1	12	1	74
IN041035	1	1	2	12	1	74
IN041036	1	1	2	12	1	17
IN041037	1	1	1	4	1	52
IN041037	2	1	1	8	1	1
IN041038	1	2	1	12	1	93
IN041039	1	1	2	12	2	1
IN041040	1	1	2	10	3	74
IN041040	2	1	2	12	3	71
IN041040	3	1	2	12	1	52
IN041041	1	1	1	12	1	85
IN041041	2	2	1	12	2	45
IN041042	1	1	1	12	1	85
IN041042	2	2	2	12	1	52
IN041043	1	2	1	12	1	75
IN041044	1	1	2	12	1	85
IN041045	1	2	1	12	3	1
IN041045	2	3	1	12	3	1
IN041046	1	1	2	12	2	1
IN041046	2	1	1	12	3	1
IN041046	3	2	2	12	2	1
IN041046	4	2	1	12	3	1
IN041047	1	1	2	12	3	1
IN041047	2	1	1	12	2	1
IN041047	3	2	2	12	2	1
IN041047	4	2	1	12	3	1
IN041047	5	3	2	12	2	1
IN041047	6	3	1	12	3	1
IN041047	7	4	2	12	3	1
IN041048	1	1	1	12	1	45
IN041048	2	2	1	12	3	1
IN041049	1	1	2	6	1	17
IN041049	2	1	2	6	1	74
IN041049	3	2	2	12	2	17
IN041050	1	1	2	12	1	80
IN041050	2	2	1	12	1	80
IN051001	1	1	2	12	1	1
IN051001	2	1	1	2	2	1
IN051001	3	2	2	1	1	1
IN051001	4	2	1	2	2	1
IN051002	1	1	1	8	1	1
IN051002	2	3	1	3	2	1
IN051003	1	1	2	5	2	1
IN051003	2	1	1	4	2	1
IN051003	3	1	1	6	2	45
IN051003	4	2	2	4	2	1
IN051003	5	2	1	4	2	1
IN051003	6	2	1	5	2	45
IN051004	1	1	1	12	2	1
IN051004	2	2	1	12	2	1
IN051005	1	1	2	6	1	1
IN051005	2	1	1	3	2	14
IN051005	3	2	1	3	2	1
IN051006	1	1	1	6	1	1
IN051006	2	1	1	3	1	14
IN051006	3	2	1	3	1	1
IN051007	1	1	1	12	1	75
IN051007	2	2	1	12	2	1
IN051008	1	1	2	5	2	1
IN051008	2	1	1	4	2	1
IN051008	3	1	1	3	2	45
IN051008	4	2	2	4	2	1
IN051008	5	2	1	4	2	1
IN051009	1	1	2	12	1	1
IN051009	2	2	2	12	1	1
IN051010	1	1	2	12	1	52
IN051010	2	2	2	12	1	1
IN051011	1	2	2	12	1	52
IN051011	2	3	2	12	1	52
IN051011	3	4	2	12	1	52
IN051011	4	6	2	12	1	52
IN051012	1	1	2	8	2	1
IN051012	2	1	1	4	2	1
IN051012	3	2	2	8	2	1
IN051013	1	1	2	8	2	1
IN051013	2	1	1	5	2	1
IN051013	3	2	2	7	2	1
IN051013	4	2	1	4	2	1
IN051014	1	1	2	12	3	1
IN051014	2	1	2	12	1	52
IN051014	3	2	2	2	2	1
IN051014	4	2	2	3	2	1
IN051014	5	3	2	11	1	1
IN051014	6	3	2	1	1	45
IN051015	1	1	1	8	1	1
IN051016	1	3	2	12	2	1
IN051016	2	5	2	12	2	1
IN051017	1	1	1	12	2	93
IN051017	2	2	1	12	2	93
IN051017	3	3	1	12	2	93
IN051017	4	4	1	12	2	93
IN051018	1	1	2	12	1	52
IN051018	2	3	2	12	1	52
IN051019	1	1	1	9	1	1
IN051020	1	1	2	4	2	1
IN051020	2	1	1	4	2	1
IN051020	3	1	1	8	2	45
IN051020	4	2	2	3	2	1
IN051020	5	2	1	3	2	1
IN051020	6	2	1	7	2	45
IN051021	1	1	1	4	2	1
IN051021	2	1	1	8	2	45
IN051021	3	2	1	4	2	1
IN051021	4	2	1	6	2	45
IN051022	1	1	2	12	2	1
IN051022	2	2	2	7	2	1
IN051022	3	1	1	3	3	1
IN051023	1	1	2	12	1	93
IN051023	2	1	2	12	1	93
IN051024	1	2	1	12	2	93
IN051025	1	1	1	4	2	1
IN051025	2	1	1	8	2	45
IN051025	3	2	1	4	2	1
IN051025	4	2	1	6	2	45
IN051026	1	1	1	6	1	93
IN051026	2	1	1	6	1	1
IN051026	3	2	1	3	2	1
IN051027	1	1	1	12	2	1
IN051027	2	1	1	12	3	45
IN051027	3	2	1	4	2	1
IN051027	4	3	1	3	2	1
IN051028	1	1	1	5	2	1
IN051028	2	2	1	6	1	1
IN051028	3	3	1	2	1	1
IN051029	1	1	2	3	2	1
IN051029	2	1	1	1	2	45
IN051029	3	2	2	4	3	1
IN051029	4	2	1	12	1	93
IN051029	5	3	2	4	2	1
IN051029	6	3	2	3	2	1
IN051030	1	1	2	6	1	1
IN051030	2	3	2	6	1	1
IN051030	3	4	2	6	1	1
IN051030	4	7	2	6	1	1
IN051031	1	1	2	3	2	1
IN051031	2	2	2	5	2	1
IN051031	3	3	2	5	2	1
IN051031	4	4	2	5	2	1
IN051031	5	4	1	4	2	1
IN051031	6	5	2	3	2	1
IN051031	7	5	1	3	2	45
IN051032	1	1	2	6	2	1
IN051032	2	1	1	12	2	14
IN051032	3	2	2	3	2	1
IN051033	1	2	1	12	1	93
IN051033	2	3	1	12	3	1
IN051034	1	2	1	6	1	1
IN051034	2	3	1	6	2	1
IN051034	3	5	1	9	1	93
IN051035	1	1	1	10	2	45
IN051036	1	1	1	6	1	1
IN051036	2	1	1	6	2	1
IN051036	3	2	2	6	1	1
IN051036	4	2	1	6	3	1
IN051037	1	3	2	4	1	1
IN051037	2	3	1	4	2	1
IN051037	3	4	2	4	1	1
IN051037	4	4	1	3	2	1
IN051038	1	1	2	12	1	74
IN051039	1	2	2	12	1	1
IN051039	2	4	2	12	1	75
IN051040	1	1	2	12	1	1
IN051040	2	2	2	12	1	1
IN051040	3	3	2	2	2	1
IN051041	1	2	1	3	1	1
IN051041	2	3	1	3	2	1
IN051041	3	4	1	3	1	1
IN051041	4	5	1	3	1	1
IN051042	1	1	2	6	1	1
IN051042	2	2	2	3	1	1
IN051043	1	2	1	12	1	93
IN051043	2	3	1	3	2	1
IN051044	1	5	2	12	2	80
IN051045	1	2	1	12	1	93
IN051046	1	2	2	5	2	10
IN051046	2	2	1	4	2	1
IN051046	3	2	1	4	2	45
IN051046	4	3	2	4	2	1
IN051046	5	3	1	4	2	1
IN051046	6	4	2	4	2	1
IN051046	7	4	1	4	2	1
IN051047	1	1	1	4	2	1
IN051047	2	1	2	4	2	1
IN051047	3	1	1	5	2	45
IN051047	4	2	2	4	2	1
IN051047	5	2	1	4	2	1
IN051047	6	3	2	3	2	1
IN051047	7	3	1	7	2	45
IN051047	8	4	1	3	2	1
IN051048	1	3	2	6	1	1
IN051048	2	5	2	10	1	1
IN051049	1	1	2	12	1	1
IN051049	2	2	2	12	1	1
IN051049	3	3	2	12	1	1
IN051049	4	4	2	12	1	80
IN051050	1	1	1	4	2	1
IN051050	2	1	1	5	2	45
IN051050	3	2	1	4	2	1
IN051050	4	2	1	5	2	45
IN051050	5	3	1	12	1	1
IN061001	1	3	2	6	3	1
IN061001	2	4	2	6	3	1
IN061001	3	8	2	3	2	1
IN061001	4	8	2	6	3	74
IN061002	1	1	2	6	2	1
IN061002	2	1	1	3	2	1
IN061002	3	2	2	5	2	1
IN061002	4	2	1	3	3	1
IN061003	1	1	2	6	2	1
IN061003	2	1	1	4	2	93
IN061003	3	2	2	5	2	1
IN061003	4	2	1	4	2	93
IN061004	1	2	1	8	2	1
IN061004	2	2	2	1	2	1
IN061004	3	3	1	6	2	1
IN061004	4	3	2	1	2	1
IN061005	1	1	2	8	2	1
IN061005	2	1	1	5	2	1
IN061005	3	2	2	6	2	1
IN061005	4	2	1	3	3	1
IN061006	1	1	2	6	2	1
IN061006	2	2	2	6	2	1
IN061006	3	3	2	6	2	1
IN061007	1	3	1	3	3	1
IN061007	2	4	1	2	3	1
IN061007	3	5	1	2	3	1
IN061007	4	6	1	2	2	1
