childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN021021	3	13	1	5	1	24	2	2	6
IN021021	4	11	1	5	1	23	2	2	5
IN021022	1	29	1	1	2	25	2	1	5
IN021022	2	25	2	1	2	23	2	1	5
IN021022	3	11	2	5	1	24	2	2	6
IN021022	4	6	1	5	1	23	2	2	1
IN021023	1	28	1	1	2	25	2	1	10
IN021023	2	25	2	1	2	23	2	1	5
IN021023	3	7	2	5	1	23	2	2	2
IN021023	28	4	1	5	 	 	2	 	0
IN021024	1	32	1	1	2	24	2	1	7
IN021024	2	28	2	1	2	0	2	1	0
IN021024	3	12	2	5	1	23	2	2	5
IN021024	4	10	1	5	1	23	2	2	5
IN021025	1	26	1	1	2	25	2	1	10
IN021025	2	23	2	1	2	24	2	2	7
IN021025	3	7	2	5	1	23	2	2	2
IN021026	1	30	1	1	2	24	2	1	6
IN021026	2	27	2	1	2	0	2	2	0
IN021026	3	6	1	5	1	23	2	2	1
IN021026	28	2	1	5	 	 	2	 	0
IN021027	1	55	1	3	2	0	1	2	0
IN021027	2	50	2	3	2	0	1	2	0
IN021027	3	27	1	1	2	25	2	1	12
IN021027	4	24	2	1	2	0	2	2	0
IN021027	5	20	1	4	1	25	2	2	14
IN021027	6	6	1	5	1	23	2	2	1
IN021028	1	50	2	3	2	0	2	2	0
IN021028	2	28	1	1	2	25	2	1	12
IN021028	3	22	2	1	2	25	2	1	10
IN021028	28	4	1	5	 	 	2	 	0
IN021029	1	28	1	1	2	25	2	1	12
IN021029	2	23	2	1	2	25	2	1	10
IN021029	3	9	1	5	1	23	2	2	5
IN021030	1	70	1	3	2	0	1	2	0
IN021030	2	30	1	1	2	0	2	1	0
IN021030	3	28	2	1	2	0	2	2	0
IN021030	4	6	1	5	1	23	2	2	1
IN021031	1	37	1	1	2	0	2	1	0
IN021031	2	32	2	1	2	0	2	1	0
IN021031	3	15	1	5	2	23	2	1	5
IN021031	4	10	1	5	1	23	2	2	4
IN021031	28	4	2	5	 	 	2	 	0
IN021032	1	35	1	1	2	0	2	1	0
IN021032	2	32	2	1	2	0	2	1	0
IN021032	3	12	1	5	2	0	2	1	0
IN021032	28	4	1	5	 	 	2	 	0
IN021033	1	35	1	1	2	0	2	1	0
IN021033	2	30	2	1	2	23	2	1	5
IN021033	3	12	2	5	1	24	2	2	6
IN021033	4	10	2	5	1	23	2	2	4
IN021033	5	7	1	5	1	23	2	2	1
IN021034	1	40	1	1	2	0	2	1	0
IN021034	2	36	2	1	2	0	2	1	0
IN021034	3	18	2	5	2	0	2	2	0
IN021034	4	15	1	5	2	0	2	2	0
IN021034	5	6	1	5	1	23	2	2	1
IN021035	1	38	2	1	2	0	2	1	0
IN021035	2	15	1	5	2	0	2	1	0
IN021035	3	10	1	5	1	23	2	2	2
IN021036	1	30	1	1	2	0	2	2	0
IN021036	2	25	2	1	2	0	2	2	0
IN021036	3	7	1	5	1	23	2	2	5
IN021036	28	4	1	5	 	 	2	 	0
IN021037	1	40	1	1	2	0	1	2	0
IN021037	2	37	2	1	2	0	2	1	0
IN021037	3	13	2	5	2	0	2	2	0
IN021037	4	10	1	5	1	23	2	2	4
IN021038	1	60	2	3	2	0	2	2	0
IN021038	2	35	1	1	2	0	2	1	0
IN021038	3	25	2	1	2	0	2	1	0
IN021038	4	8	1	5	1	23	2	2	3
IN021039	1	55	2	3	1	2	2	2	0
IN021039	2	30	2	4	2	1	2	2	0
IN021039	3	27	1	1	2	1	2	1	0
IN021039	4	26	2	4	2	5	2	2	10
IN021039	5	25	2	1	2	1	2	2	0
IN021039	6	6	1	5	1	3	2	2	1
IN021040	1	36	1	1	2	25	2	1	15
IN021040	2	31	2	1	2	25	2	1	12
IN021040	3	10	1	5	1	24	2	2	6
IN021041	1	78	1	3	2	0	2	2	0
IN021041	2	34	1	1	2	25	2	1	12
IN021041	3	24	2	1	2	25	2	1	10
IN021041	4	6	1	5	1	23	2	2	2
IN021042	1	60	1	3	2	0	1	2	0
IN021042	2	55	2	3	2	0	1	2	0
IN021042	3	35	1	1	2	0	2	1	0
IN021042	4	30	2	1	2	0	2	2	0
IN021042	28	4	2	5	 	 	2	 	0
