childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	nmechsr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN011009	0	2	14	0	1	1	5	0	5	2	 	 	 	4	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011009	1	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	12	9	18	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011009	2	2	35	1	1	 	 	 	 	 	 	 	 	 	 	0	5	3	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011009	3	2	19	7	1	 	 	 	 	 	 	 	 	 	 	0	13	12	26	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	0	2	14	0	1	1	5	6	9	1	 	 	 	2	6000	0	17	10	24	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	1	2	62	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	2	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	1	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	3	2	31	1	1	 	 	 	 	 	 	 	 	 	 	0	9	9	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	4	2	27	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011010	5	1	13	7	1	1	5	6	7	1	 	 	 	2	5800	0	17	10	24	12	8	0	0	0	0	10	2	4	 	 	 	 	 	 	 
IN011011	0	1	14	0	1	1	5	8	8	1	 	 	 	2	8800	0	17	10	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011011	1	1	67	6	1	 	 	 	 	 	 	 	 	 	 	0	13	12	20	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011011	2	2	63	6	1	 	 	 	 	 	 	 	 	 	 	0	15	5	15	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011011	3	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	20	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011011	4	2	32	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011011	5	2	13	7	1	1	5	7	7	1	 	 	 	2	6800	0	17	10	25	8	8	0	0	0	0	8	2	6	 	 	 	 	 	 	 
IN011012	0	2	15	0	1	1	5	6	10	1	 	 	 	3	3000	0	17	10	24	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011012	1	2	 	5	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011012	2	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	30	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011012	3	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011012	4	2	21	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011012	5	1	18	7	1	1	5	6	10	1	 	 	 	3	3000	0	17	10	24	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011013	0	1	15	0	1	1	6	0	9	0	8	14	10	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011013	1	2	49	1	1	 	 	 	 	 	 	 	 	 	 	0	13	11	24	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011014	0	2	15	0	1	1	5	8	7	0	25	13	8	3	1000	0	15	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011014	1	1	59	1	1	 	 	 	 	 	 	 	 	 	 	1	17	12	30	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011014	2	2	52	1	1	 	 	 	 	 	 	 	 	 	 	1	17	12	30	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011014	3	2	25	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011015	0	2	15	0	1	1	5	0	10	1	 	 	 	2	0	0	17	10	26	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011015	1	1	35	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011015	2	2	32	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	30	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011015	3	1	13	7	1	1	6	0	5	1	 	 	 	2	8500	0	17	10	26	10	9	0	1	0	0	9	1	4	 	 	 	 	 	 	 
IN011016	0	2	15	0	1	1	5	0	9	1	 	 	 	2	3000	0	17	10	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011016	1	1	45	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	26	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011016	2	2	38	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011016	3	1	13	7	1	1	5	0	6	1	 	 	 	3	2000	0	17	10	26	8	9	0	1	0	0	8	4	2	 	 	 	 	 	 	 
IN011017	0	2	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011017	1	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011017	2	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011017	3	2	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	0	1	15	0	1	1	6	6	8	1	 	 	 	3	300	0	17	10	23	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	1	1	87	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	2	2	77	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	3	1	47	1	1	 	 	 	 	 	 	 	 	 	 	0	1	5	10	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	4	2	38	1	1	 	 	 	 	 	 	 	 	 	 	0	4	10	25	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	5	1	37	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	6	2	30	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	7	1	22	7	1	 	 	 	 	 	 	 	 	 	 	0	1	5	9	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	8	1	21	7	1	 	 	 	 	 	 	 	 	 	 	0	4	10	15	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	9	1	20	7	1	 	 	 	 	 	 	 	 	 	 	0	12	6	10	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	10	1	17	7	1	1	5	8	9	1	 	 	 	2	1000	0	17	10	24	8	10	0	0	0	0	9	2	3	 	 	 	 	 	 	 
IN011018	11	2	13	14	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	13	1	7	14	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	14	2	5	14	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011018	28	1	10	14	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011019	0	1	15	0	1	1	6	10	9	1	 	 	 	2	100	0	17	10	24	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011019	1	1	39	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011019	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	0	2	15	0	1	1	5	0	9	1	 	 	 	2	500	0	17	10	25	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	1	2	87	6	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	2	2	58	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	15	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	3	2	 	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	4	2	20	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011021	5	2	13	7	1	1	5	0	6	0	8	10	7	 	 	0	15	12	30	2	9	2	2	0	0	0	0	11	 	 	 	 	 	 	 
IN011021	6	2	12	7	1	1	5	0	5	0	8	9	6	 	 	0	15	12	30	2	9	2	2	0	0	0	0	11	 	 	 	 	 	 	 
IN011022	0	1	15	0	1	1	5	9	10	1	 	 	 	2	10000	0	17	10	24	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	1	1	62	6	1	 	 	 	 	 	 	 	 	 	 	0	10	12	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	2	2	60	6	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	3	1	44	13	1	 	 	 	 	 	 	 	 	 	 	0	10	11	25	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	4	1	40	1	1	 	 	 	 	 	 	 	 	 	 	0	10	11	25	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	5	2	39	13	1	 	 	 	 	 	 	 	 	 	 	0	15	12	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	6	2	36	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	7	1	19	14	1	 	 	 	 	 	 	 	 	 	 	0	17	9	22	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011022	8	2	13	7	1	1	4	6	9	1	 	 	 	2	6000	0	17	10	24	8	8	0	0	0	0	8	2	6	 	 	 	 	 	 	 
IN011023	0	2	15	0	1	1	5	0	9	1	 	 	 	2	130	0	17	10	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011023	1	1	32	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	26	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011023	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011023	3	2	21	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011023	4	1	20	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	0	2	14	0	1	1	5	0	9	1	 	 	 	2	125	0	17	10	25	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	1	1	52	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	2	2	46	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	3	1	33	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	27	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	4	2	31	2	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	5	1	29	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	6	1	29	13	1	 	 	 	 	 	 	 	 	 	 	0	10	12	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	7	2	6	7	1	1	5	0	0	1	 	 	 	2	800	0	17	10	24	8	9	0	0	0	0	7	1	7	 	 	 	 	 	 	 
IN011024	8	2	27	13	1	 	 	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011024	9	2	5	14	1	1	5	0	0	1	 	 	 	2	1000	0	17	10	25	7	9	0	0	0	0	7	0	8	 	 	 	 	 	 	 
IN011025	0	1	15	0	1	1	5	0	9	1	 	 	 	2	3500	0	17	11	24	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011025	1	1	37	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	21	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011025	2	2	34	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011025	3	1	13	7	1	1	5	6	6	1	 	 	 	3	3000	0	17	10	24	8	9	0	0	0	0	8	1	6	 	 	 	 	 	 	 
IN011026	0	2	14	0	1	1	4	0	9	1	 	 	 	2	1700	0	17	10	26	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011026	1	1	43	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011026	2	2	36	1	1	 	 	 	 	 	 	 	 	 	 	0	9	6	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011026	3	1	14	7	1	1	4	0	8	1	 	 	 	2	7000	0	17	10	26	10	8	0	0	0	0	10	2	4	 	 	 	 	 	 	 
IN011027	0	2	14	0	1	1	5	0	10	1	 	 	 	2	15000	0	17	10	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011027	1	1	46	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	24	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011027	2	2	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011027	3	1	20	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	25	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011028	0	1	15	0	1	1	5	6	10	0	21	15	10	 	0	0	13	8	25	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011028	1	1	53	1	1	 	 	 	 	 	 	 	 	 	 	0	9	10	20	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011028	2	2	47	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011028	3	2	24	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011028	4	1	20	7	1	 	 	 	 	 	 	 	 	 	 	0	9	10	20	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011029	0	1	15	0	1	1	5	8	10	1	 	 	 	2	12000	0	17	10	23	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011029	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011029	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011029	3	1	14	7	1	1	5	7	7	1	 	 	 	1	5000	0	17	10	24	9	9	0	0	0	0	8	2	5	 	 	 	 	 	 	 
IN011030	0	2	15	0	1	1	5	6	10	1	 	 	 	2	1000	0	17	10	24	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011030	1	2	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011030	2	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011030	3	2	39	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	0	1	14	0	1	1	5	0	7	0	8	13	8	 	 	0	12	10	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	1	1	62	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	2	2	57	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	3	2	25	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	4	2	23	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	5	1	38	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	20	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	6	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	5	5	15	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	7	2	73	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011031	8	1	18	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	22	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	0	1	16	0	1	1	5	6	10	1	 	 	 	2	10000	0	17	11	24	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	1	1	39	1	1	 	 	 	 	 	 	 	 	 	 	0	10	10	20	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	3	2	20	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	4	1	18	7	1	 	 	 	 	 	 	 	 	 	 	0	10	10	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	5	2	65	6	1	 	 	 	 	 	 	 	 	 	 	0	15	6	15	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	6	2	63	5	1	 	 	 	 	 	 	 	 	 	 	0	15	6	15	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011032	7	2	3	14	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011033	0	1	15	0	1	1	5	4	10	1	 	 	 	2	10000	0	17	10	24	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011033	1	1	41	1	1	 	 	 	 	 	 	 	 	 	 	0	9	8	20	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011033	2	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	9	7	20	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011033	3	1	19	7	1	 	 	 	 	 	 	 	 	 	 	0	17	10	24	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	0	1	15	0	1	1	5	4	10	1	 	 	 	2	15000	0	17	10	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	1	1	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	2	1	47	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	26	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	3	2	42	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	4	1	43	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN011034	5	1	14	7	1	1	5	4	8	1	 	 	 	2	21000	0	17	10	24	8	8	0	0	0	0	8	2	6	 	 	 	 	 	 	 
