CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN021018	2	16	36	2009	99	6	0	3	4	88
IN021019	1	16	44	2000	99	1	0	5	6	88
IN021019	2	3	36	2008	99	3	1	4	2	5
IN021019	3	16	46	2006	99	1	28	4	6	88
IN021019	4	5	45	2006	99	6	2	4	5	3
IN021020	1	16	36	2002	99	6	0	4	6	88
IN021020	2	16	36	2009	99	6	4	4	6	88
IN021020	3	5	45	2002	99	3	2	4	4	88
IN021021	1	3	36	2008	99	4	1	4	2	1
IN021021	2	5	36	2006	99	6	2	4	2	88
IN021021	3	12	46	2008	99	6	0	4	2	4
IN021022	1	16	36	2002	99	6	0	4	4	88
IN021022	2	12	44	2009	99	1	4	4	4	1
IN021022	3	5	45	2005	99	2	2	4	6	88
IN021023	1	3	36	2008	99	5	80	5	2	4
IN021023	2	19	36	2004	99	1	28	4	2	88
IN021024	1	16	36	2008	99	6	3	4	4	88
IN021024	2	5	45	2009	99	8	2	4	6	88
IN021025	1	13	41	2009	2009	6	2	5	1	4
IN021025	2	3	36	2008	99	4	2	5	1	2
IN021025	3	19	36	2005	99	3	1	3	2	88
IN021026	1	5	45	2008	99	6	2	4	4	88
IN021026	2	3	36	2008	99	4	2	4	4	2
IN021026	3	19	36	2000	99	3	80	4	2	88
IN021026	4	19	44	2004	99	1	0	4	4	88
IN021027	1	16	36	2006	99	1	0	4	4	6
IN021028	1	16	44	2000	99	6	0	4	4	88
IN021028	2	16	44	2001	99	6	4	4	4	88
IN021028	3	5	45	2002	99	8	3	4	5	88
IN021029	1	5	45	2003	99	4	2	2	3	88
IN021029	2	16	44	2001	99	3	0	4	1	88
IN021029	3	12	44	2001	99	6	0	4	4	88
IN021029	4	3	36	2004	99	2	1	4	7	88
IN021030	1	19	36	2009	99	6	2	4	9	88
IN021030	2	5	45	2006	99	6	3	5	2	1
IN021031	1	5	45	2004	99	6	7	3	1	88
IN021031	2	16	36	2003	2009	1	0	5	6	88
IN021032	1	3	36	2008	99	4	80	4	1	4
IN021032	2	12	44	2008	99	6	28	4	1	4
IN021033	1	5	45	2005	99	2	2	4	3	88
IN021034	1	3	36	2008	99	3	1	4	2	5
IN021035	1	3	36	2008	99	2	80	4	1	88
IN021035	2	19	36	2008	2009	6	6	5	5	3
IN021035	3	5	45	2004	99	4	5	3	5	88
IN021036	1	3	36	2008	99	4	80	4	2	1
IN021036	2	19	36	2007	99	6	1	1	2	1
IN021036	3	16	44	2006	99	1	0	4	1	4
IN021037	1	3	36	2008	99	4	2	4	2	88
IN021038	1	3	36	2008	99	4	80	4	2	1
IN021038	2	5	36	2008	99	4	3	4	1	2
IN021039	1	5	45	2008	99	8	5	4	4	88
IN021039	2	3	36	2008	99	5	80	4	1	2
IN021042	1	19	36	2008	2009	7	4	5	9	5
IN021042	2	5	45	2008	99	8	4	4	2	4
IN021043	1	3	36	2008	99	4	1	3	2	4
IN021043	2	12	36	2008	99	6	0	4	2	4
IN021044	1	3	36	2008	99	4	2	4	2	88
IN021044	2	19	36	2006	99	3	4	4	2	5
IN021046	1	16	44	2003	99	1	0	4	1	4
IN021046	2	5	45	2002	99	6	2	4	4	5
IN021047	1	5	45	2006	99	4	1	3	3	88
IN021047	2	3	36	2009	99	2	80	5	7	88
IN021047	3	16	44	2003	2008	5	0	4	4	88
IN021047	4	19	36	2008	2009	6	1	5	8	88
IN021047	5	13	44	1999	9	6	1	5	6	88
IN021050	1	3	36	2008	2009	4	2	4	2	1
IN021050	2	19	36	2008	2008	7	2	5	9	88
IN031003	1	16	36	2000	2007	1	0	4	4	1
IN031003	2	15	36	2006	99	8	4	4	 	 
IN031005	1	12	36	2008	99	1	5	1	1	2
IN031005	2	12	36	2005	99	8	0	1	1	2
IN031006	1	19	36	2008	2008	8	3	4	5	8
IN031012	1	5	36	2004	99	8	5	1	1	2
IN031013	1	19	36	2009	2009	8	5	5	5	6
IN031016	1	16	36	88	88	1	0	4	1	6
IN031016	2	5	36	2002	88	8	2	4	1	6
IN031021	1	12	36	2000	99	1	 	4	1	4
IN031021	2	12	36	2008	99	4	80	4	1	2
IN031022	1	12	36	2000	99	1	0	1	1	6
IN031024	1	16	46	2000	2004	1	0	4	4	1
IN031025	1	16	46	2003	99	1	0	4	1	2
IN031026	1	16	46	2000	2009	1	0	4	4	88
IN031027	1	5	36	2006	99	8	4	4	4	1
IN031027	2	16	36	2002	99	1	0	4	1	2
IN031028	1	6	35	2004	99	8	4	1	1	5
IN031029	1	16	46	2000	2009	1	4	4	4	88
IN031030	1	16	36	2006	99	1	0	4	4	1
IN031030	2	5	36	2007	99	8	2	4	 	 
IN031031	1	16	36	2004	99	1	0	4	4	1
IN031031	2	5	36	2003	2006	8	2	2	 	 
IN031032	1	19	36	2009	99	6	3	4	9	88
IN031033	1	12	36	2003	99	1	28	1	4	6
IN031034	1	6	36	2004	99	6	3	4	1	5
IN031035	1	16	46	2000	99	1	6	4	4	1
IN031037	1	16	46	2000	99	1	0	4	4	1
IN031039	1	16	36	2006	99	1	0	4	4	1
IN031039	2	5	36	2000	99	6	1	4	4	1
IN031041	1	5	36	2000	99	6	2	4	1	5
IN031042	1	6	36	2005	99	6	2	4	1	5
IN031043	1	16	48	2004	2005	1	0	4	4	88
IN031048	1	5	36	2003	99	6	2	4	1	5
IN031050	1	5	36	2009	99	77	80	4	1	6
IN031050	2	12	36	2000	99	1	0	4	1	6
IN041001	1	3	36	2007	99	4	80	4	1	88
IN041001	2	16	44	2007	99	1	0	4	1	4
IN041001	3	5	45	2007	99	8	2	4	3	5
IN041002	1	3	36	2007	99	4	80	4	1	88
IN041002	2	16	44	2007	99	1	0	4	1	4
IN041002	3	5	45	2006	99	8	2	4	5	3
IN041003	1	5	45	2006	99	6	2	4	2	3
IN041003	2	3	36	2007	99	2	1	4	2	1
IN041003	3	16	44	2006	99	1	0	5	1	4
IN041003	4	12	36	2006	99	1	28	4	2	4
IN041004	1	16	44	2006	99	1	0	4	1	4
IN041004	2	5	45	2006	99	5	1	4	2	5
IN041004	3	3	36	2007	99	3	80	4	5	2
IN041005	1	3	36	2007	99	4	80	3	2	4
IN041005	2	5	45	2006	99	8	2	4	2	4
IN041005	3	16	44	2006	99	4	3	4	4	6
IN041005	4	12	36	2006	99	4	0	4	4	6
IN041006	1	5	45	2006	99	6	2	4	6	5
IN041006	2	16	44	2006	99	1	0	4	2	4
IN041006	3	16	44	2006	99	1	3	4	2	4
IN041006	4	16	44	2009	99	1	4	4	2	4
IN041006	5	16	44	2008	99	1	28	4	2	4
IN041006	6	3	36	2007	99	5	80	4	1	5
IN041007	1	5	45	2006	99	8	3	4	5	2
IN041007	2	3	36	2007	99	3	80	4	2	5
IN041007	3	16	44	2006	99	1	0	4	4	6
IN041009	1	19	36	2008	2008	7	1	5	4	2
IN041009	2	3	36	2007	99	4	80	5	4	2
IN041009	3	16	44	2007	2007	7	80	4	9	88
IN041010	1	5	45	2006	99	8	2	4	1	5
IN041010	2	16	44	2006	99	1	0	4	1	4
IN041010	3	3	36	2007	99	5	1	4	2	5
IN041011	1	5	45	2007	99	8	2	4	1	6
IN041011	2	16	44	2006	99	1	0	4	4	2
IN041011	3	3	36	2007	99	5	1	4	2	5
IN041012	1	5	36	2006	99	6	2	4	1	2
IN041012	2	3	36	2007	99	2	2	5	1	2
IN041012	3	12	44	2005	99	1	4	4	6	1
IN041013	1	5	45	2006	99	8	3	4	4	5
IN041013	2	6	36	2009	99	3	4	5	1	5
IN041013	3	16	44	2006	99	1	0	5	2	6
IN041013	4	12	36	2006	99	1	5	4	2	4
IN041013	5	3	36	2007	99	5	80	4	1	4
IN041014	1	16	44	2008	99	6	0	4	1	4
IN041014	2	3	36	2007	99	4	80	4	1	5
IN041014	3	5	45	2006	99	8	2	4	5	3
IN041015	1	5	36	2006	99	6	2	4	1	2
IN041015	2	16	44	2006	99	1	0	4	2	4
IN041015	3	19	36	2008	99	3	2	4	4	2
IN041016	1	16	44	2006	99	1	0	5	1	4
IN041016	2	5	45	2007	99	8	2	3	2	5
IN041016	3	3	36	2007	99	3	80	4	2	5
IN041017	1	3	36	2007	99	4	80	4	2	4
IN041017	2	5	45	2006	99	8	6	3	2	4
IN041017	3	16	36	2006	99	1	8	4	2	4
IN041018	1	5	36	2006	99	6	2	4	1	2
IN041018	2	16	44	2006	99	1	0	4	2	1
IN041018	3	3	36	2007	99	2	1	3	4	2
IN041019	1	5	45	2006	99	8	2	4	6	88
IN041019	2	16	44	2006	99	6	0	4	4	6
IN041019	3	16	36	2008	99	6	3	4	6	88
IN041020	1	3	36	2006	99	3	80	3	2	5
IN041020	2	5	45	2007	99	6	7	4	2	5
IN041020	3	16	44	2006	99	1	0	4	1	4
IN041021	1	3	36	2008	99	4	80	4	1	88
IN041021	2	12	46	2007	99	6	0	4	1	2
IN041021	3	5	36	2006	99	8	2	4	3	88
IN041022	1	19	36	2009	99	7	80	4	9	88
IN041022	2	19	36	2008	2008	7	1	4	2	4
IN041022	3	3	36	2007	99	4	80	3	2	4
IN041022	4	16	44	2006	99	1	0	4	2	4
IN041022	5	12	36	2006	99	1	28	4	2	4
IN041023	1	19	36	2008	2008	7	1	4	4	2
IN041023	2	3	36	2007	99	4	80	3	2	4
IN041023	3	16	36	2007	99	1	29	4	2	4
IN041023	4	16	44	2006	99	1	3	4	1	4
IN041024	1	5	36	2006	99	8	2	4	2	5
IN041024	2	3	36	2007	99	5	1	4	2	1
IN041024	3	16	44	2006	99	1	0	5	4	2
IN041025	1	5	45	2008	99	8	3	4	2	5
IN041025	2	16	44	2006	99	1	0	4	2	4
IN041025	3	12	46	2006	99	1	28	4	2	4
IN041026	1	5	45	2006	99	8	3	3	5	2
IN041026	2	3	36	2007	99	3	80	4	5	2
IN041026	3	16	46	2006	99	1	0	5	4	6
IN041026	4	16	36	2007	99	1	28	4	1	4
IN041027	1	5	36	2006	99	8	2	4	2	5
IN041028	1	16	44	2009	99	6	4	4	1	4
IN041031	1	5	36	2006	99	6	2	4	2	88
IN041031	2	12	36	2006	99	6	0	4	4	88
IN041031	3	16	36	2008	99	1	0	4	2	3
IN041031	4	12	50	2008	99	1	0	4	1	2
IN041032	1	5	45	2008	99	8	2	4	3	5
IN041033	1	3	36	2008	99	4	80	4	1	4
IN041033	2	12	46	2008	99	6	0	3	1	2
IN041033	3	19	36	2007	99	3	1	4	1	5
IN041033	4	5	36	2006	99	8	3	4	3	5
IN041034	1	19	36	2009	99	7	80	4	1	 
IN041034	2	5	36	2006	99	8	2	4	3	4
IN041035	1	3	36	2008	99	4	80	3	1	4
IN041035	2	5	36	2006	99	8	2	4	3	4
IN041036	1	5	36	2009	99	8	2	4	5	3
IN041036	2	16	36	2006	99	1	0	4	4	1
IN041036	3	16	36	2006	99	1	3	4	4	1
IN041037	1	16	36	2008	99	1	0	4	1	2
IN041037	2	12	46	2006	99	6	0	4	4	6
IN041037	3	5	36	2006	99	8	1	4	5	1
IN041038	1	16	36	2006	99	1	0	5	6	1
IN041038	2	5	45	2006	99	6	1	4	5	4
IN041038	3	3	36	2007	99	3	80	3	2	5
IN041039	1	16	36	2006	99	1	0	5	2	4
IN041039	2	12	46	2006	99	6	0	4	4	6
IN041040	1	5	45	2006	99	8	2	4	5	3
IN041041	1	3	36	2007	99	4	80	4	2	4
IN041041	2	5	45	2006	99	8	7	4	2	4
IN041041	3	16	44	2004	99	1	0	5	2	4
IN041042	1	5	45	2006	99	8	2	4	1	5
IN041043	1	16	44	2006	99	1	0	5	4	1
IN041043	2	13	36	2008	99	1	5	4	7	88
IN041043	3	5	45	2007	99	8	3	4	3	5
IN041044	1	5	45	2006	99	6	2	4	3	5
IN041045	1	5	36	2006	99	8	0	4	1	2
IN041045	2	3	36	2007	99	2	80	4	2	5
IN041045	3	16	44	2008	99	1	0	5	1	4
IN041045	4	13	36	2009	99	1	5	4	7	88
IN041046	1	16	44	2006	99	1	3	4	4	6
IN041046	2	5	45	2006	99	8	2	4	5	6
IN041047	1	3	36	2007	99	5	80	4	2	5
IN041047	2	5	45	2006	99	8	4	4	5	2
IN041047	3	16	44	2006	99	1	0	5	2	4
IN041047	4	16	36	2006	99	1	28	4	2	4
IN041048	1	3	36	2007	99	4	80	4	2	4
IN041048	2	5	45	2006	99	8	2	4	2	4
IN041048	3	16	36	2008	99	1	0	4	2	4
IN041050	1	16	36	2006	99	1	4	4	4	6
IN051002	1	5	36	2005	2008	8	2	1	5	4
IN051002	2	12	36	2001	99	1	0	4	1	6
IN051003	1	16	46	2000	99	1	0	4	4	1
IN051004	1	16	36	2005	99	1	0	4	1	88
IN051005	1	5	36	2001	99	8	4	2	1	4
IN051005	2	12	36	2000	99	1	4	88	6	4
IN051008	1	16	46	2004	99	1	0	4	4	1
IN051009	1	16	46	2009	99	1	0	4	4	1
IN051010	1	16	36	2008	99	1	0	4	1	4
IN051010	2	5	36	2007	99	8	2	4	5	88
IN051011	1	16	46	2003	99	1	11	4	4	1
IN051012	1	5	36	2000	99	6	2	4	1	5
IN051014	1	16	46	2004	99	1	28	4	4	2
IN051016	1	16	46	2000	99	1	0	4	4	1
IN051017	1	5	36	2008	99	6	4	4	1	5
IN051018	1	16	46	2000	99	1	0	4	4	2
IN051019	1	5	36	2009	99	6	1	4	1	5
IN051020	1	16	36	2002	99	1	0	4	4	1
IN051020	2	5	36	1999	99	8	2	4	 	 
IN051022	1	1	42	2008	2008	6	1	4	2	4
IN051022	2	12	45	2009	2009	6	2	5	6	5
IN051023	1	19	36	2008	2009	6	1	4	5	88
IN051024	1	16	36	2008	2009	1	0	4	1	4
IN051025	1	16	36	2008	99	1	0	4	1	4
IN051025	2	5	36	2001	2004	8	2	1	 	 
IN051026	1	16	46	1999	99	1	0	4	4	1
IN051027	1	16	46	1997	2009	1	0	4	4	1
IN051028	1	5	45	2006	99	8	2	4	5	88
IN051028	2	3	36	2009	99	6	1	4	2	1
IN051028	3	16	36	2006	2008	1	0	4	1	5
IN051028	4	12	46	2006	2008	6	0	4	4	88
IN051029	1	5	45	2009	2009	6	3	5	5	9
IN051031	1	5	36	2006	99	6	3	4	1	5
IN051032	1	16	36	2007	99	1	0	4	4	1
IN051033	1	16	46	2000	2007	1	0	4	4	1
IN051034	1	5	36	1999	2008	8	3	1	4	1
IN051034	2	12	36	1999	2007	1	0	3	6	4
IN051035	1	16	46	2000	99	1	0	4	4	1
IN051036	1	5	36	2007	99	8	2	4	6	4
IN051036	2	12	36	2000	99	1	0	4	6	4
IN051037	1	5	45	2009	2009	6	4	5	5	88
IN051039	1	16	36	2008	99	1	0	2	9	9
IN051039	2	5	36	2009	99	8	3	3	88	88
IN051040	1	16	36	2008	99	1	0	4	1	4
IN051040	2	5	36	2007	99	8	3	4	 	 
IN051041	1	16	46	2000	99	1	0	4	4	1
IN051042	1	5	36	2000	99	6	2	4	1	5
IN051043	1	16	46	2000	99	1	0	4	4	1
IN051044	1	5	36	2009	99	6	4	4	1	5
IN051045	1	5	36	2009	99	8	3	4	1	6
IN051045	2	12	36	2000	99	8	0	4	4	6
IN051046	1	18	36	2008	99	4	80	3	88	88
IN051046	2	12	36	2008	99	1	5	4	1	4
IN051050	1	5	36	2009	99	8	2	4	 	 
IN061001	1	16	36	2008	99	6	0	4	4	6
IN061001	2	19	45	2008	2008	8	9	3	8	5
IN061002	1	16	36	2008	99	6	3	4	6	4
IN061002	2	19	45	2008	2008	8	2	4	8	5
IN061003	1	19	45	2008	2008	8	2	4	5	8
IN061005	1	16	46	2001	99	1	28	4	4	2
IN061007	1	16	46	2008	99	1	0	5	1	6
IN061007	2	5	45	2008	2008	8	4	5	8	3
IN061008	1	12	36	2007	99	6	5	4	4	88
IN061009	1	19	45	2008	2008	6	2	4	5	88
IN061009	2	16	46	2001	99	1	0	3	4	88
IN061010	1	16	46	2000	99	1	5	4	4	88
IN061011	1	16	36	2004	2006	1	0	4	6	4
IN061011	2	5	36	1999	99	8	3	4	88	88
IN061013	1	5	45	2008	2008	8	2	4	4	88
IN061014	1	5	45	2008	2008	8	2	5	5	4
IN061015	1	1	40	2009	2009	6	3	4	1	2
IN061016	1	16	46	1999	2009	1	0	3	4	6
IN061017	1	16	36	2005	2009	1	0	4	1	6
IN061017	2	5	36	2004	99	8	2	4	4	88
IN061018	1	16	36	2005	2009	1	0	4	1	4
IN061018	2	5	36	2002	99	8	3	4	88	88
IN061019	1	12	36	2005	2006	1	0	4	1	6
IN061020	1	16	36	2002	99	1	0	4	1	6
IN061020	2	5	36	2004	2007	8	2	2	88	88
IN061021	1	16	46	2000	99	1	0	4	4	1
IN061023	1	19	45	2008	2008	8	2	4	5	7
IN061024	1	16	46	2005	99	1	0	4	2	4
IN061025	1	19	45	2009	99	6	2	3	5	88
IN061025	2	16	46	2000	99	1	0	3	4	88
IN061026	1	16	36	2003	2005	1	0	4	1	6
IN061027	1	16	46	1999	2009	1	0	4	4	2
IN061027	2	12	36	2009	99	6	0	4	4	88
IN061028	1	16	36	2003	2009	1	0	4	1	6
IN061028	2	5	36	2007	99	8	2	4	88	88
IN061029	1	5	45	2008	2008	8	2	4	4	8
IN061030	1	16	36	2004	2009	1	0	4	1	4
IN061030	2	5	36	2009	99	1	3	4	88	88
IN061032	1	16	36	2005	2009	1	0	4	1	4
IN061032	2	5	36	2006	99	8	2	4	88	88
IN061033	1	16	36	2006	2009	1	0	4	4	6
IN061033	2	5	36	2004	99	8	2	4	88	88
IN061034	1	16	36	2007	99	1	0	4	4	1
IN061034	2	16	46	2000	99	1	0	4	4	1
IN061035	1	1	40	2008	2008	6	1	5	1	2
IN061036	1	16	36	2005	2008	1	0	4	1	2
IN061036	2	5	36	2007	99	8	2	4	88	88
IN061037	1	16	46	1999	2009	1	0	3	4	88
IN061037	2	19	45	2009	99	6	1	3	5	88
IN061038	1	16	36	2008	99	6	5	4	4	88
IN061039	1	5	36	2008	99	6	2	5	1	5
IN061039	2	16	46	2000	99	1	0	4	4	88
IN061040	1	5	36	2004	99	6	4	4	1	2
IN061040	2	12	36	2005	99	1	5	4	1	2
IN061041	1	16	46	2000	99	1	28	4	4	88
IN061042	1	5	36	2007	99	6	2	4	1	5
IN061046	1	19	45	2009	99	6	3	3	5	88
IN061046	2	16	46	1998	2008	1	0	3	4	88
IN061047	1	16	46	1995	99	1	3	3	4	6
IN061048	1	5	36	2002	99	6	2	5	1	5
IN061048	2	16	46	2009	99	1	3	3	4	88
IN061049	1	16	46	2000	99	1	0	3	4	6
IN061049	2	6	36	2009	99	3	4	4	4	5
IN061050	1	19	45	2008	2008	8	2	4	7	5
IN071001	1	16	46	2005	99	1	0	5	4	1
IN071001	2	5	45	2008	2008	8	2	5	2	5
IN071002	1	16	36	2009	99	6	0	4	6	7
IN071004	1	16	36	2002	99	6	5	4	4	5
IN071005	1	19	45	2009	99	6	1	3	5	88
IN071005	2	16	46	2001	99	1	5	3	4	88
IN071006	1	16	36	2008	99	1	0	1	1	6
IN071006	2	5	36	2009	99	7	7	1	88	88
IN071007	1	16	41	2006	99	1	0	5	4	1
IN071008	1	19	45	2007	2007	8	2	4	5	8
IN071009	1	12	46	2000	99	6	28	4	4	88
IN071011	1	16	46	2005	99	1	0	4	2	6
IN071011	2	5	45	2008	2008	8	2	4	3	4
IN071012	1	3	36	2008	99	1	1	4	6	2
IN071012	2	1	40	2008	2008	6	1	4	4	5
IN071013	1	16	36	2007	99	1	0	4	4	1
IN071013	2	16	46	2001	99	1	3	4	4	2
IN071014	1	12	36	2007	99	1	0	4	4	1
IN071015	1	16	36	2001	99	6	0	4	4	5
IN071015	2	16	36	2007	99	4	3	4	4	5
IN071016	1	16	36	2000	99	6	0	4	4	5
IN071016	2	16	36	2005	99	4	2	4	4	5
IN071017	1	16	36	2008	2009	1	0	4	1	6
IN071017	2	5	36	2006	99	8	2	4	 	 
IN071018	1	5	45	2008	2008	8	2	4	4	5
IN071018	2	14	36	2008	99	1	2	4	1	2
IN071020	1	12	46	1999	2009	6	0	4	4	88
IN071021	1	16	46	2007	99	1	28	3	4	88
IN071022	1	16	36	2008	2009	1	0	4	1	6
IN071022	2	5	36	2004	99	8	2	4	88	88
IN071023	1	16	44	2006	99	1	0	4	4	6
IN071024	1	16	46	2005	99	1	3	5	1	2
IN071025	1	19	45	2008	2008	8	2	4	8	6
IN071025	2	16	36	2009	99	6	4	4	4	88
IN071026	1	19	45	2008	2008	8	3	4	4	5
IN071027	1	16	46	2005	99	1	6	5	1	4
IN071027	2	5	45	2008	2008	8	4	5	2	4
IN071029	1	16	36	2000	99	6	0	4	4	5
IN071029	2	5	36	2002	99	6	3	4	4	5
IN071030	1	16	36	2000	99	6	0	4	4	5
IN071030	2	5	36	2007	99	6	2	4	4	1
IN071031	1	16	46	1999	2009	1	0	3	4	88
IN071032	1	16	36	2003	99	1	0	4	1	6
IN071032	2	5	36	2008	99	8	2	4	88	88
IN071033	1	16	46	2000	99	1	3	3	4	88
IN071034	1	12	46	2000	999	1	0	4	1	4
IN071035	1	12	46	2000	999	1	0	4	4	1
IN071036	1	16	36	2008	2009	1	0	4	1	6
IN071037	1	16	46	2002	99	1	28	3	4	88
IN071038	1	12	46	1999	999	6	0	4	4	88
IN071039	1	16	36	2008	2009	1	0	4	1	88
IN071039	2	5	36	2007	99	5	3	4	88	88
IN071040	1	16	36	2008	2009	1	0	4	4	6
IN071040	2	5	36	2008	99	8	2	4	88	88
IN071041	1	6	36	2008	99	3	3	4	1	5
IN071042	1	16	46	2000	999	6	3	4	4	88
IN071042	2	19	36	2007	999	3	4	4	8	88
IN071043	1	16	46	2005	2008	1	0	5	4	1
IN071043	2	5	45	2008	2008	8	4	5	1	4
IN071044	1	12	46	1999	999	6	0	4	4	88
IN071044	2	5	45	2001	999	6	2	4	5	1
IN071045	1	5	45	2001	99	3	2	4	1	88
IN071045	2	12	36	2001	99	1	3	4	1	88
IN071046	1	16	46	1999	2008	6	0	3	4	88
IN071047	1	16	46	1999	2009	1	0	3	4	6
IN071048	1	12	36	2006	99	1	0	5	1	2
IN071048	2	5	45	2008	2008	8	2	5	6	4
IN071050	1	16	36	2006	99	1	0	4	1	5
IN071050	2	5	45	2007	2007	8	2	5	5	8
IN081001	1	3	36	2006	99	6	80	4	5	3
IN081002	1	3	36	2006	99	6	2	4	5	3
IN081003	1	5	45	2002	99	6	4	4	4	2
IN081004	1	3	36	2006	99	5	4	4	2	7
IN081004	2	5	45	2006	99	6	2	4	3	5
