CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
IN091025	1	7	1	10	22	7	0
IN091025	2	2	1	7	18	2	0
IN091026	1	1	1	3	20	6	0
IN091026	2	2	1	12	30	3	0
IN091026	3	6	1	3	20	4	3
IN091027	1	7	1	7	15	8	1
IN091027	2	2	1	6	18	3	0
IN091027	3	3	1	5	20	1	0
IN091028	1	1	1	1	30	8	3
IN091028	2	2	1	3	10	3	0
IN091029	1	2	1	12	20	6	0
IN091029	2	1	1	6	15	8	3
IN091031	1	2	1	12	30	1	0
IN091033	1	2	1	12	30	1	0
IN091036	1	1	1	5	15	8	2
IN091039	1	2	1	1	10	3	0
IN091040	1	7	1	12	30	9	1
IN091040	2	2	1	12	30	4	0
IN091041	1	1	1	7	23	6	0
IN091041	2	2	1	2	25	2	0
IN091042	1	2	1	12	26	2	1
IN091042	2	7	1	1	21	4	1
IN091042	3	1	1	2	4	5	1
IN091044	1	1	1	1	20	8	3
IN091044	2	2	1	12	30	2	0
IN091045	1	1	1	2	7	4	1
IN091045	2	2	1	1	10	2	0
IN091046	1	2	1	7	20	1	0
IN091047	1	1	1	2	17	8	3
IN091047	2	2	1	1	15	2	0
IN091049	1	7	1	12	20	9	1
IN091050	1	7	1	11	20	8	3
IN091050	2	2	1	1	10	2	0
IN101003	1	2	1	12	15	1	0
IN101004	1	2	1	12	20	1	0
IN101005	1	2	1	9	10	1	0
IN101007	1	2	1	12	30	1	0
IN101008	1	2	1	10	20	1	0
IN101011	1	2	1	12	10	1	0
IN101012	1	2	1	8	12	1	0
IN101013	1	2	1	12	15	1	0
IN101016	1	2	1	12	25	1	0
IN101016	2	7	2	12	28	10	1
IN101017	1	2	1	8	12	1	0
IN101019	1	2	1	12	10	1	0
IN101020	1	2	1	9	22	8	0
IN101021	1	2	1	12	20	1	0
IN101022	1	2	1	12	20	1	0
IN101024	1	2	1	12	20	1	0
IN101025	1	2	1	10	20	1	0
IN101026	1	2	1	6	10	1	0
IN101027	1	2	1	8	20	1	0
IN101028	1	2	1	12	25	1	0
IN101030	1	2	1	8	20	1	0
IN101031	1	2	1	10	19	1	0
IN101032	1	2	1	12	25	1	0
IN101033	1	2	1	7	18	1	0
IN101034	1	2	1	12	20	1	0
IN101035	1	7	1	12	30	11	1
IN101035	2	2	1	12	30	1	0
IN101036	1	2	1	12	25	2	0
IN101037	1	2	1	12	24	1	0
IN101038	1	2	1	7	9	1	0
IN101039	1	2	1	9	20	6	0
IN101040	1	2	1	12	20	2	0
IN101042	1	2	1	12	23	2	0
IN101043	1	6	2	10	25	8	1
IN101043	2	2	1	12	28	1	0
IN101044	1	2	1	12	25	1	0
IN101044	2	4	2	10	30	9	3
IN101045	1	2	1	12	28	2	0
IN101046	1	2	1	8	18	5	0
IN101047	1	2	1	12	28	1	0
IN101048	1	2	1	12	20	1	0
IN101050	1	2	1	12	25	1	0
IN111001	1	2	1	12	12	3	0
IN111003	1	2	1	9	23	1	0
IN111004	1	6	2	12	30	12	1
IN111004	2	2	1	12	25	1	0
IN111006	1	2	1	10	20	2	0
IN111006	2	6	1	5	5	8	1
IN111007	1	6	2	5	25	10	1
IN111008	1	6	2	1	30	10	1
IN111008	2	2	1	10	20	3	0
IN111009	1	2	1	12	30	3	0
IN111010	1	2	1	10	25	2	0
IN111011	1	2	1	10	20	2	0
IN111013	1	2	1	10	26	3	0
IN111013	2	1	1	6	5	6	0
IN111014	1	2	1	3	16	4	0
IN111015	1	2	1	10	25	2	0
IN111016	1	2	1	8	20	1	0
IN111018	1	2	1	10	25	4	0
IN111020	1	1	1	8	20	8	3
IN111020	2	2	1	12	25	3	0
IN111021	1	2	1	12	30	2	0
IN111021	2	6	2	9	25	8	4
IN111022	1	6	2	2	20	8	1
IN111022	2	2	1	10	25	4	0
IN111023	1	2	1	10	18	1	0
IN111023	2	1	1	3	12	2	0
IN111024	1	7	2	12	25	9	0
IN111024	2	2	1	10	12	2	0
IN111025	1	2	1	12	30	6	0
IN111025	2	1	1	6	4	4	0
IN111026	1	1	1	4	10	8	0
IN111027	1	1	1	7	20	6	0
IN111027	2	2	1	12	30	5	0
IN111028	1	1	2	5	20	6	0
IN111028	2	2	1	7	25	3	0
IN111029	1	2	1	9	4	1	0
IN111031	1	2	1	12	20	2	0
IN111032	1	2	1	11	27	2	0
IN111033	1	2	1	12	30	1	0
IN111034	1	2	1	10	25	3	0
IN111034	2	1	2	2	20	8	1
IN111035	1	2	1	7	25	4	0
IN111035	2	7	1	5	10	2	0
IN111036	1	2	1	10	20	2	0
IN111038	1	1	1	6	15	4	0
IN111038	2	2	1	5	12	3	0
IN111039	1	1	1	6	15	1	0
IN111039	2	2	1	5	10	1	0
IN111040	1	2	1	10	25	2	0
IN111041	1	1	1	6	20	6	1
IN111041	2	2	1	12	30	4	0
IN111043	1	2	1	10	25	3	0
IN111044	1	1	2	2	10	7	1
IN111044	2	2	1	8	25	4	0
IN111045	1	7	2	12	5	4	2
IN111046	1	2	1	10	26	2	0
IN111047	1	2	1	8	20	2	0
IN111047	2	1	1	3	15	2	0
IN111048	1	2	1	8	18	3	0
IN111048	2	1	1	3	10	2	0
IN111049	1	1	1	8	12	7	3
IN111049	2	2	1	12	22	4	2
IN111050	1	3	1	3	20	3	0
IN111050	2	2	1	10	27	3	0
IN111051	1	2	1	10	20	2	0
IN111053	1	2	1	12	21	2	0
IN111053	2	1	1	8	16	1	0
IN111055	1	2	1	12	26	4	0
IN111055	2	6	1	6	20	8	1
IN111056	1	2	1	11	25	3	0
IN111057	1	2	1	12	30	2	0
IN121001	1	2	1	12	22	2	0
IN121003	1	2	1	12	30	5	0
IN121004	1	2	1	12	20	2	0
IN121005	1	2	1	4	10	1	0
IN121005	2	1	2	9	1	8	1
IN121006	1	2	1	11	25	2	0
IN121007	1	1	1	12	25	1	0
IN121008	1	2	1	12	20	2	0
IN121009	1	2	1	6	20	3	0
IN121010	1	2	1	12	22	3	0
IN121011	1	2	1	6	20	3	0
IN121012	1	2	1	9	25	3	0
IN121012	2	1	1	3	15	4	0
IN121013	1	2	1	10	20	2	0
IN121013	2	6	1	10	5	8	1
IN121014	1	2	1	12	5	2	0
IN121015	1	2	1	12	20	1	0
IN121016	1	2	1	10	20	1	0
IN121017	1	2	1	5	20	2	0
IN121019	1	2	1	12	23	3	0
IN121020	1	2	1	12	20	2	0
IN121020	2	1	1	12	4	7	0
IN121021	1	2	1	12	15	1	0
IN121023	1	2	1	12	22	3	0
IN121023	2	1	1	6	3	7	1
IN121024	1	2	1	12	28	3	0
IN121024	2	1	1	9	10	8	0
IN121024	3	1	2	4	5	8	1
IN121025	1	2	1	12	20	2	0
IN121026	1	2	1	12	20	2	0
IN121027	1	2	1	12	10	1	0
IN121028	1	2	1	12	10	2	0
IN121029	1	2	1	10	15	2	0
IN121030	1	2	1	9	25	2	0
IN121031	1	2	1	12	20	3	0
IN121031	2	1	2	12	4	8	1
IN121032	1	2	1	3	20	2	0
IN121033	1	2	1	10	20	2	0
IN121034	1	2	1	10	22	3	0
IN121035	1	2	1	12	20	3	0
IN121036	1	2	1	12	20	1	0
IN121037	1	2	1	12	28	2	0
IN121037	2	6	1	9	10	8	1
IN121038	1	2	1	12	27	2	0
IN121038	2	1	1	6	15	6	0
IN121039	1	2	1	10	15	3	0
IN121040	1	2	1	12	30	2	0
IN121041	1	1	2	5	8	16	3
IN121042	1	1	2	10	20	7	1
IN121043	1	2	1	10	20	2	0
IN121044	1	2	1	12	20	1	0
IN121045	1	1	2	2	20	6	3
IN121045	2	2	1	2	25	2	0
IN121046	1	1	2	8	20	7	3
IN121047	1	2	1	12	20	2	0
IN121048	1	2	1	9	20	2	0
IN121049	1	2	1	12	20	3	0
IN121050	1	2	1	9	20	2	0
IN121051	1	2	1	8	20	3	0
IN121051	2	1	2	3	20	8	1
IN131001	1	2	1	12	20	2	0
IN131002	1	2	1	12	22	2	0
IN131002	2	6	1	1	30	9	1
IN131003	1	2	1	12	20	1	0
IN131004	1	5	2	7	26	8	1
IN131004	2	2	1	7	24	2	0
IN131005	1	2	1	12	20	2	0
IN131005	2	1	1	6	4	8	1
IN131006	1	2	1	12	20	2	0
IN131007	1	2	1	10	20	5	0
IN131008	1	2	1	12	20	2	0
IN131009	1	2	1	12	20	2	0
IN131010	1	2	1	10	20	1	0
IN131011	1	2	1	12	20	2	0
IN131012	1	2	1	12	28	3	0
IN131013	1	2	1	12	20	1	0
IN131014	1	2	1	10	20	2	0
IN131015	1	2	1	12	20	2	0
IN131016	1	2	1	9	20	3	0
IN131017	1	2	1	12	20	2	0
IN131018	1	2	1	12	20	2	0
IN131019	1	2	1	12	10	2	0
IN131019	2	6	1	8	8	8	1
IN131020	1	7	1	12	28	12	0
IN131021	1	1	2	5	4	6	3
IN131023	1	6	1	12	24	10	1
IN131023	2	2	1	12	20	2	0
IN131024	1	2	1	12	20	5	0
IN131025	1	1	2	6	15	8	1
IN131025	2	2	1	12	20	2	0
IN131026	1	2	1	12	25	2	0
IN131028	1	2	1	12	15	2	0
IN131029	1	7	2	12	25	10	0
IN131030	1	2	1	12	20	2	0
IN131031	1	2	1	12	20	2	0
IN131032	1	2	1	12	20	2	0
IN131034	1	2	1	12	20	2	0
IN131035	1	2	1	12	20	2	0
IN131035	2	7	1	4	15	9	0
IN131036	1	2	1	12	25	2	0
IN131037	1	2	1	12	20	2	0
IN131038	1	2	1	12	20	2	0
IN131040	1	2	1	10	27	2	0
IN131041	1	2	1	12	25	6	0
IN131042	1	1	1	9	3	8	0
IN131042	2	2	1	10	24	2	0
IN131043	1	2	1	2	20	2	0
IN131045	1	2	1	12	26	2	0
IN131046	1	2	1	12	15	1	0
IN131047	1	2	1	12	30	6	0
IN131047	2	6	1	6	20	5	1
IN131048	1	2	1	9	20	3	0
IN131049	1	2	1	12	20	2	0
IN131050	1	2	1	12	25	1	0
