CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN021035	2	5	1	11	5	700
IN021035	3	1	25	11	1	1200
IN021036	1	4	1	11	4	300
IN021037	1	10	1	11	10	2100
IN021038	1	10	1	11	10	1700
IN021039	1	3	1	11	3	15
IN021040	1	1	25	26	1	25000
IN021040	2	1	25	8	1	500
IN021042	1	4	1	11	4	200
IN021043	1	6	1	11	6	1000
IN021044	1	5	6	11	5	1000
IN021047	1	3	8	11	3	700
IN021049	1	1	25	8	1	500
IN021049	2	1	25	22	1	20000
IN021050	1	2	1	11	2	100
IN031003	1	1	23	23	1	300
IN031006	1	0	 	 	 	 
IN031009	1	5	21	11	5	4000
IN031015	1	8	23	23	8	1200
IN031016	1	6	30	26	1	500
IN031016	2	88	 	 	 	 
IN031021	1	0	 	 	 	 
IN031022	1	0	 	 	 	 
IN031023	1	2	19	4	10	10000
IN031024	1	5	1	11	5	400
IN031029	1	1	25	24	1	8000
IN031030	1	4	13	26	1	700
IN031030	2	7	15	26	2	600
IN031030	3	1	23	26	3	500
IN031032	1	6	23	23	6	800
IN031035	1	8	13	26	8	1500
IN031036	1	1	21	21	1	1000
IN031039	1	1	21	21	1	1500
IN031043	1	2	21	21	2	6000
IN031047	1	0	 	 	 	 
IN041001	1	10	1	11	10	500
IN041002	1	8	1	11	8	300
IN041002	2	1	4	11	1	200
IN041003	1	1	25	5	1	500
IN041003	2	5	1	11	5	400
IN041004	1	2	4	11	1	800
IN041004	2	12	1	11	1	1000
IN041005	1	5	1	11	5	200
IN041005	2	2	4	11	2	500
IN041006	1	1	4	11	1	200
IN041006	2	5	1	11	5	300
IN041007	1	1	4	11	1	400
IN041007	2	9	1	11	9	600
IN041009	1	4	1	11	4	0
IN041010	1	2	1	11	2	150
IN041011	1	2	1	11	2	100
IN041011	2	2	1	29	2	100
IN041012	1	7	1	11	7	300
IN041012	2	1	4	11	1	400
IN041013	1	5	1	11	5	200
IN041013	2	1	4	11	1	150
IN041014	1	12	1	11	12	1000
IN041015	1	5	1	11	5	500
IN041016	1	2	4	11	2	600
IN041016	2	12	1	11	12	500
IN041017	1	2	4	11	2	400
IN041017	2	5	1	11	5	150
IN041019	1	4	1	29	4	300
IN041020	1	1	4	11	1	600
IN041020	2	9	1	11	1	450
IN041021	1	4	1	11	4	700
IN041022	1	8	1	11	8	300
IN041022	2	1	4	11	1	200
IN041023	1	6	1	11	6	200
IN041023	2	1	4	11	1	200
IN041024	1	6	1	11	6	500
IN041025	1	8	1	11	8	500
IN041026	1	8	1	11	8	400
IN041027	1	2	25	26	2	40000
IN041028	1	2	12	8	2	1500
IN041029	1	1	25	22	1	20000
IN041029	2	1	25	26	1	500
IN041031	1	1	25	26	1	500
IN041031	2	4	1	11	4	300
IN041032	1	1	25	26	1	800
IN041033	1	10	1	11	10	3000
IN041034	1	2	12	8	2	1500
IN041034	2	1	24	26	1	400
IN041035	1	8	1	11	8	1200
IN041036	1	8	21	21	8	9000
IN041037	1	4	8	5	4	600
IN041037	2	3	23	23	3	500
IN041038	1	1	25	26	1	400
IN041040	1	1	25	23	1	20000
IN041040	2	1	25	26	1	500
IN041041	1	1	21	21	1	2500
IN041041	2	2	1	11	2	100
IN041042	1	1	25	26	1	30000
IN041043	1	2	25	26	2	1000
IN041044	1	1	25	17	1	30000
IN041045	1	8	1	11	8	400
IN041045	2	1	25	26	1	500
IN041047	1	1	4	11	1	400
IN041047	2	8	1	11	8	300
IN041048	1	5	1	11	5	150
IN041049	1	2	25	24	2	120000
IN041049	2	1	30	26	1	25000
IN051001	1	0	1	11	5	3000
IN051002	1	4	1	11	4	500
IN051003	1	8	1	11	8	800
IN051004	1	7	1	11	1	600
IN051005	1	4	1	4	4	300
IN051006	1	 	1	11	3	500
IN051007	1	3	1	11	3	1500
IN051008	1	8	1	1	8	800
IN051009	1	6	1	11	6	600
IN051009	2	1	3	11	1	600
IN051010	1	5	1	11	1	400
IN051011	1	8	23	8	23	1000
IN051012	1	10	1	11	10	3000
IN051013	1	6	1	11	6	400
IN051014	1	3	23	23	3	300
IN051014	2	1	21	21	0	0
IN051014	3	2	1	11	2	100
IN051015	1	5	1	11	5	300
IN051016	1	8	1	11	8	600
IN051016	2	2	4	11	2	800
IN051018	1	8	23	23	8	700
IN051020	1	5	1	32	1	500
IN051021	1	4	30	30	4	800
IN051021	2	4	1	11	4	200
IN051022	1	5	1	11	5	300
IN051023	1	1	12	32	0	 
IN051026	1	8	1	11	8	600
IN051027	1	4	1	11	4	600
IN051027	2	8	12	7	8	700
IN051029	1	2	1	11	2	120
IN051030	1	1	7	11	0	0
IN051030	2	6	1	11	6	800
IN051030	3	2	3	11	0	0
IN051031	1	4	1	11	5	3000
IN051032	1	5	1	11	5	300
IN051033	1	6	1	11	6	800
IN051034	1	0	 	 	 	 
IN051035	1	8	13	7	8	1000
IN051035	2	4	1	11	4	400
IN051036	1	3	1	11	3	200
IN051037	1	1	4	11	1	500
IN051037	2	2	1	11	2	100
IN051039	1	6	1	11	1	600
IN051040	1	4	1	11	1	600
IN051040	2	1	4	11	2	400
IN051040	3	1	3	11	3	300
IN051041	1	8	1	11	8	800
IN051043	1	5	1	11	5	250
IN051044	1	1	23	23	5	2000
IN051046	1	4	1	11	4	200
IN051047	1	6	1	11	6	260
IN051048	1	8	1	11	8	700
IN051048	2	1	2	11	1	3000
IN051048	3	3	4	11	3	1200
IN061001	1	2	4	11	2	1000
IN061001	2	2	3	11	2	1000
IN061001	3	6	8	11	6	500
IN061002	1	2	4	11	2	1000
IN061002	2	5	8	11	5	500
IN061002	3	1	3	11	1	300
IN061003	1	2	2	11	2	200
IN061003	2	2	8	11	2	200
IN061004	1	3	1	11	3	400
IN061005	1	4	1	11	4	400
IN061007	1	4	1	11	4	400
IN061008	1	3	1	11	3	250
IN061008	2	1	12	32	1	5000
IN061008	3	1	30	32	1	5000
IN061009	1	6	1	11	6	750
IN061010	1	6	1	11	6	500
IN061011	1	3	1	11	1	300
IN061012	1	2	1	11	1	200
IN061013	1	3	30	5	3	500
IN061014	1	4	1	11	4	600
IN061015	1	2	4	11	2	1000
IN061015	2	3	1	11	3	300
IN061015	3	1	2	11	1	11000
IN061015	4	5	8	11	5	250
IN061016	1	8	1	11	1	1000
IN061016	2	1	2	11	1	5000
IN061017	1	4	1	11	1	400
IN061018	1	3	1	11	1	500
IN061019	1	3	1	11	1	300
IN061020	1	2	23	23	1	300
IN061021	1	3	1	11	3	200
IN061023	1	2	1	11	2	200
IN061024	1	4	1	11	4	500
IN061025	1	4	1	11	4	450
IN061026	1	4	30	26	1	600
IN061027	1	4	1	11	4	350
IN061028	1	3	15	12	1	1000
IN061029	1	2	1	1	1	8000
IN061029	2	8	1	1	1	10000
IN061029	3	4	1	1	4	10000
IN061030	1	4	1	11	1	300
IN061030	2	1	4	11	2	400
IN061030	3	1	3	11	 	 
IN061031	1	3	1	11	3	500
IN061031	2	0	1	11	1	1800
IN061032	1	4	1	11	1	500
IN061032	2	1	4	11	2	400
IN061032	3	1	7	11	 	 
IN061033	1	5	1	11	1	400
IN061033	2	1	3	11	2	150
IN061033	3	1	4	11	3	400
IN061034	1	6	1	11	6	500
IN061035	1	2	4	11	2	1000
IN061035	2	6	1	11	6	600
IN061035	3	1	3	11	1	1500
IN061035	4	1	2	11	1	15000
IN061036	1	4	1	11	1	500
IN061036	2	1	4	11	2	600
IN061036	3	1	7	11	 	 
IN061037	1	2	23	23	2	200
IN061038	1	8	1	11	8	2000
IN061038	2	1	3	11	1	400
IN061038	3	2	4	11	2	1000
IN061039	1	15	11	4	15	2000
IN061040	1	4	1	11	4	300
IN061041	1	6	1	11	6	800
IN061041	2	2	4	11	2	800
IN061041	3	3	8	11	3	600
IN061043	1	4	1	11	4	300
IN061044	1	4	1	11	5	500
IN061046	1	5	13	7	5	800
IN061046	2	3	1	11	3	300
IN061046	3	3	23	23	3	400
IN061047	1	5	1	11	5	800
IN061049	1	4	1	11	4	500
IN061050	1	4	1	11	4	500
IN071001	1	6	1	11	6	600
IN071002	1	2	1	11	2	150
IN071004	1	3	1	11	3	600
IN071005	1	6	1	11	6	600
IN071006	1	3	1	11	1	400
IN071006	2	1	4	11	2	300
IN071007	1	6	11	11	4	400
IN071007	2	3	12	14	3	700
IN071009	1	8	11	4	8	1500
IN071011	1	4	1	11	4	600
IN071011	2	1	2	11	1	7000
IN071011	3	2	23	23	2	1000
IN071012	1	3	4	11	3	1500
IN071012	2	5	1	11	5	800
IN071013	1	3	1	11	3	200
IN071014	1	2	4	11	2	800
IN071014	2	6	1	11	6	600
IN071015	1	3	1	11	3	500
IN071016	1	3	1	11	3	400
IN071017	1	5	1	11	1	300
IN071018	1	1	4	11	1	500
IN071018	2	4	1	11	4	300
IN071018	3	2	8	11	2	100
IN071019	1	1	4	11	1	500
IN071019	2	2	1	11	2	200
IN071020	1	8	1	11	8	1000
IN071021	1	3	1	11	3	300
IN071022	1	3	1	11	1	200
IN071023	1	4	23	23	4	1000
IN071024	1	4	11	11	4	600
IN071025	1	2	1	11	2	200
IN071025	2	1	4	11	1	500
IN071026	1	4	1	11	4	200
IN071026	2	1	4	11	1	500
IN071026	3	2	8	11	2	200
IN071027	1	3	1	11	3	1000
IN071027	2	1	2	11	1	8000
IN071028	1	6	1	11	6	800
IN071029	1	3	1	11	3	300
IN071031	1	4	1	11	4	500
IN071033	1	5	1	11	5	500
IN071033	2	4	14	18	4	600
IN071034	1	3	4	11	3	1200
IN071034	2	8	1	11	8	700
IN071034	3	1	8	11	1	400
IN071035	1	3	4	11	3	1200
IN071035	2	7	1	11	7	800
IN071035	3	2	8	11	1	500
IN071036	1	4	1	11	1	300
IN071037	1	1	4	11	1	100
IN071037	2	2	1	11	2	200
IN071038	1	3	4	11	3	1200
IN071038	2	6	1	11	6	800
IN071038	3	2	8	11	2	600
IN071039	1	4	1	11	1	400
IN071039	2	1	4	11	2	150
IN071040	1	1	15	12	1	500
IN071040	2	1	23	26	1	300
IN071042	1	3	1	11	3	90
IN071043	1	4	1	11	4	500
IN071044	1	2	4	11	2	800
IN071044	2	5	1	11	5	400
IN071044	3	4	8	11	4	500
IN071045	1	4	4	26	4	100
IN071046	1	2	13	2	2	100
IN071046	2	1	1	1	1	30
IN071047	1	3	23	23	3	5000
IN071048	1	4	1	11	4	700
IN071049	1	1	2	11	1	300
IN071049	2	2	8	11	2	100
IN071050	1	5	3	26	5	2000
IN081001	1	4	1	11	4	400
IN081001	2	1	7	11	0	-88
IN081001	3	6	13	7	6	800
IN081002	1	3	1	11	3	240
IN081003	1	5	1	11	5	250
IN081003	2	1	7	11	0	-88
IN081004	1	3	1	8	3	130
IN081005	1	4	1	11	4	150
IN081006	1	4	1	11	4	500
IN081007	1	6	1	11	6	400
IN081007	2	1	7	11	0	-88
IN081008	1	12	1	11	8	430
IN081008	2	1	7	11	0	-88
IN081009	1	2	1	8	2	40
IN081010	1	2	1	11	4	100
IN081011	1	3	1	8	3	70
IN081011	2	1	21	21	1	2800
IN081012	1	8	1	11	8	1300
IN081012	2	1	21	21	1	3000
IN081012	3	1	7	11	0	-88
IN081013	1	8	1	8	8	150
IN081014	1	4	30	26	4	400
IN081015	1	5	 	32	2	1000
IN081015	2	1	2	32	1	5000
IN081016	1	4	1	11	4	230
IN081016	2	8	13	7	8	800
IN081017	1	6	1	11	3	150
IN081018	1	12	30	14	12	2400
IN081019	1	1	12	32	1	200
IN081019	2	1	2	32	1	7000
IN081019	3	1	30	32	2	600
IN081020	1	5	1	11	5	250
IN081020	2	1	2	11	1	10000
IN081020	3	3	8	11	3	6000
IN081021	1	11	1	11	6	250
IN081021	2	1	7	11	0	-88
IN081022	1	1	2	26	1	15000
IN081022	2	1	12	26	1	2000
IN081022	3	2	30	26	2	1500
IN081023	1	8	1	11	8	200
IN081023	2	1	7	11	0	-88
IN081023	3	2	1	11	1	10000
IN081024	1	4	1	11	4	280
IN081024	2	3	12	8	3	180
IN081025	1	1	1	11	1	40
IN081025	2	1	7	11	0	-88
IN081025	3	4	9	2	4	300
IN081026	1	3	1	11	3	150
IN081026	2	1	7	11	0	-88
IN081027	1	14	1	11	12	1000
IN081027	2	1	7	11	0	-88
IN081028	1	9	1	11	4	250
IN081028	2	4	9	2	4	380
IN081028	3	1	7	11	0	-88
IN081029	1	4	13	26	4	500
IN081030	1	3	1	11	3	120
IN081030	2	1	7	11	0	-88
IN081031	1	6	1	11	6	200
IN081031	2	1	7	11	0	0
IN081031	3	10	9	2	10	500
IN081031	4	1	10	2	1	800
IN081032	1	4	8	8	4	100
IN081033	1	2	1	11	2	110
IN081034	1	7	1	11	8	300
IN081034	2	1	7	11	0	0
IN081035	1	5	1	11	5	700
IN081035	2	1	7	11	0	-88
IN081036	1	3	1	11	3	200
IN081036	2	1	7	11	0	-88
IN081037	1	4	1	11	4	150
IN081037	2	1	7	11	0	0
IN081038	1	10	1	11	10	21000
IN081038	2	1	2	11	1	10000
IN081038	3	1	7	11	0	-88
IN081039	1	8	1	11	4	200
IN081039	2	1	7	11	0	 
IN081040	1	4	1	11	4	150
IN081040	2	2	30	11	2	150
IN081040	3	1	7	11	0	0
IN081041	1	3	1	8	3	800
IN081042	1	4	1	8	4	100
IN081043	1	11	1	11	11	600
IN081043	2	1	7	11	0	-88
IN081044	1	3	1	11	3	150
IN081044	2	1	7	11	0	-88
IN081045	1	15	1	11	15	1500
IN081045	2	1	7	11	1	350000
IN081045	3	1	21	21	1	4000
IN081046	1	8	1	11	4	200
IN081046	2	1	7	11	 	-88
IN081047	1	3	1	8	3	230
IN081048	1	1	2	32	1	8000
IN081048	2	4	13	32	4	1600
IN081048	3	5	30	32	5	1000
IN081049	1	11	1	11	8	520
IN081049	2	1	7	11	0	-88
IN081050	1	6	8	8	6	100
IN091001	1	1	1	11	1	50
IN091002	1	3	1	8	3	120
IN091003	1	3	1	11	2	60
IN091004	1	8	1	11	8	480
IN091005	1	6	1	11	6	1000
IN091005	2	0	88	88	88	88
IN091006	1	1	7	11	0	 
IN091006	2	1	4	11	0	 
IN091006	3	4	8	11	4	200
IN091007	1	15	1	11	6	180
IN091007	2	1	4	11	1	200
IN091008	1	10	1	11	10	2100
IN091009	1	3	1	11	3	400
IN091010	1	11	1	11	9	450
IN091012	1	4	1	11	4	160
IN091013	1	4	1	11	5	150
IN091014	1	4	1	11	2	300
IN091015	1	5	1	11	5	1500
IN091015	2	1	4	11	1	5000
IN091015	3	1	7	11	1	5000
IN091016	1	5	1	11	5	400
IN091017	1	6	1	11	6	120
IN091018	1	2	4	11	0	0
IN091018	2	1	7	11	0	0
IN091018	3	5	1	11	5	250
IN091019	1	4	1	11	4	480
IN091020	1	1	7	11	0	-88
IN091020	2	1	4	11	1	200
IN091020	3	7	1	11	4	160
IN091021	1	4	1	8	4	350
IN091022	1	3	1	11	3	120
IN091026	1	1	2	11	1	2000
IN091026	2	1	4	11	1	500
IN091026	3	5	1	11	5	200
IN091027	1	4	1	11	4	126
IN091027	2	0	 	 	 	 
IN091028	1	3	1	11	3	100
IN091029	1	5	1	11	5	150
IN091030	1	4	1	11	4	200
IN091034	1	8	30	7	8	1500
IN091036	1	5	1	11	5	400
IN091037	1	1	12	8	0	-88
IN091037	2	4	1	11	4	600
IN091039	1	6	1	11	6	1000
IN091040	1	4	1	11	4	200
IN091041	1	15	8	11	5	400
IN091042	1	9	1	11	9	400
IN091043	1	4	1	5	4	500
IN091044	1	4	1	29	4	450
IN091045	1	2	1	29	2	130
IN091046	1	1	7	11	0	-88
IN091046	2	1	4	11	0	-88
IN091046	3	5	1	11	5	250
IN091047	1	2	1	11	2	60
IN091050	1	4	30	26	4	30000
IN101002	1	3	12	8	3	450
IN101002	2	1	25	24	1	17000
IN101003	1	6	15	12	6	3500
IN101004	1	2	12	8	2	50
IN101004	2	1	30	26	1	15000
IN101005	1	1	25	26	1	20000
IN101005	2	8	30	8	8	100
IN101005	3	1	30	31	1	1000000
IN101007	1	1	25	26	1	28000
IN101008	1	20	15	12	20	800
IN101008	2	1	21	21	1	3200
IN101008	3	1	25	24	1	18000
IN101011	1	1	25	26	1	15000
IN101012	1	2	12	8	2	50
IN101013	1	3	21	21	1	3000
IN101016	1	3	12	8	3	150
IN101017	1	4	23	23	4	28000
IN101017	2	2	30	8	2	150
IN101018	1	3	12	8	3	400
IN101019	1	5	12	8	5	820
IN101019	2	8	11	4	8	1800
IN101019	3	1	21	21	1	2200
IN101019	4	1	25	24	1	60000
IN101020	1	1	30	26	1	4500
IN101021	1	5	12	8	5	450
IN101023	1	2	25	26	2	3000
IN101024	1	5	12	8	5	850
IN101024	2	1	21	21	1	2200
IN101024	3	1	25	24	1	35000
IN101025	1	8	12	8	8	850
IN101026	1	4	12	8	4	250
IN101027	1	4	30	8	4	50
IN101028	1	4	30	26	4	400
IN101030	1	4	25	24	1	701000
IN101031	1	1	25	24	1	100000
IN101032	1	1	30	23	1	1000
IN101032	2	3	12	8	3	80
IN101033	1	1	25	26	1	300000
IN101034	1	2	25	24	2	429000
IN101034	2	4	30	26	4	70000
IN101034	3	3	30	8	3	150
IN101035	1	1	25	26	1	1500
IN101036	1	1	21	21	1	2500
IN101036	2	1	30	21	1	120
IN101038	1	3	30	23	1	10000
IN101039	1	3	30	8	3	200
IN101040	1	6	30	8	6	60
IN101041	1	6	12	8	6	400
IN101043	1	4	1	8	4	120
IN101044	1	3	12	28	3	310
IN101045	1	4	15	12	4	780
IN101046	1	3	12	8	2	250
IN101047	1	4	1	28	3	340
IN101048	1	4	12	26	4	100
IN101048	2	1	3	26	1	200
IN101049	1	8	30	26	8	1400
IN101050	1	3	12	8	3	310
IN111001	1	2	4	11	2	1500
IN111001	2	4	1	11	4	300
IN111002	1	4	1	11	4	150
IN111003	1	1	2	11	1	15000
IN111003	2	4	8	11	4	4000
IN111003	3	2	4	11	2	1000
IN111004	1	5	1	11	5	60
IN111005	1	0	30	14	6	300
IN111006	1	9	1	11	9	420
IN111006	2	2	4	11	0	-88
IN111007	1	5	1	11	5	200
IN111008	1	4	1	11	4	1600
IN111009	1	5	1	11	5	450
IN111010	1	4	1	11	5	480
IN111010	2	1	23	23	1	600
IN111010	3	4	4	11	-77	-88
IN111011	1	1	2	11	1	20000
IN111011	2	2	4	11	2	3000
IN111011	3	8	1	11	8	1200
IN111012	1	5	1	11	5	650
IN111012	2	0	 	 	 	 
IN111013	1	3	4	11	3	4000
IN111013	2	1	3	11	1	2000
IN111013	3	2	23	23	2	2000
IN111014	1	5	1	1	5	3750
IN111014	2	1	3	1	1	3000
IN111014	3	1	4	1	1	1500
IN111015	1	5	1	11	5	500
IN111016	1	4	30	26	4	3700
IN111016	2	2	1	8	2	400
IN111018	1	1	3	11	1	3000
IN111018	2	10	1	11	10	2000
IN111018	3	0	 	 	 	 
IN111019	1	3	4	11	3	4000
IN111019	2	1	2	11	1	6600
IN111019	3	5	1	11	5	260
IN111020	1	5	1	29	5	420
IN111021	1	3	4	11	0	 
IN111021	2	2	1	11	2	200
IN111021	3	7	8	11	7	360
IN111022	1	1	2	11	1	8000
IN111022	2	7	1	11	7	9270
IN111023	1	3	4	11	3	7000
IN111023	2	6	1	11	6	860
IN111023	3	1	2	11	1	20000
IN111024	1	5	1	11	5	500
IN111024	2	7	1	11	0	-88
IN111025	1	1	2	11	1	20000
IN111025	2	1	4	11	1	1000
IN111025	3	10	1	11	10	9500
IN111026	1	3	4	11	3	5000
IN111026	2	7	1	11	7	670
IN111027	1	4	4	11	3	2100
IN111027	2	2	1	11	2	500
IN111027	3	8	8	11	8	360
IN111028	1	4	1	11	4	280
IN111029	1	6	1	11	6	10800
IN111029	2	1	4	11	1	1000
IN111030	1	1	4	11	1	1000
IN111030	2	9	1	11	7	240
IN111031	1	8	1	11	8	800
IN111031	2	2	4	11	0	-88
IN111032	1	3	1	11	3	350
IN111033	1	1	7	11	0	1000
IN111033	2	3	1	11	3	100
IN111033	3	3	4	11	0	500
IN111034	1	5	1	11	5	930
IN111034	2	1	7	11	0	-88
IN111035	1	4	1	11	4	300
IN111035	2	1	7	11	0	-88
IN111036	1	3	4	11	0	-88
IN111036	2	6	1	11	6	650
IN111036	3	1	21	21	1	2500
IN111038	1	5	1	11	5	2400
IN111038	2	1	4	11	1	1000
IN111038	3	1	2	11	1	20000
IN111039	1	6	1	11	6	7350
IN111039	2	1	3	11	1	2000
IN111039	3	1	2	11	1	25000
IN111040	1	1	2	11	1	20000
IN111040	2	3	4	11	3	5000
IN111040	3	1	3	11	1	800
IN111040	4	14	1	11	14	455
IN111041	1	1	4	11	0	150
IN111041	2	8	1	11	6	340
IN111043	1	1	4	11	0	 
IN111043	2	5	1	11	5	200
IN111044	1	4	1	11	4	480
IN111044	2	1	7	11	0	-88
IN111045	1	4	12	32	4	8400
IN111046	1	12	4	11	12	20000
IN111046	2	7	1	11	7	740
IN111047	1	4	1	11	4	390
IN111047	2	5	4	11	0	-88
IN111048	1	3	1	11	3	5000
IN111049	1	7	1	11	0	 
IN111050	1	5	1	11	5	550
IN111050	2	1	7	11	0	-88
IN111051	1	1	21	21	1	2000
IN111051	2	4	1	27	4	700
IN111051	3	4	4	11	0	-88
IN111053	1	3	4	11	3	3000
IN111053	2	4	4	11	4	180
IN111054	1	1	25	24	1	32000
IN111056	1	2	12	32	2	1000
IN111057	1	2	1	11	2	150
IN111057	2	6	8	11	6	410
IN121001	1	2	1	27	2	110
IN121002	1	1	4	11	0	 
IN121002	2	7	1	11	5	380
IN121003	1	1	4	11	1	600
IN121003	2	17	1	11	17	6115
IN121003	3	1	2	11	1	25000
IN121004	1	4	1	11	4	280
IN121005	1	5	1	11	5	380
IN121005	2	1	7	11	0	-88
IN121006	1	11	1	5	11	660
IN121007	1	2	23	23	2	3800
IN121008	1	9	13	26	9	6750
IN121009	1	4	1	5	4	350
IN121011	1	5	1	11	0	-88
IN121011	2	1	7	11	0	-88
IN121012	1	9	1	11	9	2290
IN121012	2	1	4	11	1	500
IN121013	1	3	12	32	3	3700
IN121013	2	5	1	11	5	1240
IN121014	1	9	9	2	9	5575
IN121016	1	5	1	11	5	240
IN121017	1	18	1	11	18	850
IN121019	1	7	1	11	7	540
IN121020	1	2	1	11	2	100
IN121022	1	4	1	27	4	195
IN121023	1	16	1	11	16	500
IN121023	2	2	4	11	0	-88
IN121024	1	1	5	11	1	3000
IN121024	2	2	26	25	0	-88
IN121024	3	4	1	5	5	140
IN121026	1	1	4	11	0	0
IN121026	2	11	1	11	11	750
IN121027	1	3	1	11	3	3200
IN121028	1	1	7	11	1	400000
IN121028	2	5	1	11	5	42000
IN121028	3	1	2	11	1	25000
IN121029	1	5	1	11	5	500
IN121030	1	8	1	11	8	650
IN121030	2	1	7	11	0	-88
IN121031	1	4	1	29	4	400
IN121032	1	1	4	11	4	360
IN121032	2	1	7	11	0	-88
IN121032	3	1	23	21	1	3000
IN121033	1	46	30	5	46	1500
IN121033	2	5	1	27	5	370
IN121034	1	3	1	30	3	230
IN121036	1	1	5	11	1	25000
IN121036	2	1	2	11	1	10000
IN121036	3	3	23	23	1	9000
IN121037	1	5	1	11	5	400
IN121038	1	1	5	11	1	15000
IN121038	2	16	1	11	1	335
IN121038	3	1	4	11	0	-88
IN121039	1	11	23	23	11	700
IN121039	2	5	1	5	5	155
IN121040	1	7	1	5	7	260
IN121041	1	3	1	29	3	210
IN121042	1	7	1	11	7	570
IN121042	2	1	7	11	0	-88
IN121044	1	10	1	11	10	290
IN121045	1	5	1	29	5	620
IN121046	1	4	1	29	4	410
IN121047	1	8	30	5	8	1980
IN121048	1	4	1	11	4	310
IN121048	2	1	7	11	0	-88
IN121050	1	150	8	11	150	2250
IN121050	2	1	4	11	1	500
IN121050	3	2	8	11	2	5500
IN121051	1	6	1	29	6	400
IN131001	1	6	1	5	6	215
IN131005	1	9	1	11	9	280
IN131005	2	1	7	11	0	-88
IN131006	1	1	4	11	0	0
IN131006	2	4	1	11	4	270
IN131007	1	5	1	11	0	-88
IN131007	2	9	30	26	9	6800
IN131009	1	2	4	11	2	1000
IN131009	2	1	8	11	1	1500
IN131009	3	1	3	11	1	2500
IN131010	1	1	4	11	1	1500
IN131010	2	1	2	11	1	20000
IN131010	3	28	1	11	28	1550
IN131011	1	5	1	11	5	350
IN131013	1	6	1	11	6	1200
IN131013	2	1	2	11	1	10000
