CHILDCODE	SHCKIDR5	EVNTR5	EV2013R5	EV2014R5	EV2015R5	EV2016R5
11020	47	0	 	 	 	 
11020	48	0	 	 	 	 
11020	61	0	 	 	 	 
11021	1	0	 	 	 	 
11021	10	0	 	 	 	 
11021	12	0	 	 	 	 
11021	13	0	 	 	 	 
11021	14	0	 	 	 	 
11021	16	0	 	 	 	 
11021	23	0	 	 	 	 
11021	24	0	 	 	 	 
11021	25	0	 	 	 	 
11021	26	0	 	 	 	 
11021	27	0	 	 	 	 
11021	28	0	 	 	 	 
11021	29	0	 	 	 	 
11021	30	0	 	 	 	 
11021	31	0	 	 	 	 
11021	32	0	 	 	 	 
11021	34	0	 	 	 	 
11021	35	0	 	 	 	 
11021	36	0	 	 	 	 
11021	37	0	 	 	 	 
11021	38	0	 	 	 	 
11021	39	0	 	 	 	 
11021	40	0	 	 	 	 
11021	41	0	 	 	 	 
11021	42	0	 	 	 	 
11021	45	0	 	 	 	 
11021	47	0	 	 	 	 
11021	48	0	 	 	 	 
11021	61	0	 	 	 	 
11022	1	0	 	 	 	 
11022	10	0	 	 	 	 
11022	12	0	 	 	 	 
11022	13	0	 	 	 	 
11022	14	0	 	 	 	 
11022	16	0	 	 	 	 
11022	23	0	 	 	 	 
11022	24	0	 	 	 	 
11022	25	0	 	 	 	 
11022	26	0	 	 	 	 
11022	27	0	 	 	 	 
11022	28	1	N	N	Y	N
11022	29	1	N	N	Y	N
11022	30	0	 	 	 	 
11022	31	0	 	 	 	 
11022	32	0	 	 	 	 
11022	34	0	 	 	 	 
11022	35	0	 	 	 	 
11022	36	0	 	 	 	 
11022	37	0	 	 	 	 
11022	38	0	 	 	 	 
11022	39	0	 	 	 	 
11022	40	0	 	 	 	 
11022	41	0	 	 	 	 
11022	42	0	 	 	 	 
11022	45	0	 	 	 	 
11022	47	0	 	 	 	 
11022	48	0	 	 	 	 
11022	61	0	 	 	 	 
11024	1	0	 	 	 	 
11024	10	0	 	 	 	 
11024	12	0	 	 	 	 
11024	13	0	 	 	 	 
11024	14	0	 	 	 	 
11024	16	0	 	 	 	 
11024	23	0	 	 	 	 
11024	24	0	 	 	 	 
11024	25	0	 	 	 	 
11024	26	0	 	 	 	 
11024	27	0	 	 	 	 
11024	28	0	 	 	 	 
11024	29	0	 	 	 	 
11024	30	0	 	 	 	 
11024	31	0	 	 	 	 
11024	32	0	 	 	 	 
11024	34	0	 	 	 	 
11024	35	0	 	 	 	 
11024	36	0	 	 	 	 
11024	37	0	 	 	 	 
11024	38	0	 	 	 	 
11024	39	0	 	 	 	 
11024	40	0	 	 	 	 
11024	41	0	 	 	 	 
11024	42	0	 	 	 	 
11024	45	0	 	 	 	 
11024	47	0	 	 	 	 
11024	48	0	 	 	 	 
11024	61	0	 	 	 	 
11025	1	0	 	 	 	 
11025	10	0	 	 	 	 
11025	12	0	 	 	 	 
11025	13	0	 	 	 	 
11025	14	0	 	 	 	 
11025	16	0	 	 	 	 
11025	23	0	 	 	 	 
11025	24	0	 	 	 	 
11025	25	0	 	 	 	 
11025	26	0	 	 	 	 
11025	27	0	 	 	 	 
11025	28	0	 	 	 	 
11025	29	0	 	 	 	 
11025	30	0	 	 	 	 
11025	31	0	 	 	 	 
11025	32	0	 	 	 	 
11025	34	0	 	 	 	 
11025	35	0	 	 	 	 
11025	36	0	 	 	 	 
11025	37	0	 	 	 	 
11025	38	0	 	 	 	 
11025	39	0	 	 	 	 
11025	40	0	 	 	 	 
11025	41	0	 	 	 	 
11025	42	0	 	 	 	 
11025	45	0	 	 	 	 
11025	47	0	 	 	 	 
11025	48	0	 	 	 	 
11025	61	0	 	 	 	 
11026	1	0	 	 	 	 
11026	10	0	 	 	 	 
11026	12	0	 	 	 	 
11026	13	0	 	 	 	 
11026	14	0	 	 	 	 
11026	16	0	 	 	 	 
11026	23	0	 	 	 	 
11026	24	0	 	 	 	 
11026	25	0	 	 	 	 
11026	26	0	 	 	 	 
11026	27	0	 	 	 	 
11026	28	0	 	 	 	 
11026	29	0	 	 	 	 
11026	30	0	 	 	 	 
11026	31	0	 	 	 	 
11026	32	0	 	 	 	 
11026	34	0	 	 	 	 
11026	35	0	 	 	 	 
11026	36	0	 	 	 	 
11026	37	0	 	 	 	 
11026	38	0	 	 	 	 
11026	39	0	 	 	 	 
11026	40	0	 	 	 	 
11026	41	0	 	 	 	 
11026	42	0	 	 	 	 
11026	45	0	 	 	 	 
11026	47	0	 	 	 	 
11026	48	0	 	 	 	 
11026	61	0	 	 	 	 
11029	1	0	 	 	 	 
11029	10	0	 	 	 	 
11029	12	0	 	 	 	 
11029	13	0	 	 	 	 
11029	14	1	N	N	N	Y
11029	16	0	 	 	 	 
11029	23	0	 	 	 	 
11029	24	0	 	 	 	 
11029	25	0	 	 	 	 
11029	26	0	 	 	 	 
11029	27	0	 	 	 	 
11029	28	0	 	 	 	 
11029	29	0	 	 	 	 
11029	30	0	 	 	 	 
11029	31	0	 	 	 	 
11029	32	0	 	 	 	 
11029	34	0	 	 	 	 
11029	35	0	 	 	 	 
11029	36	0	 	 	 	 
11029	37	0	 	 	 	 
11029	38	0	 	 	 	 
11029	39	0	 	 	 	 
11029	40	0	 	 	 	 
11029	41	0	 	 	 	 
11029	42	0	 	 	 	 
11029	45	0	 	 	 	 
11029	47	0	 	 	 	 
11029	48	0	 	 	 	 
11029	61	0	 	 	 	 
11030	1	0	 	 	 	 
11030	10	0	 	 	 	 
11030	12	0	 	 	 	 
11030	13	0	 	 	 	 
11030	14	0	 	 	 	 
11030	16	0	 	 	 	 
11030	23	0	 	 	 	 
11030	24	0	 	 	 	 
11030	25	0	 	 	 	 
11030	26	0	 	 	 	 
11030	27	0	 	 	 	 
11030	28	0	 	 	 	 
11030	29	0	 	 	 	 
11030	30	0	 	 	 	 
11030	31	0	 	 	 	 
11030	32	0	 	 	 	 
11030	34	0	 	 	 	 
11030	35	0	 	 	 	 
11030	36	0	 	 	 	 
11030	37	0	 	 	 	 
11030	38	0	 	 	 	 
11030	39	0	 	 	 	 
11030	40	0	 	 	 	 
11030	41	0	 	 	 	 
11030	42	0	 	 	 	 
11030	45	0	 	 	 	 
11030	47	0	 	 	 	 
11030	48	0	 	 	 	 
11030	61	0	 	 	 	 
11031	1	0	 	 	 	 
11031	10	0	 	 	 	 
11031	12	0	 	 	 	 
11031	13	0	 	 	 	 
11031	14	0	 	 	 	 
11031	16	0	 	 	 	 
11031	23	0	 	 	 	 
11031	24	0	 	 	 	 
11031	25	0	 	 	 	 
11031	26	0	 	 	 	 
11031	27	0	 	 	 	 
11031	28	0	 	 	 	 
11031	29	0	 	 	 	 
11031	30	0	 	 	 	 
11031	31	0	 	 	 	 
11031	32	0	 	 	 	 
11031	34	0	 	 	 	 
11031	35	0	 	 	 	 
11031	36	1	N	N	N	Y
11031	37	0	 	 	 	 
11031	38	0	 	 	 	 
11031	39	0	 	 	 	 
11031	40	0	 	 	 	 
11031	41	0	 	 	 	 
11031	42	0	 	 	 	 
11031	45	0	 	 	 	 
11031	47	0	 	 	 	 
11031	48	0	 	 	 	 
11031	61	0	 	 	 	 
11032	1	0	 	 	 	 
11032	10	0	 	 	 	 
11032	12	0	 	 	 	 
11032	13	0	 	 	 	 
11032	14	0	 	 	 	 
11032	16	0	 	 	 	 
11032	23	0	 	 	 	 
11032	24	0	 	 	 	 
11032	25	0	 	 	 	 
11032	26	0	 	 	 	 
11032	27	0	 	 	 	 
11032	28	0	 	 	 	 
11032	29	0	 	 	 	 
11032	30	0	 	 	 	 
11032	31	0	 	 	 	 
11032	32	0	 	 	 	 
11032	34	0	 	 	 	 
11032	35	0	 	 	 	 
11032	36	0	 	 	 	 
11032	37	0	 	 	 	 
11032	38	0	 	 	 	 
11032	39	0	 	 	 	 
11032	40	0	 	 	 	 
11032	41	0	 	 	 	 
11032	42	0	 	 	 	 
11032	45	0	 	 	 	 
11032	47	0	 	 	 	 
11032	48	0	 	 	 	 
11032	61	0	 	 	 	 
11033	1	0	 	 	 	 
11033	10	0	 	 	 	 
11033	12	0	 	 	 	 
11033	13	0	 	 	 	 
11033	14	0	 	 	 	 
11033	16	0	 	 	 	 
11033	23	0	 	 	 	 
11033	24	0	 	 	 	 
11033	25	0	 	 	 	 
11033	26	0	 	 	 	 
11033	27	0	 	 	 	 
11033	28	0	 	 	 	 
11033	29	0	 	 	 	 
11033	30	0	 	 	 	 
11033	31	0	 	 	 	 
11033	32	0	 	 	 	 
11033	34	0	 	 	 	 
11033	35	0	 	 	 	 
11033	36	0	 	 	 	 
11033	37	0	 	 	 	 
11033	38	0	 	 	 	 
11033	39	0	 	 	 	 
11033	40	0	 	 	 	 
11033	41	0	 	 	 	 
11033	42	0	 	 	 	 
11033	45	0	 	 	 	 
11033	47	0	 	 	 	 
11033	48	0	 	 	 	 
11033	61	0	 	 	 	 
11034	1	0	 	 	 	 
11034	10	0	 	 	 	 
11034	12	0	 	 	 	 
11034	13	0	 	 	 	 
11034	14	0	 	 	 	 
11034	16	0	 	 	 	 
11034	23	0	 	 	 	 
11034	24	0	 	 	 	 
11034	25	0	 	 	 	 
11034	26	0	 	 	 	 
11034	27	0	 	 	 	 
11034	28	0	 	 	 	 
11034	29	0	 	 	 	 
11034	30	0	 	 	 	 
11034	31	0	 	 	 	 
11034	32	0	 	 	 	 
11034	34	0	 	 	 	 
11034	35	0	 	 	 	 
11034	36	0	 	 	 	 
11034	37	0	 	 	 	 
11034	38	0	 	 	 	 
11034	39	0	 	 	 	 
11034	40	0	 	 	 	 
11034	41	0	 	 	 	 
11034	42	0	 	 	 	 
11034	45	0	 	 	 	 
11034	47	0	 	 	 	 
11034	48	0	 	 	 	 
11034	61	0	 	 	 	 
11035	1	1	N	N	Y	N
11035	10	0	 	 	 	 
11035	12	0	 	 	 	 
11035	13	0	 	 	 	 
11035	14	0	 	 	 	 
11035	16	0	 	 	 	 
11035	23	0	 	 	 	 
11035	24	0	 	 	 	 
11035	25	0	 	 	 	 
11035	26	0	 	 	 	 
