CHILDCODE	MEMIDR5	MEMMOVR5	LIVHSER5	YRDIEDR5	MEMAGER5	MEAGMTR5	MEMSEXR5	RELATER5	THSCOMR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	GRADER5	STILLR5	TYPATDR5	WHYNOTR5	AGEGRDR5
11011	1	 	1	 	58	 	2	1	 	1	4	0	98	98	1	2	0	 	 	 	 	 	 
11012	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11012	1	0	4	 	62	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	2	0	4	 	60	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	3	0	4	 	35	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	4	0	4	 	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	0	1	1	 	23	 	1	0	 	9	6	0	98	98	1	14	0	 	 	 	 	 	 
11015	1	0	3	2014	-88	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	2	0	4	 	47	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	3	0	4	 	46	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	4	0	4	 	42	 	2	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	17	0	4	 	17	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	18	 	1	 	31	 	1	21	 	1	3	0	98	98	1	14	0	 	 	 	 	 	 
11015	19	 	1	 	33	 	1	21	 	9	3	0	98	98	1	14	0	 	 	 	 	 	 
11016	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11016	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	2	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	3	0	4	 	51	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	4	0	3	2015	-88	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	5	0	4	 	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	6	0	4	 	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	7	0	4	 	20	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	17	0	4	 	16	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	8	0	 	 	 	 	 	 
11018	1	 	1	 	48	 	1	1	 	2	3	0	98	98	1	5	0	 	 	 	 	 	 
11018	2	 	1	 	44	 	2	1	 	1	3	0	98	98	1	3	0	 	 	 	 	 	 
11018	3	 	1	 	20	 	2	7	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
11018	4	 	1	 	13	 	2	7	 	3	6	0	2	1	 	 	 	1	7	1	3	 	 
11018	5	 	1	 	5	 	2	7	 	3	 	 	2	1	 	 	 	0	 	 	 	 	 
11019	0	1	1	 	21	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11019	1	0	3	2011	-88	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	2	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	3	0	4	 	49	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	4	0	4	 	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	5	0	4	 	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	6	0	4	 	19	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	0	1	1	 	23	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11020	1	0	4	 	54	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	2	0	4	 	54	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	3	0	4	 	34	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	4	0	4	 	31	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	5	0	4	 	31	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	6	0	4	 	7	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	7	 	1	 	21	 	2	21	 	9	6	0	98	98	1	12	1	 	 	 	 	 	 
11020	8	 	1	 	20	 	2	14	 	7	6	0	98	98	1	12	1	 	 	 	 	 	 
11021	0	1	1	 	23	 	2	0	 	2	3	0	98	98	1	13	0	 	 	 	 	 	 
11021	1	0	4	 	45	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	2	0	4	 	45	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	17	0	4	 	19	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	18	 	1	 	27	 	1	24	 	1	3	0	98	98	1	13	0	 	 	 	 	 	 
11022	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
11022	1	 	1	 	56	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
11022	2	 	1	 	56	 	2	1	 	2	3	0	98	98	1	3	0	 	 	 	 	 	 
11022	3	 	4	 	33	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	4	 	4	 	31	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	5	 	1	 	29	 	1	7	 	3	6	0	2	1	1	10	0	 	 	 	 	 	 
11024	0	 	1	 	22	 	2	0	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
11024	1	 	1	 	71	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
11024	2	 	1	 	66	 	2	1	 	2	3	0	98	98	1	6	0	 	 	 	 	 	 
11024	3	 	4	 	39	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	4	 	4	 	32	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	5	 	1	 	27	 	1	7	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
11025	0	 	1	 	21	 	2	0	 	3	6	0	1	2	1	12	0	 	 	 	 	 	 
11025	1	 	1	 	57	 	2	1	 	2	3	0	98	98	1	4	0	 	 	 	 	 	 
11025	2	 	1	 	51	 	1	1	 	1	3	0	98	98	1	4	0	 	 	 	 	 	 
11025	3	 	4	 	32	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	4	 	1	 	25	 	1	7	 	3	6	0	1	2	1	10	0	 	 	 	 	 	 
11025	5	 	4	 	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	0	1	1	 	22	 	2	0	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11026	1	0	4	 	58	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	2	0	4	 	56	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	3	0	4	 	30	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	4	0	4	 	28	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	5	0	4	 	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	6	 	1	 	23	 	1	24	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
11029	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
11029	1	 	1	 	42	 	1	1	 	1	3	0	98	98	1	7	0	 	 	 	 	 	 
11029	2	 	1	 	45	 	2	1	 	2	3	0	98	98	1	10	0	 	 	 	 	 	 
11029	3	 	4	 	21	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	17	 	1	 	17	 	2	7	 	3	6	0	2	1	 	 	 	1	11	1	3	 	 
11029	18	 	1	 	6	 	2	7	 	3	 	 	2	1	 	 	 	1	1	1	3	 	 
11030	0	1	1	 	23	 	1	0	 	7	6	0	98	98	1	12	1	 	 	 	 	 	 
11030	1	0	4	 	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	0	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	1	1	 	26	 	1	7	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11030	17	0	2	 	19	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	0	1	1	 	23	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11031	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	2	0	4	 	50	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	3	0	4	 	46	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	4	0	3	2016	24	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	5	0	4	 	21	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	6	0	4	 	13	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	7	 	1	 	22	 	2	21	 	9	6	0	98	98	1	14	0	 	 	 	 	 	 
11032	0	1	1	 	23	 	2	0	 	1	6	0	98	98	1	12	0	 	 	 	 	 	 
11032	1	0	4	 	61	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	2	0	4	 	32	 	1	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	3	 	1	 	27	 	2	22	 	10	6	0	98	98	1	12	0	 	 	 	 	 	 
11032	4	 	1	 	29	 	2	22	 	10	6	0	98	98	1	12	0	 	 	 	 	 	 
11032	5	 	1	 	33	 	2	22	 	10	6	0	98	98	1	9	0	 	 	 	 	 	 
11032	6	 	1	 	29	 	2	22	 	10	6	0	98	98	1	8	0	 	 	 	 	 	 
11033	0	1	1	 	22	 	2	0	 	7	6	0	98	98	1	14	0	 	 	 	 	 	 
11033	1	0	4	 	56	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	2	0	4	 	51	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	3	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	4	1	1	 	25	 	2	7	 	1	6	0	98	98	1	14	1	 	 	 	 	 	 
11033	17	0	4	 	15	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11034	1	0	4	 	48	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	2	0	4	 	45	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	17	0	4	 	18	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	18	 	1	 	25	 	1	22	 	10	6	0	98	98	1	14	0	 	 	 	 	 	 
11035	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	9	0	 	 	 	 	 	 
11035	1	0	4	 	47	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	2	0	4	 	-88	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	3	0	4	 	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	0	1	1	 	22	 	2	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11037	1	0	4	 	44	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	2	0	4	 	42	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	17	0	4	 	18	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	18	0	4	 	68	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	19	0	4	 	12	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	0	 	1	 	22	 	2	0	 	3	3	0	3	4	1	14	1	 	 	 	 	 	 
11038	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	2	 	1	 	75	 	2	6	 	6	4	0	98	98	1	5	0	 	 	 	 	 	 
11038	3	 	1	 	50	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11038	4	 	1	 	49	 	1	1	 	1	3	0	2	98	1	9	0	 	 	 	 	 	 
11038	5	 	1	 	29	 	2	7	 	3	3	0	3	4	1	14	0	 	 	 	 	 	 
11038	6	 	1	 	28	 	1	7	 	3	3	0	3	4	1	14	0	 	 	 	 	 	 
11038	7	 	1	 	1	 	1	15	 	5	 	 	5	98	 	 	 	 	 	 	 	 	 
11039	0	 	1	 	22	 	2	0	 	3	3	0	2	1	1	8	0	 	 	 	 	 	 
11039	1	 	1	 	64	 	1	1	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
11039	2	 	1	 	61	 	2	1	 	2	3	0	98	98	1	4	0	 	 	 	 	 	 
11039	3	 	4	 	36	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	4	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	5	 	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	6	 	4	 	25	 	2	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	7	 	4	 	7	 	2	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	9	 	4	 	3	 	1	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	10	 	1	 	3	 	1	27	 	5	 	 	0	98	 	 	 	 	 	 	 	 	 
11039	11	 	1	 	1	 	1	27	 	5	 	 	0	98	 	 	 	 	 	 	 	 	 
11040	0	1	1	 	22	 	1	0	 	1	6	0	98	98	1	9	0	 	 	 	 	 	 
11040	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	2	0	4	 	47	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	3	0	4	 	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	4	0	4	 	13	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	0	1	1	 	23	 	2	0	 	2	3	0	98	98	1	11	0	 	 	 	 	 	 
11041	1	0	4	 	49	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	2	0	4	 	45	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	3	0	4	 	26	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	4	0	4	 	12	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	5	1	1	 	32	 	1	24	 	1	3	0	98	98	1	13	0	 	 	 	 	 	 
11041	6	1	1	 	6	 	1	27	 	3	 	 	0	5	 	 	 	0	 	 	 	 	 
11041	7	0	4	 	54	 	1	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	8	0	4	 	51	 	2	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	9	0	4	 	27	 	1	29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11041	10	0	4	 	20	 	2	29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	0	 	1	 	22	 	1	0	 	3	6	0	2	98	1	9	0	 	 	 	 	 	 
11042	1	 	4	 	87	 	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	2	 	1	 	47	 	2	1	 	1	5	0	98	98	1	2	0	 	 	 	 	 	 
11043	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	6	0	 	 	 	 	 	 
11043	1	 	1	 	65	 	1	1	 	1	3	0	98	98	1	4	0	 	 	 	 	 	 
11043	2	 	1	 	56	 	2	1	 	2	3	0	98	98	1	5	0	 	 	 	 	 	 
11043	3	 	4	 	35	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	4	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	5	 	4	 	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	6	 	1	 	18	 	1	7	 	3	6	0	2	1	1	4	0	 	 	 	 	 	 
11043	7	 	1	 	15	 	1	7	 	3	6	0	2	1	 	 	 	1	6	0	 	21	13
11044	0	1	1	 	23	 	1	0	 	1	3	0	98	98	1	8	0	 	 	 	 	 	 
11044	1	0	4	 	48	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	2	0	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	3	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	4	 	1	 	19	 	2	24	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11044	5	 	1	 	1	 	1	27	 	3	 	 	4	0	 	 	 	 	 	 	 	 	 
11047	0	 	1	 	22	 	1	0	 	3	3	0	4	3	1	8	0	 	 	 	 	 	 
11047	1	 	3	2010	-88	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11047	2	 	1	 	80	 	2	6	 	6	4	0	98	98	1	77	0	 	 	 	 	 	 
11047	3	 	1	 	41	 	1	1	 	1	3	0	2	98	1	7	0	 	 	 	 	 	 
11047	4	 	1	 	40	 	2	1	 	2	3	0	98	98	1	2	0	 	 	 	 	 	 
11047	5	 	1	 	8	 	1	7	 	3	 	 	4	3	 	 	 	1	2	1	3	 	 
11048	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11048	1	0	4	 	47	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	2	0	4	 	53	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	3	0	4	 	21	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	4	 	1	 	23	 	1	22	 	10	6	0	98	98	1	12	1	 	 	 	 	 	 
11050	0	 	1	 	22	 	1	0	 	3	6	0	2	1	1	13	0	 	 	 	 	 	 
11050	1	 	1	 	54	 	1	1	 	1	3	0	98	98	1	5	0	 	 	 	 	 	 
11050	2	 	1	 	53	 	2	1	 	2	3	0	98	98	1	5	0	 	 	 	 	 	 
11050	3	 	4	 	29	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	4	 	1	 	26	 	1	7	 	3	3	0	2	1	1	9	0	 	 	 	 	 	 
11050	5	 	4	 	25	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11052	0	1	1	 	23	 	1	0	 	1	6	0	98	98	1	14	0	 	 	 	 	 	 
11052	1	0	4	 	53	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11052	2	0	4	 	48	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11052	3	0	4	 	27	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11061	0	 	1	 	22	 	2	0	 	3	6	0	2	1	1	9	0	 	 	 	 	 	 
11061	1	 	1	 	50	 	1	1	 	1	3	0	98	98	1	9	0	 	 	 	 	 	 
11061	2	 	1	 	47	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11061	17	 	1	 	17	 	1	7	 	3	6	0	2	1	 	 	 	1	10	1	3	 	 
11063	0	 	1	 	22	 	1	0	 	3	6	1	2	1	1	12	0	 	 	 	 	 	 
11063	1	 	1	 	52	 	1	1	 	1	3	0	98	98	1	12	0	 	 	 	 	 	 
11063	2	 	1	 	45	 	2	1	 	2	3	0	98	98	1	9	0	 	 	 	 	 	 
11063	3	 	4	 	26	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11069	0	 	1	 	23	 	1	0	 	3	6	0	2	3	1	9	0	 	 	 	 	 	 
11069	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11069	2	 	1	 	54	 	2	1	 	2	3	0	98	98	1	2	0	 	 	 	 	 	 
