CHILDCODE	ASSTIDR5	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
21048	2	30	2	30	2	5000
21048	3	40	18	30	18	3000
21056	1	 	 	 	 	 
21056	2	 	 	 	 	 
21056	3	 	 	 	 	 
21069	1	 	 	 	 	 
21069	2	 	 	 	 	 
21069	3	 	 	 	 	 
21072	1	 	 	 	 	 
21072	2	 	 	 	 	 
21072	3	 	 	 	 	 
21083	1	40	1	11	1	-77
21083	2	40	20	26	20	5000
21083	3	88	 	 	 	 
21089	1	14	15	9	15	90000
21089	2	1	5	11	5	300
21089	3	3	1	11	1	200
21094	1	1	4	11	4	100
21094	2	3	1	11	1	100
21094	3	2	1	11	1	1600
31001	1	 	 	 	 	 
31001	2	 	 	 	 	 
31001	3	 	 	 	 	 
31003	1	40	1	11	1	500
31003	2	88	 	 	 	 
31003	3	88	 	 	 	 
31004	1	25	1	11	1	17000
31004	2	2	1	11	1	4000
31004	3	1	3	11	3	500
31006	1	2	1	11	1	4000
31006	2	3	1	11	1	450
31006	3	1	5	11	1	300
31007	1	1	7	11	7	-77
31007	2	3	1	11	1	-77
31007	3	88	 	 	 	 
31008	1	1	8	11	8	150
31008	2	4	1	11	1	80
31008	3	3	1	11	1	50
31009	1	2	1	11	1	200
31009	2	3	1	11	1	130
31009	3	4	1	11	1	100
31010	1	2	1	11	1	4000
31010	2	5	1	11	1	3500
31010	3	1	5	11	5	1000
31011	1	1	10	11	10	50
31011	2	3	1	11	1	30
31011	3	88	 	 	 	 
31012	1	1	6	11	6	20
31012	2	3	1	11	1	10
31012	3	88	 	 	 	 
31013	1	1	3	11	3	0
31013	2	3	1	11	1	0
31013	3	88	 	 	 	 
31018	1	2	1	11	1	3000
31018	2	3	1	11	1	500
31018	3	1	5	11	5	300
31020	1	2	1	11	1	250
31020	2	4	1	11	1	100
31020	3	1	3	11	3	60
31021	1	1	8	11	8	0
31021	2	88	 	 	 	 
31021	3	88	 	 	 	 
31023	1	5	1	11	1	5000
31023	2	2	1	11	1	5000
31023	3	3	1	11	1	100
31024	1	25	1	11	1	5000
31024	2	2	1	11	1	4000
31024	3	3	500	11	1	700
31025	1	40	1	11	1	4000
31025	2	5	1	11	1	3500
31025	3	1	5	11	5	400
31027	1	1	5	11	5	0
31027	2	3	1	11	1	300
31027	3	2	1	11	1	3000
31028	1	3	1	11	1	300
31028	2	1	1	11	1	100
31028	3	88	 	 	 	 
31029	1	25	1	24	1	300000
31029	2	4	2	11	2	3000
31029	3	3	1	11	1	650
31031	1	4	1	11	1	200
31031	2	1	3	11	3	100
31031	3	88	 	 	 	 
31033	1	 	 	 	 	 
31033	2	 	 	 	 	 
31033	3	 	 	 	 	 
31034	1	5	1	11	1	4000
31034	2	40	1	11	1	3000
31034	3	25	1	11	1	2500
31035	1	2	1	11	1	2500
31035	2	8	1	11	1	1500
31035	3	1	2	11	2	50
31036	1	 	 	 	 	 
31036	2	 	 	 	 	 
31036	3	 	 	 	 	 
31037	1	24	1	23	1	200000
31037	2	88	 	 	 	 
31037	3	88	 	 	 	 
31038	1	1	13	11	13	200
31038	2	3	1	11	1	120
31038	3	4	1	11	1	100
31039	1	40	1	20	1	12000
31039	2	88	 	 	 	 
31039	3	88	 	 	 	 
31040	1	 	 	 	 	 
31040	2	 	 	 	 	 
31040	3	 	 	 	 	 
31041	1	15	35	23	35	2000
31041	2	23	25	23	25	1500
31041	3	40	1	26	1	20
31043	1	 	 	 	 	 
31043	2	 	 	 	 	 
31043	3	 	 	 	 	 
31045	1	 	 	 	 	 
31045	2	 	 	 	 	 
31045	3	 	 	 	 	 
31046	1	 	 	 	 	 
31046	2	 	 	 	 	 
31046	3	 	 	 	 	 
31048	1	24	1	23	1	15000
31048	2	40	2	23	1	7000
31048	3	23	3	23	3	500
31049	1	 	 	 	 	 
31049	2	 	 	 	 	 
31049	3	 	 	 	 	 
31050	1	25	1	5	1	700
31050	2	88	 	 	 	 
31050	3	88	 	 	 	 
31052	1	25	1	11	1	18000
31052	2	2	1	11	1	3500
31052	3	5	1	11	1	3000
31058	1	1	3	5	3	50
31058	2	25	1	5	1	12000
31058	3	88	 	 	 	 
31059	1	1	2	11	2	90
31059	2	3	1	11	1	60
31059	3	2	1	11	0	 
31060	1	2	1	11	1	2500
31060	2	1	3	11	3	100
31060	3	88	 	 	 	 
31079	1	2	1	11	1	3200
31079	2	1	5	11	5	500
31079	3	4	1	11	1	200
31096	1	4	1	11	1	5000
31096	2	40	1	11	1	180000
31096	3	5	1	11	1	3000
31098	1	2	1	11	1	3000
31098	2	1	2	11	2	80
31098	3	88	 	 	 	 
31108	1	2	1	11	1	5000
31108	2	3	1	11	1	100
31108	3	1	5	11	5	100
31134	1	2	1	11	1	1000
31134	2	1	3	11	3	0
31134	3	88	 	 	 	 
41001	1	40	1	30	1	15000
41001	2	40	7	26	7	7000
41001	3	40	1	26	1	150
41002	1	40	1	30	1	10000
41002	2	88	 	 	 	 
41002	3	88	 	 	 	 
41003	1	40	3	26	3	45000
41003	2	5	1	26	1	15000
41003	3	40	1	26	1	5000
41004	1	 	 	 	 	 
41004	2	 	 	 	 	 
41004	3	 	 	 	 	 
41005	1	40	1	26	1	7000
41005	2	40	3	30	3	2000
41005	3	88	 	 	 	 
41006	1	30	1	30	1	60000
41006	2	40	30	30	30	45000
41006	3	40	1	30	1	4000
41007	1	30	2	30	2	120000
41007	2	40	30	30	30	60000
41007	3	40	3	26	3	30000
41008	1	14	1	23	1	5000
41008	2	24	1	23	1	1500
41008	3	25	1	23	1	1000
41009	1	24	1	26	1	200000
41009	2	40	18	26	18	19000
41009	3	88	 	 	 	 
41010	1	 	 	 	 	 
41010	2	 	 	 	 	 
41010	3	 	 	 	 	 
41011	1	30	1	30	1	20000
41011	2	40	1	30	1	3000
41011	3	88	 	 	 	 
41012	1	30	1	30	1	3000
41012	2	25	1	23	1	2000
41012	3	40	6	30	6	1500
41013	1	17	20	16	20	50000
41013	2	18	1	18	1	2000
41013	3	88	 	 	 	 
41014	1	30	1	30	1	30000
41014	2	40	20	26	20	60000
41014	3	40	2	30	2	100
41015	1	 	 	 	 	 
41015	2	 	 	 	 	 
41015	3	 	 	 	 	 
41016	1	24	1	23	1	30000
41016	2	23	10	23	10	7500
41016	3	25	1	23	1	6500
41017	1	24	1	23	0	 
41017	2	40	1	30	1	3000
41017	3	23	4	23	4	2500
41019	1	25	1	9	1	10000
41019	2	88	 	 	 	 
41019	3	88	 	 	 	 
41020	1	 	 	 	 	 
41020	2	 	 	 	 	 
41020	3	 	 	 	 	 
41021	1	30	2	30	2	20000
41021	2	40	400	26	400	8000
41021	3	40	4	30	4	7000
41022	1	 	 	 	 	 
41022	2	 	 	 	 	 
41022	3	 	 	 	 	 
41023	1	25	1	7	1	12000
41023	2	13	5	7	5	3000
41023	3	88	 	 	 	 
41024	1	 	 	 	 	 
41024	2	 	 	 	 	 
41024	3	 	 	 	 	 
41025	1	24	1	23	1	20000
41025	2	40	1	23	1	3000
41025	3	23	1	23	2	500
41026	1	 	 	 	 	 
41026	2	 	 	 	 	 
41026	3	 	 	 	 	 
41027	1	24	1	23	1	50000
41027	2	23	3	23	1	4000
41027	3	88	 	 	 	 
