CHILDCODE	NONFODR4	SPYRR4
11063	2	1000
11063	3	0
11063	4	0
11063	5	400
11063	6	200
11063	7	0
11063	8	0
11063	17	500
11063	18	30000
11063	19	4000
11063	20	0
11063	32	0
11069	1	3000
11069	2	1000
11069	3	0
11069	4	1000
11069	5	500
11069	6	100
11069	7	0
11069	8	200
11069	17	0
11069	18	400
11069	19	0
11069	20	0
11069	32	580
11074	1	150
11074	2	600
11074	3	0
11074	4	400
11074	5	80
11074	6	160
11074	7	0
11074	8	50
11074	17	-77
11074	18	250
11074	19	0
11074	20	0
11074	32	410
11088	1	0
11088	2	0
11088	3	0
11088	4	500
11088	5	0
11088	6	50
11088	7	0
11088	8	50
11088	17	0
11088	18	300
11088	19	0
11088	20	0
11088	32	600
21002	1	1000
21002	2	200
21002	3	0
21002	4	500
21002	5	500
21002	6	120
21002	7	0
21002	8	0
21002	17	0
21002	18	800
21002	19	0
21002	20	0
21002	32	-77
21004	1	2000
21004	2	500
21004	3	400
21004	4	0
21004	5	800
21004	6	200
21004	7	120
21004	8	0
21004	17	700
21004	18	1000
21004	19	0
21004	20	50
21004	32	870
21005	1	1500
21005	2	500
21005	3	0
21005	4	700
21005	5	100
21005	6	50
21005	7	0
21005	8	50
21005	17	500
21005	18	2000
21005	19	0
21005	20	150
21005	32	700
21007	1	1500
21007	2	1000
21007	3	0
21007	4	0
21007	5	150
21007	6	50
21007	7	0
21007	8	0
21007	17	0
21007	18	50
21007	19	0
21007	20	0
21007	32	0
21008	1	0
21008	2	0
21008	3	0
21008	4	0
21008	5	200
21008	6	50
21008	7	0
21008	8	30
21008	17	0
21008	18	200
21008	19	0
21008	20	0
21008	32	0
21009	1	560
21009	2	2000
21009	3	1200
21009	4	2300
21009	5	350
21009	6	700
21009	7	280
21009	8	0
21009	17	16000
21009	18	2100
21009	19	0
21009	20	0
21009	32	560
21011	1	320
21011	2	460
21011	3	0
21011	4	0
21011	5	130
21011	6	240
21011	7	0
21011	8	0
21011	17	1150
21011	18	370
21011	19	0
21011	20	0
21011	32	1340
21012	1	560
21012	2	130
21012	3	0
21012	4	0
21012	5	35
21012	6	60
21012	7	0
21012	8	0
21012	17	0
21012	18	130
21012	19	0
21012	20	0
21012	32	0
21013	1	2000
21013	2	1000
21013	3	0
21013	4	1000
21013	5	300
21013	6	100
21013	7	0
21013	8	200
21013	17	1000
21013	18	2000
21013	19	0
21013	20	0
21013	32	145
21014	1	0
21014	2	3000
21014	3	0
21014	4	0
21014	5	0
21014	6	500
21014	7	0
21014	8	0
21014	17	0
21014	18	300
21014	19	0
21014	20	0
21014	32	0
21015	1	1500
21015	2	500
21015	3	500
21015	4	600
21015	5	300
21015	6	150
21015	7	60
21015	8	100
21015	17	1200
21015	18	10000
21015	19	0
21015	20	100
21015	32	290
21017	1	650
21017	2	2000
21017	3	0
21017	4	0
21017	5	200
21017	6	700
21017	7	0
21017	8	0
21017	17	50
21017	18	600
21017	19	0
21017	20	0
21017	32	0
21018	1	1700
21018	2	3000
21018	3	2000
21018	4	0
21018	5	500
21018	6	0
21018	7	500
21018	8	0
21018	17	0
21018	18	5200
21018	19	0
21018	20	0
21018	32	0
21020	1	2000
21020	2	50
21020	3	0
21020	4	0
21020	5	500
21020	6	10
21020	7	0
21020	8	0
21020	17	200
21020	18	500
21020	19	0
21020	20	0
21020	32	0
21022	1	100
21022	2	100
21022	3	200
21022	4	0
21022	5	100
21022	6	100
21022	7	50
21022	8	0
21022	17	0
21022	18	300
21022	19	0
21022	20	0
21022	32	290
21023	1	1000
21023	2	1500
21023	3	0
21023	4	0
21023	5	120
21023	6	500
21023	7	0
21023	8	0
21023	17	100
21023	18	400
21023	19	0
21023	20	100
21023	32	580
21024	1	1000
21024	2	500
21024	3	0
21024	4	0
21024	5	300
21024	6	100
21024	7	0
21024	8	0
21024	17	4500
21024	18	2500
21024	19	4000
21024	20	500
21024	32	0
21025	1	1600
21025	2	300
21025	3	0
21025	4	0
21025	5	1000
21025	6	150
21025	7	0
21025	8	0
21025	17	0
21025	18	6000
21025	19	0
21025	20	0
21025	32	0
21026	1	1500
21026	2	300
21026	3	0
21026	4	200
21026	5	200
21026	6	50
21026	7	0
21026	8	50
21026	17	0
21026	18	100
21026	19	0
21026	20	0
21026	32	0
21027	1	150
21027	2	400
21027	3	700
21027	4	0
21027	5	60
21027	6	60
21027	7	100
21027	8	0
21027	17	0
21027	18	1000
21027	19	0
21027	20	100
21027	32	0
21029	1	1000
21029	2	2000
21029	3	1000
21029	4	0
21029	5	600
21029	6	400
21029	7	200
21029	8	0
21029	17	17000
21029	18	12000
21029	19	100
21029	20	1000
21029	32	1770
21030	1	1000
21030	2	0
21030	3	1000
21030	4	1000
21030	5	500
21030	6	200
21030	7	300
21030	8	300
21030	17	500
21030	18	5000
21030	19	0
21030	20	0
21030	32	560
21031	1	320
21031	2	340
21031	3	600
21031	4	0
21031	5	330
21031	6	460
21031	7	0
21031	8	0
21031	17	6780
21031	18	320
21031	19	0
21031	20	0
21031	32	0
21032	1	150
21032	2	600
21032	3	0
21032	4	200
21032	5	20
21032	6	150
21032	7	0
21032	8	50
21032	17	0
21032	18	600
21032	19	0
21032	20	0
21032	32	290
21033	1	1700
21033	2	610
21033	3	0
21033	4	500
21033	5	550
21033	6	120
21033	7	0
21033	8	100
21033	17	0
21033	18	1050
21033	19	0
21033	20	0
21033	32	0
21034	1	2000
21034	2	1500
21034	3	0
21034	4	0
21034	5	200
21034	6	300
21034	7	0
21034	8	0
21034	17	200
21034	18	500
21034	19	0
21034	20	0
21034	32	0
