CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSCOMR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	STLL18R4	EDCH18R4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH17R4	MEMCNSR4
11016	0	15	19	 	2	0	0	1	2	 	3	6	0	3	2	 	 	 	 	1	12	1	3	 	 	1	 
11016	1	73	-88	 	2	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	2	46	50	 	1	1	1	 	1	 	1	3	0	98	98	1	9	0	0	 	 	 	 	 	 	 	Y
11016	3	43	47	 	2	1	1	0	1	 	2	3	0	98	98	1	4	0	0	 	 	 	 	 	 	 	N
11016	4	22	26	 	1	7	7	 	1	 	3	6	0	3	2	1	14	0	0	 	 	 	 	 	 	 	Y
11016	5	20	24	 	2	7	7	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	6	17	21	 	2	7	7	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	7	13	17	 	1	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	11	1	3	 	 	1	N
11016	17	9	13	 	1	7	7	 	1	 	3	6	0	3	2	 	 	 	 	1	7	1	3	 	 	1	N
11017	0	15	19	 	1	0	0	1	2	 	3	6	0	2	1	 	 	 	 	1	12	0	 	 	 	1	 
11017	1	44	48	 	1	1	1	 	1	 	1	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	Y
11017	2	42	46	 	2	1	1	0	1	 	2	3	0	98	98	1	12	0	0	 	 	 	 	 	 	 	N
11017	3	19	-88	 	1	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	17	9	13	 	2	7	7	 	1	 	3	6	0	2	1	 	 	 	 	1	7	1	3	 	 	1	N
11018	0	14	18	 	1	0	0	1	1	 	3	6	0	2	1	1	7	0	0	 	 	 	 	 	 	 	N
11018	1	41	45	 	1	1	1	 	1	 	1	3	1	98	98	1	2	0	0	 	 	 	 	 	 	 	N
11018	2	37	41	 	2	1	1	 	1	 	2	3	0	98	98	1	3	0	0	 	 	 	 	 	 	 	N
