CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4
41013	3	88	 	 	 	 
41014	1	37	3	 	 	 
41014	2	88	 	 	 	 
41014	3	88	 	 	 	 
41015	1	88	 	 	 	 
41015	2	88	 	 	 	 
41015	3	88	 	 	 	 
41016	1	25	 	3	 	 
41016	2	88	 	 	 	 
41016	3	88	 	 	 	 
41017	1	88	 	 	 	 
41017	2	88	 	 	 	 
41017	3	88	 	 	 	 
41019	1	88	 	 	 	 
41019	2	88	 	 	 	 
41019	3	88	 	 	 	 
41021	1	29	4	3	3	1
41021	2	16	4	 	 	3
41021	3	12	1	1	2	2
41022	1	88	 	 	 	 
41022	2	88	 	 	 	 
41022	3	88	 	 	 	 
41023	1	42	 	 	 	2
41023	2	88	 	 	 	 
41023	3	88	 	 	 	 
41024	1	88	 	 	 	 
41024	2	88	 	 	 	 
41024	3	88	 	 	 	 
41025	1	88	 	 	 	 
41025	2	88	 	 	 	 
41025	3	88	 	 	 	 
41026	1	88	 	 	 	 
41026	2	88	 	 	 	 
41026	3	88	 	 	 	 
41027	1	12	1	1	1	1
41027	2	47	1	1	1	1
41027	3	88	 	 	 	 
41028	1	31	 	 	4	 
41028	2	47	88	1	88	88
41028	3	88	 	 	 	 
41030	1	88	 	 	 	 
41030	2	88	 	 	 	 
41030	3	88	 	 	 	 
41031	1	47	 	 	2	2
41031	2	88	 	 	 	 
41031	3	88	 	 	 	 
41032	1	1	 	1	 	 
41032	2	88	 	 	 	 
41032	3	88	 	 	 	 
41034	1	12	1	1	2	1
41034	2	47	1	1	1	1
41034	3	88	 	 	 	 
41036	1	88	 	 	 	 
41036	2	88	 	 	 	 
41036	3	88	 	 	 	 
41037	1	88	 	 	 	 
41037	2	88	 	 	 	 
41037	3	88	 	 	 	 
41038	1	48	4	 	 	 
41038	2	12	1	88	88	88
41038	3	88	 	 	 	 
41039	1	38	 	 	1	 
41039	2	88	 	 	 	 
41039	3	88	 	 	 	 
41041	1	88	 	 	 	 
41041	2	88	 	 	 	 
41041	3	88	 	 	 	 
41042	1	28	 	 	 	2
41042	2	29	 	 	2	2
41042	3	25	 	 	2	 
41043	1	13	1	1	2	2
41043	2	37	2	1	1	1
41043	3	12	1	1	2	1
41046	1	88	 	 	 	 
41046	2	88	 	 	 	 
41046	3	88	 	 	 	 
41047	1	88	 	 	 	 
41047	2	88	 	 	 	 
41047	3	88	 	 	 	 
41049	1	88	 	 	 	 
41049	2	88	 	 	 	 
41049	3	88	 	 	 	 
41050	1	45	 	 	 	1
41050	2	39	 	 	1	 
41050	3	88	 	 	 	 
41059	1	88	 	 	 	 
41059	2	88	 	 	 	 
41059	3	88	 	 	 	 
41092	1	32	1	 	 	 
41092	2	37	1	1	1	1
41092	3	47	1	1	2	2
41106	1	88	 	 	 	 
41106	2	88	 	 	 	 
41106	3	88	 	 	 	 
41109	1	1	 	3	 	 
41109	2	37	 	 	 	1
41109	3	88	 	 	 	 
41110	1	34	 	3	3	3
41110	2	37	1	 	 	 
41110	3	88	 	 	 	 
41114	1	88	 	 	 	 
41114	2	88	 	 	 	 
41114	3	88	 	 	 	 
41130	1	47	1	1	2	2
41130	2	88	 	 	 	 
41130	3	88	 	 	 	 
51002	1	88	 	 	 	 
51002	2	88	 	 	 	 
51002	3	88	 	 	 	 
51004	1	88	 	 	 	 
51004	2	88	 	 	 	 
51004	3	88	 	 	 	 
51005	1	88	 	 	 	 
51005	2	88	 	 	 	 
51005	3	88	 	 	 	 
51006	1	1	 	1	 	 
51006	2	37	 	 	1	 
51006	3	88	 	 	 	 
51008	1	45	2	 	 	 
51008	2	88	 	 	 	 
51008	3	88	 	 	 	 
51009	1	88	 	 	 	 
51009	2	88	 	 	 	 
51009	3	88	 	 	 	 
51010	1	88	 	 	 	 
51010	2	88	 	 	 	 
51010	3	88	 	 	 	 
51011	1	12	77	88	1	1
51011	2	88	 	 	 	 
51011	3	88	 	 	 	 
51013	1	88	 	 	 	 
51013	2	88	 	 	 	 
51013	3	88	 	 	 	 
51015	1	37	 	2	 	 
51015	2	88	 	 	 	 
51015	3	88	 	 	 	 
51016	1	88	 	 	 	 
51016	2	88	 	 	 	 
51016	3	88	 	 	 	 
51017	1	88	 	 	 	 
51017	2	88	 	 	 	 
51017	3	88	 	 	 	 
51018	1	88	 	 	 	 
51018	2	88	 	 	 	 
51018	3	88	 	 	 	 
51019	1	88	 	 	 	 
51019	2	88	 	 	 	 
51019	3	88	 	 	 	 
51020	1	88	 	 	 	 
51020	2	88	 	 	 	 
51020	3	88	 	 	 	 
51021	1	88	 	 	 	 
51021	2	88	 	 	 	 
51021	3	88	 	 	 	 
51022	1	88	 	 	 	 
51022	2	88	 	 	 	 
51022	3	88	 	 	 	 
51023	1	38	2	2	2	2
51023	2	88	 	 	 	 
51023	3	88	 	 	 	 
51024	1	1	 	 	77	 
51024	2	37	 	 	 	1
51024	3	88	 	 	 	 
51025	1	88	 	 	 	 
51025	2	88	 	 	 	 
51025	3	88	 	 	 	 
51026	1	12	 	 	1	1
51026	2	13	1	1	 	 
51026	3	88	 	 	 	 
51027	1	88	 	 	 	 
51027	2	88	 	 	 	 
51027	3	88	 	 	 	 
51028	1	14	 	 	3	 
51028	2	88	 	 	 	 
51028	3	88	 	 	 	 
51029	1	88	 	 	 	 
51029	2	88	 	 	 	 
51029	3	88	 	 	 	 
51030	1	88	 	 	 	 
51030	2	88	 	 	 	 
51030	3	88	 	 	 	 
51031	1	1	 	 	 	1
51031	2	37	 	 	1	1
51031	3	88	 	 	 	 
51032	1	88	 	 	 	 
51032	2	88	 	 	 	 
51032	3	88	 	 	 	 
51033	1	13	1	1	1	1
51033	2	88	 	 	 	 
51033	3	88	 	 	 	 
51034	1	88	 	 	 	 
51034	2	88	 	 	 	 
51034	3	88	 	 	 	 
51035	1	88	 	 	 	 
51035	2	88	 	 	 	 
51035	3	88	 	 	 	 
51036	1	36	 	1	 	 
51036	2	88	 	 	 	 
51036	3	88	 	 	 	 
51037	1	12	 	 	 	1
51037	2	13	1	1	1	1
51037	3	35	 	2	 	 
51038	1	88	 	 	 	 
51038	2	88	 	 	 	 
51038	3	88	 	 	 	 
51040	1	88	 	 	 	 
51040	2	88	 	 	 	 
51040	3	88	 	 	 	 
51041	1	25	 	2	 	 
51041	2	88	 	 	 	 
51041	3	88	 	 	 	 
51042	1	88	 	 	 	 
51042	2	88	 	 	 	 
51042	3	88	 	 	 	 
51043	1	88	 	 	 	 
51043	2	88	 	 	 	 
51043	3	88	 	 	 	 
51044	1	14	 	 	3	 
51044	2	88	 	 	 	 
51044	3	88	 	 	 	 
51045	1	29	1	1	1	 
51045	2	88	 	 	 	 
51045	3	88	 	 	 	 
51046	1	37	 	3	 	 
51046	2	88	 	 	 	 
51046	3	88	 	 	 	 
51047	1	88	 	 	 	 
51047	2	88	 	 	 	 
51047	3	88	 	 	 	 
51048	1	88	 	 	 	 
51048	2	88	 	 	 	 
51048	3	88	 	 	 	 
51049	1	88	 	 	 	 
51049	2	88	 	 	 	 
51049	3	88	 	 	 	 
51050	1	38	4	 	 	 
51050	2	88	 	 	 	 
51050	3	88	 	 	 	 
51057	1	88	 	 	 	 
51057	2	88	 	 	 	 
51057	3	88	 	 	 	 
51070	1	88	 	 	 	 
51070	2	88	 	 	 	 
51070	3	88	 	 	 	 
61001	1	88	 	 	 	 
61001	2	88	 	 	 	 
61001	3	88	 	 	 	 
61003	1	37	 	1	 	 
61003	2	88	 	 	 	 
61003	3	88	 	 	 	 
61004	1	37	2	 	 	 
61004	2	88	 	 	 	 
61004	3	88	 	 	 	 
