CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	VLSLDR4	CRPCSTR4
21009	3	 	 	 	 
21009	4	 	 	 	 
21011	1	 	 	 	 
21011	2	 	 	 	 
21011	3	 	 	 	 
21011	4	 	 	 	 
21012	1	53	700	700	2000
21012	2	88	 	 	 
21012	3	88	 	 	 
21012	4	88	 	 	 
21013	1	53	250	0	1000
21013	2	88	 	 	 
21013	3	88	 	 	 
21013	4	88	 	 	 
21014	1	 	 	 	 
21014	2	 	 	 	 
21014	3	 	 	 	 
21014	4	 	 	 	 
21015	1	 	 	 	 
21015	2	 	 	 	 
21015	3	 	 	 	 
21015	4	 	 	 	 
21017	1	 	 	 	 
21017	2	 	 	 	 
21017	3	 	 	 	 
21017	4	 	 	 	 
21018	1	 	 	 	 
21018	2	 	 	 	 
21018	3	 	 	 	 
21018	4	 	 	 	 
21020	1	 	 	 	 
21020	2	 	 	 	 
21020	3	 	 	 	 
21020	4	 	 	 	 
21022	1	53	600	0	1820
21022	2	31	15000	0	500
21022	3	15	100	1000	450
21022	4	88	 	 	 
21023	1	53	1500	8000	3000
21023	2	88	 	 	 
21023	3	88	 	 	 
21023	4	88	 	 	 
21024	1	53	2000	10000	5000
21024	2	15	300	5000	1500
21024	3	74	1000	4000	1000
21024	4	116	3000	8000	3000
21025	1	53	450	0	2150
21025	2	88	 	 	 
21025	3	88	 	 	 
21025	4	88	 	 	 
21026	1	 	 	 	 
21026	2	 	 	 	 
21026	3	 	 	 	 
21026	4	 	 	 	 
21027	1	 	 	 	 
21027	2	 	 	 	 
21027	3	 	 	 	 
21027	4	 	 	 	 
21029	1	53	1000	0	3000
21029	2	88	 	 	 
21029	3	88	 	 	 
21029	4	88	 	 	 
21030	1	53	800	0	4000
21030	2	31	900	0	248
21030	3	88	 	 	 
21030	4	88	 	 	 
21031	1	53	4000	20000	12000
21031	2	88	 	 	 
21031	3	88	 	 	 
21031	4	88	 	 	 
21032	1	53	1100	0	5000
21032	2	88	 	 	 
21032	3	88	 	 	 
21032	4	88	 	 	 
21033	1	53	2000	0	8700
21033	2	15	500	10000	6000
21033	3	88	 	 	 
21033	4	88	 	 	 
21034	1	53	2000	5000	3620
21034	2	116	-77	40000	20000
21034	3	31	9000	0	200
21034	4	88	 	 	 
21036	1	53	500	0	2000
21036	2	88	 	 	 
21036	3	88	 	 	 
21036	4	88	 	 	 
21037	1	53	700	600	1200
21037	2	88	 	 	 
21037	3	88	 	 	 
21037	4	88	 	 	 
21038	1	 	 	 	 
21038	2	 	 	 	 
21038	3	 	 	 	 
21038	4	 	 	 	 
21039	1	53	350	0	1200
21039	2	88	 	 	 
21039	3	88	 	 	 
21039	4	88	 	 	 
21041	1	53	1000	12000	2000
21041	2	88	 	 	 
21041	3	88	 	 	 
21041	4	88	 	 	 
21042	1	53	300	0	1350
21042	2	88	 	 	 
21042	3	88	 	 	 
21042	4	88	 	 	 
21044	1	53	700	0	3200
21044	2	88	 	 	 
21044	3	88	 	 	 
21044	4	88	 	 	 
21046	1	53	640	0	1200
21046	2	88	 	 	 
21046	3	88	 	 	 
21046	4	88	 	 	 
21047	1	 	 	 	 
21047	2	 	 	 	 
21047	3	 	 	 	 
21047	4	 	 	 	 
21048	1	 	 	 	 
21048	2	 	 	 	 
21048	3	 	 	 	 
21048	4	 	 	 	 
21049	1	53	400	0	1200
21049	2	88	 	 	 
21049	3	88	 	 	 
21049	4	88	 	 	 
21056	1	 	 	 	 
21056	2	 	 	 	 
21056	3	 	 	 	 
21056	4	 	 	 	 
21069	1	53	1500	0	7270
21069	2	15	240	5000	1100
21069	3	31	1000	0	150
21069	4	88	 	 	 
21072	1	53	800	0	2000
21072	2	31	6000	0	300
21072	3	88	 	 	 
21072	4	88	 	 	 
21083	1	 	 	 	 
21083	2	 	 	 	 
21083	3	 	 	 	 
21083	4	 	 	 	 
21090	1	 	 	 	 
21090	2	 	 	 	 
21090	3	 	 	 	 
21090	4	 	 	 	 
21094	1	53	1200	0	3700
21094	2	85	5000	10000	2000
21094	3	45	30	100	0
21094	4	109	-88	100	0
31001	1	 	 	 	 
31001	2	 	 	 	 
31001	3	 	 	 	 
31001	4	 	 	 	 
31002	1	80	500000	425000	300000
31002	2	88	 	 	 
31002	3	88	 	 	 
31002	4	88	 	 	 
31004	1	44	1000	2000	0
31004	2	88	 	 	 
31004	3	88	 	 	 
31004	4	88	 	 	 
31005	1	80	250000	225000	125000
31005	2	88	 	 	 
31005	3	88	 	 	 
31005	4	88	 	 	 
31006	1	85	35000	42000	24000
31006	2	80	45000	40500	29500
31006	3	88	 	 	 
31006	4	88	 	 	 
31007	1	53	550	0	0
31007	2	44	300	600	0
31007	3	85	15000	15000	0
31007	4	80	300000	240000	140000
31008	1	80	100000	93000	50000
31008	2	85	10000	10000	5000
31008	3	53	500	0	500
31008	4	88	 	 	 
31010	1	80	120000	118000	68000
31010	2	88	 	 	 
31010	3	88	 	 	 
31010	4	88	 	 	 
31011	1	80	290000	260000	180000
31011	2	88	 	 	 
31011	3	88	 	 	 
31011	4	88	 	 	 
31012	1	80	50000	47000	27000
31012	2	85	2400	2800	1800
31012	3	88	 	 	 
31012	4	88	 	 	 
31013	1	85	500	-77	-77
31013	2	80	0	0	700
31013	3	88	 	 	 
31013	4	88	 	 	 
31018	1	80	64000	65000	35000
31018	2	88	 	 	 
31018	3	88	 	 	 
31018	4	88	 	 	 
31020	1	53	-77	0	2050
31020	2	80	0	0	4550
31020	3	88	 	 	 
31020	4	88	 	 	 
31021	1	80	62000	45000	25000
31021	2	88	 	 	 
31021	3	88	 	 	 
31021	4	88	 	 	 
31023	1	53	1000	0	1000
31023	2	80	200000	160000	70000
31023	3	88	 	 	 
31023	4	88	 	 	 
31024	1	80	100000	90000	50000
31024	2	88	 	 	 
31024	3	88	 	 	 
31024	4	88	 	 	 
31025	1	80	100000	90000	50000
31025	2	88	 	 	 
31025	3	88	 	 	 
31025	4	88	 	 	 
31027	1	53	800	4000	2000
31027	2	80	0	0	0
31027	3	88	 	 	 
31027	4	88	 	 	 
31028	1	85	7000	11500	5000
31028	2	88	 	 	 
31028	3	88	 	 	 
31028	4	88	 	 	 
31029	1	53	500	0	1000
31029	2	80	150000	110000	50000
31029	3	88	 	 	 
31029	4	88	 	 	 
31031	1	80	60000	56000	23000
31031	2	53	600	0	900
31031	3	88	 	 	 
31031	4	88	 	 	 
31032	1	80	500000	465000	165000
31032	2	85	0	0	0
31032	3	88	 	 	 
31032	4	88	 	 	 
31035	1	85	5000	8000	6000
31035	2	80	50000	40000	-77
31035	3	53	300	0	300
31035	4	88	 	 	 
31036	1	 	 	 	 
31036	2	 	 	 	 
31036	3	 	 	 	 
31036	4	 	 	 	 
31037	1	 	 	 	 
31037	2	 	 	 	 
31037	3	 	 	 	 
31037	4	 	 	 	 
31038	1	80	100	100000	50000
31038	2	85	0	0	0
31038	3	88	 	 	 
31038	4	88	 	 	 
31039	1	 	 	 	 
31039	2	 	 	 	 
31039	3	 	 	 	 
31039	4	 	 	 	 
31040	1	 	 	 	 
31040	2	 	 	 	 
31040	3	 	 	 	 
31040	4	 	 	 	 
31041	1	 	 	 	 
31041	2	 	 	 	 
31041	3	 	 	 	 
31041	4	 	 	 	 
31043	1	85	0	0	1000
31043	2	80	0	0	3000
31043	3	88	 	 	 
31043	4	88	 	 	 
31044	1	80	105000	95000	60000
31044	2	88	 	 	 
31044	3	88	 	 	 
31044	4	88	 	 	 
31045	1	 	 	 	 
31045	2	 	 	 	 
31045	3	 	 	 	 
31045	4	 	 	 	 
31046	1	 	 	 	 
31046	2	 	 	 	 
31046	3	 	 	 	 
31046	4	 	 	 	 
31048	1	 	 	 	 
31048	2	 	 	 	 
31048	3	 	 	 	 
31048	4	 	 	 	 
31049	1	80	120000	100000	50000
31049	2	53	1000	0	-77
31049	3	88	 	 	 
31049	4	88	 	 	 
31050	1	80	15000	9000	4800
31050	2	88	 	 	 
31050	3	88	 	 	 
31050	4	88	 	 	 
31052	1	80	360000	334000	170000
31052	2	88	 	 	 
31052	3	88	 	 	 
31052	4	88	 	 	 
31058	1	 	 	 	 
31058	2	 	 	 	 
31058	3	 	 	 	 
31058	4	 	 	 	 
31059	1	80	20000	18000	10000
31059	2	88	 	 	 
31059	3	88	 	 	 
31059	4	88	 	 	 
31060	1	53	200	0	1000
31060	2	85	1000	1800	800
31060	3	80	30000	28000	20000
31060	4	88	 	 	 
31079	1	80	60000	54000	30000
31079	2	85	0	0	1500
31079	3	88	 	 	 
31079	4	88	 	 	 
31096	1	80	300000	180000	70000
31096	2	88	 	 	 
31096	3	88	 	 	 
31096	4	88	 	 	 
31098	1	80	100000	90000	70000
31098	2	53	1560	0	3300
31098	3	85	2000	2800	1400
31098	4	88	 	 	 
31108	1	80	125000	112500	32000
31108	2	53	1000	0	1000
31108	3	88	 	 	 
31108	4	88	 	 	 
31134	1	80	70000	63000	32000
31134	2	88	 	 	 
31134	3	88	 	 	 
31134	4	88	 	 	 
41001	1	 	 	 	 
41001	2	 	 	 	 
41001	3	 	 	 	 
41001	4	 	 	 	 
41002	1	109	-88	0	0
41002	2	88	 	 	 
41002	3	88	 	 	 
41002	4	88	 	 	 
41003	1	 	 	 	 
41003	2	 	 	 	 
41003	3	 	 	 	 
41003	4	 	 	 	 
41004	1	 	 	 	 
41004	2	 	 	 	 
41004	3	 	 	 	 
41004	4	 	 	 	 
41005	1	 	 	 	 
41005	2	 	 	 	 
41005	3	 	 	 	 
41005	4	 	 	 	 
41006	1	 	 	 	 
41006	2	 	 	 	 
41006	3	 	 	 	 
41006	4	 	 	 	 
41007	1	109	-88	1500	0
41007	2	88	 	 	 
41007	3	88	 	 	 
41007	4	88	 	 	 
41009	1	 	 	 	 
41009	2	 	 	 	 
41009	3	 	 	 	 
41009	4	 	 	 	 
41010	1	109	-88	500	0
41010	2	88	 	 	 
41010	3	88	 	 	 
41010	4	88	 	 	 
41011	1	109	-88	0	0
41011	2	88	 	 	 
41011	3	88	 	 	 
41011	4	88	 	 	 
41012	1	109	500	3500	0
41012	2	88	 	 	 
41012	3	88	 	 	 
41012	4	88	 	 	 
41013	1	 	 	 	 
41013	2	 	 	 	 
41013	3	 	 	 	 
41013	4	 	 	 	 
41014	1	 	 	 	 
41014	2	 	 	 	 
41014	3	 	 	 	 
41014	4	 	 	 	 
41015	1	 	 	 	 
41015	2	 	 	 	 
41015	3	 	 	 	 
41015	4	 	 	 	 
41016	1	 	 	 	 
41016	2	 	 	 	 
41016	3	 	 	 	 
41016	4	 	 	 	 
41017	1	 	 	 	 
41017	2	 	 	 	 
41017	3	 	 	 	 
41017	4	 	 	 	 
41019	1	 	 	 	 
41019	2	 	 	 	 
41019	3	 	 	 	 
41019	4	 	 	 	 
41021	1	 	 	 	 
41021	2	 	 	 	 
41021	3	 	 	 	 
41021	4	 	 	 	 
41022	1	 	 	 	 
41022	2	 	 	 	 
41022	3	 	 	 	 
41022	4	 	 	 	 
41023	1	 	 	 	 
41023	2	 	 	 	 
41023	3	 	 	 	 
41023	4	 	 	 	 
41024	1	 	 	 	 
41024	2	 	 	 	 
41024	3	 	 	 	 
41024	4	 	 	 	 
41025	1	 	 	 	 
41025	2	 	 	 	 
41025	3	 	 	 	 
41025	4	 	 	 	 
41026	1	 	 	 	 
41026	2	 	 	 	 
41026	3	 	 	 	 
41026	4	 	 	 	 
41027	1	 	 	 	 
41027	2	 	 	 	 
41027	3	 	 	 	 
41027	4	 	 	 	 
41028	1	 	 	 	 
41028	2	 	 	 	 
41028	3	 	 	 	 
41028	4	 	 	 	 
41030	1	110	7	0	0
41030	2	33	10	0	0
41030	3	88	 	 	 
41030	4	88	 	 	 
41031	1	 	 	 	 
41031	2	 	 	 	 
41031	3	 	 	 	 
41031	4	 	 	 	 
41032	1	 	 	 	 
41032	2	 	 	 	 
41032	3	 	 	 	 
41032	4	 	 	 	 
41034	1	 	 	 	 
41034	2	 	 	 	 
41034	3	 	 	 	 
41034	4	 	 	 	 
41036	1	 	 	 	 
41036	2	 	 	 	 
41036	3	 	 	 	 
41036	4	 	 	 	 
41037	1	 	 	 	 
41037	2	 	 	 	 
41037	3	 	 	 	 
41037	4	 	 	 	 
41038	1	 	 	 	 
41038	2	 	 	 	 
41038	3	 	 	 	 
41038	4	 	 	 	 
41039	1	 	 	 	 
41039	2	 	 	 	 
41039	3	 	 	 	 
41039	4	 	 	 	 
41041	1	 	 	 	 
41041	2	 	 	 	 
41041	3	 	 	 	 
41041	4	 	 	 	 
41042	1	53	600	0	3900
41042	2	88	 	 	 
41042	3	88	 	 	 
41042	4	88	 	 	 
41043	1	53	600	3000	2850
41043	2	109	1200	6300	2010
41043	3	88	 	 	 
41043	4	88	 	 	 
41046	1	109	100	500	100
41046	2	88	 	 	 
41046	3	88	 	 	 
41046	4	88	 	 	 
41047	1	96	100000	40000	0
41047	2	109	200	0	0
41047	3	88	 	 	 
41047	4	88	 	 	 
41049	1	 	 	 	 
41049	2	 	 	 	 
41049	3	 	 	 	 
41049	4	 	 	 	 
41050	1	109	-77	1500	0
41050	2	88	 	 	 
41050	3	88	 	 	 
41050	4	88	 	 	 
41059	1	109	-88	3000	100
41059	2	88	 	 	 
41059	3	88	 	 	 
41059	4	88	 	 	 
41092	1	 	 	 	 
41092	2	 	 	 	 
41092	3	 	 	 	 
41092	4	 	 	 	 
41106	1	 	 	 	 
41106	2	 	 	 	 
41106	3	 	 	 	 
41106	4	 	 	 	 
41109	1	 	 	 	 
41109	2	 	 	 	 
41109	3	 	 	 	 
41109	4	 	 	 	 
41110	1	 	 	 	 
41110	2	 	 	 	 
41110	3	 	 	 	 
41110	4	 	 	 	 
41114	1	 	 	 	 
41114	2	 	 	 	 
41114	3	 	 	 	 
41114	4	 	 	 	 
41130	1	109	130	780	200
41130	2	88	 	 	 
41130	3	88	 	 	 
41130	4	88	 	 	 
51002	1	109	10000	10800	2000
51002	2	88	 	 	 
51002	3	88	 	 	 
51002	4	88	 	 	 
51004	1	 	 	 	 
51004	2	 	 	 	 
51004	3	 	 	 	 
51004	4	 	 	 	 
51005	1	 	 	 	 
51005	2	 	 	 	 
51005	3	 	 	 	 
51005	4	 	 	 	 
51006	1	 	 	 	 
51006	2	 	 	 	 
51006	3	 	 	 	 
51006	4	 	 	 	 
51008	1	 	 	 	 
51008	2	 	 	 	 
51008	3	 	 	 	 
51008	4	 	 	 	 
51009	1	 	 	 	 
51009	2	 	 	 	 
51009	3	 	 	 	 
51009	4	 	 	 	 
51010	1	53	1000	0	5000
51010	2	88	 	 	 
51010	3	88	 	 	 
51010	4	88	 	 	 
51011	1	 	 	 	 
51011	2	 	 	 	 
51011	3	 	 	 	 
51011	4	 	 	 	 
51013	1	 	 	 	 
51013	2	 	 	 	 
51013	3	 	 	 	 
51013	4	 	 	 	 
51015	1	 	 	 	 
51015	2	 	 	 	 
51015	3	 	 	 	 
51015	4	 	 	 	 
51016	1	 	 	 	 
51016	2	 	 	 	 
51016	3	 	 	 	 
51016	4	 	 	 	 
51017	1	 	 	 	 
51017	2	 	 	 	 
51017	3	 	 	 	 
51017	4	 	 	 	 
51018	1	 	 	 	 
51018	2	 	 	 	 
51018	3	 	 	 	 
51018	4	 	 	 	 
51019	1	 	 	 	 
51019	2	 	 	 	 
51019	3	 	 	 	 
51019	4	 	 	 	 
51020	1	116	20	0	50
51020	2	88	 	 	 
51020	3	88	 	 	 
51020	4	88	 	 	 
51021	1	 	 	 	 
51021	2	 	 	 	 
51021	3	 	 	 	 
51021	4	 	 	 	 
51022	1	 	 	 	 
51022	2	 	 	 	 
51022	3	 	 	 	 
51022	4	 	 	 	 
51023	1	 	 	 	 
51023	2	 	 	 	 
51023	3	 	 	 	 
51023	4	 	 	 	 
51024	1	 	 	 	 
51024	2	 	 	 	 
51024	3	 	 	 	 
51024	4	 	 	 	 
51025	1	 	 	 	 
51025	2	 	 	 	 
51025	3	 	 	 	 
51025	4	 	 	 	 
51026	1	111	1200	14400	10000
51026	2	88	 	 	 
51026	3	88	 	 	 
51026	4	88	 	 	 
51027	1	111	1500	25000	6000
51027	2	88	 	 	 
51027	3	88	 	 	 
51027	4	88	 	 	 
51028	1	111	200	2000	500
51028	2	88	 	 	 
51028	3	88	 	 	 
51028	4	88	 	 	 
51029	1	 	 	 	 
51029	2	 	 	 	 
51029	3	 	 	 	 
51029	4	 	 	 	 
51030	1	 	 	 	 
51030	2	 	 	 	 
51030	3	 	 	 	 
51030	4	 	 	 	 
51031	1	111	3000	50000	10000
51031	2	88	 	 	 
51031	3	88	 	 	 
51031	4	88	 	 	 
51032	1	111	0	0	8000
51032	2	88	 	 	 
51032	3	88	 	 	 
51032	4	88	 	 	 
51033	1	111	6000	72000	15000
51033	2	88	 	 	 
51033	3	88	 	 	 
51033	4	88	 	 	 
51034	1	111	0	0	-77
51034	2	109	-77	15000	3000
51034	3	88	 	 	 
51034	4	88	 	 	 
51035	1	111	60000	600000	250000
51035	2	88	 	 	 
51035	3	88	 	 	 
51035	4	88	 	 	 
51036	1	53	4600	24840	16000
51036	2	111	400	10000	2000
51036	3	88	 	 	 
51036	4	88	 	 	 
51037	1	53	13000	70000	20000
51037	2	109	2400	14000	4000
51037	3	111	800	8800	2000
51037	4	88	 	 	 
51038	1	111	1200	12000	6000
51038	2	4	20	0	0
51038	3	110	20	0	0
51038	4	88	 	 	 
51040	1	111	300	9000	1200
51040	2	88	 	 	 
51040	3	88	 	 	 
51040	4	88	 	 	 
51041	1	111	3000	25000	12000
51041	2	74	4000	16000	7000
51041	3	109	1200	4000	1000
51041	4	53	2400	4400	3300
51042	1	 	 	 	 
51042	2	 	 	 	 
51042	3	 	 	 	 
51042	4	 	 	 	 
51043	1	109	3600	18000	3000
51043	2	111	1500	22500	6000
51043	3	88	 	 	 
51043	4	88	 	 	 
51044	1	109	1296	8424	0
51044	2	53	1000	5000	6000
51044	3	111	100	1000	200
51044	4	88	 	 	 
51045	1	 	 	 	 
51045	2	 	 	 	 
51045	3	 	 	 	 
51045	4	 	 	 	 
51046	1	111	100	1000	500
51046	2	88	 	 	 
51046	3	88	 	 	 
51046	4	88	 	 	 
51047	1	111	4000	60000	10000
51047	2	88	 	 	 
51047	3	88	 	 	 
51047	4	88	 	 	 
51048	1	111	3000	30000	10000
51048	2	96	300	10000	2000
51048	3	88	 	 	 
51048	4	88	 	 	 
51049	1	111	100	9000	-77
51049	2	88	 	 	 
51049	3	88	 	 	 
51049	4	88	 	 	 
51050	1	 	 	 	 
51050	2	 	 	 	 
51050	3	 	 	 	 
51050	4	 	 	 	 
51057	1	 	 	 	 
51057	2	 	 	 	 
51057	3	 	 	 	 
51057	4	 	 	 	 
51070	1	45	10	0	0
51070	2	4	60	0	0
51070	3	110	30	0	0
51070	4	88	 	 	 
61001	1	109	-88	12000	5000
61001	2	53	400	0	5000
61001	3	88	 	 	 
61001	4	88	 	 	 
61003	1	53	1500	20000	3500
61003	2	109	-88	0	120
61003	3	88	 	 	 
61003	4	88	 	 	 
61004	1	 	 	 	 
61004	2	 	 	 	 
61004	3	 	 	 	 
61004	4	 	 	 	 
61006	1	 	 	 	 
61006	2	 	 	 	 
61006	3	 	 	 	 
61006	4	 	 	 	 
61009	1	 	 	 	 
61009	2	 	 	 	 
61009	3	 	 	 	 
61009	4	 	 	 	 
61011	1	 	 	 	 
61011	2	 	 	 	 
61011	3	 	 	 	 
61011	4	 	 	 	 
61012	1	53	2000	10400	5600
61012	2	88	 	 	 
61012	3	88	 	 	 
61012	4	88	 	 	 
61013	1	 	 	 	 
61013	2	 	 	 	 
61013	3	 	 	 	 
61013	4	 	 	 	 
61014	1	4	300	0	0
61014	2	21	-77	0	0
61014	3	88	 	 	 
61014	4	88	 	 	 
61015	1	 	 	 	 
61015	2	 	 	 	 
61015	3	 	 	 	 
61015	4	 	 	 	 
61016	1	45	-77	0	0
61016	2	88	 	 	 
61016	3	88	 	 	 
61016	4	88	 	 	 
61017	1	53	5000	26500	9880
61017	2	88	 	 	 
61017	3	88	 	 	 
61017	4	88	 	 	 
61018	1	53	600	0	2000
61018	2	88	 	 	 
61018	3	88	 	 	 
61018	4	88	 	 	 
61019	1	53	2600	14500	5600
61019	2	88	 	 	 
61019	3	88	 	 	 
61019	4	88	 	 	 
61020	1	 	 	 	 
61020	2	 	 	 	 
61020	3	 	 	 	 
61020	4	 	 	 	 
61021	1	 	 	 	 
61021	2	 	 	 	 
61021	3	 	 	 	 
61021	4	 	 	 	 
61023	1	53	3000	7000	3000
61023	2	54	-88	1500	0
61023	3	88	 	 	 
61023	4	88	 	 	 
61024	1	 	 	 	 
61024	2	 	 	 	 
61024	3	 	 	 	 
61024	4	 	 	 	 
61025	1	 	 	 	 
61025	2	 	 	 	 
61025	3	 	 	 	 
61025	4	 	 	 	 
61026	1	 	 	 	 
61026	2	 	 	 	 
61026	3	 	 	 	 
61026	4	 	 	 	 
61028	1	 	 	 	 
61028	2	 	 	 	 
61028	3	 	 	 	 
61028	4	 	 	 	 
61029	1	 	 	 	 
61029	2	 	 	 	 
61029	3	 	 	 	 
61029	4	 	 	 	 
61030	1	 	 	 	 
61030	2	 	 	 	 
61030	3	 	 	 	 
61030	4	 	 	 	 
61031	1	 	 	 	 
61031	2	 	 	 	 
61031	3	 	 	 	 
61031	4	 	 	 	 
61032	1	 	 	 	 
61032	2	 	 	 	 
61032	3	 	 	 	 
61032	4	 	 	 	 
61033	1	 	 	 	 
61033	2	 	 	 	 
61033	3	 	 	 	 
61033	4	 	 	 	 
61034	1	 	 	 	 
61034	2	 	 	 	 
61034	3	 	 	 	 
61034	4	 	 	 	 
61035	1	45	20	0	50
61035	2	88	 	 	 
61035	3	88	 	 	 
61035	4	88	 	 	 
61036	1	 	 	 	 
61036	2	 	 	 	 
61036	3	 	 	 	 
61036	4	 	 	 	 
