FORMNO	CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	VLCRSLD	CROPCOST
R2INDX	ET050038	2	5	4	41	0	50
R2INDX	ET050038	3	125	4	41	600	200
R2INDX	ET050038	4	20	4	41	0	41
R2INDX	ET050039	1	64	1	9	20	60
R2INDX	ET050040	1	124	7	9	0	-77
R2INDX	ET050040	2	75	4	9	0	-77
R2INDX	ET050040	3	8	3	9	0	-77
R2INDX	ET050042	1	44	3	41	0	0
R2INDX	ET050042	2	96	7	41	30	0
R2INDX	ET050042	3	76	2	41	0	0
R2INDX	ET050042	4	124	6	41	0	0
R2INDX	ET050042	5	5	3	41	0	0
R2INDX	ET050042	6	15	2	41	0	0
R2INDX	ET050042	7	64	7	41	0	0
R2INDX	ET050043	1	79	.5	2	0	0
R2INDX	ET050043	2	60	2	2	1140	65
R2INDX	ET050043	3	64	4	2	0	35
R2INDX	ET050045	1	15	3.5	2	0	0
R2INDX	ET050045	2	64	3	2	0	0
R2INDX	ET050045	3	124	1	2	0	0
R2INDX	ET050045	4	96	5	2	0	0
R2INDX	ET050045	5	76	2.5	2	0	0
R2INDX	ET050048	1	75	50	52	0	15
R2INDX	ET050048	2	8	50	52	0	15
R2INDX	ET050049	1	44	400	1	0	156
R2INDX	ET050049	2	8	200	1	0	150
R2INDX	ET050049	3	5	400	1	0	60
R2INDX	ET050051	1	64	10	9	80	60
R2INDX	ET050051	2	5	10	9	97	80
R2INDX	ET050051	3	124	5	9	54	60
R2INDX	ET050051	4	8	6	9	72	0
R2INDX	ET050056	1	124	4	9	450	-77
R2INDX	ET050059	1	76	6	9	0	100
R2INDX	ET050059	2	79	5	9	0	60
R2INDX	ET050059	3	125	2	9	0	60
R2INDX	ET050066	1	8	3	9	0	45
R2INDX	ET050066	2	7	6	52	0	6
R2INDX	ET050067	1	124	4	9	0	0
R2INDX	ET050067	2	64	6	9	0	50
R2INDX	ET050068	1	124	8	9	0	-77
R2INDX	ET050068	2	5	5	9	0	-77
R2INDX	ET050068	3	76	2	9	0	-77
R2INDX	ET050073	1	8	6	9	60	75
R2INDX	ET050073	2	124	10	9	40	70
R2INDX	ET050073	3	5	5	9	0	35
R2INDX	ET050074	1	8	1	2	0	90
R2INDX	ET050078	1	124	8	9	0	50
R2INDX	ET050078	2	64	8	9	200	30
R2INDX	ET050078	3	5	5	9	0	30
R2INDX	ET050079	1	124	8	9	280	64
R2INDX	ET050079	2	5	4	9	60	35
R2INDX	ET050079	3	8	3	9	0	40
R2INDX	ET050081	1	44	1	9	75	0
R2INDX	ET050081	2	124	5	9	325	0
R2INDX	ET050081	3	5	4	9	260	0
R2INDX	ET050081	4	8	2	9	160	0
R2INDX	ET050081	5	15	1	9	105	0
R2INDX	ET050082	1	76	5	9	130	100
R2INDX	ET050082	2	125	6	9	80	80
R2INDX	ET050082	3	5	4	9	0	0
R2INDX	ET050082	4	43	1	9	70	0
R2INDX	ET050082	5	64	7	9	170	160
R2INDX	ET050082	6	75	5	9	0	90
R2INDX	ET050083	1	76	4	9	0	60
R2INDX	ET050083	2	124	6	9	126.5	80
R2INDX	ET050083	3	5	3	9	0	100
R2INDX	ET050083	4	75	3	9	0	50
R2INDX	ET050083	5	15	3	9	100	50
R2INDX	ET050084	1	64	10	9	337	100
R2INDX	ET050084	2	20	4	9	0	0
R2INDX	ET050084	3	79	5	9	0	0
R2INDX	ET050084	4	64	4	9	0	0
R2INDX	ET050085	1	76	8	9	0	160
R2INDX	ET050085	2	64	5	9	140	23
R2INDX	ET050085	3	44	2	9	0	60
R2INDX	ET050085	4	75	5	9	90	100
R2INDX	ET050085	5	79	10	9	270	28
R2INDX	ET050085	6	43	1	9	0	80
R2INDX	ET050086	1	44	180	52	640	80
R2INDX	ET050086	2	125	180	52	896	60
R2INDX	ET050087	1	5	5	9	90	60
R2INDX	ET050087	2	8	2	9	20	70
R2INDX	ET050087	3	125	1	9	10	30
R2INDX	ET050088	1	64	7	9	430	0
R2INDX	ET050088	2	8	1	9	180	0
R2INDX	ET050088	3	5	1	9	120	0
R2INDX	ET050089	1	76	6	9	0	-77
R2INDX	ET050089	2	79	10	9	200	-77
R2INDX	ET050089	3	44	2	9	0	-77
R2INDX	ET050090	1	64	15	9	0	40
R2INDX	ET050090	2	5	60	9	400	150
R2INDX	ET050090	3	8	3	9	0	45
R2INDX	ET050090	4	124	14	9	350	60
R2INDX	ET050090	5	20	17	9	300	100
R2INDX	ET050090	6	19	3	9	200	84
R2INDX	ET050091	1	5	8	9	0	30
R2INDX	ET050091	2	124	6	9	0	40
R2INDX	ET050091	3	64	3	9	0	60
R2INDX	ET050091	4	8	3	9	0	35
R2INDX	ET050092	1	64	1	9	0	66
R2INDX	ET050092	2	15	2	9	18	88
R2INDX	ET050092	3	5	4	9	21	80
R2INDX	ET050092	4	8	2	9	0	90
R2INDX	ET050093	1	15	3	9	0	0
R2INDX	ET050093	2	124	6	9	200	50
R2INDX	ET050093	3	20	8	9	400	36
R2INDX	ET050093	4	76	15	9	200	0
R2INDX	ET050093	5	79	12	9	200	24
R2INDX	ET050093	6	75	14	9	300	0
R2INDX	ET050093	7	42	3	9	400	30
R2INDX	ET050093	8	5	6	9	0	0
R2INDX	ET050094	1	64	9	9	0	0
R2INDX	ET050094	2	8	2	9	0	0
R2INDX	ET050095	1	8	4	9	0	65
R2INDX	ET050095	2	124	4	9	0	40
R2INDX	ET050095	3	5	3	9	0	60
R2INDX	ET050096	1	44	25	52	0	15
R2INDX	ET050096	2	124	2	2	75	25
R2INDX	ET050096	3	64	5	2	0	35
R2INDX	ET050096	4	8	1	2	80	30
R2INDX	ET050096	5	19	1	2	0	40
R2INDX	ET050096	6	75	2	2	0	65
R2INDX	ET050096	7	7	4	52	0	3
R2INDX	ET050096	8	50	15	52	100	10
R2INDX	ET050096	9	69	2	2	0	15
R2INDX	ET050097	1	8	2	9	0	67
R2INDX	ET050097	2	64	6	9	0	24
R2INDX	ET050097	3	124	8	9	0	30
R2INDX	ET050097	4	19	3	9	0	40
R2INDX	ET050097	5	27	7	41	400	15
R2INDX	ET050098	1	15	4	41	100	60
R2INDX	ET050098	2	76	12	41	600	60
R2INDX	ET050098	3	5	17	41	0	80
R2INDX	ET050098	4	124	3	41	0	60
R2INDX	ET050098	5	79	4	41	50	60
R2INDX	ET050099	1	8	4	9	0	-77
R2INDX	ET050099	2	124	7	9	0	140
R2INDX	ET050100	1	76	17	9	300	315
R2INDX	ET050100	2	5	16	9	0	420
R2INDX	ET050100	3	15	7	9	200	100
R2INDX	ET060002	1	44	1	2	0	30
R2INDX	ET060002	2	76	4	2	0	250
R2INDX	ET060002	3	20	2.5	2	0	100
R2INDX	ET060002	4	5	1	2	0	80
R2INDX	ET060002	5	55	10	9	290	140
R2INDX	ET060003	1	44	4	2	0	0
R2INDX	ET060003	2	20	2.5	2	0	0
R2INDX	ET060003	3	79	80	1	0	0
R2INDX	ET060003	4	31	15	55	0	0
R2INDX	ET060003	5	76	1.04999995231628	2	0	100
R2INDX	ET060003	6	8	50	1	0	100
R2INDX	ET060003	7	15	50	1	100	0
R2INDX	ET060003	8	15	50	1	70	0
R2INDX	ET060004	1	55	4	40	20	64
R2INDX	ET060004	2	44	4	40	40	0
R2INDX	ET060004	3	7	4	40	300	24
R2INDX	ET060004	4	79	6	40	0	0
R2INDX	ET060004	5	5	3	40	0	30
R2INDX	ET060005	1	44	1	9	100	4
R2INDX	ET060005	2	79	2	9	125	8
R2INDX	ET060005	3	76	1	1	130	100
R2INDX	ET060006	1	76	5	22	125	70
R2INDX	ET060006	2	20	6	22	200	40
R2INDX	ET060006	3	44	5	22	0	10
R2INDX	ET060006	4	79	0	88	88	20
R2INDX	ET060007	1	44	50	1	0	0
R2INDX	ET060007	2	79	1	2	0	50
R2INDX	ET060007	3	75	60	1	0	40
R2INDX	ET060007	4	20	90	1	0	60
R2INDX	ET060007	5	8	1	2	0	70
R2INDX	ET060007	6	15	2	2	400	0
R2INDX	ET060007	7	50	3	41	300	30
R2INDX	ET060008	1	76	3	2	100	119
R2INDX	ET060008	2	8	4	95	0	51
R2INDX	ET060008	3	15	6	95	0	0
R2INDX	ET060008	4	5	3	95	0	0
R2INDX	ET060008	5	64	3	95	0	0
R2INDX	ET060009	1	44	60	1	100	8
R2INDX	ET060009	2	15	120	1	225	0
R2INDX	ET060009	3	20	240	1	440	100
R2INDX	ET060009	4	76	120	1	325	100
R2INDX	ET060009	5	79	90	1	180	0
R2INDX	ET060010	1	44	4	9	0	30
R2INDX	ET060010	2	7	3	9	60	50
R2INDX	ET060010	3	76	2	9	150	70
R2INDX	ET060010	4	15	4	9	100	25
R2INDX	ET060010	5	76	6	9	0	40
R2INDX	ET060010	6	8	1	9	0	20
R2INDX	ET060010	7	76	2	9	0	50
R2INDX	ET060011	1	8	13	22	70	20
R2INDX	ET060011	2	47	1	22	160	20
R2INDX	ET060011	3	124	6	22	30	43
R2INDX	ET060011	5	5	7	22	50	52
R2INDX	ET060011	6	44	5	22	40	25
R2INDX	ET060011	7	50	20	41	750	360
R2INDX	ET060011	8	55	30	41	200	75
R2INDX	ET060012	1	44	3	95	0	0
R2INDX	ET060012	2	79	6	95	60	0
R2INDX	ET060012	3	5	4	95	0	70
R2INDX	ET060012	4	7	4	95	300	0
R2INDX	ET060012	5	8	1.5	95	0	0
R2INDX	ET060012	6	47	.5	95	65	0
R2INDX	ET060012	7	15	1.5	95	0	0
R2INDX	ET060012	8	76	3	95	0	0
R2INDX	ET060012	9	50	3	95	150	0
R2INDX	ET060013	1	44	5	41	0	0
R2INDX	ET060013	2	5	15	41	50	0
R2INDX	ET060013	3	124	8	41	50	0
R2INDX	ET060013	4	75	5	41	100	0
R2INDX	ET060013	5	31	15	55	0	0
R2INDX	ET060013	6	8	6	41	60	40
R2INDX	ET060013	7	76	2	41	80	60
R2INDX	ET060013	8	50	10	41	500	0
R2INDX	ET060013	9	55	5	41	0	0
R2INDX	ET060014	1	44	8	41	0	30
R2INDX	ET060014	2	79	10	41	0	0
R2INDX	ET060014	3	8	10	41	0	105
R2INDX	ET060014	4	47	1	95	60	0
R2INDX	ET060014	5	76	2	95	0	25
R2INDX	ET060014	6	26	2.5	2	400	50
R2INDX	ET060014	7	31	16	55	0	0
R2INDX	ET060015	1	76	4	9	600	100
R2INDX	ET060015	2	5	5	95	200	0
R2INDX	ET060015	3	7	4	9	0	0
R2INDX	ET060015	4	15	2	95	0	0
R2INDX	ET060015	5	20	5	9	0	70
R2INDX	ET060015	6	44	2	9	0	0
R2INDX	ET060016	1	44	4	9	240	15
R2INDX	ET060016	2	76	4	9	600	200
R2INDX	ET060016	3	20	2	9	300	120
R2INDX	ET060016	4	79	4	9	35	30
R2INDX	ET060018	1	44	2	2	0	0
R2INDX	ET060018	2	7	1	2	500	0
R2INDX	ET060018	3	15	2	2	100	0
R2INDX	ET060018	4	76	2	2	0	100
R2INDX	ET060018	5	79	1.5	2	0	0
R2INDX	ET060018	6	20	6	95	0	100
R2INDX	ET060019	1	79	8	95	40	0
R2INDX	ET060019	2	20	6	95	0	50
R2INDX	ET060019	3	15	1	95	0	0
R2INDX	ET060019	4	76	4	95	0	50
R2INDX	ET060019	5	8	3	95	70	50
R2INDX	ET060019	6	50	3	41	200	90
R2INDX	ET060020	1	44	2	2	50	0
R2INDX	ET060020	2	7	60	1	250	0
R2INDX	ET060020	3	76	2	2	200	100
R2INDX	ET060020	4	20	2	2	100	70
R2INDX	ET060020	5	15	2	2	400	0
R2INDX	ET060020	6	8	1.5	2	50	30
R2INDX	ET060020	7	79	1.5	2	50	0
R2INDX	ET060021	1	7	2	49	50	40
R2INDX	ET060021	2	79	10	49	100	70
R2INDX	ET060021	3	76	4	49	0	80
R2INDX	ET060021	4	47	5	49	200	50
R2INDX	ET060021	5	125	1.5	49	0	100
R2INDX	ET060022	1	14	50	10	50	0
R2INDX	ET060022	2	76	10	41	0	200
R2INDX	ET060022	3	7	60	1	100	100
R2INDX	ET060022	4	31	15	55	0	0
R2INDX	ET060022	5	5	10	41	100	0
R2INDX	ET060022	6	79	10	41	50	0
R2INDX	ET060022	7	21	2	56	0	0
R2INDX	ET060022	8	47	2	41	150	100
R2INDX	ET060022	9	96	40	56	100	0
R2INDX	ET060022	10	124	2	41	0	0
R2INDX	ET060022	11	50	7	41	1000	0
R2INDX	ET060022	12	44	2	41	0	0
R2INDX	ET060022	13	55	5	2	40	0
R2INDX	ET060023	1	44	2	2	100	0
R2INDX	ET060023	2	125	1	2	60	0
R2INDX	ET060023	3	5	1.5	2	20	0
R2INDX	ET060024	1	7	2	40	200	60
R2INDX	ET060024	2	55	4	40	0	150
R2INDX	ET060024	3	44	4	40	100	80
R2INDX	ET060024	4	8	7	40	0	90
R2INDX	ET060024	5	79	5	95	100	75
R2INDX	ET060024	6	47	2	95	55	0
R2INDX	ET060025	1	44	65	1	0	0
R2INDX	ET060025	2	56	60	15	80	0
R2INDX	ET060025	3	75	2	2	75	40
R2INDX	ET060025	4	124	60	1	20	0
R2INDX	ET060025	5	8	60	1	0	0
R2INDX	ET060025	6	76	130	1	70	65
R2INDX	ET060026	1	5	4	22	0	60
R2INDX	ET060026	2	55	2	41	0	25
R2INDX	ET060026	3	76	5	22	250	100
R2INDX	ET060026	4	15	4	22	60	50
R2INDX	ET060026	5	44	2	22	20	15
R2INDX	ET060026	6	7	2	22	110	10
R2INDX	ET060027	1	44	3	2	0	30
R2INDX	ET060027	2	7	10	41	480	14
R2INDX	ET060027	3	8	2	2	0	45
R2INDX	ET060027	4	20	7	41	0	60
R2INDX	ET060027	5	47	60	1	120	10
R2INDX	ET060027	6	15	4	41	0	0
R2INDX	ET060027	7	76	7	41	150	145
R2INDX	ET060028	1	44	6	9	0	30
R2INDX	ET060028	2	7	5	9	80	10
R2INDX	ET060028	3	15	2	9	0	0
R2INDX	ET060028	4	8	10	9	0	80
R2INDX	ET060028	5	20	3	9	0	30
R2INDX	ET060028	6	21	20	56	100	0
R2INDX	ET060029	1	55	2	95	0	0
R2INDX	ET060029	2	20	7	95	0	0
R2INDX	ET060029	3	47	1	95	0	0
R2INDX	ET060030	1	76	4	40	40	30
R2INDX	ET060030	2	20	5	40	90	15
R2INDX	ET060030	3	15	3	40	0	10
R2INDX	ET060030	4	44	4	40	20	20
R2INDX	ET060030	5	7	2	40	0	9
R2INDX	ET060030	6	5	4	40	0	10
R2INDX	ET060030	7	21	20	56	0	0
R2INDX	ET060031	1	44	3	41	0	0
R2INDX	ET060031	2	8	3	41	100	200
R2INDX	ET060031	3	20	2	41	50	200
R2INDX	ET060031	4	75	2	41	105	0
R2INDX	ET060031	6	7	2	41	50	0
R2INDX	ET060032	1	64	2	41	0	17.5
R2INDX	ET060032	2	15	4	41	100	0
R2INDX	ET060032	3	20	3	41	50	70
R2INDX	ET060032	4	7	4	41	420	52.5
R2INDX	ET060033	1	44	4	9	0	40
R2INDX	ET060033	2	55	3	9	0	30
R2INDX	ET060033	3	8	3	9	0	40
R2INDX	ET060033	4	15	4	9	0	50
R2INDX	ET060033	5	76	4	9	0	40
R2INDX	ET060034	1	64	3	22	90	30
R2INDX	ET060034	2	21	70	56	250	-77
R2INDX	ET060034	3	76	7	22	600	150
R2INDX	ET060034	4	20	10	22	500	75
R2INDX	ET060034	5	79	3	22	100	-77
R2INDX	ET060034	6	5	3	22	100	-77
R2INDX	ET060035	1	21	6	56	120	0
R2INDX	ET060035	2	31	25	55	200	15
R2INDX	ET060035	3	125	60	1	170	12
R2INDX	ET060035	4	55	90	1	75	60
R2INDX	ET060035	5	75	75	1	125	23
R2INDX	ET060035	6	5	120	1	80	45
R2INDX	ET060035	7	76	90	1	200	50
R2INDX	ET060035	8	15	120	1	180	40
R2INDX	ET060036	1	64	30	1	30	0
R2INDX	ET060036	2	79	300	1	400	0
R2INDX	ET060036	3	76	60	1	130	0
R2INDX	ET060036	4	76	60	1	130	0
R2INDX	ET060036	5	21	50	56	500	12
R2INDX	ET060037	1	5	3	41	0	50
R2INDX	ET060037	2	124	1	41	0	10
R2INDX	ET060037	3	79	5	41	0	10
R2INDX	ET060037	4	7	1	41	10	0
R2INDX	ET060038	1	21	0	60	0	0
R2INDX	ET060038	2	44	1	2	0	0
R2INDX	ET060038	3	79	1	2	0	0
R2INDX	ET060038	4	8	1	2	0	30
R2INDX	ET060038	5	20	1	2	200	40
R2INDX	ET060038	6	76	1	2	300	40
R2INDX	ET060038	7	15	1	2	400	0
R2INDX	ET060038	8	96	1	2	150	0
R2INDX	ET060039	1	44	5	41	170	15
R2INDX	ET060039	2	76	9	41	900	70
R2INDX	ET060039	3	20	3	41	300	25
R2INDX	ET060039	4	75	2	41	250	20
R2INDX	ET060040	1	44	2	41	0	4
R2INDX	ET060040	2	20	1	2	0	0
R2INDX	ET060040	3	19	2	2	200	0
R2INDX	ET060040	4	8	1	2	0	0
R2INDX	ET060041	1	44	2	40	20	60
R2INDX	ET060041	2	55	6	40	0	110
R2INDX	ET060041	3	79	14	40	50	40
R2INDX	ET060041	4	8	5	40	73	160
R2INDX	ET060042	1	44	2	40	0	75
R2INDX	ET060042	2	15	2	40	60	0
R2INDX	ET060042	3	76	2	40	120	187
R2INDX	ET060042	4	20	3	40	0	0
R2INDX	ET060043	1	55	3	2	0	60
R2INDX	ET060043	2	44	3	2	0	10
R2INDX	ET060043	3	75	2	9	0	120
R2INDX	ET060043	4	5	5	9	0	100
R2INDX	ET060043	5	50	2	2	300	200
R2INDX	ET060043	6	55	6	2	400	100
R2INDX	ET060045	1	44	.5	2	0	0
R2INDX	ET060045	2	75	2	2	0	0
R2INDX	ET060045	3	76	5	2	100	93
R2INDX	ET060045	4	68	.5	2	10	0
R2INDX	ET060045	5	55	1	2	0	0
R2INDX	ET060045	6	79	2	2	0	0
R2INDX	ET060045	7	20	3	2	0	0
R2INDX	ET060045	8	21	50	56	0	0
R2INDX	ET060045	9	125	1	2	0	0
R2INDX	ET060046	1	124	5	22	0	30
R2INDX	ET060046	2	75	7	22	100	90
R2INDX	ET060046	3	5	10	22	150	70
R2INDX	ET060046	4	47	2	22	200	20
R2INDX	ET060046	5	76	7	22	0	140
R2INDX	ET060046	6	44	10	41	0	30
R2INDX	ET060046	7	50	15	41	750	300
R2INDX	ET060047	1	31	5	10	60	0
R2INDX	ET060047	2	79	3	22	10	8
R2INDX	ET060047	3	8	2	22	20	40
R2INDX	ET060047	4	79	1	22	15	8
R2INDX	ET060047	5	75	2	22	25	40
R2INDX	ET060047	6	44	3	22	0	8
R2INDX	ET060048	1	5	6	22	0	140
R2INDX	ET060048	2	8	6	22	100	170
R2INDX	ET060048	3	76	5	22	50	80
R2INDX	ET060048	4	79	8	22	0	20
R2INDX	ET060048	5	47	2	22	230	20
R2INDX	ET060048	6	44	15	22	0	20
R2INDX	ET060049	1	8	4	22	0	25
R2INDX	ET060049	2	8	10	22	40	90
R2INDX	ET060049	3	47	1	22	140	30
R2INDX	ET060049	4	44	10	41	50	10
R2INDX	ET060049	5	27	100	56	150	0
R2INDX	ET060049	6	4	75	56	200	0
R2INDX	ET060050	1	47	8	22	520	40
R2INDX	ET060050	4	76	5	22	150	100
R2INDX	ET060050	5	8	3	22	100	50
R2INDX	ET060050	6	79	5	22	0	15
R2INDX	ET060050	7	20	6	22	150	50
R2INDX	ET060050	8	44	8	22	60	25
R2INDX	ET060050	9	55	10	22	350	55
R2INDX	ET060051	1	55	10	2	250	50
R2INDX	ET060051	2	44	2	2	70	38
R2INDX	ET060051	3	26	150	1	450	150
R2INDX	ET060051	4	76	3	2	150	125
R2INDX	ET060051	5	8	1	2	0	70
R2INDX	ET060051	6	5	3	2	70	80
R2INDX	ET060051	7	47	55	1	125	10
R2INDX	ET060052	1	44	50	1	0	0
R2INDX	ET060052	2	79	3	1	0	30
R2INDX	ET060052	3	47	36	1	90	20
R2INDX	ET060052	4	27	650	26	600	0
R2INDX	ET060052	5	55	5	41	0	30
R2INDX	ET060052	6	76	60	1	0	10
R2INDX	ET060053	1	44	2	41	0	50
R2INDX	ET060053	2	55	33	41	300	100
R2INDX	ET060053	3	79	10	41	270	30
R2INDX	ET060053	4	20	5	41	100	0
R2INDX	ET060053	5	15	2	41	200	0
R2INDX	ET060053	6	50	2	2	600	400
R2INDX	ET060053	7	31	10	55	0	0
R2INDX	ET060054	1	44	4	41	40	0
R2INDX	ET060054	2	8	7	41	200	0
R2INDX	ET060054	3	79	12	41	150	0
R2INDX	ET060054	4	50	13	41	1000	80
R2INDX	ET060055	1	50	2	2	600	200
R2INDX	ET060055	2	8	1.5	2	100	90
R2INDX	ET060055	3	15	1	2	0	0
R2INDX	ET060055	4	79	1	2	0	0
R2INDX	ET060055	5	96	1	2	180	0
R2INDX	ET060055	6	47	.0500000007450581	2	150	0
R2INDX	ET060056	1	44	2	2	0	0
R2INDX	ET060056	2	7	1	2	100	0
R2INDX	ET060056	3	15	2	2	150	0
R2INDX	ET060056	4	20	6	41	0	0
R2INDX	ET060056	5	5	0	88	88	54
R2INDX	ET060056	6	8	2	2	0	0
R2INDX	ET060056	7	76	2	2	0	0
R2INDX	ET060059	1	5	2	9	0	30
R2INDX	ET060059	2	8	2	9	30	50
R2INDX	ET060059	3	79	6	9	80	0
R2INDX	ET060059	4	15	4	9	0	0
R2INDX	ET060060	1	44	15	41	200	0
R2INDX	ET060060	2	7	5	2	500	40
R2INDX	ET060060	3	76	7.5	2	100	245
R2INDX	ET060060	4	15	5	2	1000	0
R2INDX	ET060060	5	47	6	95	600	0
R2INDX	ET060060	6	20	4.5	2	200	35
R2INDX	ET060060	7	31	2	95	500	0
R2INDX	ET060060	8	21	25	60	400	0
R2INDX	ET060061	1	44	7	9	0	0
R2INDX	ET060061	2	7	5	5	20	0
R2INDX	ET060061	3	55	10	9	0	0
R2INDX	ET060061	4	20	5	9	30	0
R2INDX	ET060061	5	50	8	9	500	0
