FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R2INDX	ET110023	1	30	-88	-88	-88	88
R2INDX	ET110024	1	15	3	4	60	2
R2INDX	ET110028	1	15	0	9	36	1
R2INDX	ET110028	2	19	0	2	40	1
R2INDX	ET110029	1	1	0	4	65	1
R2INDX	ET110031	1	30	-88	-88	-88	88
R2INDX	ET110032	1	30	0	3	60	3
R2INDX	ET110033	1	30	0	4	25	80
R2INDX	ET110034	1	30	0	4	8	2
R2INDX	ET110035	1	1	0	7	150	80
R2INDX	ET110038	1	13	0	4	140	1
R2INDX	ET110039	1	30	-88	-88	-88	88
R2INDX	ET110041	1	19	0	2	150	2
R2INDX	ET110042	1	19	0	1	120	2
R2INDX	ET110045	1	23	1	3	600	80
R2INDX	ET110046	1	23	2	6	460	2
R2INDX	ET110047	1	13	3	8	54	1
R2INDX	ET110049	1	1	0	12	-77	80
R2INDX	ET110050	1	30	0	6	3	2
R2INDX	ET110051	1	30	-88	-88	-88	88
R2INDX	ET110053	1	30	0	10	20	16
R2INDX	ET110054	1	30	-88	-88	-88	88
R2INDX	ET110057	1	1	0	6	220	80
R2INDX	ET110058	1	15	-77	0	-88	90
R2INDX	ET110059	1	1	10	0	-88	90
R2INDX	ET110060	1	30	0	3	21	2
R2INDX	ET110061	1	13	2	8	80	1
R2INDX	ET110062	1	30	0	3	9	80
R2INDX	ET110065	1	30	-88	-88	-88	88
R2INDX	ET110066	1	13	9	0	-88	90
R2INDX	ET110067	1	15	0	5	90	2
R2INDX	ET110068	1	1	13	2	40	1
R2INDX	ET110072	1	13	1	0	-88	90
R2INDX	ET110073	1	15	0	24	124	2
R2INDX	ET110074	1	19	0	2	120	2
R2INDX	ET110075	1	13	7	0	-77	90
R2INDX	ET110079	1	13	0	4	199	1
R2INDX	ET110084	1	15	1	6	175	1
R2INDX	ET110085	1	1	0	7	125	80
R2INDX	ET110086	1	30	-88	-88	-88	88
R2INDX	ET110088	1	13	0	6	80	1
R2INDX	ET110094	1	23	0	3	750	1
R2INDX	ET110096	1	30	-88	-88	-88	88
R2INDX	ET110099	1	30	0	4	20	4
R2INDX	ET120002	1	23	0	3	3	2
R2INDX	ET120005	1	23	0	4	10	80
R2INDX	ET120009	1	30	0	2	2	2
R2INDX	ET120010	1	25	1	0	-88	90
R2INDX	ET120010	2	23	0	10	30	1
R2INDX	ET120011	1	30	0	1	1	1
R2INDX	ET120015	1	23	0	2	20	2
R2INDX	ET120017	1	1	0	3	50	80
R2INDX	ET120021	1	30	0	7	7.5	2
R2INDX	ET120021	2	30	0	4	4	2
R2INDX	ET120023	1	23	-77	-77	-77	1
