FORMNO	CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
R2INDX	ET020021	3	2	1	0
R2INDX	ET020022	1	1	11	0
R2INDX	ET020022	2	2	1	0
R2INDX	ET020022	3	22	1	1
R2INDX	ET020022	4	9	1	0
R2INDX	ET020022	5	12	11	1
R2INDX	ET020022	6	17	1	1
R2INDX	ET020023	1	1	10	0
R2INDX	ET020023	2	10	10	1
R2INDX	ET020024	1	12	2	1
R2INDX	ET020024	2	2	12	0
R2INDX	ET020024	3	10	10	1
R2INDX	ET020025	1	2	6	0
R2INDX	ET020025	2	12	2	1
R2INDX	ET020025	3	1	10	1
R2INDX	ET020026	1	1	1	0
R2INDX	ET020026	2	10	10	1
R2INDX	ET020026	3	2	1	0
R2INDX	ET020027	1	1	11	0
R2INDX	ET020027	2	10	11	1
R2INDX	ET020027	3	12	11	1
R2INDX	ET020028	1	1	9	0
R2INDX	ET020028	2	10	2	1
R2INDX	ET020028	3	2	8	1
R2INDX	ET020029	1	1	10	0
R2INDX	ET020029	2	10	10	1
R2INDX	ET020029	3	2	10	1
R2INDX	ET020030	1	12	6	1
R2INDX	ET020030	2	17	7	1
R2INDX	ET020031	1	1	5	0
R2INDX	ET020031	2	10	10	0
R2INDX	ET020031	3	12	10	1
R2INDX	ET020032	1	24	6	1
R2INDX	ET020032	2	1	1	1
R2INDX	ET020033	1	1	1	1
R2INDX	ET020033	2	24	9	2
R2INDX	ET020034	1	1	10	0
R2INDX	ET020034	2	2	1	0
R2INDX	ET020034	3	10	11	1
R2INDX	ET020035	1	1	10	0
R2INDX	ET020035	2	10	10	1
R2INDX	ET020036	1	1	10	0
R2INDX	ET020036	2	10	10	1
R2INDX	ET020037	1	1	5	0
R2INDX	ET020037	2	2	6	0
R2INDX	ET020037	3	10	5	1
R2INDX	ET020038	1	1	10	1
R2INDX	ET020038	2	2	1	1
R2INDX	ET020038	3	10	11	0
R2INDX	ET020039	1	1	10	0
R2INDX	ET020039	2	2	1	0
R2INDX	ET020039	3	10	10	1
R2INDX	ET020040	1	1	2	0
R2INDX	ET020040	2	6	2	0
R2INDX	ET020040	3	10	2	0
R2INDX	ET020040	4	21	2	0
R2INDX	ET020041	1	1	10	0
R2INDX	ET020041	2	10	9	1
R2INDX	ET020042	1	1	10	0
R2INDX	ET020042	2	10	9	2
R2INDX	ET020043	1	1	10	0
R2INDX	ET020043	2	10	4	1
R2INDX	ET020043	3	12	4	1
R2INDX	ET020044	1	1	11	0
R2INDX	ET020044	2	2	1	0
R2INDX	ET020044	3	12	11	1
R2INDX	ET020044	4	17	11	0
R2INDX	ET020044	5	10	11	1
R2INDX	ET020045	1	2	1	0
R2INDX	ET020045	2	10	10	1
R2INDX	ET020045	3	1	10	0
R2INDX	ET020046	1	1	10	0
R2INDX	ET020046	2	10	10	1
R2INDX	ET020046	3	12	6	1
R2INDX	ET020047	1	1	10	0
R2INDX	ET020047	2	12	1	1
R2INDX	ET020047	3	10	10	2
R2INDX	ET020048	1	1	9	0
R2INDX	ET020048	2	12	8	1
R2INDX	ET020048	3	2	1	0
R2INDX	ET020049	1	1	5	0
R2INDX	ET020049	2	23	6	0
R2INDX	ET020050	1	1	10	0
R2INDX	ET020050	2	3	12	1
R2INDX	ET020050	3	10	7	1
R2INDX	ET020051	1	1	10	0
R2INDX	ET020051	2	2	1	0
R2INDX	ET020051	3	9	1	0
R2INDX	ET020051	4	17	8	1
R2INDX	ET020052	1	1	11	0
R2INDX	ET020052	2	10	11	1
R2INDX	ET020053	1	1	10	0
R2INDX	ET020053	2	10	10	1
R2INDX	ET020054	1	1	10	1
R2INDX	ET020054	2	10	12	1
R2INDX	ET020055	1	1	10	0
R2INDX	ET020055	2	2	1	0
R2INDX	ET020055	3	10	9	0
R2INDX	ET020056	1	1	10	1
R2INDX	ET020056	2	17	8	1
R2INDX	ET020057	1	1	10	0
R2INDX	ET020057	2	10	10	1
R2INDX	ET020058	1	1	10	0
R2INDX	ET020058	2	2	1	0
R2INDX	ET020058	3	17	8	1
R2INDX	ET020058	4	12	12	1
R2INDX	ET020059	1	1	10	0
R2INDX	ET020059	2	10	11	1
R2INDX	ET020059	3	17	9	1
R2INDX	ET020060	1	1	10	0
R2INDX	ET020060	2	2	1	0
R2INDX	ET020060	3	10	11	2
R2INDX	ET020060	4	12	6	2
R2INDX	ET020061	1	1	10	1
R2INDX	ET020061	2	12	1	1
R2INDX	ET020061	3	10	1	1
R2INDX	ET020062	1	10	9	0
R2INDX	ET020064	1	1	1	0
R2INDX	ET020064	2	2	1	0
R2INDX	ET020064	3	12	12	1
R2INDX	ET020064	4	10	10	1
R2INDX	ET020065	1	1	10	0
R2INDX	ET020065	2	2	1	1
R2INDX	ET020065	3	10	10	1
R2INDX	ET020066	1	24	12	1
R2INDX	ET020067	1	1	9	0
R2INDX	ET020067	2	2	1	0
R2INDX	ET020067	3	17	10	1
R2INDX	ET020068	1	1	10	0
R2INDX	ET020068	2	10	11	1
R2INDX	ET020068	3	24	12	1
R2INDX	ET020070	1	1	11	0
R2INDX	ET020070	2	2	1	0
R2INDX	ET020070	3	12	2	1
R2INDX	ET020070	4	10	11	1
R2INDX	ET020071	1	1	10	0
R2INDX	ET020071	2	10	9	1
R2INDX	ET020071	3	12	6	1
R2INDX	ET020072	1	1	5	1
R2INDX	ET020072	2	2	1	1
R2INDX	ET020072	3	10	1	0
R2INDX	ET020072	4	12	12	0
R2INDX	ET020073	1	1	10	0
R2INDX	ET020073	2	2	1	0
R2INDX	ET020073	3	10	10	0
R2INDX	ET020074	1	20	1	0
R2INDX	ET020074	2	10	9	2
R2INDX	ET020075	1	1	10	1
R2INDX	ET020075	2	2	1	0
R2INDX	ET020076	1	1	10	1
R2INDX	ET020076	2	10	10	1
R2INDX	ET020077	1	1	10	0
R2INDX	ET020077	2	2	1	0
R2INDX	ET020077	3	12	9	1
R2INDX	ET020077	4	10	9	1
R2INDX	ET020078	1	1	6	0
R2INDX	ET020078	2	10	11	1
R2INDX	ET020078	3	12	6	1
R2INDX	ET020078	4	24	12	1
R2INDX	ET020079	1	1	7	1
R2INDX	ET020079	2	24	12	1
R2INDX	ET020080	1	1	10	0
R2INDX	ET020080	2	10	8	1
R2INDX	ET020080	3	2	12	0
R2INDX	ET020081	1	2	1	0
R2INDX	ET020081	2	12	1	1
R2INDX	ET020081	3	10	10	1
R2INDX	ET020081	4	1	10	1
R2INDX	ET020082	1	1	3	1
R2INDX	ET020082	2	24	12	1
R2INDX	ET020083	1	10	10	1
R2INDX	ET020084	1	1	10	0
R2INDX	ET020084	2	2	8	1
R2INDX	ET020085	1	1	10	0
R2INDX	ET020085	2	10	10	1
R2INDX	ET020086	1	2	1	0
R2INDX	ET020086	2	1	10	1
R2INDX	ET020087	1	1	10	0
R2INDX	ET020087	2	10	11	1
R2INDX	ET020088	1	1	1	1
R2INDX	ET020088	2	24	12	2
R2INDX	ET020089	1	1	10	0
R2INDX	ET020089	2	2	1	0
R2INDX	ET020089	3	12	1	1
R2INDX	ET020090	1	1	9	1
R2INDX	ET020090	2	10	11	1
R2INDX	ET020090	3	23	6	1
R2INDX	ET020091	1	1	10	0
R2INDX	ET020091	2	2	1	0
R2INDX	ET020091	3	10	11	0
R2INDX	ET020092	1	1	10	0
R2INDX	ET020092	2	10	10	1
R2INDX	ET020093	1	1	11	0
R2INDX	ET020093	2	2	8	1
R2INDX	ET020093	3	10	11	1
R2INDX	ET020094	1	1	10	0
R2INDX	ET020094	2	2	6	0
R2INDX	ET020094	3	12	6	1
R2INDX	ET020095	1	1	11	0
R2INDX	ET020095	2	2	1	0
R2INDX	ET020096	1	10	1	0
R2INDX	ET020096	2	1	10	0
R2INDX	ET020096	3	2	1	0
R2INDX	ET020097	1	2	1	0
R2INDX	ET020097	2	1	10	1
R2INDX	ET020097	3	10	10	1
R2INDX	ET020098	1	1	10	0
R2INDX	ET020098	2	2	6	0
R2INDX	ET020098	3	10	11	1
R2INDX	ET020098	4	12	6	1
R2INDX	ET020098	5	24	12	1
R2INDX	ET020099	1	1	10	0
R2INDX	ET020099	2	2	1	0
R2INDX	ET020099	3	17	8	1
R2INDX	ET020100	1	1	1	0
R2INDX	ET020100	2	24	12	1
R2INDX	ET030001	1	1	5	0
R2INDX	ET030001	2	10	10	1
R2INDX	ET030001	3	2	1	0
R2INDX	ET030002	1	10	7	1
R2INDX	ET030002	2	12	12	1
R2INDX	ET030002	3	2	6	1
R2INDX	ET030003	1	1	6	0
R2INDX	ET030003	2	2	2	0
R2INDX	ET030003	3	12	2	1
R2INDX	ET030004	1	1	5	0
R2INDX	ET030004	2	10	10	1
R2INDX	ET030004	3	12	8	1
R2INDX	ET030004	4	2	8	0
R2INDX	ET030005	1	1	9	0
R2INDX	ET030005	2	2	8	0
R2INDX	ET030005	3	12	8	1
R2INDX	ET030006	1	1	10	0
R2INDX	ET030006	2	2	1	0
R2INDX	ET030006	3	10	9	1
R2INDX	ET030006	4	12	9	1
R2INDX	ET030007	1	1	12	0
R2INDX	ET030007	2	2	2	0
R2INDX	ET030007	3	10	10	1
R2INDX	ET030008	1	1	10	0
R2INDX	ET030008	2	12	7	1
R2INDX	ET030008	3	10	7	1
R2INDX	ET030009	1	1	1	0
R2INDX	ET030009	2	2	1	1
R2INDX	ET030009	3	24	10	1
