FORMNO	CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
R2INDX	ET160045	2	1	19	1984	6	0	0	2	2
R2INDX	ET160048	1	2	77	1998	1	1	0	10	2
R2INDX	ET160050	1	1	15	1984	12	1	0	15	3
R2INDX	ET160065	1	2	15	1994	4	1	0	6	0
R2INDX	ET160073	1	1	18	1999	0	1	0	3	3
R2INDX	ET160097	1	1	14	1987	1	0	1	14	2
R2INDX	ET160098	1	1	7	1999	0	1	0	10	3
R2INDX	ET170002	1	1	18	1994	5	1	0	8	3
R2INDX	ET170043	1	1	7	1996	1	0	0	8	3
R2INDX	ET170090	1	1	13	1996	3	1	0	15	3
R2INDX	ET170097	1	4	12	1997	0	0	0	5	0
R2INDX	ET180009	1	1	18	1992	7	1	1	1	2
R2INDX	ET180023	1	3	15	1982	8	0	0	2	3
R2INDX	ET180027	1	1	8	1990	2	0	0	8	0
R2INDX	ET180029	1	1	15	1990	9	1	0	1	0
R2INDX	ET180031	1	1	1	1992	7	1	0	2	0
R2INDX	ET180036	1	1	15	1987	12	1	1	1	0
R2INDX	ET180039	1	1	7	1986	6	0	0	1	0
R2INDX	ET180040	1	1	15	1993	6	1	0	1	77
R2INDX	ET180044	1	1	15	1982	8	0	0	2	3
R2INDX	ET180045	1	1	16	1988	10	0	0	2	3
R2INDX	ET180050	1	1	18	1998	0	1	0	10	0
R2INDX	ET180051	1	1	7	1987	10	0	0	6	0
R2INDX	ET180066	1	1	1	1998	1	1	1	7	3
R2INDX	ET180068	1	1	15	1990	1	0	0	3	0
R2INDX	ET180069	1	1	2	1990	4	0	0	1	0
R2INDX	ET180072	1	1	15	1990	2	0	1	15	0
R2INDX	ET180081	1	1	8	1996	3	1	0	10	3
R2INDX	ET180082	1	1	15	1984	12	0	0	6	0
R2INDX	ET180091	1	1	15	1991	8	1	1	2	2
R2INDX	ET190018	1	1	13	1983	16	1	1	8	2
R2INDX	ET190052	1	2	6	1990	8	0	0	3	0
R2INDX	ET190084	1	16	18	1982	5	0	1	6	0
R2INDX	ET190093	1	1	8	1990	4	0	1	4	0
R2INDX	ET200018	1	1	15	1981	18	1	0	16	0
R2INDX	ET200021	1	1	7	1984	15	1	0	8	2
R2INDX	ET200023	1	1	6	1984	14	0	0	7	2
R2INDX	ET200038	1	1	15	1993	5	1	0	10	2
R2INDX	ET200047	1	1	15	1991	8	1	0	14	2
R2INDX	ET200065	1	1	19	1989	0	0	0	5	2
R2INDX	ET200069	1	1	15	1997	2	1	0	14	3
R2INDX	ET200072	1	1	6	1995	3	0	0	7	2
R2INDX	ET200080	1	1	15	1991	8	1	0	15	0
R2INDX	ET200085	1	1	15	1993	8	1	0	3	77
R2INDX	ET200098	1	1	7	1991	7	0	0	16	3
R2INDX	ET200098	2	1	14	1986	4	0	1	15	3
