FORMNO	CHILDID	CROPID	CROP	QNTHARV	VLCRSLD	CROPCOST
R28YRS	IN061035	1	45	10	10000	2000
R28YRS	IN061035	2	53	44.55	12500	13000
R28YRS	IN061035	3	48	14	10000	2000
R28YRS	IN061035	4	75	12	16000	7000
R28YRS	IN061035	5	77	0	0	1000
R28YRS	IN061035	6	32	0	0	2000
R28YRS	IN061036	1	53	9.1	0	4000
R28YRS	IN061038	1	53	35	14000	6200
R28YRS	IN061038	2	30	.3	0	500
R28YRS	IN061038	3	45	100	0	600
R28YRS	IN061038	4	75	5	7000	4000
R28YRS	IN061040	1	53	4	0	3000
R28YRS	IN061040	2	30	0	0	1000
R28YRS	IN061041	1	32	1.6	3600	2000
R28YRS	IN061041	2	53	12	7000	2500
R28YRS	IN061041	3	50	10	7000	3000
R28YRS	IN061043	1	53	32	0	1000
R28YRS	IN061043	2	72	1	0	1000
R28YRS	IN061044	1	53	16	0	2000
R28YRS	IN061044	2	45	2	2500	200
R28YRS	IN061047	1	53	14	0	2000
R28YRS	IN061047	2	68	.4	1400	1000
R28YRS	IN061050	1	53	8.91	4500	3000
R28YRS	IN061050	2	53	4.86	2000	1000
R28YRS	IN061050	3	45	0	-77	1000
R28YRS	IN061050	4	72	2	3000	2000
R28YRS	IN071001	1	51	6.4	0	2500
R28YRS	IN071001	2	51	6.4	0	2500
R28YRS	IN071002	1	48	.5	1500	300
R28YRS	IN071005	1	53	86.4	27000	21000
R28YRS	IN071006	1	53	8.8	0	3500
R28YRS	IN071006	2	53	2.4	0	800
R28YRS	IN071006	3	53	2.4	0	11000
R28YRS	IN071006	4	53	7.2	0	3000
R28YRS	IN071006	5	53	7.2	0	3000
R28YRS	IN071006	6	53	7.2	0	3000
R28YRS	IN071006	7	32	0	0	300
R28YRS	IN071006	8	68	0	0	1000
R28YRS	IN071006	9	30	.5	0	1000
R28YRS	IN071008	1	53	5.6	0	1500
R28YRS	IN071008	2	53	2.4	0	600
R28YRS	IN071011	1	53	11.2	0	2000
R28YRS	IN071012	1	53	7.2	0	3000
R28YRS	IN071012	2	41	600	3000	1000
R28YRS	IN071012	3	53	2.4	0	1500
R28YRS	IN071013	1	53	2.4	0	500
R28YRS	IN071013	2	41	1900	6000	500
R28YRS	IN071013	3	48	1.6	4000	300
R28YRS	IN071014	1	53	2.4	0	1000
R28YRS	IN071014	2	41	160	512	100
R28YRS	IN071014	3	48	.1	250	100
R28YRS	IN071015	1	53	32	15000	15000
R28YRS	IN071016	1	53	30.4	15000	14000
R28YRS	IN071017	1	53	1	500	300
R28YRS	IN071018	1	53	4	1800	2500
R28YRS	IN071019	1	53	4	0	1500
R28YRS	IN071020	1	53	16.2	4500	4000
R28YRS	IN071022	1	53	3.2	0	1000
R28YRS	IN071025	1	53	27.2	3825	12000
R28YRS	IN071026	1	53	44	4800	13300
R28YRS	IN071027	1	53	10	0	3500
R28YRS	IN071027	2	60	0	0	500
R28YRS	IN071029	1	53	5.6	0	6000
R28YRS	IN071031	1	53	15	4000	5300
R28YRS	IN071031	2	30	.5	500	200
R28YRS	IN071033	1	53	44	20000	20000
R28YRS	IN071034	1	53	19.44	0	3700
R28YRS	IN071034	2	30	.45	0	300
R28YRS	IN071035	1	53	32	0	3200
R28YRS	IN071036	1	53	2.4	0	500
R28YRS	IN071038	1	53	24	0	4000
R28YRS	IN071039	1	53	24	13500	9000
R28YRS	IN071044	1	53	58	35000	21500
R28YRS	IN071044	2	60	.2	0	200
R28YRS	IN071044	3	45	2	0	400
R28YRS	IN071048	1	53	4	0	600
R28YRS	IN071049	1	53	3.2	0	500
R28YRS	IN071050	1	53	2.4	0	800
R28YRS	IN081004	1	53	3	0	1200
R28YRS	IN081008	1	53	24	10000	7500
R28YRS	IN081008	2	52	1.5	4800	800
R28YRS	IN081012	1	74	25	50000	25000
R28YRS	IN081012	2	53	21	15000	5000
R28YRS	IN081012	3	52	1	3000	500
R28YRS	IN081021	1	53	36	-88	28000
R28YRS	IN081021	2	74	-77	-88	5000
R28YRS	IN081023	1	53	73	44000	24000
R28YRS	IN081025	1	53	28	20000	12000
R28YRS	IN081027	1	53	97	67500	25000
R28YRS	IN081028	1	53	24	12	5000
R28YRS	IN081031	1	5	18	15000	8000
R28YRS	IN081032	1	53	15	12000	7000
R28YRS	IN081033	1	53	20	10000	15000
R28YRS	IN081034	1	53	21	6000	9000
R28YRS	IN081035	1	53	40	40000	20000
R28YRS	IN081035	2	32	60	28000	20000
R28YRS	IN081037	1	53	20	4000	7000
R28YRS	IN081038	1	53	175	120000	58000
R28YRS	IN081039	1	53	37	2200	13000
R28YRS	IN081040	1	53	54	37200	26000
R28YRS	IN081041	1	53	24	11200	14000
R28YRS	IN081043	1	53	33	20000	10500
R28YRS	IN081043	2	67	280	27000	15000
R28YRS	IN081049	1	53	66	60000	12000
R28YRS	IN091002	1	53	8	0	4000
R28YRS	IN091002	2	68	4	6000	2500
R28YRS	IN091004	1	68	4.5	8000	4000
R28YRS	IN091006	1	53	0	0	1200
R28YRS	IN091008	1	53	17	86750	5000
R28YRS	IN091010	1	53	60	14000	23400
R28YRS	IN091010	2	68	30	48000	13800
R28YRS	IN091013	1	53	31	0	10000
R28YRS	IN091015	1	53	20	10000	8000
R28YRS	IN091015	2	74	-77	10000	6000
R28YRS	IN091016	1	53	5	0	8000
R28YRS	IN091020	1	53	10	0	2000
R28YRS	IN091024	1	53	-77	30000	20000
R28YRS	IN091027	1	68	7	9100	7000
R28YRS	IN091030	1	68	10	16500	5600
R28YRS	IN091031	1	68	9	18000	12000
R28YRS	IN091032	1	68	9	10000	6000
R28YRS	IN091033	1	43	77	80000	2000
R28YRS	IN091033	2	68	14	21000	7000
R28YRS	IN091041	1	53	10	5000	17000
