FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R28YRS	IN181002	1	7	500	1200
R28YRS	IN181003	1	13	1000	3000
R28YRS	IN181003	2	21	100	-88
R28YRS	IN181005	1	13	300	-88
R28YRS	IN181008	1	7	-88	1000
R28YRS	IN181009	1	13	-88	400
R28YRS	IN181009	2	21	-88	3000
R28YRS	IN181010	1	15	-88	400
R28YRS	IN181011	1	13	-88	10000
R28YRS	IN181011	2	20	2500	1800
R28YRS	IN181015	1	21	50	-88
R28YRS	IN181020	1	13	-88	1000
R28YRS	IN181021	1	13	-88	800
R28YRS	IN181021	2	13	-88	500
R28YRS	IN181025	1	13	200	450
R28YRS	IN181025	2	21	50	-88
R28YRS	IN181026	1	7	1000	500
R28YRS	IN181033	1	13	-88	2000
R28YRS	IN181037	1	13	-88	1000
R28YRS	IN181038	1	13	180	500
R28YRS	IN181042	1	15	1000	400
R28YRS	IN181043	1	13	-88	600
R28YRS	IN181045	1	7	1000	2000
R28YRS	IN181045	2	19	-88	1000
R28YRS	IN181045	3	21	-88	600
R28YRS	IN181046	1	21	-88	400
R28YRS	IN181047	1	13	1000	2000
R28YRS	IN181048	1	13	-88	600
R28YRS	IN181049	1	13	-88	150
R28YRS	IN181050	1	13	4000	-88
R28YRS	IN191004	1	13	-88	800
R28YRS	IN191006	1	13	-88	1000
R28YRS	IN191007	1	7	200	450
R28YRS	IN191007	2	13	-88	200
R28YRS	IN191007	3	21	20	-88
R28YRS	IN191008	1	13	-88	200
R28YRS	IN191008	2	21	516	-88
R28YRS	IN191010	1	13	-88	1000
R28YRS	IN191010	2	16	-88	500
R28YRS	IN191012	1	7	3000	1500
R28YRS	IN191013	1	13	300	500
R28YRS	IN191018	1	13	50	200
R28YRS	IN191020	1	13	-88	200
R28YRS	IN191021	1	13	100	300
R28YRS	IN191021	2	21	10000	500
R28YRS	IN191022	1	13	-88	1000
R28YRS	IN191024	1	7	400	1200
R28YRS	IN191025	1	7	2000	1000
R28YRS	IN191030	1	13	-88	2000
R28YRS	IN191030	2	7	-88	2000
R28YRS	IN191031	1	13	200	1000
R28YRS	IN191031	2	21	120	-88
R28YRS	IN191032	1	13	1200	-88
R28YRS	IN191033	1	7	500	1200
R28YRS	IN191035	1	13	500	3000
R28YRS	IN191040	1	14	600	250
R28YRS	IN191040	2	13	400	160
R28YRS	IN191045	1	13	2000	600
R28YRS	IN191047	1	7	-88	1000
R28YRS	IN191048	1	5	2000	-88
R28YRS	IN191048	2	13	5000	500
R28YRS	IN191050	1	13	-88	200
R28YRS	IN191050	2	21	50	-88
R28YRS	IN201005	1	5	30000	-88
R28YRS	IN201016	1	6	500	-88
R28YRS	IN201027	1	6	30000	-88
R28YRS	IN201034	1	6	3600	-88
