FORMNO	CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
R28YRS	IN091016	1	1	1	50	1
R28YRS	IN091017	1	1	3	100	1
R28YRS	IN091018	1	1	4	300	80
R28YRS	IN091020	1	1	10	400	2
R28YRS	IN091020	2	4	1	250	2
R28YRS	IN091022	1	1	4	150	1
R28YRS	IN091023	1	30	-77	40000	3
R28YRS	IN091027	1	1	4	220	1
R28YRS	IN091028	1	1	5	80	1
R28YRS	IN091030	1	1	12	350	1
R28YRS	IN091031	1	1	4	800	2
R28YRS	IN091032	1	1	6	1200	1
R28YRS	IN091033	1	1	9	810	2
R28YRS	IN091033	2	4	0	 	 
R28YRS	IN091033	3	7	0	 	 
R28YRS	IN091034	1	1	3	120	1
R28YRS	IN091035	1	30	3	40000	1
R28YRS	IN091037	1	1	3	120	1
R28YRS	IN091039	1	1	4	300	1
R28YRS	IN091040	1	1	3	110	80
R28YRS	IN091041	1	30	20	40000	1
R28YRS	IN091044	1	1	5	900	1
R28YRS	IN091045	1	1	4	80	80
R28YRS	IN091046	1	1	3	50	1
R28YRS	IN091048	1	1	6	250	3
R28YRS	IN101008	1	15	-77	40000	1
R28YRS	IN101013	1	25	1	300000	2
R28YRS	IN101019	1	30	10	5000	1
R28YRS	IN101020	1	17	7	10000	1
R28YRS	IN101025	1	23	2	1500	1
R28YRS	IN101034	1	30	1	100000	3
R28YRS	IN101037	1	23	2	1000	1
R28YRS	IN101038	1	23	2	600	80
R28YRS	IN101041	1	23	3	800	1
R28YRS	IN101049	1	30	8	500	1
R28YRS	IN111001	1	1	4	600	1
R28YRS	IN111001	2	4	1	100	1
R28YRS	IN111001	3	8	8	200	1
R28YRS	IN111003	1	1	8	2470	1
R28YRS	IN111003	2	2	1	20000	1
R28YRS	IN111006	1	8	4	60	2
R28YRS	IN111007	1	1	4	300	1
R28YRS	IN111007	2	8	4	100	1
R28YRS	IN111008	1	1	3	200	1
R28YRS	IN111008	2	8	2	60	1
R28YRS	IN111008	3	4	1	500	1
R28YRS	IN111010	1	1	5	230	6
R28YRS	IN111012	1	1	4	250	1
R28YRS	IN111012	2	8	5	200	1
R28YRS	IN111013	1	1	5	320	1
R28YRS	IN111013	2	1	1	120	1
R28YRS	IN111014	1	1	15	500	1
R28YRS	IN111014	2	4	1	800	1
R28YRS	IN111014	3	2	1	15000	1
R28YRS	IN111016	1	1	1	50	3
R28YRS	IN111016	2	8	1	30	3
R28YRS	IN111018	1	1	6	400	2
R28YRS	IN111018	2	3	1	4000	2
R28YRS	IN111019	1	1	5	300	3
R28YRS	IN111019	2	2	1	10000	3
R28YRS	IN111019	3	3	1	1000	3
R28YRS	IN111019	4	4	1	150	3
R28YRS	IN111019	5	5	6	200	3
R28YRS	IN111019	6	5	5	5000	3
R28YRS	IN111021	1	1	3	80	2
R28YRS	IN111022	1	1	3	225	2
R28YRS	IN111022	2	4	1	500	2
R28YRS	IN111022	3	8	4	220	2
R28YRS	IN111024	1	8	3	150	2
R28YRS	IN111025	1	1	7	2450	1
R28YRS	IN111025	2	3	1	100	1
R28YRS	IN111026	1	30	1	200	2
R28YRS	IN111027	1	1	5	300	1
R28YRS	IN111027	2	2	1	10000	1
R28YRS	IN111027	3	4	1	400	1
R28YRS	IN111028	1	1	3	150	3
R28YRS	IN111028	2	8	3	250	3
R28YRS	IN111029	1	1	2	300	1
R28YRS	IN111029	2	4	2	500	1
R28YRS	IN111029	3	8	5	250	1
R28YRS	IN111030	1	1	2	100	1
R28YRS	IN111030	2	4	1	500	1
R28YRS	IN111030	3	8	4	240	1
R28YRS	IN111031	1	1	5	270	1
R28YRS	IN111032	1	1	2	200	2
R28YRS	IN111032	2	8	4	100	2
R28YRS	IN111033	1	1	2	200	1
R28YRS	IN111033	2	8	1	80	1
R28YRS	IN111034	1	1	5	100	1
R28YRS	IN111037	1	1	12	620	2
R28YRS	IN111037	2	2	1	20000	2
R28YRS	IN111037	3	4	1	2000	2
R28YRS	IN111038	1	4	1	1000	3
R28YRS	IN111038	2	8	1	1000	3
R28YRS	IN111038	3	1	10	250	3
R28YRS	IN111039	1	2	1	10000	1
R28YRS	IN111039	2	8	1	1000	1
R28YRS	IN111039	3	1	15	400	1
R28YRS	IN111040	1	1	3	200	2
R28YRS	IN111040	2	8	3	250	2
R28YRS	IN111040	3	4	1	500	2
R28YRS	IN111043	1	1	8	350	3
R28YRS	IN111043	2	8	2	60	3
R28YRS	IN111045	1	12	1	1500	1
R28YRS	IN111046	1	1	4	1000	1
R28YRS	IN111046	2	2	1	12000	1
R28YRS	IN111046	3	4	1	500	1
R28YRS	IN111047	1	1	10	400	1
R28YRS	IN111048	1	1	4	300	2
R28YRS	IN111048	2	2	1	10000	1
R28YRS	IN111048	3	3	1	1000	2
R28YRS	IN111049	1	13	9	240	2
R28YRS	IN111050	1	1	0	-88	88
R28YRS	IN111053	1	1	4	350	2
R28YRS	IN111053	2	4	1	500	2
R28YRS	IN111053	3	8	4	60	2
R28YRS	IN111054	1	30	12	1000	4
R28YRS	IN121002	1	30	1	600	1
R28YRS	IN121003	1	1	7	1500	1
R28YRS	IN121003	2	2	1	10000	1
