CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
118029	1	51	 	4	2013	3	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
118029	2	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	1
118030	1	51	 	2	2010	60	N	N	N	Y	N	N	N	N	N	N	N	5	88	1	2
118030	2	51	 	4	2015	3	Y	 	 	 	 	 	 	 	 	 	 	2	88	0	 
118030	3	51	 	4	2015	0	N	N	N	Y	N	N	N	N	N	N	N	5	88	1	2
128002	1	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	0	 
128004	1	51	 	3	2016	0	N	N	N	Y	N	N	N	N	N	N	N	8	88	1	4
128007	1	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
128011	1	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	4
128020	1	51	 	1	2014	0	N	Y	Y	N	Y	N	N	Y	N	N	N	35	88	1	1
128021	1	51	 	2	2014	6	Y	 	 	 	 	 	 	 	 	 	 	1	9	1	4
128021	2	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
128025	1	51	 	7	2013	0	N	Y	Y	Y	N	N	N	N	N	N	N	35	88	1	4
128033	1	51	 	2	2013	24	N	N	Y	Y	N	N	N	N	Y	N	N	13	28	1	4
128033	2	51	 	2	2015	0	N	N	Y	Y	N	N	N	N	Y	N	N	13	88	1	5
128037	1	51	 	1	2013	0	N	N	N	N	N	N	N	N	N	N	N	13	88	1	1
128040	1	51	 	1	2015	0	N	N	N	N	Y	N	N	N	N	N	N	20	88	1	3
128047	1	80	 	6	2014	4	Y	 	 	 	 	 	 	 	 	 	 	3	88	0	 
128047	2	80	 	7	2014	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
128047	3	51	 	7	2014	4	N	Y	Y	Y	N	N	N	N	N	N	N	3	88	1	1
128047	4	51	 	1	2015	0	N	N	N	N	Y	N	N	N	N	N	N	11	9	1	3
128048	1	51	 	2	2015	0	N	N	Y	Y	N	N	N	N	N	N	N	4	17	1	4
138014	1	51	 	2	2014	7	N	N	N	N	Y	N	N	Y	N	N	N	1	20	1	5
138014	2	51	 	2	2014	14	N	N	N	N	Y	N	N	Y	N	N	N	1	20	1	5
138014	3	51	 	2	2015	0	N	Y	N	Y	Y	N	N	Y	N	N	N	1	22	1	1
138015	1	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	3
138020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138023	1	51	 	2	2016	0	N	N	N	N	N	N	N	Y	N	N	N	12	22	1	1
138027	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
138029	1	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
138030	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138032	1	80	 	7	2013	6	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
138032	2	51	 	7	2014	12	Y	 	 	 	 	 	 	 	 	 	 	17	88	1	2
138032	3	80	 	7	2015	6	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	2
138032	4	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	17	88	1	1
138033	1	51	 	1	2014	4	N	N	N	N	Y	N	N	N	N	N	N	11	24	1	3
138033	2	51	 	1	2015	4	N	N	N	N	Y	N	N	Y	N	N	N	1	24	1	4
138033	3	51	 	1	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	1	13	1	1
138040	1	51	 	2	2013	18	Y	 	 	 	 	 	 	 	 	 	 	9	88	1	5
138040	2	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	7
138042	1	51	 	4	2012	2	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
138042	2	51	 	5	2014	0	N	N	N	N	Y	N	Y	N	N	N	N	8	88	1	1
138047	1	51	 	4	2013	4	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
138047	2	51	 	4	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	1
138049	1	51	 	1	2015	0	N	Y	Y	Y	N	N	N	N	N	N	N	13	88	1	5
148011	1	51	 	4	2013	0	N	N	N	N	N	N	N	N	N	Y	N	2	35	0	 
148024	1	51	 	1	2015	0	Y	 	 	 	 	 	 	 	 	 	 	24	11	0	 
148038	1	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	3
148043	1	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	11	0	 
148046	1	51	 	1	2014	0	N	N	N	N	Y	N	N	N	N	N	N	24	88	0	 
148047	1	51	 	2	2013	7	Y	 	 	 	 	 	 	 	 	 	 	20	24	1	3
148047	2	51	 	2	2014	0	N	N	N	N	Y	N	N	N	N	N	N	24	88	1	1
158001	1	51	 	5	2015	11	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
158001	2	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	11	1	2
158003	1	51	 	3	2015	0	N	N	N	N	N	N	N	Y	N	N	N	5	22	1	1
158005	1	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	2	5	1	5
158006	1	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	7
158007	1	51	 	3	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
158010	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
158011	1	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
158013	1	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	19	88	1	1
158014	1	51	 	4	2014	24	Y	 	 	 	 	 	 	 	 	 	 	2	13	1	4
158014	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	 	 
158016	1	51	 	4	2013	12	Y	 	 	 	 	 	 	 	 	 	 	4	88	0	 
158016	2	51	 	4	2014	4	Y	 	 	 	 	 	 	 	 	 	 	4	88	0	 
158016	3	51	 	3	2014	6	Y	 	 	 	 	 	 	 	 	 	 	4	88	0	 
